period,evidence_class,source_ledger,pat_proxy_vnd,depreciation_vnd,change_ar_vnd,change_inventory_vnd,change_ap_vnd,cfo_vnd,capex_vnd,pre_financing_fcf_vnd,debt_drawdown_vnd,debt_repayment_vnd,net_cash_change_vnd,cash_opening_vnd,cash_closing_vnd
2023-11,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-700043455,0,167723146,-32786616,95179533,-739800452,0,-739800452,0,50000000,-789800452,-1036406762,-1826207214
2023-12,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-769175798,0,173258480,-24786713,105704687,-811942878,0,-811942878,0,50000000,-861942878,-1826207214,-2688150092
2024-01,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-636783352,0,146672372,-10515618,114477459,-658462647,0,-658462647,0,50000000,-708462647,-2688150092,-3396612739
2024-02,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-651601610,0,161305668,856410,118417451,-695346237,0,-695346237,0,50000000,-745346237,-3396612739,-4141958976
2024-03,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-726777446,0,153198667,-8760600,101258033,-769957480,0,-769957480,0,50000000,-819957480,-4141958976,-4961916456
2024-04,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-747620066,0,159749024,5743882,116084318,-797028654,0,-797028654,0,50000000,-847028654,-4961916456,-5808945110
2024-05,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-686285452,0,140974833,20926370,104346066,-743840589,0,-743840589,1000000000,50000000,206159411,-5808945110,-5602785699
2024-06,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-690829385,0,142880893,12304749,95162010,-750853017,0,-750853017,0,50000000,-800853017,-5602785699,-6403638716
2024-07,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-724875550,0,141162871,18215914,106894681,-777359654,0,-777359654,0,50000000,-827359654,-6403638716,-7230998370
2024-08,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-764627424,0,159816392,13079190,95146479,-842376527,0,-842376527,0,50000000,-892376527,-7230998370,-8123374897
2024-09,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-702161799,0,151524180,23723994,94440270,-782969703,0,-782969703,0,50000000,-832969703,-8123374897,-8956344600
2024-10,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-793739130,0,142754422,51040405,109645052,-877888905,0,-877888905,0,50000000,-927888905,-8956344600,-9884233505
2024-11,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-789082805,0,173160601,39649860,107183134,-894710132,0,-894710132,0,50000000,-944710132,-9884233505,-10828943637
2024-12,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-937787804,0,176377002,69164565,113057720,-1070271651,0,-1070271651,0,50000000,-1120271651,-10828943637,-11949215288
2025-01,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-773841776.8,21375000,156599993,63442710,105589034,-866920445.8,1282500000,-2149420445.8,0,50000000,-2199420445.8,-11949215288,-14148635733.8
2025-02,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-769670595.6,21375000,202815929,110839450,103745010,-958205964.6,1282500000,-2240705964.6,0,50000000,-2290705964.6,-14148635733.8,-16439341698.4
2025-03,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-776109532,10687500,201493474,91598905,100655712,-957858699,641250000,-1599108699,0,50000000,-1649108699,-16439341698.4,-18088450397.4
2025-04,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-834797848,10687500,198109808,34270415,102001661,-954488910,641250000,-1595738910,0,50000000,-1645738910,-18088450397.4,-19734189307.4
2025-05,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-805143788,0,188411167,137416775,121597447,-1009374283,0,-1009374283,0,50000000,-1059374283,-19734189307.4,-20793563590.4
2025-06,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-787841217.8,0,195144094,210937150,104836029,-1089086432.8,0,-1089086432.8,0,50000000,-1139086432.8,-20793563590.4,-21932650023.2
2025-07,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-796252323.8,0,190215682,191561780,110251601,-1067778184.8,0,-1067778184.8,0,50000000,-1117778184.8,-21932650023.2,-23050428208
2025-08,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-836724221,0,205137372,257238225,104415493,-1194684325,0,-1194684325,0,50000000,-1244684325,-23050428208,-24295112533
2025-09,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-839346621,0,220443631,259841840,104954199,-1214677893,0,-1214677893,0,50000000,-1264677893,-24295112533,-25559790426
2025-10,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-955446572,0,191531273,376018705,-100185955,-1623182505,0,-1623182505,0,50000000,-1673182505,-25559790426,-27232972931
2025-11,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-995174951,0,216247055,477038655,103636950,-1584823711,0,-1584823711,0,50000000,-1634823711,-27232972931,-28867796642
2025-12,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),-1146523098,0,219679167,588497820,115514980,-1839185105,0,-1839185105,0,50000000,-1889185105,-28867796642,-30756981747
