period,evidence_class,source_ledger,gross_sales_vnd,invoice_discounts_vnd,returns_vnd,rebates_vnd,voucher_support_vnd,net_revenue_vnd,cogs_vnd,gross_profit_vnd,channel_fee_vnd,trade_spend_vnd,variable_fulfilment_vnd,commercial_variable_costs_vnd,contribution_profit_vnd,controllable_opex_vnd,ebitda_project_proxy_vnd,ebitda_statement_proxy_vnd,depreciation_vnd,ebit_proxy_vnd,finance_cost_vnd,pbt_proxy_vnd,tax_proxy_vnd,pat_proxy_vnd
2024-05,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1023260000,49302055,7811009,0,0,966146936,504127649,462019287,65173347,24199059,0,89372406,372646881,1013046916,-551027629,-640400035,0,-640400035,45885417,-686285452,0,-686285452
2024-06,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1070719000,51301095,8077508,0,0,1011340397,527806563,483533834,67877896,25505786,0,93383682,390150152,1032281620,-548747786,-642131468,0,-642131468,48697917,-690829385,0,-690829385
2024-07,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1086817000,52407315,8276421,0,0,1026133264,534676875,491456389,69172235,25680170,0,94852405,396603984,1073094117,-581637728,-676490133,0,-676490133,48385417,-724875550,0,-724875550
2024-08,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1136640500,54186795,8569482,0,0,1073884223,559651653,514232570,71786422,27084035,0,98870457,415362113,1131916620,-617684050,-716554507,0,-716554507,48072917,-764627424,0,-764627424
2024-09,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1164437000,73543470,9071264,0,0,1081822266,574343733,507478533,72801743,27192900,0,99994643,407483890,1061885272,-554406739,-654401382,0,-654401382,47760417,-702161799,0,-702161799
2024-10,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1034445500,49761675,7863760,0,0,976820065,509038963,467781102,65778283,24573696,0,90351979,377429123,1123720336,-655939234,-746291213,0,-746291213,47447917,-793739130,0,-793739130
2024-11,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1201818000,57799705,9123444,0,0,1134894851,590449614,544445237,76400727,28511248,0,104911975,439533262,1181480650,-637035413,-741947388,0,-741947388,47135417,-789082805,0,-789082805
2024-12,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1233096500,59605770,9454964,0,0,1164035766,606855245,557180521,78874438,29157545,0,108031983,449148538,1340113425,-782932904,-890964887,0,-890964887,46822917,-937787804,0,-937787804
2025-01,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1058922000,51100225,8100347,0,0,999721428,521736684,477984744,67652494,25174261,0,92826755,385157989,1091114348.8,-613129604.8,-705956359.8,21375000,-727331359.8,46510417,-773841776.8,0,-773841776.8
2025-02,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1086298500,52252155,8281678,0,0,1025764667,534222503,491542164,69181171,25786198,0,94967369,396574795,1098672473.6,-607130309.6,-702097678.6,21375000,-723472678.6,46197917,-769670595.6,0,-769670595.6
2025-03,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1126191000,53858420,8531870,0,0,1063800710,555653678,508147032,71309113,26733510,0,98042623,410104409,1129641024,-621493992,-719536615,10687500,-730224115,45885417,-776109532,0,-776109532
2025-04,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1095212000,53162230,8460273,0,0,1033589497,539585148,494004349,75643083,24902609,0,100545692,393458657,1171996088,-677991739,-778537431,10687500,-789224931,45572917,-834797848,0,-834797848
2025-05,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1044486500,50453840,8001322,0,0,986031338,513544788,472486550,66775984,24693457,0,91469441,381017109,1140900480,-668413930,-759883371,0,-759883371,45260417,-805143788,0,-805143788
2025-06,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1077572000,51917680,8230334,0,0,1017423986,530968255,486455731,68613410,23663705,0,92277115,394178616,1137071916.8,-650616185.8,-742893300.8,0,-742893300.8,44947917,-787841217.8,0,-787841217.8
2025-07,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1086157000,52129585,8224244,0,0,1025803171,534525612,491277559,68956821,25845728,0,94802549,396475010,1148091916.8,-656814357.8,-751616906.8,0,-751616906.8,44635417,-796252323.8,0,-796252323.8
2025-08,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1119494000,53700690,8503263,0,0,1057290047,560789736,496500311,70966109,26400490,0,97366599,399133712,1191535016,-695034705,-792401304,0,-792401304,44322917,-836724221,0,-836724221
2025-09,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1171496500,56250095,8924521,0,0,1106321884,587170742,519151142,74298313,27578353,0,101876666,417274476,1212610680,-693459538,-795336204,0,-795336204,44010417,-839346621,0,-839346621
2025-10,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1045812000,50139375,7943857,0,0,987728768,524856594,462872174,66331830,24793779,0,91125609,371746565,1283495220,-820623046,-911748655,0,-911748655,43697917,-955446572,0,-955446572
2025-11,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1197014500,57364910,9069893,0,0,1130579697,600982503,529597194,75809637,28336431,0,104146068,425451126,1377240660,-847643466,-951789534,0,-951789534,43385417,-995174951,0,-995174951
2025-12,SIMULATED/DERIVED,data/operating_inputs (controlled synthetic operating extracts) + data/finance_model/final_v1 (planning schedules),1204510000,57607060,9078712,0,0,1137824228,603520331,534303897,76075128,28535250,0,104610378,429693519,1533143700,-998839803,-1103450181,0,-1103450181,43072917,-1146523098,0,-1146523098
