period,evidence_class,source_ledger,cash_opening_vnd,cash_closing_vnd,ar_closing_vnd,inventory_closing_vnd,ppe_net_closing_vnd,ap_closing_vnd,debt_closing_vnd,equity_opening_vnd,equity_closing_vnd,total_assets_vnd,total_liabilities_equity_vnd,balance_check_vnd
2024-04,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-4961916456,-5808945110,2468035566,219578403,0,1709812504,6200000000,-10283523579,-11031143645,-3121331141,-3121331141,0
2024-05,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-5808945110,-5602785699,2609010399,240504773,0,1814158570,7150000000,-11031143645,-11717429097,-2753270527,-2753270527,0
2024-06,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-5602785699,-6403638716,2751891292,252809522,0,1909320580,7100000000,-11717429097,-12408258482,-3398937902,-3398937902,0
2024-07,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-6403638716,-7230998370,2893054163,271025436,0,2016215261,7050000000,-12408258482,-13133134032,-4066918771,-4066918771,0
2024-08,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-7230998370,-8123374897,3052870555,284104626,0,2111361740,7000000000,-13133134032,-13897761456,-4786399716,-4786399716,0
2024-09,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-8123374897,-8956344600,3204394735,307828620,0,2205802010,6950000000,-13897761456,-14599923255,-5444121245,-5444121245,0
2024-10,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-8956344600,-9884233505,3347149157,358869025,0,2315447062,6900000000,-14599923255,-15393662385,-6178215323,-6178215323,0
2024-11,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-9884233505,-10828943637,3520309758,398518885,0,2422630196,6850000000,-15393662385,-16182745190,-6910114994,-6910114994,0
2024-12,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-10828943637,-11949215288,3696686760,467683450,0,2535687916,6800000000,-16182745190,-17120532994,-7784845078,-7784845078,0
2025-01,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-11949215288,-14148635733.8,3853286753,531126160,1261125000,2641276950,6750000000,-17120532994,-17894374770.8,-8503097820.8,-8503097820.8,0
2025-02,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-14148635733.8,-16439341698.4,4056102682,641965610,2522250000,2745021960,6700000000,-17894374770.8,-18664045366.4,-9219023406.4,-9219023406.4,0
2025-03,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-16439341698.4,-18088450397.4,4257596156,733564515,3152812500,2845677672,6650000000,-18664045366.4,-19440154898.4,-9944477226.4,-9944477226.4,0
2025-04,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-18088450397.4,-19734189307.4,4455705964,767834930,3783375000,2947679333,6600000000,-19440154898.4,-20274952746.4,-10727273413.4,-10727273413.4,0
2025-05,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-19734189307.4,-20793563590.4,4644117131,905251705,3783375000,3069276780,6550000000,-20274952746.4,-21080096534.4,-11460819754.4,-11460819754.4,0
2025-06,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-20793563590.4,-21932650023.2,4839261225,1116188855,3783375000,3174112809,6500000000,-21080096534.4,-21867937752.2,-12193824943.2,-12193824943.2,0
2025-07,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-21932650023.2,-23050428208,5029476907,1307750635,3783375000,3284364410,6450000000,-21867937752.2,-22664190076,-12929825666,-12929825666,0
2025-08,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-23050428208,-24295112533,5234614279,1564988860,3783375000,3388779903,6400000000,-22664190076,-23500914297,-13712134394,-13712134394,0
2025-09,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-24295112533,-25559790426,5455057910,1824830700,3783375000,3493734102,6350000000,-23500914297,-24340260918,-14496526816,-14496526816,0
2025-10,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-25559790426,-27232972931,5646589183,2200849405,3783375000,3393548147,6300000000,-24340260918,-25295707490,-15602159343,-15602159343,0
2025-11,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-27232972931,-28867796642,5862836238,2677888060,3783375000,3497185097,6250000000,-25295707490,-26290882441,-16543697344,-16543697344,0
2025-12,SIMULATED/DERIVED,powerbi/data/current (operating) + powerbi/data/final_v1 (planning schedules),-28867796642,-30756981747,6082515405,3266385880,3783375000,3612700077,6200000000,-26290882441,-27437405539,-17624705462,-17624705462,0
