fiscal_year,metric_id,value,unit,source_status,source_ref,calculation_status,caveat
2016,REV_NET,13789759442477,VND bn,APPROVED_COMPARABLE,data/mch_financial_statement_analysis_2016_2025.csv; page-reviewed audited statement source,OBSERVED,
2022,REV_NET,26977273170028,VND bn,APPROVED_COMPARABLE,data/mch_financial_statement_analysis_2016_2025.csv; page-reviewed audited statement source,OBSERVED,
2022,PAT,5532807109081,VND bn,APPROVED_COMPARABLE,data/mch_financial_statement_analysis_2016_2025.csv; page-reviewed audited statement source,OBSERVED,
2022,CFO,2484192864010,VND bn,APPROVED_COMPARABLE,data/mch_financial_statement_analysis_2016_2025.csv; page-reviewed audited statement source,OBSERVED,
2022,ROE,28.0488,percent,APPROVED_COMPARABLE,data/mch_financial_statement_analysis_2016_2025.csv; page-reviewed audited statement source,CALCULATED_PUBLIC,ROE = PAT attributable to owners / average equity attributable to owners
2022,ROA,17.3658,percent,APPROVED_COMPARABLE,data/mch_financial_statement_analysis_2016_2025.csv; page-reviewed audited statement source,CALCULATED_PUBLIC,
2023,REV_NET,28240992632837,VND bn,APPROVED_COMPARABLE,data/mch_financial_statement_analysis_2016_2025.csv; page-reviewed audited statement source,OBSERVED,
2023,PAT,7194170245145,VND bn,APPROVED_COMPARABLE,data/mch_financial_statement_analysis_2016_2025.csv; page-reviewed audited statement source,OBSERVED,
2023,CFO,6255585564207,VND bn,APPROVED_COMPARABLE,data/mch_financial_statement_analysis_2016_2025.csv; page-reviewed audited statement source,OBSERVED,
2023,ROE,29.4715,percent,APPROVED_COMPARABLE,data/mch_financial_statement_analysis_2016_2025.csv; page-reviewed audited statement source,CALCULATED_PUBLIC,ROE = PAT attributable to owners / average equity attributable to owners
2023,ROA,19.4255,percent,APPROVED_COMPARABLE,data/mch_financial_statement_analysis_2016_2025.csv; page-reviewed audited statement source,CALCULATED_PUBLIC,
2024,REV_NET,30897225625237,VND bn,APPROVED_COMPARABLE,data/mch_financial_statement_analysis_2016_2025.csv; page-reviewed audited statement source,OBSERVED,
2024,PAT,7920537530999,VND bn,APPROVED_COMPARABLE,data/mch_financial_statement_analysis_2016_2025.csv; page-reviewed audited statement source,OBSERVED,
2024,CFO,9227283460294,VND bn,APPROVED_COMPARABLE,data/mch_financial_statement_analysis_2016_2025.csv; page-reviewed audited statement source,OBSERVED,
2024,ROE,42.0150,percent,APPROVED_COMPARABLE,data/mch_financial_statement_analysis_2016_2025.csv; page-reviewed audited statement source,CALCULATED_PUBLIC,ROE = PAT attributable to owners / average equity attributable to owners
2024,ROA,23.1417,percent,APPROVED_COMPARABLE,data/mch_financial_statement_analysis_2016_2025.csv; page-reviewed audited statement source,CALCULATED_PUBLIC,
2025,REV_NET,30556536605941,VND bn,APPROVED_COMPARABLE,data/mch_financial_statement_analysis_2016_2025.csv; page-reviewed audited statement source,OBSERVED,
2025,PAT,6764148714587,VND bn,APPROVED_COMPARABLE,data/mch_financial_statement_analysis_2016_2025.csv; page-reviewed audited statement source,OBSERVED,
2025,CFO,2132330611639,VND bn,APPROVED_COMPARABLE,data/mch_financial_statement_analysis_2016_2025.csv; page-reviewed audited statement source,OBSERVED,
2025,ROE,45.1094,percent,APPROVED_COMPARABLE,data/mch_financial_statement_analysis_2016_2025.csv; page-reviewed audited statement source,CALCULATED_PUBLIC,ROE = PAT attributable to owners / average equity attributable to owners
2025,ROA,21.8670,percent,APPROVED_COMPARABLE,data/mch_financial_statement_analysis_2016_2025.csv; page-reviewed audited statement source,CALCULATED_PUBLIC,
