cash_paid,closing_ap,dpo,month,opening_ap,overdue_ap,purchases,supplier_id
89222702,646767542,174.0,2025-01-01,624461867,97015131,111528377,SUP4
106822862,667136661,149.9,2025-02-01,640430945,100070499,133528578,SUP1
92044349,704786759,183.8,2025-02-01,681775671,105718014,115055436,SUP2
92096996,695327041,181.2,2025-02-01,672302792,104299056,115121245,SUP3
124015827,677771499,131.2,2025-02-01,646767542,101665725,155019784,SUP4
87556596,689025810,188.9,2025-03-01,667136661,103353871,109445745,SUP1
120447134,734898542,146.4,2025-03-01,704786759,110234781,150558918,SUP2
94369457,718919405,182.8,2025-03-01,695327041,107837911,117961821,SUP3
100249662,702833915,168.3,2025-03-01,677771499,105425087,125312078,SUP4
95069938,712793294,179.9,2025-04-01,689025810,106918994,118837423,SUP1
81178038,755193052,223.3,2025-04-01,734898542,113278958,101472548,SUP2
122197833,749468863,147.2,2025-04-01,718919405,112420329,152747291,SUP3
109560839,730224124,160.0,2025-04-01,702833915,109533619,136951049,SUP4
119627156,742700083,149.0,2025-05-01,712793294,111405012,149533945,SUP1
125949856,786680516,149.9,2025-05-01,755193052,118002077,157437320,SUP2
122821322,780174194,152.5,2025-05-01,749468863,117026129,153526652,SUP3
117991451,759721987,154.5,2025-05-01,730224124,113958298,147489314,SUP4
124111263,773727899,149.6,2025-06-01,742700083,116059185,155139079,SUP1
87647544,808592402,221.4,2025-06-01,786680516,121288860,109559430,SUP2
93895795,803648142,205.4,2025-06-01,780174194,120547221,117369744,SUP3
113689516,788144366,166.4,2025-06-01,759721987,118221655,142111895,SUP4
113808155,802179938,169.2,2025-07-01,773727899,120326991,142260194,SUP1
126264744,840158588,159.7,2025-07-01,808592402,126023788,157830930,SUP2
80944405,823884244,244.3,2025-07-01,803648142,123582637,101180506,SUP3
119989095,818141640,163.6,2025-07-01,788144366,122721246,149986369,SUP4
99643810,827090890,199.2,2025-08-01,802179938,124063634,124554762,SUP1
124260427,871223695,168.3,2025-08-01,840158588,130683554,155325534,SUP2
106379542,850479129,191.9,2025-08-01,823884244,127571869,132974428,SUP3
87378196,839986189,230.7,2025-08-01,818141640,125997928,109222745,SUP4
90957557,849830279,224.2,2025-09-01,827090890,127474542,113696946,SUP1
125549686,902611116,172.5,2025-09-01,871223695,135391667,156937107,SUP2
99238172,875288672,211.7,2025-09-01,850479129,131293301,124047715,SUP3
104071382,866004035,199.7,2025-09-01,839986189,129900605,130089228,SUP4
151444670,824589501,196.0,2025-10-01,849830279,123688425,126203892,SUP1
180954944,872451959,173.6,2025-10-01,902611116,130867794,150795787,SUP2
128495264,853872795,239.2,2025-10-01,875288672,128080919,107079387,SUP3
140220858,842633892,216.3,2025-10-01,866004035,126395084,116850715,SUP4
115619717,853494430,177.2,2025-11-01,824589501,128024165,144524646,SUP1
96757156,896641248,222.4,2025-11-01,872451959,134496187,120946445,SUP2
119466380,883739390,177.5,2025-11-01,853872795,132560908,149332975,SUP3
82704550,863310029,250.5,2025-11-01,842633892,129496504,103380688,SUP4
100474307,878613007,209.9,2025-12-01,853494430,131791951,125592884,SUP1
120652974,926804491,184.4,2025-12-01,896641248,139020674,150816218,SUP2
121232538,914047524,181.0,2025-12-01,883739390,137107129,151540673,SUP3
119700103,893235055,179.1,2025-12-01,863310029,133985258,149625129,SUP4
