budget_cogs,budget_net_sales,budget_opex,budget_trade_spend,budget_units,channel_id,month,sku_id,version
1875033,4360542,0,109014,230,EC,2023-01-01,SKU011,FY_BASE
1586989,3690673,0,92267,182,CV,2023-01-01,SKU011,FY_BASE
1892234,4400545,0,110014,212,FS,2023-01-01,SKU011,FY_BASE
2828758,6217050,0,155426,260,MT,2023-01-01,SKU012,FY_BASE
2457128,5400281,0,135007,222,GT,2023-01-01,SKU012,FY_BASE
2728407,5996498,0,149912,272,EC,2023-01-01,SKU012,FY_BASE
2404098,5283731,0,132093,224,CV,2023-01-01,SKU012,FY_BASE
2524133,5547544,0,138689,230,FS,2023-01-01,SKU012,FY_BASE
3429405,7144594,0,178615,262,MT,2023-01-01,SKU013,FY_BASE
2927024,6097967,0,152449,219,GT,2023-01-01,SKU013,FY_BASE
3471319,7231915,0,180798,288,EC,2023-01-01,SKU013,FY_BASE
2701222,5627545,0,140689,209,CV,2023-01-01,SKU013,FY_BASE
3201951,6670731,0,166768,243,FS,2023-01-01,SKU013,FY_BASE
4164541,8246616,0,206165,270,MT,2023-01-01,SKU014,FY_BASE
3821618,7567560,0,189189,243,GT,2023-01-01,SKU014,FY_BASE
4100623,8120045,0,203001,288,EC,2023-01-01,SKU014,FY_BASE
4409559,8731800,0,218295,289,CV,2023-01-01,SKU014,FY_BASE
3978911,7879032,0,196976,255,FS,2023-01-01,SKU014,FY_BASE
4886486,9219785,0,230495,272,MT,2023-01-01,SKU015,FY_BASE
5104392,9630928,0,240773,278,GT,2023-01-01,SKU015,FY_BASE
4251595,8021878,0,200547,256,EC,2023-01-01,SKU015,FY_BASE
4760642,8982344,0,224559,268,CV,2023-01-01,SKU015,FY_BASE
3336252,6294816,0,157370,184,FS,2023-01-01,SKU015,FY_BASE
4002236,9307526,0,232688,250,MT,2023-01-01,SKU016,FY_BASE
4618269,10740161,0,268504,282,GT,2023-01-01,SKU016,FY_BASE
3649714,8487706,0,212193,247,EC,2023-01-01,SKU016,FY_BASE
4642569,10796672,0,269917,293,CV,2023-01-01,SKU016,FY_BASE
3959183,9207403,0,230185,245,FS,2023-01-01,SKU016,FY_BASE
2462680,5412343,0,135309,133,MT,2023-01-01,SKU017,FY_BASE
2633038,5786747,0,144669,140,GT,2023-01-01,SKU017,FY_BASE
1969982,4329518,0,108238,116,EC,2023-01-01,SKU017,FY_BASE
2494457,5482181,0,137055,136,CV,2023-01-01,SKU017,FY_BASE
2272930,4995322,0,124883,122,FS,2023-01-01,SKU017,FY_BASE
3276827,6826722,0,170668,155,MT,2023-01-01,SKU018,FY_BASE
2893363,6027840,0,150696,134,GT,2023-01-01,SKU018,FY_BASE
2065277,4302661,0,107567,106,EC,2023-01-01,SKU018,FY_BASE
3636874,7576821,0,189421,174,CV,2023-01-01,SKU018,FY_BASE
3065041,6385502,0,159638,144,FS,2023-01-01,SKU018,FY_BASE
1294330,2563029,0,64076,149,MT,2023-01-01,SKU019,FY_BASE
1209765,2395575,0,59889,136,GT,2023-01-01,SKU019,FY_BASE
1102791,2183744,0,54594,138,EC,2023-01-01,SKU019,FY_BASE
1379991,2732656,0,68316,161,CV,2023-01-01,SKU019,FY_BASE
1298672,2571628,0,64291,148,FS,2023-01-01,SKU019,FY_BASE
1519702,2867363,0,71684,140,MT,2023-01-01,SKU020,FY_BASE
1761511,3323605,0,83090,159,GT,2023-01-01,SKU020,FY_BASE
1793995,3384896,0,84622,178,EC,2023-01-01,SKU020,FY_BASE
1616857,3050673,0,76267,150,CV,2023-01-01,SKU020,FY_BASE
1593346,3006313,0,75158,145,FS,2023-01-01,SKU020,FY_BASE
1692391,3935794,0,98395,165,MT,2023-01-01,SKU021,FY_BASE
2223073,5169938,0,129248,212,GT,2023-01-01,SKU021,FY_BASE
1672537,3889620,0,97240,176,EC,2023-01-01,SKU021,FY_BASE
1642670,3820162,0,95504,162,CV,2023-01-01,SKU021,FY_BASE
1644758,3825019,0,95625,159,FS,2023-01-01,SKU021,FY_BASE
2574725,5658518,0,141463,208,MT,2023-01-01,SKU022,FY_BASE
2588818,5689490,0,142237,205,GT,2023-01-01,SKU022,FY_BASE
2005614,4407773,0,110194,175,EC,2023-01-01,SKU022,FY_BASE
2277548,5005406,0,125135,186,CV,2023-01-01,SKU022,FY_BASE
1852716,4071746,0,101794,148,FS,2023-01-01,SKU022,FY_BASE
2217923,4620672,0,115517,151,MT,2023-01-01,SKU023,FY_BASE
3050611,6355440,0,158886,204,GT,2023-01-01,SKU023,FY_BASE
2091060,4356374,0,108909,154,EC,2023-01-01,SKU023,FY_BASE
2347108,4889808,0,122245,162,CV,2023-01-01,SKU023,FY_BASE
2692489,5609352,0,140234,182,FS,2023-01-01,SKU023,FY_BASE
2984232,5909206,0,147730,174,MT,2023-01-01,SKU024,FY_BASE
3652404,7232282,0,180807,209,GT,2023-01-01,SKU024,FY_BASE
3088180,6115038,0,152876,195,EC,2023-01-01,SKU024,FY_BASE
3024140,5988229,0,149706,178,CV,2023-01-01,SKU024,FY_BASE
3614944,7158105,0,178953,209,FS,2023-01-01,SKU024,FY_BASE
4083188,7704128,0,192603,207,MT,2023-01-01,SKU025,FY_BASE
4211022,7945324,0,198633,209,GT,2023-01-01,SKU025,FY_BASE
3254223,6140043,0,153501,178,EC,2023-01-01,SKU025,FY_BASE
3691765,6965595,0,174140,189,CV,2023-01-01,SKU025,FY_BASE
3916505,7389632,0,184741,196,FS,2023-01-01,SKU025,FY_BASE
3041992,7074401,0,176860,174,MT,2023-01-01,SKU026,FY_BASE
3910188,9093460,0,227336,219,GT,2023-01-01,SKU026,FY_BASE
3097179,7202743,0,180069,192,EC,2023-01-01,SKU026,FY_BASE
3354673,7801566,0,195039,194,CV,2023-01-01,SKU026,FY_BASE
3481223,8095868,0,202397,197,FS,2023-01-01,SKU026,FY_BASE
3714797,8164390,0,204110,186,MT,2023-01-01,SKU027,FY_BASE
4435407,9748148,0,243704,217,GT,2023-01-01,SKU027,FY_BASE
3159474,6943898,0,173597,171,EC,2023-01-01,SKU027,FY_BASE
5191948,11410875,0,285272,262,CV,2023-01-01,SKU027,FY_BASE
4814062,10580356,0,264509,238,FS,2023-01-01,SKU027,FY_BASE
1316892,2743524,0,68588,160,MT,2023-01-01,SKU028,FY_BASE
2114003,4404172,0,110104,251,GT,2023-01-01,SKU028,FY_BASE
1496281,3117253,0,77931,196,EC,2023-01-01,SKU028,FY_BASE
1826057,3804286,0,95107,224,CV,2023-01-01,SKU028,FY_BASE
2109829,4395478,0,109887,253,FS,2023-01-01,SKU028,FY_BASE
2515096,4980158,0,124504,243,MT,2023-01-01,SKU029,FY_BASE
2712274,5370592,0,134265,256,GT,2023-01-01,SKU029,FY_BASE
2232342,4420275,0,110507,233,EC,2023-01-01,SKU029,FY_BASE
1917746,3797341,0,94934,187,CV,2023-01-01,SKU029,FY_BASE
1859315,3681643,0,92041,177,FS,2023-01-01,SKU029,FY_BASE
2923016,5515125,0,137878,231,MT,2023-01-01,SKU030,FY_BASE
2916408,5502656,0,137566,226,GT,2023-01-01,SKU030,FY_BASE
3349935,6320632,0,158016,287,EC,2023-01-01,SKU030,FY_BASE
3457743,6524044,0,163101,276,CV,2023-01-01,SKU030,FY_BASE
3061028,5775525,0,144388,239,FS,2023-01-01,SKU030,FY_BASE
3231928,7516112,0,187903,276,MT,2023-01-01,SKU031,FY_BASE
2998507,6973273,0,174332,251,GT,2023-01-01,SKU031,FY_BASE
2803291,6519281,0,162982,259,EC,2023-01-01,SKU031,FY_BASE
2845445,6617315,0,165433,246,CV,2023-01-01,SKU031,FY_BASE
2731824,6353078,0,158827,231,FS,2023-01-01,SKU031,FY_BASE
3182809,6995184,0,174880,229,MT,2023-01-01,SKU032,FY_BASE
3622109,7960680,0,199017,255,GT,2023-01-01,SKU032,FY_BASE
3236164,7112448,0,177811,252,EC,2023-01-01,SKU032,FY_BASE
3207270,7048944,0,176224,233,CV,2023-01-01,SKU032,FY_BASE
3260395,7165704,0,179143,232,FS,2023-01-01,SKU032,FY_BASE
4938102,10287713,0,257193,303,MT,2023-01-01,SKU033,FY_BASE
3105156,6469076,0,161727,187,GT,2023-01-01,SKU033,FY_BASE
4418608,9205434,0,230136,294,EC,2023-01-01,SKU033,FY_BASE
4666592,9722066,0,243052,290,CV,2023-01-01,SKU033,FY_BASE
4817153,10035735,0,250893,293,FS,2023-01-01,SKU033,FY_BASE
1955167,3871618,0,96790,104,MT,2023-01-01,SKU034,FY_BASE
2419531,4791150,0,119779,126,GT,2023-01-01,SKU034,FY_BASE
1896912,3756262,0,93907,109,EC,2023-01-01,SKU034,FY_BASE
2657761,5262894,0,131572,143,CV,2023-01-01,SKU034,FY_BASE
2135287,4228292,0,105707,112,FS,2023-01-01,SKU034,FY_BASE
2823368,5327110,0,133178,131,MT,2023-01-01,SKU035,FY_BASE
2444357,4611994,0,115300,111,GT,2023-01-01,SKU035,FY_BASE
2398946,4526314,0,113158,121,EC,2023-01-01,SKU035,FY_BASE
3821923,7211176,0,180279,180,CV,2023-01-01,SKU035,FY_BASE
3309402,6244154,0,156104,152,FS,2023-01-01,SKU035,FY_BASE
2538803,5904192,0,147605,134,MT,2023-01-01,SKU036,FY_BASE
2936217,6828412,0,170710,152,GT,2023-01-01,SKU036,FY_BASE
2179873,5069471,0,126737,125,EC,2023-01-01,SKU036,FY_BASE
2963632,6892168,0,172304,159,CV,2023-01-01,SKU036,FY_BASE
2845976,6618549,0,165464,149,FS,2023-01-01,SKU036,FY_BASE
1071057,2490831,0,62271,145,MT,2023-02-01,SKU001,FY_BASE
1069716,2487712,0,62193,142,GT,2023-02-01,SKU001,FY_BASE
1189890,2767187,0,69180,174,EC,2023-02-01,SKU001,FY_BASE
1175042,2732656,0,68316,161,CV,2023-02-01,SKU001,FY_BASE
1137170,2644582,0,66115,152,FS,2023-02-01,SKU001,FY_BASE
1687131,3708170,0,92704,181,MT,2023-02-01,SKU002,FY_BASE
1782549,3917891,0,97947,187,GT,2023-02-01,SKU002,FY_BASE
1250157,2747739,0,68693,145,EC,2023-02-01,SKU002,FY_BASE
1630640,3584007,0,89600,176,CV,2023-02-01,SKU002,FY_BASE
1258775,2766680,0,69167,133,FS,2023-02-01,SKU002,FY_BASE
1877148,3910725,0,97768,164,MT,2023-02-01,SKU003,FY_BASE
1658475,3455156,0,86379,142,GT,2023-02-01,SKU003,FY_BASE
1611414,3357112,0,83928,152,EC,2023-02-01,SKU003,FY_BASE
2107539,4390706,0,109768,186,CV,2023-02-01,SKU003,FY_BASE
1945440,4053000,0,101325,168,FS,2023-02-01,SKU003,FY_BASE
2092579,4143865,0,103597,152,MT,2023-02-01,SKU004,FY_BASE
2548949,5047600,0,126190,182,GT,2023-02-01,SKU004,FY_BASE
2212520,4381379,0,109534,174,EC,2023-02-01,SKU004,FY_BASE
1856460,3676286,0,91907,136,CV,2023-02-01,SKU004,FY_BASE
2537389,5024707,0,125618,183,FS,2023-02-01,SKU004,FY_BASE
2636029,4973640,0,124341,163,MT,2023-02-01,SKU005,FY_BASE
2725960,5143320,0,128583,165,GT,2023-02-01,SKU005,FY_BASE
3094211,5838134,0,145953,207,EC,2023-02-01,SKU005,FY_BASE
2574770,4858056,0,121451,161,CV,2023-02-01,SKU005,FY_BASE
2869848,5414808,0,135370,175,FS,2023-02-01,SKU005,FY_BASE
2801177,6514366,0,162859,192,MT,2023-02-01,SKU006,FY_BASE
2437897,5669528,0,141738,164,GT,2023-02-01,SKU006,FY_BASE
2276044,5293125,0,132328,169,EC,2023-02-01,SKU006,FY_BASE
2332591,5424631,0,135616,162,CV,2023-02-01,SKU006,FY_BASE
2768640,6438698,0,160967,188,FS,2023-02-01,SKU006,FY_BASE
3416409,7508592,0,187715,202,MT,2023-02-01,SKU007,FY_BASE
3851286,8464365,0,211609,223,GT,2023-02-01,SKU007,FY_BASE
2317144,5092624,0,127316,148,EC,2023-02-01,SKU007,FY_BASE
3398243,7468666,0,186717,203,CV,2023-02-01,SKU007,FY_BASE
4099468,9009819,0,225245,239,FS,2023-02-01,SKU007,FY_BASE
4459430,9290479,0,232262,229,MT,2023-02-01,SKU008,FY_BASE
4636359,9659081,0,241477,233,GT,2023-02-01,SKU008,FY_BASE
3646241,7596335,0,189908,203,EC,2023-02-01,SKU008,FY_BASE
4109105,8560636,0,214016,213,CV,2023-02-01,SKU008,FY_BASE
4030708,8397309,0,209933,205,FS,2023-02-01,SKU008,FY_BASE
4821834,9548186,0,238705,217,MT,2023-02-01,SKU009,FY_BASE
4233145,8382465,0,209562,187,GT,2023-02-01,SKU009,FY_BASE
4991086,9883339,0,247083,244,EC,2023-02-01,SKU009,FY_BASE
4586943,9083056,0,227076,209,CV,2023-02-01,SKU009,FY_BASE
4566333,9042243,0,226056,204,FS,2023-02-01,SKU009,FY_BASE
1855850,3501603,0,87540,204,MT,2023-02-01,SKU010,FY_BASE
2109580,3980340,0,99508,227,GT,2023-02-01,SKU010,FY_BASE
1493114,2817196,0,70430,177,EC,2023-02-01,SKU010,FY_BASE
2290788,4322241,0,108056,254,CV,2023-02-01,SKU010,FY_BASE
2493932,4705533,0,117638,271,FS,2023-02-01,SKU010,FY_BASE
2067305,4807685,0,120192,234,MT,2023-02-01,SKU011,FY_BASE
2224174,5172497,0,129312,247,GT,2023-02-01,SKU011,FY_BASE
1994898,4639298,0,115982,245,EC,2023-02-01,SKU011,FY_BASE
2201604,5120010,0,128000,252,CV,2023-02-01,SKU011,FY_BASE
1873499,4356975,0,108924,210,FS,2023-02-01,SKU011,FY_BASE
3034071,6668288,0,166707,279,MT,2023-02-01,SKU012,FY_BASE
2992805,6577594,0,164440,270,GT,2023-02-01,SKU012,FY_BASE
2633597,5788125,0,144703,262,EC,2023-02-01,SKU012,FY_BASE
2313803,5085281,0,127132,215,CV,2023-02-01,SKU012,FY_BASE
2512606,5522212,0,138055,229,FS,2023-02-01,SKU012,FY_BASE
3031594,6315821,0,157896,232,MT,2023-02-01,SKU013,FY_BASE
3781323,7877756,0,196944,284,GT,2023-02-01,SKU013,FY_BASE
3141924,6545675,0,163642,260,EC,2023-02-01,SKU013,FY_BASE
3352773,6984943,0,174624,259,CV,2023-02-01,SKU013,FY_BASE
4130655,8605532,0,215138,313,FS,2023-02-01,SKU013,FY_BASE
4148337,8214528,0,205363,269,MT,2023-02-01,SKU014,FY_BASE
4268300,8452080,0,211302,271,GT,2023-02-01,SKU014,FY_BASE
3172744,6282662,0,157067,223,EC,2023-02-01,SKU014,FY_BASE
4056794,8033256,0,200831,266,CV,2023-02-01,SKU014,FY_BASE
3536810,7003584,0,175090,227,FS,2023-02-01,SKU014,FY_BASE
3999749,7546696,0,188667,223,MT,2023-02-01,SKU015,FY_BASE
5894128,11120996,0,278025,321,GT,2023-02-01,SKU015,FY_BASE
4756908,8975298,0,224382,287,EC,2023-02-01,SKU015,FY_BASE
4200566,7925596,0,198140,236,CV,2023-02-01,SKU015,FY_BASE
4098824,7733631,0,193341,226,FS,2023-02-01,SKU015,FY_BASE
5280261,12279676,0,306992,330,MT,2023-02-01,SKU016,FY_BASE
4223399,9821858,0,245546,258,GT,2023-02-01,SKU016,FY_BASE
4690271,10907606,0,272690,317,EC,2023-02-01,SKU016,FY_BASE
4625929,10757974,0,268949,292,CV,2023-02-01,SKU016,FY_BASE
3908206,9088852,0,227221,242,FS,2023-02-01,SKU016,FY_BASE
2637200,5795895,0,144897,143,MT,2023-02-01,SKU017,FY_BASE
2989389,6569915,0,164248,159,GT,2023-02-01,SKU017,FY_BASE
2614702,5746450,0,143661,153,EC,2023-02-01,SKU017,FY_BASE
2475269,5440011,0,136000,135,CV,2023-02-01,SKU017,FY_BASE
2645220,5813521,0,145338,142,FS,2023-02-01,SKU017,FY_BASE
2988997,6227078,0,155677,142,MT,2023-02-01,SKU018,FY_BASE
3006385,6263302,0,156583,140,GT,2023-02-01,SKU018,FY_BASE
2883209,6006685,0,150167,148,EC,2023-02-01,SKU018,FY_BASE
3352059,6983456,0,174586,161,CV,2023-02-01,SKU018,FY_BASE
3288766,6851596,0,171290,154,FS,2023-02-01,SKU018,FY_BASE
1467515,2905970,0,72649,169,MT,2023-02-01,SKU019,FY_BASE
1200460,2377148,0,59429,135,GT,2023-02-01,SKU019,FY_BASE
1296410,2567149,0,64179,162,EC,2023-02-01,SKU019,FY_BASE
1226659,2429028,0,60726,143,CV,2023-02-01,SKU019,FY_BASE
1381566,2735775,0,68394,158,FS,2023-02-01,SKU019,FY_BASE
1839640,3471019,0,86775,169,MT,2023-02-01,SKU020,FY_BASE
1983157,3741806,0,93545,178,GT,2023-02-01,SKU020,FY_BASE
1477407,2787561,0,69689,147,EC,2023-02-01,SKU020,FY_BASE
1842991,3477341,0,86934,171,CV,2023-02-01,SKU020,FY_BASE
1939725,3659859,0,91496,176,FS,2023-02-01,SKU020,FY_BASE
1746289,4061138,0,101528,170,MT,2023-02-01,SKU021,FY_BASE
1925930,4478906,0,111973,184,GT,2023-02-01,SKU021,FY_BASE
1772092,4121145,0,103029,187,EC,2023-02-01,SKU021,FY_BASE
1525336,3547294,0,88682,150,CV,2023-02-01,SKU021,FY_BASE
1644758,3825019,0,95625,159,FS,2023-02-01,SKU021,FY_BASE
2665751,5858567,0,146464,215,MT,2023-02-01,SKU022,FY_BASE
2163986,4755830,0,118896,171,GT,2023-02-01,SKU022,FY_BASE
2065662,4539742,0,113494,181,EC,2023-02-01,SKU022,FY_BASE
1659908,3648008,0,91200,135,CV,2023-02-01,SKU022,FY_BASE
1655618,3638581,0,90965,132,FS,2023-02-01,SKU022,FY_BASE
3219068,6706392,0,167660,219,MT,2023-02-01,SKU023,FY_BASE
2688941,5601960,0,140049,180,GT,2023-02-01,SKU023,FY_BASE
2588931,5393606,0,134840,191,EC,2023-02-01,SKU023,FY_BASE
2956746,6159888,0,153997,204,CV,2023-02-01,SKU023,FY_BASE
2443473,5090568,0,127264,165,FS,2023-02-01,SKU023,FY_BASE
2966255,5873608,0,146840,173,MT,2023-02-01,SKU024,FY_BASE
3927711,7777429,0,194436,225,GT,2023-02-01,SKU024,FY_BASE
3320624,6575310,0,164383,210,EC,2023-02-01,SKU024,FY_BASE
3397711,6727952,0,168199,201,CV,2023-02-01,SKU024,FY_BASE
3415122,6762430,0,169061,197,FS,2023-02-01,SKU024,FY_BASE
4601359,8681810,0,217045,233,MT,2023-02-01,SKU025,FY_BASE
4337987,8184881,0,204622,215,GT,2023-02-01,SKU025,FY_BASE
3828497,7223580,0,180590,210,EC,2023-02-01,SKU025,FY_BASE
3568706,6733408,0,168335,183,CV,2023-02-01,SKU025,FY_BASE
4461046,8417068,0,210427,224,FS,2023-02-01,SKU025,FY_BASE
3243570,7543187,0,188580,186,MT,2023-02-01,SKU026,FY_BASE
4022441,9354515,0,233863,226,GT,2023-02-01,SKU026,FY_BASE
3469518,8068646,0,201716,215,EC,2023-02-01,SKU026,FY_BASE
3971207,9235366,0,230884,230,CV,2023-02-01,SKU026,FY_BASE
4295977,9990645,0,249766,244,FS,2023-02-01,SKU026,FY_BASE
4344425,9548186,0,238705,217,MT,2023-02-01,SKU027,FY_BASE
5228209,11490570,0,287264,256,GT,2023-02-01,SKU027,FY_BASE
4555069,10011141,0,250279,247,EC,2023-02-01,SKU027,FY_BASE
3426686,7531178,0,188279,173,CV,2023-02-01,SKU027,FY_BASE
4835270,10626966,0,265674,239,FS,2023-02-01,SKU027,FY_BASE
1776071,3700148,0,92504,215,MT,2023-02-01,SKU028,FY_BASE
1786730,3722355,0,93059,212,GT,2023-02-01,SKU028,FY_BASE
1464275,3050573,0,76264,192,EC,2023-02-01,SKU028,FY_BASE
2134687,4447264,0,111182,261,CV,2023-02-01,SKU028,FY_BASE
2442500,5088542,0,127214,293,FS,2023-02-01,SKU028,FY_BASE
2656637,5260426,0,131511,256,MT,2023-02-01,SKU029,FY_BASE
2412145,4776305,0,119408,228,GT,2023-02-01,SKU029,FY_BASE
2262509,4480009,0,112000,236,EC,2023-02-01,SKU029,FY_BASE
2995130,5930678,0,148267,292,CV,2023-02-01,SKU029,FY_BASE
2222378,4400545,0,110014,212,FS,2023-02-01,SKU029,FY_BASE
3241891,6116775,0,152919,256,MT,2023-02-01,SKU030,FY_BASE
3377607,6372844,0,159321,261,GT,2023-02-01,SKU030,FY_BASE
2711852,5116702,0,127918,232,EC,2023-02-01,SKU030,FY_BASE
2668905,5035669,0,125892,213,CV,2023-02-01,SKU030,FY_BASE
2497154,4711612,0,117790,195,FS,2023-02-01,SKU030,FY_BASE
3391682,7887632,0,197191,290,MT,2023-02-01,SKU031,FY_BASE
2948323,6856565,0,171414,247,GT,2023-02-01,SKU031,FY_BASE
2928134,6809613,0,170240,271,EC,2023-02-01,SKU031,FY_BASE
3441287,8002992,0,200075,297,CV,2023-02-01,SKU031,FY_BASE
3178849,7392672,0,184817,269,FS,2023-02-01,SKU031,FY_BASE
3241209,7123536,0,178088,233,MT,2023-02-01,SKU032,FY_BASE
3860602,8484840,0,212121,272,GT,2023-02-01,SKU032,FY_BASE
3586748,7882963,0,197074,279,EC,2023-02-01,SKU032,FY_BASE
3467318,7620480,0,190512,252,CV,2023-02-01,SKU032,FY_BASE
3998041,8786904,0,219673,285,FS,2023-02-01,SKU032,FY_BASE
5519056,11498033,0,287451,339,MT,2023-02-01,SKU033,FY_BASE
4901961,10212418,0,255310,295,GT,2023-02-01,SKU033,FY_BASE
4592196,9567076,0,239177,306,EC,2023-02-01,SKU033,FY_BASE
4294617,8947118,0,223678,267,CV,2023-02-01,SKU033,FY_BASE
4644494,9676030,0,241901,282,FS,2023-02-01,SKU033,FY_BASE
2764883,5475015,0,136875,147,MT,2023-02-01,SKU034,FY_BASE
2439693,4831076,0,120777,127,GT,2023-02-01,SKU034,FY_BASE
2553536,5056506,0,126413,147,EC,2023-02-01,SKU034,FY_BASE
2579592,5108103,0,127703,139,CV,2023-02-01,SKU034,FY_BASE
2714010,5374278,0,134357,143,FS,2023-02-01,SKU034,FY_BASE
2484564,4687856,0,117196,116,MT,2023-02-01,SKU035,FY_BASE
2698016,5090597,0,127265,123,GT,2023-02-01,SKU035,FY_BASE
2670132,5037984,0,125950,134,EC,2023-02-01,SKU035,FY_BASE
3509018,6620789,0,165520,165,CV,2023-02-01,SKU035,FY_BASE
3081166,5813521,0,145338,142,FS,2023-02-01,SKU035,FY_BASE
2598306,6042572,0,151064,138,MT,2023-02-01,SKU036,FY_BASE
3219714,7487708,0,187193,167,GT,2023-02-01,SKU036,FY_BASE
2875966,6688294,0,167207,165,EC,2023-02-01,SKU036,FY_BASE
2865499,6663951,0,166599,153,CV,2023-02-01,SKU036,FY_BASE
3286902,7643958,0,191099,172,FS,2023-02-01,SKU036,FY_BASE
1195238,2779623,0,69491,162,MT,2023-03-01,SKU001,FY_BASE
1101411,2561422,0,64036,146,GT,2023-03-01,SKU001,FY_BASE
1068034,2483800,0,62095,156,EC,2023-03-01,SKU001,FY_BASE
1205762,2804098,0,70102,165,CV,2023-03-01,SKU001,FY_BASE
1372447,3191738,0,79793,184,FS,2023-03-01,SKU001,FY_BASE
1324202,2910482,0,72762,142,MT,2023-03-01,SKU002,FY_BASE
1732478,3807838,0,95196,182,GT,2023-03-01,SKU002,FY_BASE
1358866,2986672,0,74667,158,EC,2023-03-01,SKU002,FY_BASE
1485047,3264006,0,81600,161,CV,2023-03-01,SKU002,FY_BASE
1417361,3115238,0,77881,150,FS,2023-03-01,SKU002,FY_BASE
2226105,4637719,0,115943,194,MT,2023-03-01,SKU003,FY_BASE
1719900,3583125,0,89578,147,GT,2023-03-01,SKU003,FY_BASE
1800338,3750705,0,93768,170,EC,2023-03-01,SKU003,FY_BASE
1786050,3720938,0,93023,158,CV,2023-03-01,SKU003,FY_BASE
1848168,3850350,0,96259,160,FS,2023-03-01,SKU003,FY_BASE
