channel_id,forecast_cogs,forecast_net_sales,forecast_opex,forecast_trade_spend,forecast_units,forecast_version,sku_id,snapshot_month,target_month
CV,2388053,4685990,0,112644,158,LE1,SKU005,2023-01-01,2023-01-01
FS,2553158,5009971,0,120432,165,LE1,SKU005,2023-01-01,2023-01-01
MT,2798990,6769651,0,162732,204,LE1,SKU006,2023-01-01,2023-01-01
GT,2872491,6947420,0,167005,205,LE1,SKU006,2023-01-01,2023-01-01
EC,2208052,5340404,0,128375,174,LE1,SKU006,2023-01-01,2023-01-01
CV,2683129,6489428,0,155996,197,LE1,SKU006,2023-01-01,2023-01-01
FS,2327455,5629192,0,135317,167,LE1,SKU006,2023-01-01,2023-01-01
MT,2711436,6197568,0,148980,170,LE1,SKU007,2023-01-01,2023-01-01
GT,2854727,6525090,0,156853,175,LE1,SKU007,2023-01-01,2023-01-01
EC,2598081,5938471,0,142752,176,LE1,SKU007,2023-01-01,2023-01-01
CV,3605340,8240778,0,198096,228,LE1,SKU007,2023-01-01,2023-01-01
FS,2568589,5871060,0,141131,159,LE1,SKU007,2023-01-01,2023-01-01
MT,2961264,6416072,0,154232,161,LE1,SKU008,2023-01-01,2023-01-01
GT,3918330,8489716,0,204080,209,LE1,SKU008,2023-01-01,2023-01-01
EC,3400639,7368052,0,177117,200,LE1,SKU008,2023-01-01,2023-01-01
CV,3817044,8270262,0,198804,210,LE1,SKU008,2023-01-01,2023-01-01
FS,3641910,7890806,0,189683,196,LE1,SKU008,2023-01-01,2023-01-01
MT,4192899,8634881,0,207569,200,LE1,SKU009,2023-01-01,2023-01-01
GT,4597798,9468732,0,227614,215,LE1,SKU009,2023-01-01,2023-01-01
EC,3872395,7974832,0,191703,200,LE1,SKU009,2023-01-01,2023-01-01
CV,4324613,8906134,0,214090,209,LE1,SKU009,2023-01-01,2023-01-01
FS,3833298,7894318,0,189767,181,LE1,SKU009,2023-01-01,2023-01-01
MT,1776586,3486132,0,83801,207,LE1,SKU010,2023-01-01,2023-01-01
GT,1655667,3248856,0,78098,189,LE1,SKU010,2023-01-01,2023-01-01
EC,1590299,3120587,0,75014,200,LE1,SKU010,2023-01-01,2023-01-01
CV,1920259,3768055,0,90578,226,LE1,SKU010,2023-01-01,2023-01-01
FS,1896457,3721349,0,89456,218,LE1,SKU010,2023-01-01,2023-01-01
MT,1792282,4334822,0,104202,215,LE1,SKU011,2023-01-01,2023-01-01
GT,1919955,4643612,0,111625,226,LE1,SKU011,2023-01-01,2023-01-01
EC,1785746,4319013,0,103822,232,LE1,SKU011,2023-01-01,2023-01-01
CV,1511419,3655524,0,87873,183,LE1,SKU011,2023-01-01,2023-01-01
FS,1802128,4358635,0,104775,214,LE1,SKU011,2023-01-01,2023-01-01
MT,2694055,6157840,0,148025,263,LE1,SKU012,2023-01-01,2023-01-01
GT,2340122,5348850,0,128578,224,LE1,SKU012,2023-01-01,2023-01-01
EC,2598482,5939388,0,142774,275,LE1,SKU012,2023-01-01,2023-01-01
CV,2289617,5233410,0,125803,226,LE1,SKU012,2023-01-01,2023-01-01
FS,2403936,5494710,0,132084,232,LE1,SKU012,2023-01-01,2023-01-01
MT,3266100,7076550,0,170109,265,LE1,SKU013,2023-01-01,2023-01-01
GT,2787642,6039892,0,145190,222,LE1,SKU013,2023-01-01,2023-01-01
EC,3306018,7163040,0,172188,290,LE1,SKU013,2023-01-01,2023-01-01
CV,2572592,5573950,0,133989,211,LE1,SKU013,2023-01-01,2023-01-01
FS,3049477,6607200,0,158827,245,LE1,SKU013,2023-01-01,2023-01-01
MT,3966230,8168077,0,196348,272,LE1,SKU014,2023-01-01,2023-01-01
GT,3639636,7495488,0,180180,245,LE1,SKU014,2023-01-01,2023-01-01
EC,3905355,8042711,0,193334,290,LE1,SKU014,2023-01-01,2023-01-01
CV,4199580,8648640,0,207900,292,LE1,SKU014,2023-01-01,2023-01-01
FS,3789439,7803994,0,187596,258,LE1,SKU014,2023-01-01,2023-01-01
MT,4653796,9131978,0,219519,275,LE1,SKU015,2023-01-01,2023-01-01
GT,4861325,9539204,0,229308,281,LE1,SKU015,2023-01-01,2023-01-01
EC,4049139,7945479,0,190997,259,LE1,SKU015,2023-01-01,2023-01-01
CV,4533945,8896798,0,213865,270,LE1,SKU015,2023-01-01,2023-01-01
FS,3177383,6234866,0,149877,186,LE1,SKU015,2023-01-01,2023-01-01
MT,3811653,9218882,0,221608,252,LE1,SKU016,2023-01-01,2023-01-01
GT,4398352,10637874,0,255718,285,LE1,SKU016,2023-01-01,2023-01-01
EC,3475918,8406871,0,202088,249,LE1,SKU016,2023-01-01,2023-01-01
CV,4421494,10693847,0,257064,296,LE1,SKU016,2023-01-01,2023-01-01
FS,3770651,9119713,0,219224,247,LE1,SKU016,2023-01-01,2023-01-01
MT,2345409,5360796,0,128865,135,LE1,SKU017,2023-01-01,2023-01-01
GT,2507655,5731636,0,137780,141,LE1,SKU017,2023-01-01,2023-01-01
EC,1876173,4288284,0,103084,117,LE1,SKU017,2023-01-01,2023-01-01
CV,2375673,5429970,0,130528,138,LE1,SKU017,2023-01-01,2023-01-01
FS,2164696,4947748,0,118936,123,LE1,SKU017,2023-01-01,2023-01-01
MT,3120787,6761706,0,162541,157,LE1,SKU018,2023-01-01,2023-01-01
GT,2755584,5970432,0,143520,136,LE1,SKU018,2023-01-01,2023-01-01
EC,1966931,4261683,0,102444,107,LE1,SKU018,2023-01-01,2023-01-01
CV,3463690,7504661,0,180400,176,LE1,SKU018,2023-01-01,2023-01-01
FS,2919086,6324687,0,152036,145,LE1,SKU018,2023-01-01,2023-01-01
MT,1232695,2538619,0,61024,151,LE1,SKU019,2023-01-01,2023-01-01
GT,1152158,2372760,0,57038,138,LE1,SKU019,2023-01-01,2023-01-01
EC,1050277,2162946,0,51994,139,LE1,SKU019,2023-01-01,2023-01-01
CV,1314278,2706631,0,65063,162,LE1,SKU019,2023-01-01,2023-01-01
FS,1236831,2547137,0,61229,149,LE1,SKU019,2023-01-01,2023-01-01
MT,1447336,2840055,0,68271,141,LE1,SKU020,2023-01-01,2023-01-01
GT,1677629,3291952,0,79133,160,LE1,SKU020,2023-01-01,2023-01-01
EC,1708566,3352658,0,80593,180,LE1,SKU020,2023-01-01,2023-01-01
CV,1539864,3021619,0,72635,152,LE1,SKU020,2023-01-01,2023-01-01
FS,1517472,2977681,0,71579,146,LE1,SKU020,2023-01-01,2023-01-01
MT,1611801,3898310,0,93709,166,LE1,SKU021,2023-01-01,2023-01-01
GT,2117212,5120700,0,123094,214,LE1,SKU021,2023-01-01,2023-01-01
EC,1592892,3852576,0,92610,178,LE1,SKU021,2023-01-01,2023-01-01
CV,1564448,3783780,0,90956,163,LE1,SKU021,2023-01-01,2023-01-01
FS,1566436,3788590,0,91072,160,LE1,SKU021,2023-01-01,2023-01-01
MT,2452119,5604628,0,134727,210,LE1,SKU022,2023-01-01,2023-01-01
GT,2465541,5635304,0,135464,207,LE1,SKU022,2023-01-01,2023-01-01
EC,1910109,4365794,0,104947,177,LE1,SKU022,2023-01-01,2023-01-01
CV,2169093,4957735,0,119176,188,LE1,SKU022,2023-01-01,2023-01-01
FS,1764491,4032967,0,96946,149,LE1,SKU022,2023-01-01,2023-01-01
MT,2112307,4576666,0,110016,153,LE1,SKU023,2023-01-01,2023-01-01
GT,2905344,6294912,0,151320,206,LE1,SKU023,2023-01-01,2023-01-01
EC,1991485,4314885,0,103723,156,LE1,SKU023,2023-01-01,2023-01-01
CV,2235341,4843238,0,116424,163,LE1,SKU023,2023-01-01,2023-01-01
FS,2564275,5555930,0,133556,183,LE1,SKU023,2023-01-01,2023-01-01
MT,2842126,5852928,0,140695,176,LE1,SKU024,2023-01-01,2023-01-01
GT,3478480,7163404,0,172197,211,LE1,SKU024,2023-01-01,2023-01-01
EC,2941124,6056800,0,145596,197,LE1,SKU024,2023-01-01,2023-01-01
CV,2880133,5931198,0,142577,180,LE1,SKU024,2023-01-01,2023-01-01
FS,3442804,7089933,0,170431,211,LE1,SKU024,2023-01-01,2023-01-01
MT,3888750,7630756,0,183432,209,LE1,SKU025,2023-01-01,2023-01-01
GT,4010497,7869654,0,189174,211,LE1,SKU025,2023-01-01,2023-01-01
EC,3099260,6081566,0,146192,180,LE1,SKU025,2023-01-01,2023-01-01
CV,3515967,6899256,0,165848,191,LE1,SKU025,2023-01-01,2023-01-01
FS,3730005,7319255,0,175944,198,LE1,SKU025,2023-01-01,2023-01-01
MT,2897136,7007026,0,168438,176,LE1,SKU026,2023-01-01,2023-01-01
GT,3723988,9006856,0,216511,222,LE1,SKU026,2023-01-01,2023-01-01
EC,2949695,7134145,0,171494,194,LE1,SKU026,2023-01-01,2023-01-01
CV,3194927,7727266,0,185752,196,LE1,SKU026,2023-01-01,2023-01-01
FS,3315450,8018764,0,192759,199,LE1,SKU026,2023-01-01,2023-01-01
MT,3537903,8086634,0,194390,188,LE1,SKU027,2023-01-01,2023-01-01
GT,4224197,9655308,0,232099,219,LE1,SKU027,2023-01-01,2023-01-01
EC,3009022,6877765,0,165331,173,LE1,SKU027,2023-01-01,2023-01-01
CV,4944712,11302200,0,271688,265,LE1,SKU027,2023-01-01,2023-01-01
FS,4584821,10479591,0,251913,241,LE1,SKU027,2023-01-01,2023-01-01
MT,1254182,2717395,0,65322,161,LE1,SKU028,2023-01-01,2023-01-01
GT,2013336,4362228,0,104861,253,LE1,SKU028,2023-01-01,2023-01-01
EC,1425030,3087564,0,74220,198,LE1,SKU028,2023-01-01,2023-01-01
CV,1739102,3768055,0,90578,226,LE1,SKU028,2023-01-01,2023-01-01
FS,2009362,4353617,0,104654,255,LE1,SKU028,2023-01-01,2023-01-01
MT,2395329,4932728,0,118575,245,LE1,SKU029,2023-01-01,2023-01-01
GT,2583118,5319444,0,127871,259,LE1,SKU029,2023-01-01,2023-01-01
EC,2126040,4378177,0,105245,235,LE1,SKU029,2023-01-01,2023-01-01
CV,1826424,3761176,0,90413,189,LE1,SKU029,2023-01-01,2023-01-01
FS,1770777,3646580,0,87658,179,LE1,SKU029,2023-01-01,2023-01-01
MT,2783825,5462600,0,131312,233,LE1,SKU030,2023-01-01,2023-01-01
GT,2777531,5450250,0,131016,228,LE1,SKU030,2023-01-01,2023-01-01
EC,3190414,6260436,0,150491,289,LE1,SKU030,2023-01-01,2023-01-01
CV,3293089,6461910,0,155334,279,LE1,SKU030,2023-01-01,2023-01-01
FS,2915265,5720520,0,137512,242,LE1,SKU030,2023-01-01,2023-01-01
MT,3078027,7444530,0,178955,279,LE1,SKU031,2023-01-01,2023-01-01
GT,2855721,6906860,0,166030,253,LE1,SKU031,2023-01-01,2023-01-01
EC,2669801,6457193,0,155221,262,LE1,SKU031,2023-01-01,2023-01-01
CV,2709948,6554293,0,157555,248,LE1,SKU031,2023-01-01,2023-01-01
FS,2601736,6292572,0,151264,233,LE1,SKU031,2023-01-01,2023-01-01
MT,3031246,6928563,0,166552,231,LE1,SKU032,2023-01-01,2023-01-01
GT,3449628,7884864,0,189540,258,LE1,SKU032,2023-01-01,2023-01-01
EC,3082061,7044710,0,169344,254,LE1,SKU032,2023-01-01,2023-01-01
CV,3054542,6981811,0,167832,235,LE1,SKU032,2023-01-01,2023-01-01
FS,3105138,7097459,0,170612,234,LE1,SKU032,2023-01-01,2023-01-01
MT,4702955,10189735,0,244946,306,LE1,SKU033,2023-01-01,2023-01-01
GT,2957292,6407466,0,154026,189,LE1,SKU033,2023-01-01,2023-01-01
EC,4208198,9117763,0,219177,297,LE1,SKU033,2023-01-01,2023-01-01
CV,4444373,9629474,0,231478,293,LE1,SKU033,2023-01-01,2023-01-01
FS,4587765,9940157,0,238946,296,LE1,SKU033,2023-01-01,2023-01-01
MT,1862064,3834745,0,92181,105,LE1,SKU034,2023-01-01,2023-01-01
GT,2304315,4745520,0,114075,127,LE1,SKU034,2023-01-01,2023-01-01
EC,1806583,3720488,0,89435,110,LE1,SKU034,2023-01-01,2023-01-01
CV,2531201,5212771,0,125307,144,LE1,SKU034,2023-01-01,2023-01-01
FS,2033607,4188023,0,100674,113,LE1,SKU034,2023-01-01,2023-01-01
MT,2688922,5276376,0,126836,132,LE1,SKU035,2023-01-01,2023-01-01
GT,2327959,4568070,0,109809,112,LE1,SKU035,2023-01-01,2023-01-01
EC,2284711,4483206,0,107769,122,LE1,SKU035,2023-01-01,2023-01-01
CV,3639927,7142498,0,171695,181,LE1,SKU035,2023-01-01,2023-01-01
FS,3151811,6184686,0,148670,154,LE1,SKU035,2023-01-01,2023-01-01
MT,2417907,5847962,0,140576,136,LE1,SKU036,2023-01-01,2023-01-01
GT,2796398,6763380,0,162581,154,LE1,SKU036,2023-01-01,2023-01-01
EC,2076069,5021191,0,120702,126,LE1,SKU036,2023-01-01,2023-01-01
CV,2822507,6826529,0,164099,160,LE1,SKU036,2023-01-01,2023-01-01
FS,2710453,6555515,0,157584,151,LE1,SKU036,2023-01-01,2023-01-01
MT,1020055,2467109,0,59306,146,LE1,SKU001,2023-02-01,2023-02-01
GT,1018778,2464020,0,59231,143,LE1,SKU001,2023-02-01,2023-02-01
EC,1133229,2740833,0,65885,176,LE1,SKU001,2023-02-01,2023-02-01
CV,1119088,2706631,0,65063,162,LE1,SKU001,2023-02-01,2023-02-01
FS,1083020,2619396,0,62966,154,LE1,SKU001,2023-02-01,2023-02-01
MT,1606791,3672854,0,88290,182,LE1,SKU002,2023-02-01,2023-02-01
GT,1697666,3880578,0,93283,189,LE1,SKU002,2023-02-01,2023-02-01
EC,1190626,2721570,0,65422,146,LE1,SKU002,2023-02-01,2023-02-01
CV,1552990,3549874,0,85334,178,LE1,SKU002,2023-02-01,2023-02-01
FS,1198833,2740330,0,65873,135,LE1,SKU002,2023-02-01,2023-02-01
MT,1787760,3873480,0,93112,165,LE1,SKU003,2023-02-01,2023-02-01
GT,1579500,3422250,0,82266,143,LE1,SKU003,2023-02-01,2023-02-01
EC,1534680,3325140,0,79931,154,LE1,SKU003,2023-02-01,2023-02-01
CV,2007180,4348890,0,104541,188,LE1,SKU003,2023-02-01,2023-02-01
FS,1852800,4014400,0,96500,170,LE1,SKU003,2023-02-01,2023-02-01
MT,1992932,4104400,0,98663,154,LE1,SKU004,2023-02-01,2023-02-01
GT,2427571,4999528,0,120181,183,LE1,SKU004,2023-02-01,2023-02-01
EC,2107162,4339652,0,104319,176,LE1,SKU004,2023-02-01,2023-02-01
CV,1768057,3641274,0,87531,138,LE1,SKU004,2023-02-01,2023-02-01
FS,2416561,4976852,0,119636,184,LE1,SKU004,2023-02-01,2023-02-01
MT,2510504,4926272,0,118420,164,LE1,SKU005,2023-02-01,2023-02-01
GT,2596152,5094336,0,122460,166,LE1,SKU005,2023-02-01,2023-02-01
EC,2946868,5782533,0,139003,209,LE1,SKU005,2023-02-01,2023-02-01
CV,2452162,4811789,0,115668,162,LE1,SKU005,2023-02-01,2023-02-01
FS,2733189,5363238,0,128924,177,LE1,SKU005,2023-02-01,2023-02-01
MT,2667788,6452324,0,155104,194,LE1,SKU006,2023-02-01,2023-02-01
GT,2321806,5615532,0,134989,165,LE1,SKU006,2023-02-01,2023-02-01
EC,2167661,5242714,0,126027,171,LE1,SKU006,2023-02-01,2023-02-01
CV,2221515,5372968,0,129158,163,LE1,SKU006,2023-02-01,2023-02-01
FS,2636800,6377377,0,153302,190,LE1,SKU006,2023-02-01,2023-02-01
MT,3253723,7437082,0,178776,204,LE1,SKU007,2023-02-01,2023-02-01
GT,3667892,8383752,0,201532,225,LE1,SKU007,2023-02-01,2023-02-01
EC,2206804,5044123,0,121253,149,LE1,SKU007,2023-02-01,2023-02-01
CV,3236422,7397536,0,177825,205,LE1,SKU007,2023-02-01,2023-02-01
FS,3904255,8924011,0,214520,242,LE1,SKU007,2023-02-01,2023-02-01
MT,4247076,9201998,0,221202,231,LE1,SKU008,2023-02-01,2023-02-01
GT,4415580,9567090,0,229978,235,LE1,SKU008,2023-02-01,2023-02-01
EC,3472610,7523989,0,180865,205,LE1,SKU008,2023-02-01,2023-02-01
CV,3913434,8479106,0,203825,215,LE1,SKU008,2023-02-01,2023-02-01
FS,3838770,8317334,0,199936,207,LE1,SKU008,2023-02-01,2023-02-01
MT,4592223,9457250,0,227338,219,LE1,SKU009,2023-02-01,2023-02-01
GT,4031566,8302632,0,199582,189,LE1,SKU009,2023-02-01,2023-02-01
EC,4753416,9789212,0,235318,246,LE1,SKU009,2023-02-01,2023-02-01
CV,4368518,8996551,0,216263,211,LE1,SKU009,2023-02-01,2023-02-01
FS,4348888,8956126,0,215292,206,LE1,SKU009,2023-02-01,2023-02-01
MT,1767476,3468254,0,83372,206,LE1,SKU010,2023-02-01,2023-02-01
GT,2009124,3942432,0,94770,229,LE1,SKU010,2023-02-01,2023-02-01
EC,1422013,2790366,0,67076,179,LE1,SKU010,2023-02-01,2023-02-01
CV,2181703,4281077,0,102910,257,LE1,SKU010,2023-02-01,2023-02-01
FS,2375174,4660718,0,112036,273,LE1,SKU010,2023-02-01,2023-02-01
MT,1968862,4761898,0,114469,236,LE1,SKU011,2023-02-01,2023-02-01
GT,2118261,5123236,0,123155,249,LE1,SKU011,2023-02-01,2023-02-01
EC,1899903,4595114,0,110459,247,LE1,SKU011,2023-02-01,2023-02-01
CV,2096766,5071248,0,121905,254,LE1,SKU011,2023-02-01,2023-02-01
FS,1784285,4315480,0,103738,212,LE1,SKU011,2023-02-01,2023-02-01
MT,2889591,6604780,0,158769,282,LE1,SKU012,2023-02-01,2023-02-01
GT,2850291,6514950,0,156609,272,LE1,SKU012,2023-02-01,2023-02-01
EC,2508188,5733000,0,137812,265,LE1,SKU012,2023-02-01,2023-02-01
CV,2203622,5036850,0,121078,217,LE1,SKU012,2023-02-01,2023-02-01
FS,2392959,5469620,0,131481,231,LE1,SKU012,2023-02-01,2023-02-01
MT,2887233,6255671,0,150377,234,LE1,SKU013,2023-02-01,2023-02-01
GT,3601260,7802730,0,187566,286,LE1,SKU013,2023-02-01,2023-02-01
EC,2992308,6483335,0,155849,263,LE1,SKU013,2023-02-01,2023-02-01
CV,3193117,6918420,0,166308,262,LE1,SKU013,2023-02-01,2023-02-01
FS,3933958,8523575,0,204894,316,LE1,SKU013,2023-02-01,2023-02-01
MT,3950797,8136294,0,195584,271,LE1,SKU014,2023-02-01,2023-02-01
GT,4065048,8371584,0,201240,273,LE1,SKU014,2023-02-01,2023-02-01
EC,3021661,6222828,0,149587,225,LE1,SKU014,2023-02-01,2023-02-01
CV,3863614,7956749,0,191268,268,LE1,SKU014,2023-02-01,2023-02-01
FS,3368390,6936883,0,166752,229,LE1,SKU014,2023-02-01,2023-02-01
MT,3809285,7474823,0,179683,225,LE1,SKU015,2023-02-01,2023-02-01
GT,5613455,11015082,0,264786,324,LE1,SKU015,2023-02-01,2023-02-01
EC,4530389,8889819,0,213698,289,LE1,SKU015,2023-02-01,2023-02-01
CV,4000539,7850114,0,188705,238,LE1,SKU015,2023-02-01,2023-02-01
FS,3903642,7659978,0,184134,228,LE1,SKU015,2023-02-01,2023-02-01
MT,5028820,12162727,0,292373,333,LE1,SKU016,2023-02-01,2023-02-01
GT,4022284,9728316,0,233854,261,LE1,SKU016,2023-02-01,2023-02-01
EC,4466924,10803724,0,259705,320,LE1,SKU016,2023-02-01,2023-02-01
CV,4405647,10655518,0,256142,295,LE1,SKU016,2023-02-01,2023-02-01
FS,3722102,9002292,0,216401,244,LE1,SKU016,2023-02-01,2023-02-01
MT,2511619,5740696,0,137998,144,LE1,SKU017,2023-02-01,2023-02-01
GT,2847037,6507344,0,156427,160,LE1,SKU017,2023-02-01,2023-02-01
EC,2490193,5691722,0,136820,155,LE1,SKU017,2023-02-01,2023-02-01
CV,2357399,5388202,0,129524,137,LE1,SKU017,2023-02-01,2023-02-01
FS,2519258,5758154,0,138417,143,LE1,SKU017,2023-02-01,2023-02-01
MT,2846664,6167772,0,148264,143,LE1,SKU018,2023-02-01,2023-02-01
GT,2863224,6203652,0,149126,141,LE1,SKU018,2023-02-01,2023-02-01
EC,2745913,5949478,0,143016,149,LE1,SKU018,2023-02-01,2023-02-01
CV,3192437,6916946,0,166273,162,LE1,SKU018,2023-02-01,2023-02-01
FS,3132158,6786343,0,163133,156,LE1,SKU018,2023-02-01,2023-02-01
MT,1397633,2878294,0,69190,171,LE1,SKU019,2023-02-01,2023-02-01
GT,1143295,2354508,0,56599,137,LE1,SKU019,2023-02-01,2023-02-01
EC,1234677,2542700,0,61123,163,LE1,SKU019,2023-02-01,2023-02-01
CV,1168247,2405894,0,57834,144,LE1,SKU019,2023-02-01,2023-02-01
FS,1315778,2709720,0,65138,159,LE1,SKU019,2023-02-01,2023-02-01
MT,1752038,3437961,0,82643,171,LE1,SKU020,2023-02-01,2023-02-01
GT,1888721,3706170,0,89091,180,LE1,SKU020,2023-02-01,2023-02-01
EC,1407055,2761013,0,66370,148,LE1,SKU020,2023-02-01,2023-02-01
CV,1755229,3444223,0,82794,173,LE1,SKU020,2023-02-01,2023-02-01
FS,1847357,3625003,0,87140,178,LE1,SKU020,2023-02-01,2023-02-01
MT,1663132,4022460,0,96694,172,LE1,SKU021,2023-02-01,2023-02-01
GT,1834219,4436250,0,106641,186,LE1,SKU021,2023-02-01,2023-02-01
EC,1687707,4081896,0,98122,189,LE1,SKU021,2023-02-01,2023-02-01
CV,1452701,3513510,0,84459,152,LE1,SKU021,2023-02-01,2023-02-01
FS,1566436,3788590,0,91072,160,LE1,SKU021,2023-02-01,2023-02-01
MT,2538810,5802772,0,139490,217,LE1,SKU022,2023-02-01,2023-02-01
GT,2060939,4710536,0,113234,173,LE1,SKU022,2023-02-01,2023-02-01
EC,1967297,4496507,0,108089,182,LE1,SKU022,2023-02-01,2023-02-01
CV,1580864,3613265,0,86857,137,LE1,SKU022,2023-02-01,2023-02-01
FS,1576779,3603928,0,86633,134,LE1,SKU022,2023-02-01,2023-02-01
MT,3065779,6642522,0,159676,222,LE1,SKU023,2023-02-01,2023-02-01
GT,2560896,5548608,0,133380,181,LE1,SKU023,2023-02-01,2023-02-01
EC,2465649,5342239,0,128419,193,LE1,SKU023,2023-02-01,2023-02-01
CV,2815949,6101222,0,146664,206,LE1,SKU023,2023-02-01,2023-02-01
FS,2327117,5042086,0,121204,166,LE1,SKU023,2023-02-01,2023-02-01
MT,2825004,5817668,0,139848,175,LE1,SKU024,2023-02-01,2023-02-01
GT,3740677,7703358,0,185177,227,LE1,SKU024,2023-02-01,2023-02-01
EC,3162499,6512688,0,156555,212,LE1,SKU024,2023-02-01,2023-02-01
CV,3235915,6663876,0,160189,202,LE1,SKU024,2023-02-01,2023-02-01
FS,3252498,6698026,0,161010,199,LE1,SKU024,2023-02-01,2023-02-01
MT,4382247,8599126,0,206710,235,LE1,SKU025,2023-02-01,2023-02-01
GT,4131416,8106930,0,194878,217,LE1,SKU025,2023-02-01,2023-02-01
EC,3646188,7154784,0,171990,212,LE1,SKU025,2023-02-01,2023-02-01
CV,3398768,6669281,0,160319,184,LE1,SKU025,2023-02-01,2023-02-01
FS,4248615,8336905,0,200406,226,LE1,SKU025,2023-02-01,2023-02-01
MT,3089115,7471348,0,179600,188,LE1,SKU026,2023-02-01,2023-02-01
GT,3830897,9265424,0,222727,228,LE1,SKU026,2023-02-01,2023-02-01
EC,3304303,7991802,0,192111,217,LE1,SKU026,2023-02-01,2023-02-01
CV,3782102,9147410,0,219890,232,LE1,SKU026,2023-02-01,2023-02-01
FS,4091407,9895496,0,237872,246,LE1,SKU026,2023-02-01,2023-02-01
MT,4137547,9457250,0,227338,219,LE1,SKU027,2023-02-01,2023-02-01
GT,4979247,11381136,0,273585,259,LE1,SKU027,2023-02-01,2023-02-01
EC,4338161,9915797,0,238360,249,LE1,SKU027,2023-02-01,2023-02-01
CV,3263510,7459452,0,179314,175,LE1,SKU027,2023-02-01,2023-02-01
FS,4605019,10525757,0,253023,242,LE1,SKU027,2023-02-01,2023-02-01
MT,1691496,3664908,0,88099,217,LE1,SKU028,2023-02-01,2023-02-01
GT,1701648,3686904,0,88628,214,LE1,SKU028,2023-02-01,2023-02-01
EC,1394548,3021520,0,72633,194,LE1,SKU028,2023-02-01,2023-02-01
CV,2033035,4404910,0,105887,264,LE1,SKU028,2023-02-01,2023-02-01
FS,2326190,5040079,0,121156,296,LE1,SKU028,2023-02-01,2023-02-01
MT,2530131,5210327,0,125248,259,LE1,SKU029,2023-02-01,2023-02-01
GT,2297281,4730816,0,113722,230,LE1,SKU029,2023-02-01,2023-02-01
EC,2154770,4437342,0,106667,238,LE1,SKU029,2023-02-01,2023-02-01
CV,2852505,5874196,0,141207,295,LE1,SKU029,2023-02-01,2023-02-01
FS,2116550,4358635,0,104775,214,LE1,SKU029,2023-02-01,2023-02-01
MT,3087515,6058520,0,145638,259,LE1,SKU030,2023-02-01,2023-02-01
GT,3216769,6312150,0,151734,264,LE1,SKU030,2023-02-01,2023-02-01
EC,2582716,5067972,0,121826,234,LE1,SKU030,2023-02-01,2023-02-01
CV,2541814,4987710,0,119897,215,LE1,SKU030,2023-02-01,2023-02-01
FS,2378242,4666740,0,112181,197,LE1,SKU030,2023-02-01,2023-02-01
MT,3230173,7812511,0,187801,293,LE1,SKU031,2023-02-01,2023-02-01
GT,2807927,6791264,0,163252,249,LE1,SKU031,2023-02-01,2023-02-01
EC,2788699,6744760,0,162134,273,LE1,SKU031,2023-02-01,2023-02-01
CV,3277416,7926773,0,190547,300,LE1,SKU031,2023-02-01,2023-02-01
FS,3027475,7322266,0,176016,271,LE1,SKU031,2023-02-01,2023-02-01
MT,3086866,7055693,0,169608,235,LE1,SKU032,2023-02-01,2023-02-01
GT,3676764,8404032,0,202020,275,LE1,SKU032,2023-02-01,2023-02-01
EC,3415951,7807887,0,187690,282,LE1,SKU032,2023-02-01,2023-02-01
