channel_id,commission,cost_version,freight,listing_fee,month,payment_fee,rebate,sku_id,trade_spend,writeoff
CV,299726,v1.0.0,102763,0,2023-01-01,85636,0,SKU009,171272,0
FS,151814,v1.0.0,91088,0,2023-01-01,0,0,SKU009,151814,0
MT,134082,v1.0.0,40225,0,2023-01-01,60337,0,SKU010,150842,0
GT,78098,v1.0.0,37487,0,2023-01-01,0,0,SKU010,62478,0
EC,255048,v1.0.0,36007,0,2023-01-01,75014,0,SKU010,60011,0
CV,126810,v1.0.0,43478,0,2023-01-01,36231,0,SKU010,72463,0
FS,71564,v1.0.0,42939,0,2023-01-01,0,0,SKU010,71564,0
MT,166724,v1.0.0,50017,0,2023-01-01,75026,0,SKU011,187564,0
GT,111625,v1.0.0,53580,0,2023-01-01,0,0,SKU011,89300,0
EC,352996,v1.0.0,49835,0,2023-01-01,103822,0,SKU011,83058,0
CV,123022,v1.0.0,42179,0,2023-01-01,35149,0,SKU011,70299,0
FS,83820,v1.0.0,50292,0,2023-01-01,0,0,SKU011,83820,0
MT,236840,v1.0.0,71052,0,2023-01-01,106578,0,SKU012,266445,0
GT,128578,v1.0.0,61718,0,2023-01-01,0,0,SKU012,102862,0
EC,485431,v1.0.0,68531,0,2023-01-01,142774,0,SKU012,114219,0
CV,176124,v1.0.0,60386,0,2023-01-01,50321,0,SKU012,100642,0
FS,105668,v1.0.0,63400,0,2023-01-01,0,0,SKU012,105668,0
MT,272175,v1.0.0,81652,0,2023-01-01,122479,0,SKU013,306197,0
GT,145190,v1.0.0,69691,0,2023-01-01,0,0,SKU013,116152,0
EC,585441,v1.0.0,82650,0,2023-01-01,172188,0,SKU013,137751,0
CV,187585,v1.0.0,64315,0,2023-01-01,53596,0,SKU013,107191,0
FS,127062,v1.0.0,76237,0,2023-01-01,0,0,SKU013,127062,0
MT,314157,v1.0.0,94247,0,2023-01-01,141371,0,SKU014,353426,0
GT,180180,v1.0.0,86486,0,2023-01-01,0,0,SKU014,144144,0
EC,657337,v1.0.0,92801,0,2023-01-01,193334,0,SKU014,154668,0
CV,291060,v1.0.0,99792,0,2023-01-01,83160,0,SKU014,166320,0
FS,150077,v1.0.0,90046,0,2023-01-01,0,0,SKU014,150077,0
MT,351230,v1.0.0,105369,0,2023-01-01,158053,0,SKU015,395134,0
GT,229308,v1.0.0,110068,0,2023-01-01,0,0,SKU015,183446,0
EC,649390,v1.0.0,91679,0,2023-01-01,190997,0,SKU015,152798,0
CV,299411,v1.0.0,102655,0,2023-01-01,85546,0,SKU015,171092,0
FS,119901,v1.0.0,71941,0,2023-01-01,0,0,SKU015,119901,0
MT,354572,v1.0.0,106372,0,2023-01-01,159558,0,SKU016,398894,0
GT,255718,v1.0.0,122745,0,2023-01-01,0,0,SKU016,204574,0
EC,687100,v1.0.0,97002,0,2023-01-01,202088,0,SKU016,161671,0
CV,359889,v1.0.0,123391,0,2023-01-01,102825,0,SKU016,205651,0
FS,175379,v1.0.0,105227,0,2023-01-01,0,0,SKU016,175379,0
MT,206184,v1.0.0,61855,0,2023-01-01,92783,0,SKU017,231958,0
GT,137780,v1.0.0,66134,0,2023-01-01,0,0,SKU017,110224,0
EC,350485,v1.0.0,49480,0,2023-01-01,103084,0,SKU017,82467,0
CV,182739,v1.0.0,62654,0,2023-01-01,52211,0,SKU017,104422,0
FS,95149,v1.0.0,57089,0,2023-01-01,0,0,SKU017,95149,0
MT,260066,v1.0.0,78020,0,2023-01-01,117030,0,SKU018,292574,0
GT,143520,v1.0.0,68890,0,2023-01-01,0,0,SKU018,114816,0
EC,348311,v1.0.0,49173,0,2023-01-01,102444,0,SKU018,81955,0
CV,252561,v1.0.0,86592,0,2023-01-01,72160,0,SKU018,144320,0
FS,121629,v1.0.0,72977,0,2023-01-01,0,0,SKU018,121629,0
MT,97639,v1.0.0,29292,0,2023-01-01,43938,0,SKU019,109844,0
GT,57038,v1.0.0,27378,0,2023-01-01,0,0,SKU019,45630,0
EC,176779,v1.0.0,24957,0,2023-01-01,51994,0,SKU019,41595,0
CV,91089,v1.0.0,31230,0,2023-01-01,26025,0,SKU019,52051,0
FS,48983,v1.0.0,29390,0,2023-01-01,0,0,SKU019,48983,0
MT,109233,v1.0.0,32770,0,2023-01-01,49155,0,SKU020,122887,0
GT,79133,v1.0.0,37984,0,2023-01-01,0,0,SKU020,63307,0
EC,274015,v1.0.0,38685,0,2023-01-01,80593,0,SKU020,64474,0
CV,101689,v1.0.0,34865,0,2023-01-01,29054,0,SKU020,58108,0
FS,57263,v1.0.0,34358,0,2023-01-01,0,0,SKU020,57263,0
MT,149935,v1.0.0,44980,0,2023-01-01,67471,0,SKU021,168677,0
GT,123094,v1.0.0,59085,0,2023-01-01,0,0,SKU021,98475,0
EC,314874,v1.0.0,44453,0,2023-01-01,92610,0,SKU021,74088,0
CV,127339,v1.0.0,43659,0,2023-01-01,36382,0,SKU021,72765,0
FS,72858,v1.0.0,43714,0,2023-01-01,0,0,SKU021,72858,0
MT,215563,v1.0.0,64669,0,2023-01-01,97003,0,SKU022,242508,0
GT,135464,v1.0.0,65023,0,2023-01-01,0,0,SKU022,108371,0
EC,356820,v1.0.0,50375,0,2023-01-01,104947,0,SKU022,83958,0
CV,166847,v1.0.0,57205,0,2023-01-01,47671,0,SKU022,95341,0
FS,77557,v1.0.0,46534,0,2023-01-01,0,0,SKU022,77557,0
MT,176026,v1.0.0,52808,0,2023-01-01,79212,0,SKU023,198029,0
GT,151320,v1.0.0,72634,0,2023-01-01,0,0,SKU023,121056,0
EC,352659,v1.0.0,49787,0,2023-01-01,103723,0,SKU023,82979,0
CV,162994,v1.0.0,55884,0,2023-01-01,46570,0,SKU023,93139,0
FS,106845,v1.0.0,64107,0,2023-01-01,0,0,SKU023,106845,0
MT,225113,v1.0.0,67534,0,2023-01-01,101301,0,SKU024,253252,0
GT,172197,v1.0.0,82655,0,2023-01-01,0,0,SKU024,137758,0
EC,495027,v1.0.0,69886,0,2023-01-01,145596,0,SKU024,116477,0
CV,199608,v1.0.0,68437,0,2023-01-01,57031,0,SKU024,114062,0
FS,136345,v1.0.0,81807,0,2023-01-01,0,0,SKU024,136345,0
MT,293491,v1.0.0,88047,0,2023-01-01,132071,0,SKU025,330177,0
GT,189174,v1.0.0,90804,0,2023-01-01,0,0,SKU025,151340,0
EC,497051,v1.0.0,70172,0,2023-01-01,146192,0,SKU025,116953,0
CV,232187,v1.0.0,79607,0,2023-01-01,66339,0,SKU025,132678,0
FS,140755,v1.0.0,84453,0,2023-01-01,0,0,SKU025,140755,0
MT,269501,v1.0.0,80850,0,2023-01-01,121275,0,SKU026,303189,0
GT,216511,v1.0.0,103925,0,2023-01-01,0,0,SKU026,173209,0
EC,583079,v1.0.0,82317,0,2023-01-01,171494,0,SKU026,137195,0
CV,260052,v1.0.0,89161,0,2023-01-01,74301,0,SKU026,148601,0
FS,154207,v1.0.0,92524,0,2023-01-01,0,0,SKU026,154207,0
MT,311024,v1.0.0,93307,0,2023-01-01,139961,0,SKU027,349902,0
GT,232099,v1.0.0,111407,0,2023-01-01,0,0,SKU027,185679,0
EC,562125,v1.0.0,79359,0,2023-01-01,165331,0,SKU027,132265,0
CV,380363,v1.0.0,130410,0,2023-01-01,108675,0,SKU027,217350,0
FS,201531,v1.0.0,120918,0,2023-01-01,0,0,SKU027,201531,0
MT,104515,v1.0.0,31355,0,2023-01-01,47032,0,SKU028,117580,0
GT,104861,v1.0.0,50333,0,2023-01-01,0,0,SKU028,83889,0
EC,252349,v1.0.0,35626,0,2023-01-01,74220,0,SKU028,59376,0
CV,126810,v1.0.0,43478,0,2023-01-01,36231,0,SKU028,72463,0
FS,83723,v1.0.0,50234,0,2023-01-01,0,0,SKU028,83723,0
MT,189720,v1.0.0,56916,0,2023-01-01,85374,0,SKU029,213435,0
GT,127871,v1.0.0,61378,0,2023-01-01,0,0,SKU029,102297,0
EC,357832,v1.0.0,50517,0,2023-01-01,105245,0,SKU029,84196,0
CV,126578,v1.0.0,43398,0,2023-01-01,36165,0,SKU029,72330,0
FS,70127,v1.0.0,42076,0,2023-01-01,0,0,SKU029,70127,0
MT,210100,v1.0.0,63030,0,2023-01-01,94545,0,SKU030,236362,0
GT,131016,v1.0.0,62888,0,2023-01-01,0,0,SKU030,104812,0
EC,511670,v1.0.0,72236,0,2023-01-01,150491,0,SKU030,120393,0
CV,217468,v1.0.0,74560,0,2023-01-01,62134,0,SKU030,124268,0
FS,110010,v1.0.0,66006,0,2023-01-01,0,0,SKU030,110010,0
MT,286328,v1.0.0,85898,0,2023-01-01,128848,0,SKU031,322119,0
GT,166030,v1.0.0,79695,0,2023-01-01,0,0,SKU031,132824,0
EC,527751,v1.0.0,74506,0,2023-01-01,155221,0,SKU031,124177,0
CV,220577,v1.0.0,75626,0,2023-01-01,63022,0,SKU031,126044,0
FS,121011,v1.0.0,72607,0,2023-01-01,0,0,SKU031,121011,0
MT,266483,v1.0.0,79945,0,2023-01-01,119917,0,SKU032,299794,0
GT,189540,v1.0.0,90979,0,2023-01-01,0,0,SKU032,151632,0
EC,575770,v1.0.0,81285,0,2023-01-01,169344,0,SKU032,135475,0
CV,234965,v1.0.0,80559,0,2023-01-01,67133,0,SKU032,134266,0
FS,136490,v1.0.0,81894,0,2023-01-01,0,0,SKU032,136490,0
MT,391913,v1.0.0,117574,0,2023-01-01,176361,0,SKU033,440902,0
GT,154026,v1.0.0,73932,0,2023-01-01,0,0,SKU033,123220,0
EC,745202,v1.0.0,105205,0,2023-01-01,219177,0,SKU033,175342,0
CV,324069,v1.0.0,111109,0,2023-01-01,92591,0,SKU033,185182,0
FS,191157,v1.0.0,114694,0,2023-01-01,0,0,SKU033,191157,0
MT,147490,v1.0.0,44247,0,2023-01-01,66371,0,SKU034,165926,0
GT,114075,v1.0.0,54756,0,2023-01-01,0,0,SKU034,91260,0
EC,304078,v1.0.0,42929,0,2023-01-01,89435,0,SKU034,71548,0
CV,175430,v1.0.0,60147,0,2023-01-01,50123,0,SKU034,100246,0
FS,80539,v1.0.0,48323,0,2023-01-01,0,0,SKU034,80539,0
MT,202938,v1.0.0,60881,0,2023-01-01,91322,0,SKU035,228305,0
GT,109809,v1.0.0,52708,0,2023-01-01,0,0,SKU035,87848,0
EC,366416,v1.0.0,51729,0,2023-01-01,107769,0,SKU035,86216,0
CV,240373,v1.0.0,82413,0,2023-01-01,68678,0,SKU035,137356,0
FS,118936,v1.0.0,71362,0,2023-01-01,0,0,SKU035,118936,0
MT,224922,v1.0.0,67476,0,2023-01-01,101215,0,SKU036,253037,0
GT,162581,v1.0.0,78039,0,2023-01-01,0,0,SKU036,130065,0
EC,410386,v1.0.0,57937,0,2023-01-01,120702,0,SKU036,96561,0
CV,229739,v1.0.0,78768,0,2023-01-01,65640,0,SKU036,131279,0
FS,126068,v1.0.0,75641,0,2023-01-01,0,0,SKU036,126068,0
MT,94889,v1.0.0,28467,0,2023-02-01,42700,0,SKU001,106750,0
GT,59231,v1.0.0,28431,0,2023-02-01,0,0,SKU001,47385,0
EC,224010,v1.0.0,31625,0,2023-02-01,65885,0,SKU001,52708,0
CV,91089,v1.0.0,31230,0,2023-02-01,26025,0,SKU001,52051,0
FS,50373,v1.0.0,30224,0,2023-02-01,0,0,SKU001,50373,0
MT,141264,v1.0.0,42379,0,2023-02-01,63569,0,SKU002,158922,0
GT,93283,v1.0.0,44776,0,2023-02-01,0,0,SKU002,74626,0
EC,222436,v1.0.0,31403,0,2023-02-01,65422,0,SKU002,52338,0
CV,119467,v1.0.0,40960,0,2023-02-01,34133,0,SKU002,68267,0
FS,52699,v1.0.0,31619,0,2023-02-01,0,0,SKU002,52699,0
MT,148980,v1.0.0,44694,0,2023-02-01,67041,0,SKU003,167602,0
GT,82266,v1.0.0,39488,0,2023-02-01,0,0,SKU003,65812,0
EC,271766,v1.0.0,38367,0,2023-02-01,79931,0,SKU003,63945,0
CV,146357,v1.0.0,50180,0,2023-02-01,41816,0,SKU003,83632,0
FS,77200,v1.0.0,46320,0,2023-02-01,0,0,SKU003,77200,0
MT,157862,v1.0.0,47358,0,2023-02-01,71038,0,SKU004,177594,0
GT,120181,v1.0.0,57687,0,2023-02-01,0,0,SKU004,96145,0
EC,354683,v1.0.0,50073,0,2023-02-01,104319,0,SKU004,83455,0
CV,122543,v1.0.0,42015,0,2023-02-01,35012,0,SKU004,70024,0
FS,95709,v1.0.0,57425,0,2023-02-01,0,0,SKU004,95709,0
MT,189472,v1.0.0,56842,0,2023-02-01,85262,0,SKU005,213156,0
GT,122460,v1.0.0,58781,0,2023-02-01,0,0,SKU005,97968,0
EC,472611,v1.0.0,66722,0,2023-02-01,139003,0,SKU005,111203,0
CV,161935,v1.0.0,55521,0,2023-02-01,46267,0,SKU005,92534,0
FS,103139,v1.0.0,61884,0,2023-02-01,0,0,SKU005,103139,0
MT,248166,v1.0.0,74450,0,2023-02-01,111675,0,SKU006,279187,0
GT,134989,v1.0.0,64795,0,2023-02-01,0,0,SKU006,107991,0
EC,428491,v1.0.0,60493,0,2023-02-01,126027,0,SKU006,100821,0
CV,180821,v1.0.0,61996,0,2023-02-01,51663,0,SKU006,103326,0
FS,122642,v1.0.0,73585,0,2023-02-01,0,0,SKU006,122642,0
MT,286042,v1.0.0,85812,0,2023-02-01,128719,0,SKU007,321797,0
GT,201532,v1.0.0,96736,0,2023-02-01,0,0,SKU007,161226,0
EC,412260,v1.0.0,58201,0,2023-02-01,121253,0,SKU007,97002,0
CV,248956,v1.0.0,85356,0,2023-02-01,71130,0,SKU007,142260,0
FS,171616,v1.0.0,102969,0,2023-02-01,0,0,SKU007,171616,0
MT,353923,v1.0.0,106177,0,2023-02-01,159265,0,SKU008,398163,0
GT,229978,v1.0.0,110390,0,2023-02-01,0,0,SKU008,183982,0
EC,614941,v1.0.0,86815,0,2023-02-01,180865,0,SKU008,144692,0
CV,285355,v1.0.0,97836,0,2023-02-01,81530,0,SKU008,163060,0
FS,159949,v1.0.0,95969,0,2023-02-01,0,0,SKU008,159949,0
MT,363740,v1.0.0,109122,0,2023-02-01,163683,0,SKU009,409208,0
GT,199582,v1.0.0,95800,0,2023-02-01,0,0,SKU009,159666,0
EC,800080,v1.0.0,112952,0,2023-02-01,235318,0,SKU009,188254,0
CV,302769,v1.0.0,103806,0,2023-02-01,86505,0,SKU009,173011,0
FS,172233,v1.0.0,103340,0,2023-02-01,0,0,SKU009,172233,0
MT,133394,v1.0.0,40018,0,2023-02-01,60027,0,SKU010,150069,0
GT,94770,v1.0.0,45490,0,2023-02-01,0,0,SKU010,75816,0
EC,228059,v1.0.0,32197,0,2023-02-01,67076,0,SKU010,53661,0
CV,144075,v1.0.0,49397,0,2023-02-01,41164,0,SKU010,82328,0
FS,89629,v1.0.0,53778,0,2023-02-01,0,0,SKU010,89629,0
MT,183150,v1.0.0,54945,0,2023-02-01,82417,0,SKU011,206044,0
GT,123155,v1.0.0,59114,0,2023-02-01,0,0,SKU011,98524,0
EC,375562,v1.0.0,53021,0,2023-02-01,110459,0,SKU011,88368,0
CV,170667,v1.0.0,58514,0,2023-02-01,48762,0,SKU011,97524,0
FS,82990,v1.0.0,49794,0,2023-02-01,0,0,SKU011,82990,0
MT,254030,v1.0.0,76209,0,2023-02-01,114313,0,SKU012,285784,0
GT,156609,v1.0.0,75172,0,2023-02-01,0,0,SKU012,125288,0
EC,468563,v1.0.0,66150,0,2023-02-01,137812,0,SKU012,110250,0
CV,169509,v1.0.0,58118,0,2023-02-01,48431,0,SKU012,96862,0
FS,105185,v1.0.0,63111,0,2023-02-01,0,0,SKU012,105185,0
MT,240603,v1.0.0,72181,0,2023-02-01,108271,0,SKU013,270678,0
GT,187566,v1.0.0,90032,0,2023-02-01,0,0,SKU013,150052,0
EC,529888,v1.0.0,74808,0,2023-02-01,155849,0,SKU013,124680,0
CV,232831,v1.0.0,79828,0,2023-02-01,66523,0,SKU013,133047,0
FS,163915,v1.0.0,98349,0,2023-02-01,0,0,SKU013,163915,0
MT,312934,v1.0.0,93880,0,2023-02-01,140820,0,SKU014,352051,0
GT,201240,v1.0.0,96595,0,2023-02-01,0,0,SKU014,160992,0
EC,508596,v1.0.0,71802,0,2023-02-01,149587,0,SKU014,119670,0
CV,267775,v1.0.0,91809,0,2023-02-01,76507,0,SKU014,153014,0
FS,133402,v1.0.0,80041,0,2023-02-01,0,0,SKU014,133402,0
MT,287493,v1.0.0,86248,0,2023-02-01,129372,0,SKU015,323430,0
GT,264786,v1.0.0,127097,0,2023-02-01,0,0,SKU015,211828,0
EC,726572,v1.0.0,102575,0,2023-02-01,213698,0,SKU015,170958,0
CV,264187,v1.0.0,90578,0,2023-02-01,75482,0,SKU015,150964,0
FS,147307,v1.0.0,88384,0,2023-02-01,0,0,SKU015,147307,0
MT,467797,v1.0.0,140339,0,2023-02-01,210509,0,SKU016,526272,0
GT,233854,v1.0.0,112250,0,2023-02-01,0,0,SKU016,187083,0
EC,882997,v1.0.0,124658,0,2023-02-01,259705,0,SKU016,207764,0
CV,358599,v1.0.0,122948,0,2023-02-01,102457,0,SKU016,204914,0
FS,173121,v1.0.0,103873,0,2023-02-01,0,0,SKU016,173121,0
MT,220796,v1.0.0,66239,0,2023-02-01,99358,0,SKU017,248396,0
GT,156427,v1.0.0,75085,0,2023-02-01,0,0,SKU017,125141,0
EC,465189,v1.0.0,65674,0,2023-02-01,136820,0,SKU017,109456,0
CV,181334,v1.0.0,62172,0,2023-02-01,51810,0,SKU017,103619,0
FS,110734,v1.0.0,66440,0,2023-02-01,0,0,SKU017,110734,0
MT,237222,v1.0.0,71167,0,2023-02-01,106750,0,SKU018,266875,0
GT,149126,v1.0.0,71581,0,2023-02-01,0,0,SKU018,119301,0
EC,486255,v1.0.0,68648,0,2023-02-01,143016,0,SKU018,114413,0
CV,232782,v1.0.0,79811,0,2023-02-01,66509,0,SKU018,133018,0
FS,130507,v1.0.0,78304,0,2023-02-01,0,0,SKU018,130507,0
MT,110704,v1.0.0,33211,0,2023-02-01,49817,0,SKU019,124542,0
GT,56599,v1.0.0,27167,0,2023-02-01,0,0,SKU019,45279,0
EC,207817,v1.0.0,29339,0,2023-02-01,61123,0,SKU019,48898,0
CV,80968,v1.0.0,27760,0,2023-02-01,23134,0,SKU019,46267,0
FS,52110,v1.0.0,31266,0,2023-02-01,0,0,SKU019,52110,0
MT,132229,v1.0.0,39669,0,2023-02-01,59503,0,SKU020,148758,0
GT,89091,v1.0.0,42764,0,2023-02-01,0,0,SKU020,71272,0
EC,225660,v1.0.0,31858,0,2023-02-01,66370,0,SKU020,53096,0
CV,115911,v1.0.0,39741,0,2023-02-01,33118,0,SKU020,66235,0
FS,69712,v1.0.0,41827,0,2023-02-01,0,0,SKU020,69712,0
MT,154710,v1.0.0,46413,0,2023-02-01,69620,0,SKU021,174049,0
GT,106641,v1.0.0,51188,0,2023-02-01,0,0,SKU021,85312,0
EC,333616,v1.0.0,47099,0,2023-02-01,98122,0,SKU021,78498,0
CV,118243,v1.0.0,40540,0,2023-02-01,33784,0,SKU021,67568,0
FS,72858,v1.0.0,43714,0,2023-02-01,0,0,SKU021,72858,0
MT,223184,v1.0.0,66955,0,2023-02-01,100433,0,SKU022,251081,0
GT,113234,v1.0.0,54352,0,2023-02-01,0,0,SKU022,90587,0
EC,367503,v1.0.0,51883,0,2023-02-01,108089,0,SKU022,86471,0
CV,121600,v1.0.0,41692,0,2023-02-01,34743,0,SKU022,69486,0
FS,69306,v1.0.0,41584,0,2023-02-01,0,0,SKU022,69306,0
MT,255482,v1.0.0,76644,0,2023-02-01,114967,0,SKU023,287417,0
GT,133380,v1.0.0,64022,0,2023-02-01,0,0,SKU023,106704,0
EC,436625,v1.0.0,61641,0,2023-02-01,128419,0,SKU023,102735,0
CV,205330,v1.0.0,70399,0,2023-02-01,58666,0,SKU023,117331,0
FS,96963,v1.0.0,58178,0,2023-02-01,0,0,SKU023,96963,0
MT,223756,v1.0.0,67127,0,2023-02-01,100690,0,SKU024,251726,0
GT,185177,v1.0.0,88885,0,2023-02-01,0,0,SKU024,148142,0
EC,532287,v1.0.0,75146,0,2023-02-01,156555,0,SKU024,125244,0
CV,224265,v1.0.0,76891,0,2023-02-01,64076,0,SKU024,128151,0
FS,128808,v1.0.0,77285,0,2023-02-01,0,0,SKU024,128808,0
MT,330736,v1.0.0,99221,0,2023-02-01,148831,0,SKU025,372078,0
GT,194878,v1.0.0,93542,0,2023-02-01,0,0,SKU025,155902,0
EC,584766,v1.0.0,82555,0,2023-02-01,171990,0,SKU025,137592,0
CV,224447,v1.0.0,76953,0,2023-02-01,64128,0,SKU025,128255,0
FS,160325,v1.0.0,96195,0,2023-02-01,0,0,SKU025,160325,0
MT,287360,v1.0.0,86208,0,2023-02-01,129312,0,SKU026,323279,0
GT,222727,v1.0.0,106909,0,2023-02-01,0,0,SKU026,178181,0
EC,653176,v1.0.0,92213,0,2023-02-01,192111,0,SKU026,153688,0
CV,307846,v1.0.0,105547,0,2023-02-01,87956,0,SKU026,175912,0
FS,190298,v1.0.0,114179,0,2023-02-01,0,0,SKU026,190298,0
MT,363740,v1.0.0,109122,0,2023-02-01,163683,0,SKU027,409208,0
GT,273585,v1.0.0,131321,0,2023-02-01,0,0,SKU027,218868,0
EC,810426,v1.0.0,114413,0,2023-02-01,238360,0,SKU027,190688,0
CV,251039,v1.0.0,86071,0,2023-02-01,71726,0,SKU027,143451,0
FS,202418,v1.0.0,121451,0,2023-02-01,0,0,SKU027,202418,0
MT,140958,v1.0.0,42287,0,2023-02-01,63431,0,SKU028,158578,0
GT,88628,v1.0.0,42541,0,2023-02-01,0,0,SKU028,70902,0
EC,246951,v1.0.0,34864,0,2023-02-01,72633,0,SKU028,58106,0
CV,148242,v1.0.0,50826,0,2023-02-01,42355,0,SKU028,84710,0
FS,96925,v1.0.0,58155,0,2023-02-01,0,0,SKU028,96925,0
MT,200397,v1.0.0,60119,0,2023-02-01,90179,0,SKU029,225447,0
GT,113722,v1.0.0,54586,0,2023-02-01,0,0,SKU029,90977,0
EC,362667,v1.0.0,51200,0,2023-02-01,106667,0,SKU029,85334,0
CV,197689,v1.0.0,67779,0,2023-02-01,56483,0,SKU029,112965,0
FS,83820,v1.0.0,50292,0,2023-02-01,0,0,SKU029,83820,0
MT,233020,v1.0.0,69906,0,2023-02-01,104859,0,SKU030,262148,0
GT,151734,v1.0.0,72832,0,2023-02-01,0,0,SKU030,121388,0
EC,414209,v1.0.0,58477,0,2023-02-01,121826,0,SKU030,97461,0
CV,167856,v1.0.0,57550,0,2023-02-01,47959,0,SKU030,95918,0
FS,89745,v1.0.0,53847,0,2023-02-01,0,0,SKU030,89745,0
MT,300481,v1.0.0,90144,0,2023-02-01,135217,0,SKU031,338041,0
GT,163252,v1.0.0,78361,0,2023-02-01,0,0,SKU031,130601,0
EC,551254,v1.0.0,77824,0,2023-02-01,162134,0,SKU031,129707,0
CV,266766,v1.0.0,91463,0,2023-02-01,76219,0,SKU031,152438,0
FS,140813,v1.0.0,84488,0,2023-02-01,0,0,SKU031,140813,0
MT,271373,v1.0.0,81412,0,2023-02-01,122118,0,SKU032,305294,0
GT,202020,v1.0.0,96970,0,2023-02-01,0,0,SKU032,161616,0
EC,638145,v1.0.0,90091,0,2023-02-01,187690,0,SKU032,150152,0
CV,254016,v1.0.0,87091,0,2023-02-01,72576,0,SKU032,145152,0
FS,167370,v1.0.0,100422,0,2023-02-01,0,0,SKU032,167370,0
MT,438020,v1.0.0,131406,0,2023-02-01,197109,0,SKU033,492773,0
GT,243153,v1.0.0,116713,0,2023-02-01,0,0,SKU033,194522,0
EC,774478,v1.0.0,109338,0,2023-02-01,227788,0,SKU033,182230,0
CV,298237,v1.0.0,102253,0,2023-02-01,85211,0,SKU033,170421,0
FS,184305,v1.0.0,110583,0,2023-02-01,0,0,SKU033,184305,0
MT,208572,v1.0.0,62572,0,2023-02-01,93857,0,SKU034,234644,0
GT,115026,v1.0.0,55212,0,2023-02-01,0,0,SKU034,92020,0
EC,409336,v1.0.0,57789,0,2023-02-01,120393,0,SKU034,96314,0
CV,170270,v1.0.0,58378,0,2023-02-01,48649,0,SKU034,97297,0
FS,102367,v1.0.0,61420,0,2023-02-01,0,0,SKU034,102367,0
MT,178585,v1.0.0,53576,0,2023-02-01,80363,0,SKU035,200908,0
