ForecastVersionKey,SnapshotDate,TargetMonth,Status,Approver,Eligibility,EvidenceClass
FV_BASE_202406,2024-05-01,2024-06-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202406,2024-05-01,2024-06-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202406,2024-05-01,2024-06-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202407,2024-06-01,2024-07-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202407,2024-06-01,2024-07-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202407,2024-06-01,2024-07-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202408,2024-07-01,2024-08-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202408,2024-07-01,2024-08-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202408,2024-07-01,2024-08-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202409,2024-08-01,2024-09-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202409,2024-08-01,2024-09-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202409,2024-08-01,2024-09-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202410,2024-09-01,2024-10-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202410,2024-09-01,2024-10-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202410,2024-09-01,2024-10-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202411,2024-10-01,2024-11-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202411,2024-10-01,2024-11-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202411,2024-10-01,2024-11-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202412,2024-11-01,2024-12-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202412,2024-11-01,2024-12-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202412,2024-11-01,2024-12-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202501,2024-12-01,2025-01-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202501,2024-12-01,2025-01-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202501,2024-12-01,2025-01-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202502,2025-01-01,2025-02-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202502,2025-01-01,2025-02-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202502,2025-01-01,2025-02-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202503,2025-02-01,2025-03-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202503,2025-02-01,2025-03-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202503,2025-02-01,2025-03-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202504,2025-03-01,2025-04-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202504,2025-03-01,2025-04-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202504,2025-03-01,2025-04-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202505,2025-04-01,2025-05-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202505,2025-04-01,2025-05-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202505,2025-04-01,2025-05-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202506,2025-05-01,2025-06-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202506,2025-05-01,2025-06-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202506,2025-05-01,2025-06-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202507,2025-06-01,2025-07-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202507,2025-06-01,2025-07-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202507,2025-06-01,2025-07-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202508,2025-07-01,2025-08-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202508,2025-07-01,2025-08-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202508,2025-07-01,2025-08-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202509,2025-08-01,2025-09-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202509,2025-08-01,2025-09-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202509,2025-08-01,2025-09-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202510,2025-09-01,2025-10-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202510,2025-09-01,2025-10-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202510,2025-09-01,2025-10-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202511,2025-10-01,2025-11-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202511,2025-10-01,2025-11-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202511,2025-10-01,2025-11-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_BASE_202512,2025-11-01,2025-12-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_UPSIDE_202512,2025-11-01,2025-12-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FV_DOWNSIDE_202512,2025-11-01,2025-12-01,FROZEN,FP&A Demo Owner,true,ASSUMPTION
FY_BASE,2024-12-31,2025-12-01,FROZEN,FP&A Demo Owner,true,SIMULATED
