MonthStart,SKUKey,ChannelKey,ScenarioKey,ForecastVersionKey,BudgetUnits,BudgetRevenueVND,BudgetCOGSVND,BudgetTradeSpendVND,BudgetOPEXVND,EvidenceClass
2023-01-01,SKU006,CH02,BUDGET,FY_BASE,3150,90153000.0,55514342.73,3513391.31,0,SIMULATED
2023-01-01,SKU007,CH02,BUDGET,FY_BASE,5250,115195500.0,92891062.91,4489333.34,0,SIMULATED
2023-01-01,SKU008,CH02,BUDGET,FY_BASE,4200,100170000.0,76368937.09,3903768.12,0,SIMULATED
2023-01-01,SKU009,CH02,BUDGET,FY_BASE,5250,105178500.0,89439774.41,4098956.53,0,SIMULATED
2023-01-01,SKU010,CH02,BUDGET,FY_BASE,4200,96163200.0,70494403.47,3747617.39,0,SIMULATED
2023-01-01,SKU011,CH02,BUDGET,FY_BASE,2100,70119000.0,30841301.52,2732637.68,0,SIMULATED
2023-01-01,SKU012,CH02,BUDGET,FY_BASE,3150,87147900.0,49830731.46,3396278.26,0,SIMULATED
2023-01-01,SKU001,CH03,BUDGET,FY_BASE,3150,90716850.0,59828498.12,2553559.32,0,SIMULATED
2023-01-01,SKU002,CH03,BUDGET,FY_BASE,2100,70232400.0,41686953.52,1976949.16,0,SIMULATED
2023-01-01,SKU003,CH03,BUDGET,FY_BASE,2100,62428800.0,39113684.79,1757288.14,0,SIMULATED
2023-01-01,SKU004,CH03,BUDGET,FY_BASE,3150,81937800.0,59442507.81,2306440.68,0,SIMULATED
2023-01-01,SKU005,CH03,BUDGET,FY_BASE,3150,79011450.0,59924995.69,2224067.8,0,SIMULATED
2023-01-01,SKU006,CH03,BUDGET,FY_BASE,2100,58527000.0,40528982.59,1647457.62,0,SIMULATED
2023-01-01,SKU007,CH03,BUDGET,FY_BASE,3150,67306050.0,61034717.84,1894576.27,0,SIMULATED
2023-01-01,SKU008,CH03,BUDGET,FY_BASE,3150,73158750.0,62723425.44,2059322.03,0,SIMULATED
2023-01-01,SKU009,CH03,BUDGET,FY_BASE,3150,61453350.0,58767024.76,1729830.51,0,SIMULATED
2023-01-01,SKU010,CH03,BUDGET,FY_BASE,3150,70232400.0,57898546.57,1976949.16,0,SIMULATED
2023-01-01,SKU011,CH03,BUDGET,FY_BASE,1050,34140750.0,16887076.08,961016.95,0,SIMULATED
2023-01-01,SKU012,CH03,BUDGET,FY_BASE,2100,56576100.0,36379586.79,1592542.37,0,SIMULATED
2023-01-01,SKU001,CH04,BUDGET,FY_BASE,2100,61324200.0,37070098.06,1665671.64,0,SIMULATED
2023-01-01,SKU002,CH04,BUDGET,FY_BASE,1050,35607600.0,19372115.76,967164.18,0,SIMULATED
2023-01-01,SKU003,CH04,BUDGET,FY_BASE,1050,31651200.0,18176306.15,859701.5,0,SIMULATED
2023-01-01,SKU004,CH04,BUDGET,FY_BASE,2100,55389600.0,36830936.14,1504477.61,0,SIMULATED
2023-01-01,SKU005,CH04,BUDGET,FY_BASE,1050,26705700.0,18564944.28,725373.14,0,SIMULATED
2023-01-01,SKU006,CH04,BUDGET,FY_BASE,1050,29673000.0,18834001.43,805970.15,0,SIMULATED
2023-01-01,SKU007,CH04,BUDGET,FY_BASE,2100,45498600.0,37817479.08,1235820.89,0,SIMULATED
2023-01-01,SKU008,CH04,BUDGET,FY_BASE,2100,49455000.0,38863812.49,1343283.59,0,SIMULATED
2023-01-01,SKU009,CH04,BUDGET,FY_BASE,2100,41542200.0,36412402.77,1128358.21,0,SIMULATED
2023-01-01,SKU010,CH04,BUDGET,FY_BASE,1050,23738400.0,17937144.23,644776.11,0,SIMULATED
2023-01-01,SKU011,CH04,BUDGET,FY_BASE,1050,34618500.0,15695001.2,940298.51,0,SIMULATED
2023-01-01,SKU012,CH04,BUDGET,FY_BASE,1050,28683900.0,16905758.42,779104.47,0,SIMULATED
2023-01-01,SKU001,CH05,BUDGET,FY_BASE,2100,62105400.0,37736496.37,1686043.17,0,SIMULATED
2023-01-01,SKU002,CH05,BUDGET,FY_BASE,2100,72122400.0,39440725.23,1957985.61,0,SIMULATED
2023-01-01,SKU003,CH05,BUDGET,FY_BASE,1050,32054400.0,18503056.29,870215.83,0,SIMULATED
2023-01-01,SKU004,CH05,BUDGET,FY_BASE,2100,56095200.0,37493035.1,1522877.7,0,SIMULATED
2023-01-01,SKU005,CH05,BUDGET,FY_BASE,2100,54091800.0,37797361.69,1468489.21,0,SIMULATED
2023-01-01,SKU006,CH05,BUDGET,FY_BASE,1050,30051000.0,19172574.77,815827.34,0,SIMULATED
2023-01-01,SKU007,CH05,BUDGET,FY_BASE,2100,46078200.0,38497312.82,1250935.26,0,SIMULATED
2023-01-01,SKU008,CH05,BUDGET,FY_BASE,2100,50085000.0,39562455.87,1359712.23,0,SIMULATED
2023-01-01,SKU009,CH05,BUDGET,FY_BASE,2100,42071400.0,37066977.89,1142158.27,0,SIMULATED
2023-01-01,SKU010,CH05,BUDGET,FY_BASE,2100,48081600.0,36519190.03,1305323.74,0,SIMULATED
2023-01-01,SKU011,CH05,BUDGET,FY_BASE,1050,35059500.0,15977145.64,951798.56,0,SIMULATED
2023-01-01,SKU012,CH05,BUDGET,FY_BASE,1050,29049300.0,17209668.3,788633.1,0,SIMULATED
2023-02-01,SKU001,CH01,BUDGET,FY_BASE,6300,186316200.0,110100292.82,4905389.01,0,SIMULATED
2023-02-01,SKU002,CH01,BUDGET,FY_BASE,4200,144244800.0,76715042.73,3797720.52,0,SIMULATED
2023-02-01,SKU003,CH01,BUDGET,FY_BASE,4200,128217600.0,71979546.27,3375751.58,0,SIMULATED
2023-02-01,SKU004,CH01,BUDGET,FY_BASE,6300,168285600.0,109389968.34,4430673.94,0,SIMULATED
2023-02-01,SKU005,CH01,BUDGET,FY_BASE,5250,135229500.0,91898228.28,3560363.0,0,SIMULATED
2023-02-01,SKU006,CH01,BUDGET,FY_BASE,4200,120204000.0,74584069.33,3164767.11,0,SIMULATED
2023-02-01,SKU007,CH01,BUDGET,FY_BASE,6300,138234600.0,112320056.78,3639482.18,0,SIMULATED
2023-02-01,SKU008,CH01,BUDGET,FY_BASE,5250,125212500.0,96189771.94,3296632.41,0,SIMULATED
2023-02-01,SKU009,CH01,BUDGET,FY_BASE,6300,126214200.0,108146900.52,3323005.47,0,SIMULATED
2023-02-01,SKU010,CH01,BUDGET,FY_BASE,5250,120204000.0,88790558.72,3164767.11,0,SIMULATED
2023-02-01,SKU011,CH01,BUDGET,FY_BASE,3150,105178500.0,46615043.33,2769171.22,0,SIMULATED
2023-02-01,SKU012,CH01,BUDGET,FY_BASE,4200,116197200.0,66948081.26,3059274.87,0,SIMULATED
2023-02-01,SKU001,CH02,BUDGET,FY_BASE,5250,155263500.0,90304975.72,6000981.65,0,SIMULATED
2023-02-01,SKU002,CH02,BUDGET,FY_BASE,3150,108183600.0,56629958.96,4181329.15,0,SIMULATED
2023-02-01,SKU003,CH02,BUDGET,FY_BASE,3150,96163200.0,53134282.49,3716737.03,0,SIMULATED
2023-02-01,SKU004,CH02,BUDGET,FY_BASE,4200,112190400.0,71777890.38,4336193.19,0,SIMULATED
2023-02-01,SKU005,CH02,BUDGET,FY_BASE,4200,108183600.0,72360503.12,4181329.15,0,SIMULATED
2023-02-01,SKU006,CH02,BUDGET,FY_BASE,3150,90153000.0,55056904.55,3484440.96,0,SIMULATED
2023-02-01,SKU007,CH02,BUDGET,FY_BASE,5250,115195500.0,92125640.54,4452341.23,0,SIMULATED
2023-02-01,SKU008,CH02,BUDGET,FY_BASE,4200,100170000.0,75739657.06,3871601.07,0,SIMULATED
2023-02-01,SKU009,CH02,BUDGET,FY_BASE,5250,105178500.0,88702790.66,4065181.12,0,SIMULATED
2023-02-01,SKU010,CH02,BUDGET,FY_BASE,4200,96163200.0,69913529.58,3716737.03,0,SIMULATED
2023-02-01,SKU011,CH02,BUDGET,FY_BASE,2100,70119000.0,30587169.2,2710120.75,0,SIMULATED
2023-02-01,SKU012,CH02,BUDGET,FY_BASE,3150,87147900.0,49420126.21,3368292.93,0,SIMULATED
2023-02-01,SKU001,CH03,BUDGET,FY_BASE,3150,90716850.0,59691524.36,2547713.1,0,SIMULATED
2023-02-01,SKU002,CH03,BUDGET,FY_BASE,2100,70232400.0,41591513.75,1972423.05,0,SIMULATED
2023-02-01,SKU003,CH03,BUDGET,FY_BASE,2100,62428800.0,39024136.36,1753264.93,0,SIMULATED
2023-02-01,SKU004,CH03,BUDGET,FY_BASE,3150,81937800.0,59306417.75,2301160.22,0,SIMULATED
2023-02-01,SKU005,CH03,BUDGET,FY_BASE,3150,79011450.0,59787801.01,2218975.93,0,SIMULATED
2023-02-01,SKU006,CH03,BUDGET,FY_BASE,2100,58527000.0,40436193.92,1643685.88,0,SIMULATED
2023-02-01,SKU007,CH03,BUDGET,FY_BASE,3150,67306050.0,60894982.51,1890238.75,0,SIMULATED
2023-02-01,SKU008,CH03,BUDGET,FY_BASE,3150,73158750.0,62579823.93,2054607.33,0,SIMULATED
2023-02-01,SKU009,CH03,BUDGET,FY_BASE,3150,61453350.0,58632481.18,1725870.16,0,SIMULATED
2023-02-01,SKU010,CH03,BUDGET,FY_BASE,3150,70232400.0,57765991.32,1972423.05,0,SIMULATED
2023-02-01,SKU011,CH03,BUDGET,FY_BASE,1050,34140750.0,16848414.14,958816.76,0,SIMULATED
2023-02-01,SKU012,CH03,BUDGET,FY_BASE,2100,56576100.0,36296297.89,1588896.34,0,SIMULATED
2023-02-01,SKU001,CH04,BUDGET,FY_BASE,2100,61324200.0,36764640.45,1651946.51,0,SIMULATED
2023-02-01,SKU002,CH04,BUDGET,FY_BASE,1050,35607600.0,19212489.52,959194.75,0,SIMULATED
2023-02-01,SKU003,CH04,BUDGET,FY_BASE,1050,31651200.0,18026533.38,852617.56,0,SIMULATED
2023-02-01,SKU004,CH04,BUDGET,FY_BASE,2100,55389600.0,36527449.22,1492080.71,0,SIMULATED
2023-02-01,SKU005,CH04,BUDGET,FY_BASE,1050,26705700.0,18411969.14,719396.06,0,SIMULATED
2023-02-01,SKU006,CH04,BUDGET,FY_BASE,1050,29673000.0,18678809.27,799328.95,0,SIMULATED
2023-02-01,SKU007,CH04,BUDGET,FY_BASE,2100,45498600.0,37505863.05,1225637.73,0,SIMULATED
2023-02-01,SKU008,CH04,BUDGET,FY_BASE,2100,49455000.0,38543574.67,1332214.93,0,SIMULATED
2023-02-01,SKU009,CH04,BUDGET,FY_BASE,2100,41542200.0,36112364.58,1119060.54,0,SIMULATED
2023-02-01,SKU010,CH04,BUDGET,FY_BASE,1050,23738400.0,17789342.15,639463.17,0,SIMULATED
2023-02-01,SKU011,CH04,BUDGET,FY_BASE,1050,34618500.0,15565674.39,932550.44,0,SIMULATED
2023-02-01,SKU012,CH04,BUDGET,FY_BASE,1050,28683900.0,16766454.98,772684.66,0,SIMULATED
2023-02-01,SKU001,CH05,BUDGET,FY_BASE,2100,62105400.0,37425547.64,1672150.17,0,SIMULATED
2023-02-01,SKU002,CH05,BUDGET,FY_BASE,2100,72122400.0,39115733.66,1941851.81,0,SIMULATED
2023-02-01,SKU003,CH05,BUDGET,FY_BASE,1050,32054400.0,18350591.1,863045.25,0,SIMULATED
2023-02-01,SKU004,CH05,BUDGET,FY_BASE,2100,56095200.0,37184092.49,1510329.19,0,SIMULATED
2023-02-01,SKU005,CH05,BUDGET,FY_BASE,2100,54091800.0,37485911.42,1456388.86,0,SIMULATED
2023-02-01,SKU006,CH05,BUDGET,FY_BASE,1050,30051000.0,19014592.75,809104.93,0,SIMULATED
2023-02-01,SKU007,CH05,BUDGET,FY_BASE,2100,46078200.0,38180094.97,1240627.54,0,SIMULATED
2023-02-01,SKU008,CH05,BUDGET,FY_BASE,2100,50085000.0,39236461.24,1348508.21,0,SIMULATED
2023-02-01,SKU009,CH05,BUDGET,FY_BASE,2100,42071400.0,36761545.99,1132746.89,0,SIMULATED
2023-02-01,SKU010,CH05,BUDGET,FY_BASE,2100,48081600.0,36218271.9,1294567.87,0,SIMULATED
2023-02-01,SKU011,CH05,BUDGET,FY_BASE,1050,35059500.0,15845493.96,943955.74,0,SIMULATED
2023-02-01,SKU012,CH05,BUDGET,FY_BASE,1050,29049300.0,17067860.64,782134.75,0,SIMULATED
2023-03-01,SKU001,CH01,BUDGET,FY_BASE,7350,217368900.0,128422867.17,5708276.63,0,SIMULATED
2023-03-01,SKU002,CH01,BUDGET,FY_BASE,5250,180306000.0,95873292.54,4734976.0,0,SIMULATED
2023-03-01,SKU003,CH01,BUDGET,FY_BASE,4200,128217600.0,71964150.45,3367094.04,0,SIMULATED
2023-03-01,SKU004,CH01,BUDGET,FY_BASE,6300,168285600.0,109366570.75,4419310.94,0,SIMULATED
2023-03-01,SKU005,CH01,BUDGET,FY_BASE,5250,135229500.0,91878572.02,3551232.0,0,SIMULATED
2023-03-01,SKU006,CH01,BUDGET,FY_BASE,4200,120204000.0,74568116.42,3156650.67,0,SIMULATED
2023-03-01,SKU007,CH01,BUDGET,FY_BASE,7350,161273700.0,131012037.88,4235172.97,0,SIMULATED
2023-03-01,SKU008,CH01,BUDGET,FY_BASE,5250,125212500.0,96169197.77,3288177.77,0,SIMULATED
2023-03-01,SKU009,CH01,BUDGET,FY_BASE,6300,126214200.0,108123768.81,3314483.2,0,SIMULATED
2023-03-01,SKU010,CH01,BUDGET,FY_BASE,5250,120204000.0,88771567.16,3156650.67,0,SIMULATED
2023-03-01,SKU011,CH01,BUDGET,FY_BASE,3150,105178500.0,46605072.76,2762069.33,0,SIMULATED
2023-03-01,SKU012,CH01,BUDGET,FY_BASE,4200,116197200.0,66933761.64,3051428.98,0,SIMULATED
2023-03-01,SKU001,CH02,BUDGET,FY_BASE,5250,155263500.0,90949233.5,6010273.82,0,SIMULATED
2023-03-01,SKU002,CH02,BUDGET,FY_BASE,4200,144244800.0,76045294.59,5583738.26,0,SIMULATED
2023-03-01,SKU003,CH02,BUDGET,FY_BASE,3150,96163200.0,53513355.45,3722492.17,0,SIMULATED
2023-03-01,SKU004,CH02,BUDGET,FY_BASE,5250,140238000.0,90362464.26,5428634.41,0,SIMULATED
2023-03-01,SKU005,CH02,BUDGET,FY_BASE,4200,108183600.0,72876740.65,4187803.69,0,SIMULATED
2023-03-01,SKU006,CH02,BUDGET,FY_BASE,3150,90153000.0,55449693.98,3489836.41,0,SIMULATED
2023-03-01,SKU007,CH02,BUDGET,FY_BASE,5250,115195500.0,92782887.4,4459235.41,0,SIMULATED
2023-03-01,SKU008,CH02,BUDGET,FY_BASE,4200,100170000.0,76280002.29,3877596.01,0,SIMULATED
2023-03-01,SKU009,CH02,BUDGET,FY_BASE,5250,105178500.0,89335618.07,4071475.81,0,SIMULATED
2023-03-01,SKU010,CH02,BUDGET,FY_BASE,4200,96163200.0,70412309.8,3722492.17,0,SIMULATED
2023-03-01,SKU011,CH02,BUDGET,FY_BASE,2100,70119000.0,30805385.54,2714317.21,0,SIMULATED
2023-03-01,SKU012,CH02,BUDGET,FY_BASE,3150,87147900.0,49772701.49,3373508.53,0,SIMULATED
2023-03-01,SKU001,CH03,BUDGET,FY_BASE,4200,120955800.0,74533438.51,3125826.43,0,SIMULATED
2023-03-01,SKU002,CH03,BUDGET,FY_BASE,3150,105348600.0,58424598.57,2722493.99,0,SIMULATED
2023-03-01,SKU003,CH03,BUDGET,FY_BASE,2100,62428800.0,36545427.91,1613329.77,0,SIMULATED
2023-03-01,SKU004,CH03,BUDGET,FY_BASE,3150,81937800.0,55539433.2,2117495.32,0,SIMULATED
2023-03-01,SKU005,CH03,BUDGET,FY_BASE,3150,79011450.0,55990240.3,2041870.49,0,SIMULATED
2023-03-01,SKU006,CH03,BUDGET,FY_BASE,2100,58527000.0,37867795.37,1512496.66,0,SIMULATED
2023-03-01,SKU007,CH03,BUDGET,FY_BASE,4200,89741400.0,76036128.8,2319161.54,0,SIMULATED
2023-03-01,SKU008,CH03,BUDGET,FY_BASE,3150,73158750.0,58604921.4,1890620.82,0,SIMULATED
2023-03-01,SKU009,CH03,BUDGET,FY_BASE,3150,61453350.0,54908303.29,1588121.49,0,SIMULATED
2023-03-01,SKU010,CH03,BUDGET,FY_BASE,3150,70232400.0,54096850.52,1814995.99,0,SIMULATED
2023-03-01,SKU011,CH03,BUDGET,FY_BASE,2100,68281500.0,31556496.14,1764579.44,0,SIMULATED
2023-03-01,SKU012,CH03,BUDGET,FY_BASE,2100,56576100.0,33990854.39,1462080.1,0,SIMULATED
2023-03-01,SKU001,CH04,BUDGET,FY_BASE,2100,61324200.0,38718976.02,1739760.72,0,SIMULATED
2023-03-01,SKU002,CH04,BUDGET,FY_BASE,1050,35607600.0,20233787.47,1010183.64,0,SIMULATED
2023-03-01,SKU003,CH04,BUDGET,FY_BASE,1050,31651200.0,18984788.25,897941.02,0,SIMULATED
2023-03-01,SKU004,CH04,BUDGET,FY_BASE,2100,55389600.0,38469176.18,1571396.78,0,SIMULATED
2023-03-01,SKU005,CH04,BUDGET,FY_BASE,1050,26705700.0,19390713.0,757637.73,0,SIMULATED
2023-03-01,SKU006,CH04,BUDGET,FY_BASE,1050,29673000.0,19671737.82,841819.7,0,SIMULATED
2023-03-01,SKU007,CH04,BUDGET,FY_BASE,2100,45498600.0,39499600.54,1290790.21,0,SIMULATED
2023-03-01,SKU008,CH04,BUDGET,FY_BASE,2100,49455000.0,40592474.86,1403032.84,0,SIMULATED
2023-03-01,SKU009,CH04,BUDGET,FY_BASE,2100,41542200.0,38032026.45,1178547.58,0,SIMULATED
2023-03-01,SKU010,CH04,BUDGET,FY_BASE,1050,23738400.0,18734988.39,673455.76,0,SIMULATED
2023-03-01,SKU011,CH04,BUDGET,FY_BASE,1050,34618500.0,16393114.85,982122.98,0,SIMULATED
2023-03-01,SKU012,CH04,BUDGET,FY_BASE,1050,28683900.0,17657726.57,813759.04,0,SIMULATED
2023-03-01,SKU001,CH05,BUDGET,FY_BASE,2100,62105400.0,37561554.29,1665199.55,0,SIMULATED
2023-03-01,SKU002,CH05,BUDGET,FY_BASE,2100,72122400.0,39257882.56,1933780.12,0,SIMULATED
2023-03-01,SKU003,CH05,BUDGET,FY_BASE,2100,64108800.0,36834556.47,1718915.66,0,SIMULATED
2023-03-01,SKU004,CH05,BUDGET,FY_BASE,2100,56095200.0,37319221.68,1504051.2,0,SIMULATED
2023-03-01,SKU005,CH05,BUDGET,FY_BASE,2100,54091800.0,37622137.44,1450335.09,0,SIMULATED
2023-03-01,SKU006,CH05,BUDGET,FY_BASE,1050,30051000.0,19083692.91,805741.71,0,SIMULATED
2023-03-01,SKU007,CH05,BUDGET,FY_BASE,2100,46078200.0,38318843.69,1235470.62,0,SIMULATED
2023-03-01,SKU008,CH05,BUDGET,FY_BASE,2100,50085000.0,39379048.86,1342902.86,0,SIMULATED
2023-03-01,SKU009,CH05,BUDGET,FY_BASE,2100,42071400.0,36895139.62,1128038.4,0,SIMULATED
2023-03-01,SKU010,CH05,BUDGET,FY_BASE,2100,48081600.0,36349891.25,1289186.75,0,SIMULATED
2023-03-01,SKU011,CH05,BUDGET,FY_BASE,1050,35059500.0,15903077.42,940032.0,0,SIMULATED
2023-03-01,SKU012,CH05,BUDGET,FY_BASE,1050,29049300.0,17129886.27,778883.66,0,SIMULATED
2023-04-01,SKU001,CH01,BUDGET,FY_BASE,7350,217368900.0,126939996.48,5678233.81,0,SIMULATED
2023-04-01,SKU002,CH01,BUDGET,FY_BASE,5250,180306000.0,94766264.65,4710055.7,0,SIMULATED
2023-04-01,SKU003,CH01,BUDGET,FY_BASE,4200,128217600.0,71133196.18,3349372.94,0,SIMULATED
2023-04-01,SKU004,CH01,BUDGET,FY_BASE,6300,168285600.0,108103738.93,4396051.98,0,SIMULATED
2023-04-01,SKU005,CH01,BUDGET,FY_BASE,5250,135229500.0,90817670.29,3532541.78,0,SIMULATED
2023-04-01,SKU006,CH01,BUDGET,FY_BASE,4200,120204000.0,73707094.72,3140037.13,0,SIMULATED
2023-04-01,SKU007,CH01,BUDGET,FY_BASE,7350,161273700.0,129499270.59,4212883.14,0,SIMULATED
2023-04-01,SKU008,CH01,BUDGET,FY_BASE,6300,150255000.0,114070503.74,3925046.41,0,SIMULATED
2023-04-01,SKU009,CH01,BUDGET,FY_BASE,7350,147249900.0,124687835.24,3846545.48,0,SIMULATED
2023-04-01,SKU010,CH01,BUDGET,FY_BASE,5250,120204000.0,87746541.34,3140037.13,0,SIMULATED
2023-04-01,SKU011,CH01,BUDGET,FY_BASE,3150,105178500.0,46066934.2,2747532.49,0,SIMULATED
2023-04-01,SKU012,CH01,BUDGET,FY_BASE,4200,116197200.0,66160892.2,3035369.22,0,SIMULATED
2023-04-01,SKU001,CH02,BUDGET,FY_BASE,5250,155263500.0,92917153.12,6140321.48,0,SIMULATED
2023-04-01,SKU002,CH02,BUDGET,FY_BASE,4200,144244800.0,77690729.32,5704556.74,0,SIMULATED
2023-04-01,SKU003,CH02,BUDGET,FY_BASE,3150,96163200.0,54671253.97,3803037.82,0,SIMULATED
2023-04-01,SKU004,CH02,BUDGET,FY_BASE,5250,140238000.0,92317687.61,5546096.83,0,SIMULATED
2023-04-01,SKU005,CH02,BUDGET,FY_BASE,4200,108183600.0,74453615.6,4278417.55,0,SIMULATED
2023-04-01,SKU006,CH02,BUDGET,FY_BASE,3150,90153000.0,56649490.13,3565347.95,0,SIMULATED
2023-04-01,SKU007,CH02,BUDGET,FY_BASE,5250,115195500.0,94790482.81,4555722.39,0,SIMULATED
2023-04-01,SKU008,CH02,BUDGET,FY_BASE,4200,100170000.0,77930515.52,3961497.73,0,SIMULATED
2023-04-01,SKU009,CH02,BUDGET,FY_BASE,5250,105178500.0,91268622.98,4159572.62,0,SIMULATED
2023-04-01,SKU010,CH02,BUDGET,FY_BASE,4200,96163200.0,71935860.48,3803037.82,0,SIMULATED
2023-04-01,SKU011,CH02,BUDGET,FY_BASE,2100,70119000.0,31471938.96,2773048.41,0,SIMULATED
2023-04-01,SKU012,CH02,BUDGET,FY_BASE,3150,87147900.0,50849661.34,3446503.03,0,SIMULATED
2023-04-01,SKU001,CH03,BUDGET,FY_BASE,4200,120955800.0,74428754.69,3142991.66,0,SIMULATED
2023-04-01,SKU002,CH03,BUDGET,FY_BASE,3150,105348600.0,58342539.97,2737444.35,0,SIMULATED
2023-04-01,SKU003,CH03,BUDGET,FY_BASE,2100,62428800.0,36494099.08,1622189.25,0,SIMULATED
2023-04-01,SKU004,CH03,BUDGET,FY_BASE,3150,81937800.0,55461426.89,2129123.38,0,SIMULATED
2023-04-01,SKU005,CH03,BUDGET,FY_BASE,3150,79011450.0,55911600.81,2053083.26,0,SIMULATED
2023-04-01,SKU006,CH03,BUDGET,FY_BASE,2100,58527000.0,37814609.24,1520802.41,0,SIMULATED
2023-04-01,SKU007,CH03,BUDGET,FY_BASE,4200,89741400.0,75929334.43,2331897.04,0,SIMULATED
2023-04-01,SKU008,CH03,BUDGET,FY_BASE,3150,73158750.0,58522609.54,1901003.02,0,SIMULATED
2023-04-01,SKU009,CH03,BUDGET,FY_BASE,4200,81937800.0,73108244.54,2129123.38,0,SIMULATED
2023-04-01,SKU010,CH03,BUDGET,FY_BASE,3150,70232400.0,54020870.35,1824962.9,0,SIMULATED
2023-04-01,SKU011,CH03,BUDGET,FY_BASE,2100,68281500.0,31512174.37,1774269.48,0,SIMULATED
2023-04-01,SKU012,CH03,BUDGET,FY_BASE,2100,56576100.0,33943113.53,1470109.0,0,SIMULATED
2023-04-01,SKU001,CH04,BUDGET,FY_BASE,2100,61324200.0,37338423.84,1680651.0,0,SIMULATED
2023-04-01,SKU002,CH04,BUDGET,FY_BASE,1050,35607600.0,19512337.62,975861.87,0,SIMULATED
2023-04-01,SKU003,CH04,BUDGET,FY_BASE,1050,31651200.0,18307872.33,867432.77,0,SIMULATED
2023-04-01,SKU004,CH04,BUDGET,FY_BASE,2100,55389600.0,37097530.79,1518007.35,0,SIMULATED
2023-04-01,SKU005,CH04,BUDGET,FY_BASE,2100,53411400.0,37398647.11,1463792.81,0,SIMULATED
2023-04-01,SKU006,CH04,BUDGET,FY_BASE,1050,29673000.0,18970328.24,813218.23,0,SIMULATED
2023-04-01,SKU007,CH04,BUDGET,FY_BASE,2100,45498600.0,38091214.64,1246934.61,0,SIMULATED
2023-04-01,SKU008,CH04,BUDGET,FY_BASE,2100,49455000.0,39145121.77,1355363.71,0,SIMULATED
2023-04-01,SKU009,CH04,BUDGET,FY_BASE,2100,41542200.0,36675967.93,1138505.52,0,SIMULATED
2023-04-01,SKU010,CH04,BUDGET,FY_BASE,1050,23738400.0,18066979.28,650574.58,0,SIMULATED
2023-04-01,SKU011,CH04,BUDGET,FY_BASE,1050,34618500.0,15808606.87,948754.6,0,SIMULATED
2023-04-01,SKU012,CH04,BUDGET,FY_BASE,1050,28683900.0,17028127.97,786110.96,0,SIMULATED
2023-04-01,SKU001,CH05,BUDGET,FY_BASE,2100,62105400.0,38374294.73,1701230.4,0,SIMULATED
2023-04-01,SKU002,CH05,BUDGET,FY_BASE,2100,72122400.0,40107327.39,1975622.4,0,SIMULATED
2023-04-01,SKU003,CH05,BUDGET,FY_BASE,2100,64108800.0,37631566.44,1756108.8,0,SIMULATED
2023-04-01,SKU004,CH05,BUDGET,FY_BASE,2100,56095200.0,38126718.63,1536595.2,0,SIMULATED
2023-04-01,SKU005,CH05,BUDGET,FY_BASE,2100,54091800.0,38436188.75,1481716.8,0,SIMULATED
2023-04-01,SKU006,CH05,BUDGET,FY_BASE,1050,30051000.0,19496617.49,823176.0,0,SIMULATED
