channel_id,cogs,commission,contribution_margin,customer_id,date,discount,freight,gross_sales,is_intercompany,is_stockout,line_id,month,net_sales,order_id,payment_fee,promo_id,region,returns,sku_id,trade_spend,units
GT,2730560,125580,2006318,CUST004,2023-01-01,103040,60278,5152000,False,False,LINE000000022,2023-01-01,5023200,ORD00000022,0,,North,25760,SKU005,100464,161
EC,2798400,395842,1197271,CUST005,2023-01-01,528000,55884,5280000,False,False,LINE000000023,2023-01-01,4656960,ORD00000023,116424,,Central,95040,SKU005,93139,165
CV,2527040,157702,1631776,CUST006,2023-01-01,238400,54069,4768000,False,False,LINE000000024,2023-01-01,4505760,ORD00000024,45058,,South,23840,SKU005,90115,149
FS,2645760,96346,1921021,CUST007,2023-01-01,149760,57807,4992000,False,False,LINE000000025,2023-01-01,4817280,ORD00000025,0,,North,24960,SKU005,96346,156
MT,2930880,260371,2829833,CUST009,2023-01-01,272640,78111,6816000,False,False,LINE000000026,2023-01-01,6509280,ORD00000026,117167,,South,34080,SKU006,292918,192
GT,2946145,167005,3353295,CUST010,2023-01-01,137030,80163,6851500,False,False,LINE000000027,2023-01-01,6680212,ORD00000027,0,,North,34258,SKU006,133604,193
EC,2503460,436475,1902374,CUST011,2023-01-01,582200,61620,5822000,False,False,LINE000000028,2023-01-01,5135004,ORD00000028,128375,,Central,104796,SKU006,102700,164
CV,2839290,218394,2920078,CUST012,2023-01-01,330150,74878,6603000,False,False,LINE000000029,2023-01-01,6239835,ORD00000029,62398,,South,33015,SKU006,124797,186
FS,2411870,108254,2719355,CUST013,2023-01-01,168270,64952,5609000,False,False,LINE000000030,2023-01-01,5412685,ORD00000030,0,,North,28045,SKU006,108254,158
MT,2839200,238368,2434692,CUST015,2023-01-01,249600,71510,6240000,False,False,LINE000000031,2023-01-01,5959200,ORD00000031,107266,,South,31200,SKU007,268164,160
GT,2927925,156853,2988575,CUST016,2023-01-01,128700,75290,6435000,False,False,LINE000000032,2023-01-01,6274125,ORD00000032,0,,North,32175,SKU007,125482,165
EC,2945670,485356,1953568,CUST017,2023-01-01,647400,68521,6474000,False,False,LINE000000033,2023-01-01,5710068,ORD00000033,142752,,Central,116532,SKU007,114201,166
CV,3815175,277334,3498516,CUST018,2023-01-01,419250,95086,8385000,False,False,LINE000000034,2023-01-01,7923825,ORD00000034,79238,,South,41925,SKU007,158476,215
FS,2661750,112905,2689947,CUST019,2023-01-01,175500,67743,5850000,False,False,LINE000000035,2023-01-01,5645250,ORD00000035,0,,North,29250,SKU007,112905,150
MT,3100800,246772,2359031,CUST021,2023-01-01,258400,74032,6460000,False,False,LINE000000036,2023-01-01,6169300,ORD00000036,111047,,South,32300,SKU008,277618,152
GT,4018800,204080,3679086,CUST022,2023-01-01,167450,97958,8372500,False,False,LINE000000037,2023-01-01,8163188,ORD00000037,0,,North,41862,SKU008,163264,197
EC,3855600,602197,2223042,CUST023,2023-01-01,803250,85016,8032500,False,False,LINE000000038,2023-01-01,7084665,ORD00000038,177117,,Central,144585,SKU008,141693,189
CV,4039200,278326,3300657,CUST024,2023-01-01,420750,95426,8415000,False,False,LINE000000039,2023-01-01,7952175,ORD00000039,79522,,South,42075,SKU008,159044,198
FS,3774000,151746,3418773,CUST001,2023-01-01,235875,91048,7862500,False,False,LINE000000040,2023-01-01,7587313,ORD00000040,0,,North,39312,SKU008,151746,185
MT,4390470,332111,2957481,CUST003,2023-01-01,347760,99633,8694000,False,False,LINE000000041,2023-01-01,8302770,ORD00000041,149450,,South,43470,SKU009,373625,189
GT,4715690,227614,3869900,CUST004,2023-01-01,186760,109255,9338000,False,False,LINE000000042,2023-01-01,9104550,ORD00000042,0,,North,46690,SKU009,182091,203
EC,4390470,651789,2188767,CUST005,2023-01-01,869400,92017,8694000,False,False,LINE000000043,2023-01-01,7668108,ORD00000043,191703,,Central,156492,SKU009,153362,189
CV,4576310,299726,3327883,CUST006,2023-01-01,453100,102763,9062000,False,False,LINE000000044,2023-01-01,8563590,ORD00000044,85636,,South,45310,SKU009,171272,197
FS,3972330,151814,3223644,CUST007,2023-01-01,235980,91088,7866000,False,False,LINE000000045,2023-01-01,7590690,ORD00000045,0,,North,39330,SKU009,151814,171
MT,1860300,134082,1106264,CUST009,2023-01-01,140400,40225,3510000,False,False,LINE000000046,2023-01-01,3352050,ORD00000046,60337,,South,17550,SKU010,150842,195
GT,1698120,78098,1247717,CUST010,2023-01-01,64080,37487,3204000,False,False,LINE000000047,2023-01-01,3123900,ORD00000047,0,,North,16020,SKU010,62478,178
EC,1803060,255048,771424,CUST011,2023-01-01,340200,36007,3402000,False,False,LINE000000048,2023-01-01,3000564,ORD00000048,75014,,Central,61236,SKU010,60011,189
CV,2032020,126810,1312128,CUST012,2023-01-01,191700,43478,3834000,False,False,LINE000000049,2023-01-01,3623130,ORD00000049,36231,,South,19170,SKU010,72463,213
FS,1965240,71564,1426913,CUST013,2023-01-01,111240,42939,3708000,False,False,LINE000000050,2023-01-01,3578220,ORD00000050,0,,North,18540,SKU010,71564,206
MT,1876735,166724,1812032,CUST015,2023-01-01,174580,50017,4364500,False,False,LINE000000051,2023-01-01,4168098,ORD00000051,75026,,South,21822,SKU011,187564,203
GT,1969185,111625,2241322,CUST016,2023-01-01,91590,53580,4579500,False,False,LINE000000052,2023-01-01,4465012,ORD00000052,0,,North,22898,SKU011,89300,213
EC,2024655,352996,1538531,CUST017,2023-01-01,470850,49835,4708500,False,False,LINE000000053,2023-01-01,4152897,ORD00000053,103822,,Central,84753,SKU011,83058,219
CV,1599385,123022,1644893,CUST018,2023-01-01,185975,42179,3719500,False,False,LINE000000054,2023-01-01,3514927,ORD00000054,35149,,South,18598,SKU011,70299,173
FS,1867490,83820,2105573,CUST019,2023-01-01,130290,50292,4343000,False,False,LINE000000055,2023-01-01,4190995,ORD00000055,0,,North,21715,SKU011,83820,202
MT,2821000,236840,2419085,CUST021,2023-01-01,248000,71052,6200000,False,False,LINE000000056,2023-01-01,5921000,ORD00000056,106578,,South,31000,SKU012,266445,248
GT,2400125,128578,2449842,CUST022,2023-01-01,105500,61718,5275000,False,False,LINE000000057,2023-01-01,5143125,ORD00000057,0,,North,26375,SKU012,102862,211
EC,2946125,485431,1953870,CUST023,2023-01-01,647500,68531,6475000,False,False,LINE000000058,2023-01-01,5710950,ORD00000058,142774,,Central,116550,SKU012,114219,259
CV,2422875,176124,2221777,CUST024,2023-01-01,266250,60386,5325000,False,False,LINE000000059,2023-01-01,5032125,ORD00000059,50321,,South,26625,SKU012,100642,213
FS,2491125,105668,2517514,CUST001,2023-01-01,164250,63400,5475000,False,False,LINE000000060,2023-01-01,5283375,ORD00000060,0,,North,27375,SKU012,105668,219
MT,3420000,272175,2601872,CUST003,2023-01-01,285000,81652,7125000,False,False,LINE000000061,2023-01-01,6804375,ORD00000061,122479,,South,35625,SKU013,306197,250
GT,2859120,145190,2617435,CUST004,2023-01-01,119130,69691,5956500,False,False,LINE000000062,2023-01-01,5807588,ORD00000062,0,,North,29782,SKU013,116152,209
EC,3748320,585441,2161188,CUST005,2023-01-01,780900,82650,7809000,False,False,LINE000000063,2023-01-01,6887538,ORD00000063,172188,,Central,140562,SKU013,137751,274
CV,2722320,187585,2224560,CUST006,2023-01-01,283575,64315,5671500,False,False,LINE000000064,2023-01-01,5359567,ORD00000064,53596,,South,28358,SKU013,107191,199
FS,3160080,127062,2862636,CUST007,2023-01-01,197505,76237,6583500,False,False,LINE000000065,2023-01-01,6353077,ORD00000065,0,,North,32918,SKU013,127062,231
MT,4153120,314157,2797599,CUST009,2023-01-01,328960,94247,8224000,False,False,LINE000000066,2023-01-01,7853920,ORD00000066,141371,,South,41120,SKU014,353426,257
GT,3732960,180180,3063430,CUST010,2023-01-01,147840,86486,7392000,False,False,LINE000000067,2023-01-01,7207200,ORD00000067,0,,North,36960,SKU014,144144,231
EC,4427840,657337,2207396,CUST011,2023-01-01,876800,92801,8768000,False,False,LINE000000068,2023-01-01,7733376,ORD00000068,193334,,Central,157824,SKU014,154668,274
CV,4444000,291060,3231668,CUST012,2023-01-01,440000,99792,8800000,False,False,LINE000000069,2023-01-01,8316000,ORD00000069,83160,,South,44000,SKU014,166320,275
FS,3926880,150077,3186760,CUST013,2023-01-01,233280,90046,7776000,False,False,LINE000000070,2023-01-01,7503840,ORD00000070,0,,North,38880,SKU014,150077,243
MT,4873085,351230,2897877,CUST015,2023-01-01,367780,105369,9194500,False,False,LINE000000071,2023-01-01,8780748,ORD00000071,158053,,South,45972,SKU015,395134,259
GT,4985975,229308,3663515,CUST016,2023-01-01,188150,110068,9407500,False,False,LINE000000072,2023-01-01,9172312,ORD00000072,0,,North,47038,SKU015,183446,265
EC,4590860,649390,1964160,CUST017,2023-01-01,866200,91679,8662000,False,False,LINE000000073,2023-01-01,7639884,ORD00000073,190997,,Central,155916,SKU015,152798,244
CV,4797825,299411,3098084,CUST018,2023-01-01,452625,102655,9052500,False,False,LINE000000074,2023-01-01,8554613,ORD00000074,85546,,South,45262,SKU015,171092,255
FS,3292625,119901,2390695,CUST019,2023-01-01,186375,71941,6212500,False,False,LINE000000075,2023-01-01,5995063,ORD00000075,0,,North,31062,SKU015,119901,175
MT,3991260,354572,3853654,CUST021,2023-01-01,371280,106372,9282000,False,False,LINE000000076,2023-01-01,8864310,ORD00000076,159558,,South,46410,SKU016,398894,238
GT,4511130,255718,5134558,CUST022,2023-01-01,209820,122745,10491000,False,False,LINE000000077,2023-01-01,10228725,ORD00000077,0,,North,52455,SKU016,204574,269
EC,3940950,687100,2994719,CUST023,2023-01-01,916500,97002,9165000,False,False,LINE000000078,2023-01-01,8083530,ORD00000078,202088,,Central,164970,SKU016,161671,235
CV,4678830,359889,4811959,CUST024,2023-01-01,544050,123391,10881000,False,False,LINE000000079,2023-01-01,10282545,ORD00000079,102825,,South,54405,SKU016,205651,279
FS,3907410,175379,4405560,CUST001,2023-01-01,272610,105227,9087000,False,False,LINE000000080,2023-01-01,8768955,ORD00000080,0,,North,45435,SKU016,175379,233
MT,2455926,206184,2105906,CUST003,2023-01-01,215900,61855,5397500,False,False,LINE000000081,2023-01-01,5154612,ORD00000081,92783,,South,26988,SKU017,231958,127
GT,2571954,137780,2625096,CUST004,2023-01-01,113050,66134,5652500,False,False,LINE000000082,2023-01-01,5511188,ORD00000082,0,,North,28262,SKU017,110224,133
EC,2127180,350485,1410654,CUST005,2023-01-01,467500,49480,4675000,False,False,LINE000000083,2023-01-01,4123350,ORD00000083,103084,,Central,84150,SKU017,82467,110
CV,2513940,182739,2305159,CUST006,2023-01-01,276250,62654,5525000,False,False,LINE000000084,2023-01-01,5221125,ORD00000084,52211,,South,27625,SKU017,104422,130
FS,2243208,95149,2266855,CUST007,2023-01-01,147900,57089,4930000,False,False,LINE000000085,2023-01-01,4757450,ORD00000085,0,,North,24650,SKU017,95149,116
MT,3267840,260066,2486110,CUST009,2023-01-01,272320,78020,6808000,False,False,LINE000000086,2023-01-01,6501640,ORD00000086,117030,,South,34040,SKU018,292574,148
GT,2826240,143520,2587334,CUST010,2023-01-01,117760,68890,5888000,False,False,LINE000000087,2023-01-01,5740800,ORD00000087,0,,North,29440,SKU018,114816,128
EC,2230080,348311,1285809,CUST011,2023-01-01,464600,49173,4646000,False,False,LINE000000088,2023-01-01,4097772,ORD00000088,102444,,Central,83628,SKU018,81955,101
CV,3665280,252561,2995107,CUST012,2023-01-01,381800,86592,7636000,False,False,LINE000000089,2023-01-01,7216020,ORD00000089,72160,,South,38180,SKU018,144320,166
FS,3024960,121629,2740235,CUST013,2023-01-01,189060,72977,6302000,False,False,LINE000000090,2023-01-01,6081430,ORD00000090,0,,North,31510,SKU018,121629,137
MT,1290780,97639,869487,CUST015,2023-01-01,102240,29292,2556000,False,False,LINE000000091,2023-01-01,2440980,ORD00000091,43938,,South,12780,SKU019,109844,142
GT,1181700,57038,969754,CUST016,2023-01-01,46800,27378,2340000,False,False,LINE000000092,2023-01-01,2281500,ORD00000092,0,,North,11700,SKU019,45630,130
EC,1190790,176779,593641,CUST017,2023-01-01,235800,24957,2358000,False,False,LINE000000093,2023-01-01,2079756,ORD00000093,51994,,Central,42444,SKU019,41595,131
CV,1390770,91089,1011365,CUST018,2023-01-01,137700,31230,2754000,False,False,LINE000000094,2023-01-01,2602530,ORD00000094,26025,,South,13770,SKU019,52051,153
FS,1281690,48983,1040124,CUST019,2023-01-01,76140,29390,2538000,False,False,LINE000000095,2023-01-01,2449170,ORD00000095,0,,North,12690,SKU019,48983,141
MT,1515535,109233,901242,CUST021,2023-01-01,114380,32770,2859500,False,False,LINE000000096,2023-01-01,2730822,ORD00000096,49155,,South,14298,SKU020,122887,133
GT,1720645,79133,1264269,CUST022,2023-01-01,64930,37984,3246500,False,False,LINE000000097,2023-01-01,3165338,ORD00000097,0,,North,16232,SKU020,63307,151
EC,1937150,274015,828793,CUST023,2023-01-01,365500,38685,3655000,False,False,LINE000000098,2023-01-01,3223710,ORD00000098,80593,,Central,65790,SKU020,64474,170
CV,1629485,101689,1052202,CUST024,2023-01-01,153725,34865,3074500,False,False,LINE000000099,2023-01-01,2905403,ORD00000099,29054,,South,15372,SKU020,58108,143
FS,1572510,57263,1141761,CUST001,2023-01-01,89010,34358,2967000,False,False,LINE000000100,2023-01-01,2863155,ORD00000100,0,,North,14835,SKU020,57263,138
MT,1687750,149935,1629562,CUST003,2023-01-01,157000,44980,3925000,False,False,LINE000000101,2023-01-01,3748375,ORD00000101,67471,,South,19625,SKU021,168677,157
GT,2171500,123094,2471596,CUST004,2023-01-01,101000,59085,5050000,False,False,LINE000000102,2023-01-01,4923750,ORD00000102,0,,North,25250,SKU021,98475,202
EC,1806000,314874,1372375,CUST005,2023-01-01,420000,44453,4200000,False,False,LINE000000103,2023-01-01,3704400,ORD00000103,92610,,Central,75600,SKU021,74088,168
CV,1655500,127339,1702605,CUST006,2023-01-01,192500,43659,3850000,False,False,LINE000000104,2023-01-01,3638250,ORD00000104,36382,,South,19250,SKU021,72765,154
FS,1623250,72858,1830195,CUST007,2023-01-01,113250,43714,3775000,False,False,LINE000000105,2023-01-01,3642875,ORD00000105,0,,North,18875,SKU021,72858,151
MT,2567664,215563,2201658,CUST009,2023-01-01,225720,64669,5643000,False,False,LINE000000106,2023-01-01,5389065,ORD00000106,97003,,South,28215,SKU022,242508,198
GT,2528760,135464,2580944,CUST010,2023-01-01,111150,65023,5557500,False,False,LINE000000107,2023-01-01,5418562,ORD00000107,0,,North,27788,SKU022,108371,195
EC,2165656,356820,1436123,CUST011,2023-01-01,475950,50375,4759500,False,False,LINE000000108,2023-01-01,4197879,ORD00000108,104947,,Central,85671,SKU022,83958,167
CV,2295336,166847,2104653,CUST012,2023-01-01,252225,57205,5044500,False,False,LINE000000109,2023-01-01,4767053,ORD00000109,47671,,South,25222,SKU022,95341,177
FS,1828488,77557,1847717,CUST013,2023-01-01,120555,46534,4018500,False,False,LINE000000110,2023-01-01,3877853,ORD00000110,0,,North,20092,SKU022,77557,141
MT,2211840,176026,1682725,CUST015,2023-01-01,184320,52808,4608000,False,False,LINE000000111,2023-01-01,4400640,ORD00000111,79212,,South,23040,SKU023,198029,144
GT,2979840,151320,2727950,CUST016,2023-01-01,124160,72634,6208000,False,False,LINE000000112,2023-01-01,6052800,ORD00000112,0,,North,31040,SKU023,121056,194
EC,2257920,352659,1301860,CUST017,2023-01-01,470400,49787,4704000,False,False,LINE000000113,2023-01-01,4148928,ORD00000113,103723,,Central,84672,SKU023,82979,147
CV,2365440,162994,1932933,CUST018,2023-01-01,246400,55884,4928000,False,False,LINE000000114,2023-01-01,4656960,ORD00000114,46570,,South,24640,SKU023,93139,154
FS,2657280,106845,2407163,CUST019,2023-01-01,166080,64107,5536000,False,False,LINE000000115,2023-01-01,5342240,ORD00000115,0,,North,27680,SKU023,106845,173
MT,2976048,225113,2004567,CUST021,2023-01-01,235720,67534,5893000,False,False,LINE000000116,2023-01-01,5627815,ORD00000116,101301,,South,29465,SKU024,253252,166
GT,3567672,172197,2927606,CUST022,2023-01-01,141290,82655,7064500,False,False,LINE000000117,2023-01-01,6887888,ORD00000117,0,,North,35322,SKU024,137758,199
EC,3334608,495027,1662252,CUST023,2023-01-01,660300,69886,6603000,False,False,LINE000000118,2023-01-01,5823846,ORD00000118,145596,,Central,118854,SKU024,116477,186
CV,3047760,199608,2216177,CUST024,2023-01-01,301750,68437,6035000,False,False,LINE000000119,2023-01-01,5703075,ORD00000119,57031,,South,30175,SKU024,114062,170
FS,3567672,136345,2895074,CUST001,2023-01-01,211935,81807,7064500,False,False,LINE000000120,2023-01-01,6817243,ORD00000120,0,,North,35322,SKU024,136345,199
MT,4071990,293491,2421489,CUST003,2023-01-01,307320,88047,7683000,False,False,LINE000000121,2023-01-01,7337265,ORD00000121,132071,,South,38415,SKU025,330177,197
GT,4113330,189174,3022327,CUST004,2023-01-01,155220,90804,7761000,False,False,LINE000000122,2023-01-01,7566975,ORD00000122,0,,North,38805,SKU025,151340,199
EC,3513900,497051,1503392,CUST005,2023-01-01,663000,70172,6630000,False,False,LINE000000123,2023-01-01,5847660,ORD00000123,146192,,Central,119340,SKU025,116953,170
CV,3720600,232187,2402489,CUST006,2023-01-01,351000,79607,7020000,False,False,LINE000000124,2023-01-01,6633900,ORD00000124,66339,,South,35100,SKU025,132678,180
FS,3865290,140755,2806492,CUST007,2023-01-01,218790,84453,7293000,False,False,LINE000000125,2023-01-01,7037745,ORD00000125,0,,North,36465,SKU025,140755,187
MT,3033650,269501,2929060,CUST009,2023-01-01,282200,80850,7055000,False,False,LINE000000126,2023-01-01,6737525,ORD00000126,121275,,South,35275,SKU026,303189,166
GT,3819475,216511,4347318,CUST010,2023-01-01,177650,103925,8882500,False,False,LINE000000127,2023-01-01,8660438,ORD00000127,0,,North,44412,SKU026,173209,209
EC,3344325,583079,2541345,CUST011,2023-01-01,777750,82317,7777500,False,False,LINE000000128,2023-01-01,6859755,ORD00000128,171494,,Central,139995,SKU026,137195,183
CV,3380875,260052,3477073,CUST012,2023-01-01,393125,89161,7862500,False,False,LINE000000129,2023-01-01,7430063,ORD00000129,74301,,South,39312,SKU026,148601,185
FS,3435700,154207,3873712,CUST013,2023-01-01,239700,92524,7990000,False,False,LINE000000130,2023-01-01,7710350,ORD00000130,0,,North,39950,SKU026,154207,188
MT,3704610,311024,3176806,CUST015,2023-01-01,325680,93307,8142000,False,False,LINE000000131,2023-01-01,7775610,ORD00000131,139961,,South,40710,SKU027,349902,177
GT,4332510,232099,4422255,CUST016,2023-01-01,190440,111407,9522000,False,False,LINE000000132,2023-01-01,9283950,ORD00000132,0,,North,47610,SKU027,185679,207
EC,3411590,562125,2262566,CUST017,2023-01-01,749800,79359,7498000,False,False,LINE000000133,2023-01-01,6613236,ORD00000133,165331,,Central,134964,SKU027,132265,163
CV,5232500,380363,4798202,CUST018,2023-01-01,575000,130410,11500000,False,False,LINE000000134,2023-01-01,10867500,ORD00000134,108675,,South,57500,SKU027,217350,250
FS,4751110,201531,4801440,CUST019,2023-01-01,313260,120918,10442000,False,False,LINE000000135,2023-01-01,10076530,ORD00000135,0,,North,52210,SKU027,201531,227
MT,1313280,104515,999118,CUST021,2023-01-01,109440,31355,2736000,False,False,LINE000000136,2023-01-01,2612880,ORD00000136,47032,,South,13680,SKU028,117580,152
GT,2064960,104861,1890407,CUST022,2023-01-01,86040,50333,4302000,False,False,LINE000000137,2023-01-01,4194450,ORD00000137,0,,North,21510,SKU028,83889,239
EC,1615680,252349,931561,CUST023,2023-01-01,336600,35626,3366000,False,False,LINE000000138,2023-01-01,2968812,ORD00000138,74220,,Central,60588,SKU028,59376,187
CV,1840320,126810,1503828,CUST024,2023-01-01,191700,43478,3834000,False,False,LINE000000139,2023-01-01,3623130,ORD00000139,36231,,South,19170,SKU028,72463,213
FS,2082240,83723,1886250,CUST001,2023-01-01,130140,50234,4338000,False,False,LINE000000140,2023-01-01,4186170,ORD00000140,0,,North,21690,SKU028,83723,241
MT,2508198,189720,1689365,CUST003,2023-01-01,198660,56916,4966500,False,False,LINE000000141,2023-01-01,4743008,ORD00000141,85374,,South,24832,SKU029,213435,231
GT,2649352,127871,2173952,CUST004,2023-01-01,104920,61378,5246000,False,False,LINE000000142,2023-01-01,5114850,ORD00000142,0,,North,26230,SKU029,102297,244
EC,2410476,357832,1201520,CUST005,2023-01-01,477300,50517,4773000,False,False,LINE000000143,2023-01-01,4209786,ORD00000143,105245,,Central,85914,SKU029,84196,222
CV,1932724,126578,1405320,CUST006,2023-01-01,191350,43398,3827000,False,False,LINE000000144,2023-01-01,3616515,ORD00000144,36165,,South,19135,SKU029,72330,178
FS,1835002,70127,1488995,CUST007,2023-01-01,109005,42076,3633500,False,False,LINE000000145,2023-01-01,3506327,ORD00000145,0,,North,18168,SKU029,70127,169
MT,2915000,210100,1733463,CUST009,2023-01-01,220000,63030,5500000,False,False,LINE000000146,2023-01-01,5252500,ORD00000146,94545,,South,27500,SKU030,236362,220
GT,2848750,131016,2093159,CUST010,2023-01-01,107500,62888,5375000,False,False,LINE000000147,2023-01-01,5240625,ORD00000147,0,,North,26875,SKU030,104812,215
EC,3617250,511670,1547610,CUST011,2023-01-01,682500,72236,6825000,False,False,LINE000000148,2023-01-01,6019650,ORD00000148,150491,,Central,122850,SKU030,120393,273
CV,3484750,217468,2250195,CUST012,2023-01-01,328750,74560,6575000,False,False,LINE000000149,2023-01-01,6213375,ORD00000149,62134,,South,32875,SKU030,124268,263
FS,3021000,110010,2193474,CUST013,2023-01-01,171000,66006,5700000,False,False,LINE000000150,2023-01-01,5500500,ORD00000150,0,,North,28500,SKU030,110010,228
MT,3223065,286328,3111944,CUST015,2023-01-01,299820,85898,7495500,False,False,LINE000000151,2023-01-01,7158202,ORD00000151,128848,,South,37478,SKU031,322119,263
GT,2928945,166030,3333718,CUST016,2023-01-01,136230,79695,6811500,False,False,LINE000000152,2023-01-01,6641212,ORD00000152,0,,North,34058,SKU031,132824,239
EC,3026985,527751,2300199,CUST017,2023-01-01,703950,74506,7039500,False,False,LINE000000153,2023-01-01,6208839,ORD00000153,155221,,Central,126711,SKU031,124177,247
CV,2867670,220577,2949266,CUST018,2023-01-01,333450,75626,6669000,False,False,LINE000000154,2023-01-01,6302205,ORD00000154,63022,,South,33345,SKU031,126044,234
FS,2696100,121011,3039821,CUST019,2023-01-01,188100,72607,6270000,False,False,LINE000000155,2023-01-01,6050550,ORD00000155,0,,North,31350,SKU031,121011,220
MT,3174080,266483,2721861,CUST021,2023-01-01,279040,79945,6976000,False,False,LINE000000156,2023-01-01,6662080,ORD00000156,119917,,South,34880,SKU032,299794,218
GT,3538080,189540,3611369,CUST022,2023-01-01,155520,90979,7776000,False,False,LINE000000157,2023-01-01,7581600,ORD00000157,0,,North,38880,SKU032,151632,243
EC,3494400,575770,2317486,CUST023,2023-01-01,768000,81285,7680000,False,False,LINE000000158,2023-01-01,6773760,ORD00000158,169344,,Central,138240,SKU032,135475,240
CV,3232320,234965,2964037,CUST024,2023-01-01,355200,80559,7104000,False,False,LINE000000159,2023-01-01,6713280,ORD00000159,67133,,South,35520,SKU032,134266,222
FS,3217760,136490,3251846,CUST001,2023-01-01,212160,81894,7072000,False,False,LINE000000160,2023-01-01,6824480,ORD00000160,0,,North,35360,SKU032,136490,221
MT,4924560,391913,3746512,CUST003,2023-01-01,410380,117574,10259500,False,False,LINE000000161,2023-01-01,9797822,ORD00000161,176361,,South,51298,SKU033,440902,289
GT,3033120,154026,2776727,CUST004,2023-01-01,126380,73932,6319000,False,False,LINE000000162,2023-01-01,6161025,ORD00000162,0,,North,31595,SKU033,123220,178
EC,4771200,745202,2750954,CUST005,2023-01-01,994000,105205,9940000,False,False,LINE000000163,2023-01-01,8767080,ORD00000163,219177,,Central,178920,SKU033,175342,280
CV,4703040,324069,3843119,CUST006,2023-01-01,489900,111109,9798000,False,False,LINE000000164,2023-01-01,9259110,ORD00000164,92591,,South,48990,SKU033,185182,276
