closing_balance,covenant_headroom,drawdown,facility_id,interest_expense,interest_rate,month,opening_balance,repayment
5000000000,7000000000,0,TERM,35416667,0.085,2024-08-01,5000000000,0
1950000000,10050000000,0,RCF,12343750,0.075,2024-09-01,2000000000,50000000
5000000000,7000000000,0,TERM,35416667,0.085,2024-09-01,5000000000,0
1900000000,10100000000,0,RCF,12031250,0.075,2024-10-01,1950000000,50000000
5000000000,7000000000,0,TERM,35416667,0.085,2024-10-01,5000000000,0
1850000000,10150000000,0,RCF,11718750,0.075,2024-11-01,1900000000,50000000
5000000000,7000000000,0,TERM,35416667,0.085,2024-11-01,5000000000,0
1800000000,10200000000,0,RCF,11406250,0.075,2024-12-01,1850000000,50000000
5000000000,7000000000,0,TERM,35416667,0.085,2024-12-01,5000000000,0
1750000000,10250000000,0,RCF,11093750,0.075,2025-01-01,1800000000,50000000
5000000000,7000000000,0,TERM,35416667,0.085,2025-01-01,5000000000,0
1700000000,10300000000,0,RCF,10781250,0.075,2025-02-01,1750000000,50000000
5000000000,7000000000,0,TERM,35416667,0.085,2025-02-01,5000000000,0
1650000000,10350000000,0,RCF,10468750,0.075,2025-03-01,1700000000,50000000
5000000000,7000000000,0,TERM,35416667,0.085,2025-03-01,5000000000,0
1600000000,10400000000,0,RCF,10156250,0.075,2025-04-01,1650000000,50000000
5000000000,7000000000,0,TERM,35416667,0.085,2025-04-01,5000000000,0
1550000000,10450000000,0,RCF,9843750,0.075,2025-05-01,1600000000,50000000
5000000000,7000000000,0,TERM,35416667,0.085,2025-05-01,5000000000,0
1500000000,10500000000,0,RCF,9531250,0.075,2025-06-01,1550000000,50000000
5000000000,7000000000,0,TERM,35416667,0.085,2025-06-01,5000000000,0
1450000000,10550000000,0,RCF,9218750,0.075,2025-07-01,1500000000,50000000
5000000000,7000000000,0,TERM,35416667,0.085,2025-07-01,5000000000,0
1400000000,10600000000,0,RCF,8906250,0.075,2025-08-01,1450000000,50000000
5000000000,7000000000,0,TERM,35416667,0.085,2025-08-01,5000000000,0
1350000000,10650000000,0,RCF,8593750,0.075,2025-09-01,1400000000,50000000
5000000000,7000000000,0,TERM,35416667,0.085,2025-09-01,5000000000,0
1300000000,10700000000,0,RCF,8281250,0.075,2025-10-01,1350000000,50000000
5000000000,7000000000,0,TERM,35416667,0.085,2025-10-01,5000000000,0
1250000000,10750000000,0,RCF,7968750,0.075,2025-11-01,1300000000,50000000
5000000000,7000000000,0,TERM,35416667,0.085,2025-11-01,5000000000,0
1200000000,10800000000,0,RCF,7656250,0.075,2025-12-01,1250000000,50000000
5000000000,7000000000,0,TERM,35416667,0.085,2025-12-01,5000000000,0
