closing_units,days_on_hand,expiry_writeoff,inventory_value,month,opening_units,receipts_units,sales_units,sku_id,stockout_flag,unit_cost,warehouse_id
1172,58.7,0,22051180,2023-01-01,1500,271,599,SKU015,False,18815,WH_S
1197,57.3,0,20073690,2023-01-01,1500,324,627,SKU016,False,16770,WH_N
1306,62.5,0,21901620,2023-01-01,1500,433,627,SKU016,False,16770,WH_S
1577,153.6,0,30496026,2023-01-01,1500,385,308,SKU017,False,19338,WH_N
1491,145.2,0,28832958,2023-01-01,1500,299,308,SKU017,False,19338,WH_S
1578,139.2,0,34842240,2023-01-01,1500,418,340,SKU018,False,22080,WH_N
1430,126.2,0,31574400,2023-01-01,1500,270,340,SKU018,False,22080,WH_S
1441,124.2,0,13098690,2023-01-01,1500,289,348,SKU019,False,9090,WH_N
1417,122.2,0,12880530,2023-01-01,1500,265,348,SKU019,False,9090,WH_S
1363,111.4,0,15531385,2023-01-01,1500,230,367,SKU020,False,11395,WH_N
1373,112.2,0,15645335,2023-01-01,1500,240,367,SKU020,False,11395,WH_S
1509,108.8,0,16221750,2023-01-01,1500,425,416,SKU021,False,10750,WH_N
1528,110.2,0,16426000,2023-01-01,1500,444,416,SKU021,False,10750,WH_S
1297,88.6,0,16819496,2023-01-01,1500,236,439,SKU022,False,12968,WH_N
1336,91.3,0,17325248,2023-01-01,1500,275,439,SKU022,False,12968,WH_S
1449,107.1,0,22256640,2023-01-01,1500,355,406,SKU023,False,15360,WH_N
1462,108.0,0,22456320,2023-01-01,1500,368,406,SKU023,False,15360,WH_S
1420,92.6,0,25457760,2023-01-01,1500,380,460,SKU024,False,17928,WH_N
1421,92.7,0,25475688,2023-01-01,1500,381,460,SKU024,False,17928,WH_S
1398,90.0,0,28896660,2023-01-01,1500,364,466,SKU025,False,20670,WH_N
1423,91.6,0,29413410,2023-01-01,1500,389,466,SKU025,False,20670,WH_S
1386,89.4,0,25329150,2023-01-01,1500,351,465,SKU026,False,18275,WH_N
1265,81.6,0,23117875,2023-01-01,1500,230,465,SKU026,False,18275,WH_S
1317,77.2,0,27564810,2023-01-01,1500,329,512,SKU027,False,20930,WH_N
1320,77.3,0,27627600,2023-01-01,1500,332,512,SKU027,False,20930,WH_S
1365,79.4,0,11793600,2023-01-01,1500,381,516,SKU028,False,8640,WH_N
1331,77.4,0,11499840,2023-01-01,1500,347,516,SKU028,False,8640,WH_S
1394,80.1,0,15136052,2023-01-01,1500,416,522,SKU029,False,10858,WH_N
1213,69.7,0,13170754,2023-01-01,1500,235,522,SKU029,False,10858,WH_S
1191,59.6,0,15780750,2023-01-01,1500,290,599,SKU030,False,13250,WH_N
1284,64.3,0,17013000,2023-01-01,1500,383,599,SKU030,False,13250,WH_S
1177,58.8,0,14424135,2023-01-01,1500,278,601,SKU031,False,12255,WH_N
1272,63.5,0,15588360,2023-01-01,1500,373,601,SKU031,False,12255,WH_S
1313,68.9,0,19117280,2023-01-01,1500,385,572,SKU032,False,14560,WH_N
1366,71.6,0,19888960,2023-01-01,1500,438,572,SKU032,False,14560,WH_S
1089,50.2,0,18556560,2023-01-01,1500,240,651,SKU033,False,17040,WH_N
1297,59.8,0,22100880,2023-01-01,1500,448,651,SKU033,False,17040,WH_S
1587,168.2,0,31255965,2023-01-01,1500,370,283,SKU034,False,19695,WH_N
1568,166.2,0,30881760,2023-01-01,1500,351,283,SKU034,False,19695,WH_S
1584,143.6,0,35679600,2023-01-01,1500,415,331,SKU035,False,22525,WH_N
1399,126.8,0,31512475,2023-01-01,1500,230,331,SKU035,False,22525,WH_S
1542,135.3,0,30500760,2023-01-01,1500,384,342,SKU036,False,19780,WH_N
1468,128.8,0,29037040,2023-01-01,1500,310,342,SKU036,False,19780,WH_S
1422,115.9,0,11006280,2023-02-01,1385,405,368,SKU001,False,7740,WH_N
1700,138.6,0,13158000,2023-02-01,1603,465,368,SKU001,False,7740,WH_S
1256,96.4,0,12286192,2023-02-01,1351,296,391,SKU002,False,9782,WH_N
1326,101.7,0,12970932,2023-02-01,1394,323,391,SKU002,False,9782,WH_S
1359,105.6,0,16308000,2023-02-01,1488,257,386,SKU003,False,12000,WH_N
1336,103.8,0,16032000,2023-02-01,1378,344,386,SKU003,False,12000,WH_S
1497,114.0,0,21544824,2023-02-01,1527,364,394,SKU004,False,14392,WH_N
1253,95.4,0,18033176,2023-02-01,1418,229,394,SKU004,False,14392,WH_S
1381,100.1,0,23421760,2023-02-01,1519,276,414,SKU005,False,16960,WH_N
1468,106.4,0,24897280,2023-02-01,1464,418,414,SKU005,False,16960,WH_S
1235,89.1,0,18852275,2023-02-01,1415,236,416,SKU006,False,15265,WH_N
1357,97.9,0,20714605,2023-02-01,1498,275,416,SKU006,False,15265,WH_S
1478,91.8,0,26227110,2023-02-01,1517,444,483,SKU007,False,17745,WH_N
1260,78.3,0,22358700,2023-02-01,1483,260,483,SKU007,False,17745,WH_S
1090,63.5,0,22236000,2023-02-01,1395,210,515,SKU008,False,20400,WH_N
1244,72.5,0,25377600,2023-02-01,1479,280,515,SKU008,False,20400,WH_S
1137,67.5,0,26412510,2023-02-01,1419,223,505,SKU009,False,23230,WH_N
1069,63.5,0,24832870,2023-02-01,1256,318,505,SKU009,False,23230,WH_S
1101,61.3,0,10503540,2023-02-01,1304,336,539,SKU010,False,9540,WH_N
1207,67.2,0,11514780,2023-02-01,1425,321,539,SKU010,False,9540,WH_S
1110,58.9,0,10261950,2023-02-01,1422,253,565,SKU011,False,9245,WH_N
977,51.9,0,9032365,2023-02-01,1327,215,565,SKU011,False,9245,WH_S
906,45.5,0,10305750,2023-02-01,1167,337,598,SKU012,False,11375,WH_N
817,41.0,0,9293375,2023-02-01,1177,238,598,SKU012,False,11375,WH_S
919,42.9,0,12571920,2023-02-01,1250,311,642,SKU013,False,13680,WH_N
871,40.7,0,11915280,2023-02-01,1239,274,642,SKU013,False,13680,WH_S
818,41.1,0,13218880,2023-02-01,1132,283,597,SKU014,False,16160,WH_N
961,48.3,0,15529760,2023-02-01,1230,328,597,SKU014,False,16160,WH_S
736,35.9,0,13847840,2023-02-01,1158,193,615,SKU015,False,18815,WH_N
837,40.8,0,15748155,2023-02-01,1172,280,615,SKU015,False,18815,WH_S
710,31.1,0,11906700,2023-02-01,1197,198,685,SKU016,False,16770,WH_N
844,37.0,0,14153880,2023-02-01,1306,223,685,SKU016,False,16770,WH_S
1626,140.2,0,31443588,2023-02-01,1577,397,348,SKU017,False,19338,WH_N
1512,130.3,0,29239056,2023-02-01,1491,369,348,SKU017,False,19338,WH_S
1532,129.8,0,33826560,2023-02-01,1578,308,354,SKU018,False,22080,WH_N
1435,121.6,0,31684800,2023-02-01,1430,359,354,SKU018,False,22080,WH_S
1353,111.2,0,12298770,2023-02-01,1441,277,365,SKU019,False,9090,WH_N
1330,109.3,0,12089700,2023-02-01,1417,278,365,SKU019,False,9090,WH_S
1366,102.2,0,15565570,2023-02-01,1363,404,401,SKU020,False,11395,WH_N
1300,97.3,0,14813500,2023-02-01,1373,328,401,SKU020,False,11395,WH_S
1346,100.0,0,14469500,2023-02-01,1509,241,404,SKU021,False,10750,WH_N
1531,113.7,0,16458250,2023-02-01,1528,407,404,SKU021,False,10750,WH_S
1192,90.1,0,15457856,2023-02-01,1297,292,397,SKU022,False,12968,WH_N
1263,95.4,0,16378584,2023-02-01,1336,324,397,SKU022,False,12968,WH_S
1347,88.6,0,20689920,2023-02-01,1449,354,456,SKU023,False,15360,WH_N
1311,86.2,0,20136960,2023-02-01,1462,305,456,SKU023,False,15360,WH_S
1165,73.0,0,20886120,2023-02-01,1420,224,479,SKU024,False,17928,WH_N
1282,80.3,0,22983696,2023-02-01,1421,340,479,SKU024,False,17928,WH_S
1266,74.9,0,26168220,2023-02-01,1398,375,507,SKU025,False,20670,WH_N
1189,70.4,0,24576630,2023-02-01,1423,273,507,SKU025,False,20670,WH_S
1086,62.2,0,19846650,2023-02-01,1386,224,524,SKU026,False,18275,WH_N
1082,61.9,0,19773550,2023-02-01,1265,341,524,SKU026,False,18275,WH_S
1040,57.9,0,21767200,2023-02-01,1317,262,539,SKU027,False,20930,WH_N
980,54.5,0,20511400,2023-02-01,1320,199,539,SKU027,False,20930,WH_S
1066,57.2,0,9210240,2023-02-01,1365,260,559,SKU028,False,8640,WH_N
1113,59.7,0,9616320,2023-02-01,1331,341,559,SKU028,False,8640,WH_S
1042,53.6,0,11314036,2023-02-01,1394,231,583,SKU029,False,10858,WH_N
966,49.7,0,10488828,2023-02-01,1213,336,583,SKU029,False,10858,WH_S
882,48.0,0,11686500,2023-02-01,1191,242,551,SKU030,False,13250,WH_N
1024,55.8,0,13568000,2023-02-01,1284,291,551,SKU030,False,13250,WH_S
781,35.8,0,9571155,2023-02-01,1177,258,654,SKU031,False,12255,WH_N
966,44.3,0,11838330,2023-02-01,1272,348,654,SKU031,False,12255,WH_S
1059,50.5,0,15419040,2023-02-01,1313,375,629,SKU032,False,14560,WH_N
996,47.5,0,14501760,2023-02-01,1366,259,629,SKU032,False,14560,WH_S
552,23.4,0,9406080,2023-02-01,1089,172,709,SKU033,False,17040,WH_N
924,39.1,0,15744960,2023-02-01,1297,336,709,SKU033,False,17040,WH_S
1628,146.2,0,32063460,2023-02-01,1587,375,334,SKU034,False,19695,WH_N
1605,144.2,0,31610475,2023-02-01,1568,371,334,SKU034,False,19695,WH_S
1529,142.0,0,34440725,2023-02-01,1584,268,323,SKU035,False,22525,WH_N
1375,127.7,0,30971875,2023-02-01,1399,299,323,SKU035,False,22525,WH_S
1438,114.1,0,28443640,2023-02-01,1542,274,378,SKU036,False,19780,WH_N
1425,113.1,0,28186500,2023-02-01,1468,335,378,SKU036,False,19780,WH_S
1256,97.4,108360,9721440,2023-03-01,1422,235,387,SKU001,False,7740,WH_N
1605,124.4,131580,12422700,2023-03-01,1700,309,387,SKU001,False,7740,WH_S
1148,91.4,117384,11229736,2023-03-01,1256,281,377,SKU002,False,9782,WH_N
1218,96.9,127166,11914476,2023-03-01,1326,282,377,SKU002,False,9782,WH_S
1309,99.7,156000,15708000,2023-03-01,1359,357,394,SKU003,False,12000,WH_N
1169,89.0,156000,14028000,2023-03-01,1336,240,394,SKU003,False,12000,WH_S
1415,103.0,201488,20364680,2023-03-01,1497,344,412,SKU004,False,14392,WH_N
1169,85.1,172704,16824248,2023-03-01,1253,340,412,SKU004,False,14392,WH_S
1257,89.8,220480,21318720,2023-03-01,1381,309,420,SKU005,False,16960,WH_N
1410,100.7,237440,23913600,2023-03-01,1468,376,420,SKU005,False,16960,WH_S
957,61.1,183180,14608605,2023-03-01,1235,204,470,SKU006,False,15265,WH_N
1185,75.6,198445,18089025,2023-03-01,1357,311,470,SKU006,False,15265,WH_S
1352,85.2,248430,23991240,2023-03-01,1478,364,476,SKU007,False,17745,WH_N
1125,70.9,212940,19963125,2023-03-01,1260,353,476,SKU007,False,17745,WH_S
796,49.9,204000,16238400,2023-03-01,1090,195,479,SKU008,False,20400,WH_N
1121,70.2,244800,22868400,2023-03-01,1244,368,479,SKU008,False,20400,WH_S
863,47.2,255530,20047490,2023-03-01,1137,286,549,SKU009,False,23230,WH_N
689,37.7,232300,16005470,2023-03-01,1069,179,549,SKU009,False,23230,WH_S
820,43.2,104940,7822800,2023-03-01,1101,300,570,SKU010,False,9540,WH_N
885,46.6,114480,8442900,2023-03-01,1207,260,570,SKU010,False,9540,WH_S
818,42.0,101695,7562410,2023-03-01,1110,303,584,SKU011,False,9245,WH_N
551,28.3,83205,5093995,2023-03-01,977,167,584,SKU011,False,9245,WH_S
634,38.0,102375,7211750,2023-03-01,906,237,500,SKU012,False,11375,WH_N
443,26.6,91000,5039125,2023-03-01,817,134,500,SKU012,False,11375,WH_S
576,29.9,123120,7879680,2023-03-01,919,244,578,SKU013,False,13680,WH_N
436,22.6,109440,5964480,2023-03-01,871,151,578,SKU013,False,13680,WH_S
381,17.4,129280,6156960,2023-03-01,818,229,658,SKU014,False,16160,WH_N
444,20.2,145440,7175040,2023-03-01,961,150,658,SKU014,False,16160,WH_S
192,8.9,131705,3612480,2023-03-01,736,113,650,SKU015,False,18815,WH_N
356,16.4,150520,6698140,2023-03-01,837,177,650,SKU015,False,18815,WH_S
149,6.7,117390,2498730,2023-03-01,710,110,664,SKU016,False,16770,WH_N
398,18.0,134160,6674460,2023-03-01,844,226,664,SKU016,False,16770,WH_S
1525,134.6,309408,29490450,2023-03-01,1626,255,340,SKU017,False,19338,WH_N
1401,123.6,290070,27092538,2023-03-01,1512,244,340,SKU017,False,19338,WH_S
1472,116.8,331200,32501760,2023-03-01,1532,333,378,SKU018,False,22080,WH_N
1421,112.8,309120,31375680,2023-03-01,1435,378,378,SKU018,False,22080,WH_S
1333,101.5,118170,12116970,2023-03-01,1353,387,394,SKU019,False,9090,WH_N
1198,91.2,118170,10889820,2023-03-01,1330,275,394,SKU019,False,9090,WH_S
1334,95.5,148135,15200930,2023-03-01,1366,400,419,SKU020,False,11395,WH_N
1070,76.6,148135,12192650,2023-03-01,1300,202,419,SKU020,False,11395,WH_S
1219,94.3,139750,13104250,2023-03-01,1346,274,388,SKU021,False,10750,WH_N
1561,120.7,161250,16780750,2023-03-01,1531,433,388,SKU021,False,10750,WH_S
955,70.6,142648,12384440,2023-03-01,1192,180,406,SKU022,False,12968,WH_N
1171,86.5,155616,15185528,2023-03-01,1263,326,406,SKU022,False,12968,WH_S
1142,75.3,199680,17541120,2023-03-01,1347,263,455,SKU023,False,15360,WH_N
1114,73.5,199680,17111040,2023-03-01,1311,271,455,SKU023,False,15360,WH_S
969,63.8,197208,17372232,2023-03-01,1165,271,456,SKU024,False,17928,WH_N
1083,71.2,215136,19416024,2023-03-01,1282,269,456,SKU024,False,17928,WH_S
1023,66.4,248040,21145410,2023-03-01,1266,231,462,SKU025,False,20670,WH_N
1044,67.8,227370,21579480,2023-03-01,1189,328,462,SKU025,False,20670,WH_S
791,46.2,182750,14455525,2023-03-01,1086,229,514,SKU026,False,18275,WH_N
856,50.0,182750,15643400,2023-03-01,1082,298,514,SKU026,False,18275,WH_S
699,36.0,209300,14630070,2023-03-01,1040,252,583,SKU027,False,20930,WH_N
633,32.6,188370,13248690,2023-03-01,980,245,583,SKU027,False,20930,WH_S
792,45.4,86400,6842880,2023-03-01,1066,259,523,SKU028,False,8640,WH_N
789,45.3,95040,6816960,2023-03-01,1113,210,523,SKU028,False,8640,WH_S
647,34.4,108580,7025126,2023-03-01,1042,180,565,SKU029,False,10858,WH_N
572,30.4,97722,6210776,2023-03-01,966,180,565,SKU029,False,10858,WH_S
528,28.0,106000,6996000,2023-03-01,882,220,566,SKU030,False,13250,WH_N
705,37.4,132500,9341250,2023-03-01,1024,257,566,SKU030,False,13250,WH_S
306,14.6,85785,3750030,2023-03-01,781,162,630,SKU031,False,12255,WH_N
556,26.5,110295,6813780,2023-03-01,966,229,630,SKU031,False,12255,WH_S
670,32.3,145600,9755200,2023-03-01,1059,244,623,SKU032,False,14560,WH_N
528,25.4,131040,7687680,2023-03-01,996,164,623,SKU032,False,14560,WH_S
0,0.0,85200,0,2023-03-01,552,110,657,SKU033,False,17040,WH_N
437,19.5,153360,7446480,2023-03-01,924,196,674,SKU033,False,17040,WH_S
1614,149.0,315120,31787730,2023-03-01,1628,327,325,SKU034,False,19695,WH_N
1686,155.6,315120,33205770,2023-03-01,1605,422,325,SKU034,False,19695,WH_S
1538,129.2,337875,34643450,2023-03-01,1529,381,357,SKU035,False,22525,WH_N
1258,105.7,292825,28336450,2023-03-01,1375,253,357,SKU035,False,22525,WH_S
1318,103.5,276920,26070040,2023-03-01,1438,276,382,SKU036,False,19780,WH_N
1287,101.1,276920,25456860,2023-03-01,1425,258,382,SKU036,False,19780,WH_S
1227,93.9,0,9496980,2023-04-01,1256,363,392,SKU001,False,7740,WH_N
1508,115.4,0,11671920,2023-04-01,1605,295,392,SKU001,False,7740,WH_S
1002,77.1,0,9801564,2023-04-01,1148,244,390,SKU002,False,9782,WH_N
1122,86.3,0,10975404,2023-04-01,1218,294,390,SKU002,False,9782,WH_S
1134,85.0,0,13608000,2023-04-01,1309,225,400,SKU003,False,12000,WH_N
947,71.0,0,11364000,2023-04-01,1169,178,400,SKU003,False,12000,WH_S
1382,109.4,0,19889744,2023-04-01,1415,346,379,SKU004,False,14392,WH_N
1119,88.6,0,16104648,2023-04-01,1169,329,379,SKU004,False,14392,WH_S
1087,78.0,0,18435520,2023-04-01,1257,248,418,SKU005,False,16960,WH_N
1412,101.3,0,23947520,2023-04-01,1410,420,418,SKU005,False,16960,WH_S
673,47.2,0,10273345,2023-04-01,957,144,428,SKU006,False,15265,WH_N
1088,76.3,0,16608320,2023-04-01,1185,331,428,SKU006,False,15265,WH_S
1088,65.1,0,19306560,2023-04-01,1352,237,501,SKU007,False,17745,WH_N
877,52.5,0,15562365,2023-04-01,1125,253,501,SKU007,False,17745,WH_S
433,24.7,0,8833200,2023-04-01,796,162,525,SKU008,False,20400,WH_N
925,52.9,0,18870000,2023-04-01,1121,329,525,SKU008,False,20400,WH_S
564,30.6,0,13101720,2023-04-01,863,254,553,SKU009,False,23230,WH_N
289,15.7,0,6713470,2023-04-01,689,153,553,SKU009,False,23230,WH_S
394,21.0,0,3758760,2023-04-01,820,136,562,SKU010,False,9540,WH_N
566,30.2,0,5399640,2023-04-01,885,243,562,SKU010,False,9540,WH_S
455,26.4,0,4206475,2023-04-01,818,155,518,SKU011,False,9245,WH_N
147,8.5,0,1359015,2023-04-01,551,114,518,SKU011,False,9245,WH_S
193,10.0,0,2195375,2023-04-01,634,140,581,SKU012,False,11375,WH_N
0,0.0,0,0,2023-04-01,443,128,571,SKU012,False,11375,WH_S
96,5.1,0,1313280,2023-04-01,576,87,567,SKU013,False,13680,WH_N
0,0.0,0,0,2023-04-01,436,69,505,SKU013,False,13680,WH_S
0,0.0,0,0,2023-04-01,381,73,454,SKU014,False,16160,WH_N
0,0.0,0,0,2023-04-01,444,127,571,SKU014,False,16160,WH_S
0,0.0,0,0,2023-04-01,192,31,223,SKU015,False,18815,WH_N
0,0.0,0,0,2023-04-01,356,59,415,SKU015,False,18815,WH_S
0,0.0,0,0,2023-04-01,149,23,172,SKU016,False,16770,WH_N
0,0.0,0,0,2023-04-01,398,102,500,SKU016,False,16770,WH_S
1495,125.3,0,28910310,2023-04-01,1525,328,358,SKU017,False,19338,WH_N
1321,110.7,0,25545498,2023-04-01,1401,278,358,SKU017,False,19338,WH_S
1532,125.9,0,33826560,2023-04-01,1472,425,365,SKU018,False,22080,WH_N
1415,116.3,0,31243200,2023-04-01,1421,359,365,SKU018,False,22080,WH_S
1281,104.7,0,11644290,2023-04-01,1333,315,367,SKU019,False,9090,WH_N
1183,96.7,0,10753470,2023-04-01,1198,352,367,SKU019,False,9090,WH_S
1224,83.8,0,13947480,2023-04-01,1334,328,438,SKU020,False,11395,WH_N
811,55.5,0,9241345,2023-04-01,1070,179,438,SKU020,False,11395,WH_S
1030,66.0,0,11072500,2023-04-01,1219,279,468,SKU021,False,10750,WH_N
1474,94.5,0,15845500,2023-04-01,1561,381,468,SKU021,False,10750,WH_S
689,44.1,0,8934952,2023-04-01,955,203,469,SKU022,False,12968,WH_N
976,62.4,0,12656768,2023-04-01,1171,274,469,SKU022,False,12968,WH_S
922,61.5,0,14161920,2023-04-01,1142,230,450,SKU023,False,15360,WH_N
968,64.5,0,14868480,2023-04-01,1114,304,450,SKU023,False,15360,WH_S
654,42.1,0,11724912,2023-04-01,969,151,466,SKU024,False,17928,WH_N
923,59.4,0,16547544,2023-04-01,1083,306,466,SKU024,False,17928,WH_S
808,46.7,0,16701360,2023-04-01,1023,304,519,SKU025,False,20670,WH_N
683,39.5,0,14117610,2023-04-01,1044,158,519,SKU025,False,20670,WH_S
436,27.4,0,7967900,2023-04-01,791,123,478,SKU026,False,18275,WH_N
604,37.9,0,11038100,2023-04-01,856,226,478,SKU026,False,18275,WH_S
283,15.8,0,5923190,2023-04-01,699,120,536,SKU027,False,20930,WH_N
193,10.8,0,4039490,2023-04-01,633,96,536,SKU027,False,20930,WH_S
408,22.7,0,3525120,2023-04-01,792,155,539,SKU028,False,8640,WH_N
388,21.6,0,3352320,2023-04-01,789,138,539,SKU028,False,8640,WH_S
205,9.9,0,2225890,2023-04-01,647,182,624,SKU029,False,10858,WH_N
88,4.2,0,955504,2023-04-01,572,140,624,SKU029,False,10858,WH_S
36,1.8,0,477000,2023-04-01,528,112,604,SKU030,False,13250,WH_N
214,10.6,0,2835500,2023-04-01,705,113,604,SKU030,False,13250,WH_S
0,0.0,0,0,2023-04-01,306,59,365,SKU031,False,12255,WH_N
92,4.6,0,1127460,2023-04-01,556,130,594,SKU031,False,12255,WH_S
182,8.6,0,2649920,2023-04-01,670,147,635,SKU032,False,14560,WH_N
28,1.3,0,407680,2023-04-01,528,135,635,SKU032,False,14560,WH_S
0,0.0,0,0,2023-04-01,0,0,0,SKU033,False,17040,WH_N
0,0.0,0,0,2023-04-01,437,120,557,SKU033,False,17040,WH_S
1587,141.7,0,31255965,2023-04-01,1614,309,336,SKU034,False,19695,WH_N
1799,160.6,0,35431305,2023-04-01,1686,449,336,SKU034,False,19695,WH_S
1442,117.9,0,32481050,2023-04-01,1538,271,367,SKU035,False,22525,WH_N
1217,99.5,0,27412925,2023-04-01,1258,326,367,SKU035,False,22525,WH_S
1136,83.7,0,22470080,2023-04-01,1318,225,407,SKU036,False,19780,WH_N
1214,89.5,0,24012920,2023-04-01,1287,334,407,SKU036,False,19780,WH_S
1179,109.8,0,9125460,2023-05-01,1227,274,322,SKU001,False,7740,WH_N
1480,137.9,0,11455200,2023-05-01,1508,294,322,SKU001,False,7740,WH_S
944,89.3,0,9234208,2023-05-01,1002,259,317,SKU002,False,9782,WH_N
1082,102.4,0,10584124,2023-05-01,1122,277,317,SKU002,False,9782,WH_S
1095,93.9,0,13140000,2023-05-01,1134,311,350,SKU003,False,12000,WH_N
834,71.5,0,10008000,2023-05-01,947,237,350,SKU003,False,12000,WH_S
1382,105.8,0,19889744,2023-05-01,1382,392,392,SKU004,False,14392,WH_N
1040,79.6,0,14967680,2023-05-01,1119,313,392,SKU004,False,14392,WH_S
1036,84.0,0,17570560,2023-05-01,1087,319,370,SKU005,False,16960,WH_N
1274,103.3,0,21607040,2023-05-01,1412,232,370,SKU005,False,16960,WH_S
365,25.5,0,5571725,2023-05-01,673,122,430,SKU006,False,15265,WH_N
952,66.4,0,14532280,2023-05-01,1088,294,430,SKU006,False,15265,WH_S
847,59.0,0,15030015,2023-05-01,1088,190,431,SKU007,False,17745,WH_N
686,47.7,0,12173070,2023-05-01,877,240,431,SKU007,False,17745,WH_S
54,3.4,0,1101600,2023-05-01,433,98,477,SKU008,False,20400,WH_N
697,43.8,0,14218800,2023-05-01,925,249,477,SKU008,False,20400,WH_S
207,12.1,0,4808610,2023-05-01,564,156,513,SKU009,False,23230,WH_N
0,0.0,0,0,2023-05-01,289,61,350,SKU009,False,23230,WH_S
0,0.0,0,0,2023-05-01,394,68,462,SKU010,False,9540,WH_N
180,10.9,0,1717200,2023-05-01,566,109,495,SKU010,False,9540,WH_S
28,1.5,0,258860,2023-05-01,455,132,559,SKU011,False,9245,WH_N
0,0.0,0,0,2023-05-01,147,32,179,SKU011,False,9245,WH_S
0,0.0,0,0,2023-05-01,193,33,226,SKU012,False,11375,WH_N
0,0.0,0,0,2023-05-01,0,0,0,SKU012,False,11375,WH_S
0,0.0,0,0,2023-05-01,96,15,111,SKU013,False,13680,WH_N
0,0.0,0,0,2023-05-01,0,0,0,SKU013,False,13680,WH_S
0,0.0,0,0,2023-05-01,0,0,0,SKU014,False,16160,WH_N
0,0.0,0,0,2023-05-01,0,0,0,SKU014,False,16160,WH_S
0,0.0,0,0,2023-05-01,0,0,0,SKU015,False,18815,WH_N
0,0.0,0,0,2023-05-01,0,0,0,SKU015,False,18815,WH_S
0,0.0,0,0,2023-05-01,0,0,0,SKU016,False,16770,WH_N
0,0.0,0,0,2023-05-01,0,0,0,SKU016,False,16770,WH_S
1525,151.0,0,29490450,2023-05-01,1495,333,303,SKU017,False,19338,WH_N
1365,135.1,0,26396370,2023-05-01,1321,347,303,SKU017,False,19338,WH_S
1460,137.7,0,32236800,2023-05-01,1532,246,318,SKU018,False,22080,WH_N
1360,128.3,0,30028800,2023-05-01,1415,263,318,SKU018,False,22080,WH_S
1172,112.0,0,10653480,2023-05-01,1281,205,314,SKU019,False,9090,WH_N
1140,108.9,0,10362600,2023-05-01,1183,271,314,SKU019,False,9090,WH_S
1197,100.9,0,13639815,2023-05-01,1224,329,356,SKU020,False,11395,WH_N
671,56.5,0,7646045,2023-05-01,811,216,356,SKU020,False,11395,WH_S
934,72.0,0,10040500,2023-05-01,1030,293,389,SKU021,False,10750,WH_N
1360,104.9,0,14620000,2023-05-01,1474,275,389,SKU021,False,10750,WH_S
413,28.7,0,5355784,2023-05-01,689,156,432,SKU022,False,12968,WH_N
722,50.1,0,9362896,2023-05-01,976,178,432,SKU022,False,12968,WH_S
712,48.7,0,10936320,2023-05-01,922,229,439,SKU023,False,15360,WH_N
754,51.5,0,11581440,2023-05-01,968,225,439,SKU023,False,15360,WH_S
