attributed_net_sales,cac,campaign_id,channel_id,clicks,impressions,month,orders,roas,spend
145264324,25011.08,CAMP_202305_GT,GT,302634,3026340,2023-05-01,1452,4.0,36316081
150079620,25013.27,CAMP_202305_EC,EC,312665,3126658,2023-05-01,1500,4.0,37519905
126580324,25015.87,CAMP_202305_CV,CV,263709,2637090,2023-05-01,1265,4.0,31645081
139208396,25001.51,CAMP_202305_FS,FS,290017,2900174,2023-05-01,1392,4.0,34802099
165205244,25000.79,CAMP_202306_MT,MT,344177,3441775,2023-06-01,1652,4.0,41301311
133451720,25009.69,CAMP_202306_GT,GT,278024,2780244,2023-06-01,1334,4.0,33362930
151826012,25004.28,CAMP_202306_EC,EC,316304,3163041,2023-06-01,1518,4.0,37956503
152073568,25012.1,CAMP_202306_CV,CV,316819,3168199,2023-06-01,1520,4.0,38018392
133099548,25018.71,CAMP_202306_FS,FS,277290,2772907,2023-06-01,1330,4.0,33274887
121532664,25006.72,CAMP_202307_MT,MT,253193,2531930,2023-07-01,1215,4.0,30383166
136814264,25002.61,CAMP_202307_GT,GT,285029,2850297,2023-07-01,1368,4.0,34203566
124354736,25011.01,CAMP_202307_EC,EC,259072,2590723,2023-07-01,1243,4.0,31088684
122027356,25005.61,CAMP_202307_CV,CV,254223,2542236,2023-07-01,1220,4.0,30506839
138105692,25001.03,CAMP_202307_FS,FS,287720,2877201,2023-07-01,1381,4.0,34526423
125296320,25019.23,CAMP_202308_MT,MT,261034,2610340,2023-08-01,1252,4.0,31324080
144985264,25014.71,CAMP_202308_GT,GT,302052,3020526,2023-08-01,1449,4.0,36246316
129359800,25011.56,CAMP_202308_EC,EC,269499,2694995,2023-08-01,1293,4.0,32339950
153988588,25014.39,CAMP_202308_CV,CV,320809,3208095,2023-08-01,1539,4.0,38497147
151896384,25015.87,CAMP_202308_FS,FS,316450,3164508,2023-08-01,1518,4.0,37974096
155422984,25003.7,CAMP_202309_MT,MT,323797,3237978,2023-09-01,1554,4.0,38855746
170525856,25003.79,CAMP_202309_GT,GT,355262,3552622,2023-09-01,1705,4.0,42631464
165406928,25001.05,CAMP_202309_EC,EC,344597,3445977,2023-09-01,1654,4.0,41351732
169986308,25012.7,CAMP_202309_CV,CV,354138,3541381,2023-09-01,1699,4.0,42496577
128938596,25007.49,CAMP_202309_FS,FS,268622,2686220,2023-09-01,1289,4.0,32234649
128245672,25008.91,CAMP_202310_MT,MT,267178,2671784,2023-10-01,1282,4.0,32061418
128072796,25014.22,CAMP_202310_GT,GT,266818,2668183,2023-10-01,1280,4.0,32018199
171913900,25002.02,CAMP_202310_EC,EC,358153,3581539,2023-10-01,1719,4.0,42978475
166581412,25012.22,CAMP_202310_CV,CV,347044,3470446,2023-10-01,1665,4.0,41645353
158914308,25002.25,CAMP_202310_FS,FS,331071,3310714,2023-10-01,1589,4.0,39728577
146995840,25016.31,CAMP_202311_MT,MT,306241,3062413,2023-11-01,1469,4.0,36748960
128184868,25016.56,CAMP_202311_GT,GT,267051,2670518,2023-11-01,1281,4.0,32046217
161952456,25008.1,CAMP_202311_EC,EC,337400,3374009,2023-11-01,1619,4.0,40488114
149154048,25009.06,CAMP_202311_CV,CV,310737,3107376,2023-11-01,1491,4.0,37288512
137876700,25013.92,CAMP_202311_FS,FS,287243,2872431,2023-11-01,1378,4.0,34469175
123705700,25001.15,CAMP_202312_MT,MT,257720,2577202,2023-12-01,1237,4.0,30926425
153769980,25011.38,CAMP_202312_GT,GT,320354,3203541,2023-12-01,1537,4.0,38442495
146177912,25013.33,CAMP_202312_EC,EC,304537,3045373,2023-12-01,1461,4.0,36544478
131267084,25012.78,CAMP_202312_CV,CV,273473,2734730,2023-12-01,1312,4.0,32816771
150625416,25004.22,CAMP_202312_FS,FS,313802,3138029,2023-12-01,1506,4.0,37656354
125102840,25000.57,CAMP_202401_MT,MT,260630,2606309,2024-01-01,1251,4.0,31275710
154166988,25010.87,CAMP_202401_GT,GT,321181,3211812,2024-01-01,1541,4.0,38541747
240716392,25001.7,CAMP_202401_EC,EC,501492,5014924,2024-01-01,2407,4.0,60179098
127921268,25004.16,CAMP_202401_CV,CV,266502,2665026,2024-01-01,1279,4.0,31980317
125107804,25001.56,CAMP_202401_FS,FS,260641,2606412,2024-01-01,1251,4.0,31276951
139439956,25007.17,CAMP_202402_MT,MT,290499,2904999,2024-02-01,1394,4.0,34859989
158661276,25009.66,CAMP_202402_GT,GT,330544,3305443,2024-02-01,1586,4.0,39665319
343838448,25002.8,CAMP_202402_EC,EC,716330,7163301,2024-02-01,3438,4.0,85959612
163253064,25008.13,CAMP_202402_CV,CV,340110,3401105,2024-02-01,1632,4.0,40813266
168827724,25004.11,CAMP_202402_FS,FS,351724,3517244,2024-02-01,1688,4.0,42206931
151092612,25015.33,CAMP_202403_MT,MT,314776,3147762,2024-03-01,1510,4.0,37773153
159985240,25013.33,CAMP_202403_GT,GT,333302,3333025,2024-03-01,1599,4.0,39996310
304910648,25000.87,CAMP_202403_EC,EC,635230,6352305,2024-03-01,3049,4.0,76227662
134036080,25006.73,CAMP_202403_CV,CV,279241,2792418,2024-03-01,1340,4.0,33509020
149646332,25007.74,CAMP_202403_FS,FS,311763,3117631,2024-03-01,1496,4.0,37411583
143048756,25008.52,CAMP_202404_MT,MT,298018,2980182,2024-04-01,1430,4.0,35762189
171007420,25001.08,CAMP_202404_GT,GT,356265,3562654,2024-04-01,1710,4.0,42751855
326861216,25004.68,CAMP_202404_EC,EC,680960,6809608,2024-04-01,3268,4.0,81715304
164394948,25014.45,CAMP_202404_CV,CV,342489,3424894,2024-04-01,1643,4.0,41098737
121113360,25002.76,CAMP_202404_FS,FS,252319,2523195,2024-04-01,1211,4.0,30278340
162266756,25010.29,CAMP_202405_MT,MT,338055,3380557,2024-05-01,1622,4.0,40566689
125014708,25002.94,CAMP_202405_GT,GT,260447,2604473,2024-05-01,1250,4.0,31253677
309220744,25001.68,CAMP_202405_EC,EC,644209,6442098,2024-05-01,3092,4.0,77305186
163836004,25005.5,CAMP_202405_CV,CV,341325,3413250,2024-05-01,1638,4.0,40959001
157401580,25000.25,CAMP_202405_FS,FS,327919,3279199,2024-05-01,1574,4.0,39350395
149363072,25010.56,CAMP_202406_MT,MT,311173,3111730,2024-06-01,1493,4.0,37340768
144162552,25010.85,CAMP_202406_GT,GT,300338,3003386,2024-06-01,1441,4.0,36040638
261666064,25006.31,CAMP_202406_EC,EC,545137,5451376,2024-06-01,2616,4.0,65416516
125591040,25018.14,CAMP_202406_CV,CV,261648,2616480,2024-06-01,1255,4.0,31397760
153135696,25005.83,CAMP_202406_FS,FS,319032,3190327,2024-06-01,1531,4.0,38283924
160209256,25001.44,CAMP_202407_MT,MT,333769,3337692,2024-07-01,1602,4.0,40052314
124000328,25000.07,CAMP_202407_GT,GT,258334,2583340,2024-07-01,1240,4.0,31000082
291433368,25002.86,CAMP_202407_EC,EC,607152,6071528,2024-07-01,2914,4.0,72858342
133561192,25011.46,CAMP_202407_CV,CV,278252,2782524,2024-07-01,1335,4.0,33390298
150313196,25002.19,CAMP_202407_FS,FS,313152,3131524,2024-07-01,1503,4.0,37578299
145909628,25001.65,CAMP_202408_MT,MT,303978,3039783,2024-08-01,1459,4.0,36477407
126434476,25006.82,CAMP_202408_GT,GT,263405,2634051,2024-08-01,1264,4.0,31608619
275905384,25000.49,CAMP_202408_EC,EC,574802,5748028,2024-08-01,2759,4.0,68976346
143140512,25007.08,CAMP_202408_CV,CV,298209,2982094,2024-08-01,1431,4.0,35785128
141044516,25007.89,CAMP_202408_FS,FS,293842,2938427,2024-08-01,1410,4.0,35261129
156133172,25005.31,CAMP_202409_MT,MT,325277,3252774,2024-09-01,1561,4.0,39033293
139042216,25007.59,CAMP_202409_GT,GT,289671,2896712,2024-09-01,1390,4.0,34760554
305858848,25004.81,CAMP_202409_EC,EC,637205,6372059,2024-09-01,3058,4.0,76464712
164077208,25011.77,CAMP_202409_CV,CV,341827,3418275,2024-09-01,1640,4.0,41019302
123616824,25003.4,CAMP_202409_FS,FS,257535,2575350,2024-09-01,1236,4.0,30904206
164540468,25006.15,CAMP_202410_MT,MT,342792,3427926,2024-10-01,1645,4.0,41135117
167576808,25011.46,CAMP_202410_GT,GT,349118,3491183,2024-10-01,1675,4.0,41894202
313235520,25002.84,CAMP_202410_EC,EC,652574,6525740,2024-10-01,3132,4.0,78308880
127554896,25010.76,CAMP_202410_CV,CV,265739,2657393,2024-10-01,1275,4.0,31888724
169777800,25011.46,CAMP_202410_FS,FS,353703,3537037,2024-10-01,1697,4.0,42444450
145921920,25003.76,CAMP_202411_MT,MT,304004,3040040,2024-11-01,1459,4.0,36480480
129731528,25006.08,CAMP_202411_GT,GT,270274,2702740,2024-11-01,1297,4.0,32432882
297370192,25005.9,CAMP_202411_EC,EC,619521,6195212,2024-11-01,2973,4.0,74342548
130931924,25006.1,CAMP_202411_CV,CV,272774,2727748,2024-11-01,1309,4.0,32732981
150665616,25010.89,CAMP_202411_FS,FS,313886,3138867,2024-11-01,1506,4.0,37666404
152367568,25011.09,CAMP_202412_MT,MT,317432,3174324,2024-12-01,1523,4.0,38091892
136600640,25000.12,CAMP_202412_GT,GT,284584,2845846,2024-12-01,1366,4.0,34150160
284289696,25007.89,CAMP_202412_EC,EC,592270,5922702,2024-12-01,2842,4.0,71072424
133228128,25005.28,CAMP_202412_CV,CV,277558,2775586,2024-12-01,1332,4.0,33307032
131479056,25015.04,CAMP_202412_FS,FS,273914,2739147,2024-12-01,1314,4.0,32869764
161898568,25015.23,CAMP_202501_MT,MT,337288,3372886,2025-01-01,1618,4.0,40474642
164170800,25010.79,CAMP_202501_GT,GT,342022,3420225,2025-01-01,1641,4.0,41042700
124915672,25003.14,CAMP_202501_EC,EC,260240,2602409,2025-01-01,1249,4.0,31228918
148379584,25013.42,CAMP_202501_CV,CV,309124,3091241,2025-01-01,1483,4.0,37094896
129524384,25004.71,CAMP_202501_FS,FS,269842,2698424,2025-01-01,1295,4.0,32381096
170632640,25004.78,CAMP_202502_MT,MT,355484,3554846,2025-02-01,1706,4.0,42658160
165567548,25010.2,CAMP_202502_GT,GT,344932,3449323,2025-02-01,1655,4.0,41391887
167363064,25009.42,CAMP_202502_EC,EC,348673,3486730,2025-02-01,1673,4.0,41840766
134587016,25016.17,CAMP_202502_CV,CV,280389,2803896,2025-02-01,1345,4.0,33646754
131221360,25004.07,CAMP_202502_FS,FS,273377,2733778,2025-02-01,1312,4.0,32805340
166214616,25002.2,CAMP_202503_MT,MT,346280,3462804,2025-03-01,1662,4.0,41553654
144206972,25001.21,CAMP_202503_GT,GT,300431,3004311,2025-03-01,1442,4.0,36051743
161359320,25009.19,CAMP_202503_EC,EC,336165,3361652,2025-03-01,1613,4.0,40339830
153073788,25012.06,CAMP_202503_CV,CV,318903,3189037,2025-03-01,1530,4.0,38268447
153739252,25006.38,CAMP_202503_FS,FS,320290,3202901,2025-03-01,1537,4.0,38434813
148807056,25001.19,CAMP_202504_MT,MT,310014,3100147,2025-04-01,1488,4.0,37201764
122793960,25019.14,CAMP_202504_GT,GT,255820,2558207,2025-04-01,1227,4.0,30698490
127617180,25003.37,CAMP_202504_EC,EC,265869,2658691,2025-04-01,1276,4.0,31904295
123769476,25014.04,CAMP_202504_CV,CV,257853,2578530,2025-04-01,1237,4.0,30942369
165784464,25012.74,CAMP_202504_FS,FS,345384,3453843,2025-04-01,1657,4.0,41446116
130815552,25002.97,CAMP_202505_MT,MT,272532,2725324,2025-05-01,1308,4.0,32703888
143108640,25001.51,CAMP_202505_GT,GT,298143,2981430,2025-05-01,1431,4.0,35777160
146557932,25009.89,CAMP_202505_EC,EC,305329,3053290,2025-05-01,1465,4.0,36639483
158218164,25002.87,CAMP_202505_CV,CV,329621,3296211,2025-05-01,1582,4.0,39554541
133556148,25010.51,CAMP_202505_FS,FS,278241,2782419,2025-05-01,1335,4.0,33389037
139579404,25014.23,CAMP_202506_MT,MT,290790,2907904,2025-06-01,1395,4.0,34894851
171942332,25006.16,CAMP_202506_GT,GT,358213,3582131,2025-06-01,1719,4.0,42985583
144514464,25002.5,CAMP_202506_EC,EC,301071,3010718,2025-06-01,1445,4.0,36128616
136242808,25007.86,CAMP_202506_CV,CV,283839,2838391,2025-06-01,1362,4.0,34060702
166654100,25008.12,CAMP_202506_FS,FS,347196,3471960,2025-06-01,1666,4.0,41663525
139294348,25016.94,CAMP_202507_MT,MT,290196,2901965,2025-07-01,1392,4.0,34823587
129501760,25000.34,CAMP_202507_GT,GT,269795,2697953,2025-07-01,1295,4.0,32375440
133775516,25014.12,CAMP_202507_EC,EC,278698,2786989,2025-07-01,1337,4.0,33443879
125481988,25016.35,CAMP_202507_CV,CV,261420,2614208,2025-07-01,1254,4.0,31370497
144492908,25016.09,CAMP_202507_FS,FS,301026,3010268,2025-07-01,1444,4.0,36123227
157884644,25013.41,CAMP_202508_MT,MT,328926,3289263,2025-08-01,1578,4.0,39471161
154331224,25005.06,CAMP_202508_GT,GT,321523,3215233,2025-08-01,1543,4.0,38582806
121531384,25006.46,CAMP_202508_EC,EC,253190,2531903,2025-08-01,1215,4.0,30382846
138559200,25010.69,CAMP_202508_CV,CV,288665,2886650,2025-08-01,1385,4.0,34639800
141746436,25008.19,CAMP_202508_FS,FS,295305,2953050,2025-08-01,1417,4.0,35436609
171257896,25008.45,CAMP_202509_MT,MT,356787,3567872,2025-09-01,1712,4.0,42814474
127534896,25006.84,CAMP_202509_GT,GT,265697,2656977,2025-09-01,1275,4.0,31883724
156236856,25005.9,CAMP_202509_EC,EC,325493,3254934,2025-09-01,1562,4.0,39059214
160321004,25003.28,CAMP_202509_CV,CV,334002,3340020,2025-09-01,1603,4.0,40080251
137807076,25001.28,CAMP_202509_FS,FS,287098,2870980,2025-09-01,1378,4.0,34451769
139892096,25016.47,CAMP_202510_MT,MT,291441,2914418,2025-10-01,1398,4.0,34973024
153010928,25001.79,CAMP_202510_GT,GT,318772,3187727,2025-10-01,1530,4.0,38252732
130321276,25004.08,CAMP_202510_EC,EC,271502,2715026,2025-10-01,1303,4.0,32580319
162014392,25002.22,CAMP_202510_CV,CV,337529,3375299,2025-10-01,1620,4.0,40503598
158777524,25012.21,CAMP_202510_FS,FS,330786,3307865,2025-10-01,1587,4.0,39694381
135768564,25012.63,CAMP_202511_MT,MT,282851,2828511,2025-11-01,1357,4.0,33942141
153204524,25000.74,CAMP_202511_GT,GT,319176,3191760,2025-11-01,1532,4.0,38301131
163583864,25012.82,CAMP_202511_EC,EC,340799,3407997,2025-11-01,1635,4.0,40895966
130402832,25000.54,CAMP_202511_CV,CV,271672,2716725,2025-11-01,1304,4.0,32600708
153341236,25006.72,CAMP_202511_FS,FS,319460,3194609,2025-11-01,1533,4.0,38335309
141936232,25006.38,CAMP_202512_MT,MT,295700,2957004,2025-12-01,1419,4.0,35484058
160848088,25007.48,CAMP_202512_GT,GT,335100,3351001,2025-12-01,1608,4.0,40212022
159681316,25012.74,CAMP_202512_EC,EC,332669,3326694,2025-12-01,1596,4.0,39920329
156608528,25001.36,CAMP_202512_CV,CV,326267,3262677,2025-12-01,1566,4.0,39152132
156750224,25008.01,CAMP_202512_FS,FS,326562,3265629,2025-12-01,1567,4.0,39187556
