cash_collected,closing_ar,credit_note,customer_id,dso,invoiced,month,opening_ar,overdue_0_30,overdue_31_60,overdue_61_plus
32540917,57620660,0,CUST003,45,53289000,2023-03-01,36872578,31691363,14405165,11524132
32246052,58519331,0,CUST004,45,51728624,2023-03-01,39036759,32185632,14629833,11703866
32396021,53205186,0,CUST005,45,50283702,2023-03-01,35317505,29262853,13301297,10641037
32461125,57323029,0,CUST006,45,52101157,2023-03-01,37682996,31527666,14330757,11464606
37433464,57657267,0,CUST007,45,57787094,2023-03-01,37303637,31711497,14414317,11531453
0,0,0,CUST008,45,0,2023-03-01,0,0,0,0
48937102,7585710,0,CUST009,30,50762547,2023-03-01,5760265,4172141,1896428,1517142
50549196,7623133,0,CUST010,30,53436825,2023-03-01,4735504,4192723,1905783,1524627
44007775,10452164,0,CUST011,30,47468799,2023-03-01,6991140,5748690,2613041,2090433
46187408,10105988,0,CUST012,30,50489460,2023-03-01,5803936,5558294,2526497,2021198
49750642,5137061,0,CUST013,30,50566966,2023-03-01,4320737,2825383,1284265,1027412
0,0,0,CUST014,30,0,2023-03-01,0,0,0,0
56836944,6893597,0,CUST015,30,58899147,2023-03-01,4831394,3791478,1723399,1378719
48523743,8489047,0,CUST016,30,52281938,2023-03-01,4730852,4668976,2122262,1697809
48806978,6278347,0,CUST017,7,52774911,2023-03-01,2310414,3453091,1569587,1255669
47596392,10319914,0,CUST018,7,52408283,2023-03-01,5508023,5675953,2579978,2063983
57700205,3759769,0,CUST019,7,58754988,2023-03-01,2704986,2067873,939942,751954
0,0,0,CUST020,7,0,2023-03-01,0,0,0,0
53455753,4529183,0,CUST021,7,54080218,2023-03-01,3904718,2491051,1132296,905837
51250710,11798253,0,CUST022,30,56562187,2023-03-01,6486776,6489039,2949563,2359651
48984381,6158577,0,CUST023,30,49788900,2023-03-01,5354059,3387217,1539644,1231715
47572540,6565062,0,CUST024,30,52087455,2023-03-01,2050147,3610784,1641266,1313012
32261086,79775681,0,CUST001,45,51014242,2023-04-01,61022525,43876624,19943920,15955136
0,0,0,CUST002,45,0,2023-04-01,0,0,0,0
33462037,77756567,0,CUST003,45,53597943,2023-04-01,57620660,42766112,19439142,15551313
33918886,80795545,0,CUST004,45,56195100,2023-04-01,58519331,44437550,20198886,16159109
31587844,70848377,0,CUST005,45,49231035,2023-04-01,53205186,38966608,17712094,14169675
38004290,76387761,0,CUST006,45,57069023,2023-04-01,57323029,42013269,19096940,15277552
35719965,75794918,0,CUST007,45,53857616,2023-04-01,57657267,41687205,18948729,15158984
0,0,0,CUST008,45,0,2023-04-01,0,0,0,0
54142745,12479631,0,CUST009,30,59036666,2023-04-01,7585710,6863797,3119908,2495926
57126095,11578350,0,CUST010,30,61081312,2023-04-01,7623133,6368093,2894588,2315670
52283701,10794757,0,CUST011,30,52626294,2023-04-01,10452164,5937116,2698689,2158951
51749972,13849724,0,CUST012,30,55493707,2023-04-01,10105988,7617348,3462431,2769945
48275233,8955905,0,CUST013,30,52094077,2023-04-01,5137061,4925748,2238976,1791181
0,0,0,CUST014,30,0,2023-04-01,0,0,0,0
55942229,9978962,0,CUST015,30,59027595,2023-04-01,6893597,5488429,2494741,1995792
50790434,13798162,0,CUST016,30,56099550,2023-04-01,8489047,7588989,3449541,2759632
46896033,8354481,0,CUST017,7,48972168,2023-04-01,6278347,4594965,2088620,1670896
52724355,15689906,0,CUST018,7,58094347,2023-04-01,10319914,8629448,3922476,3137981
51932381,8731989,0,CUST019,7,56904602,2023-04-01,3759769,4802594,2182997,1746398
0,0,0,CUST020,7,0,2023-04-01,0,0,0,0
47048070,7591395,0,CUST021,7,50110282,2023-04-01,4529183,4175267,1897849,1518279
49650520,12898920,0,CUST022,30,50751187,2023-04-01,11798253,7094406,3224730,2579784
46852904,6341851,0,CUST023,30,47036178,2023-04-01,6158577,3488018,1585463,1268370
44140437,10684830,0,CUST024,30,48260205,2023-04-01,6565062,5876656,2671207,2136966
33188361,100888352,0,CUST001,45,54301032,2023-05-01,79775681,55488593,25222088,20177670
0,0,0,CUST002,45,0,2023-05-01,0,0,0,0
30043324,97140700,0,CUST003,45,49427458,2023-05-01,77756567,53427385,24285175,19428140
33338346,101376650,0,CUST004,45,53919451,2023-05-01,80795545,55757158,25344163,20275330
28748738,87368730,0,CUST005,45,45269091,2023-05-01,70848377,48052802,21842183,17473746
32684805,93218121,0,CUST006,45,49515165,2023-05-01,76387761,51269967,23304530,18643624
31372760,95971011,0,CUST007,45,51548853,2023-05-01,75794918,52784056,23992753,19194202
0,0,0,CUST008,45,0,2023-05-01,0,0,0,0
45758757,16076228,0,CUST009,30,49355354,2023-05-01,12479631,8841925,4019057,3215246
41547249,14209813,0,CUST010,30,44178712,2023-05-01,11578350,7815397,3552453,2841963
41094549,14683090,0,CUST011,30,44982882,2023-05-01,10794757,8075700,3670773,2936618
42772459,15297120,0,CUST012,30,44219856,2023-05-01,13849724,8413416,3824280,3059424
47804371,10344822,0,CUST013,30,49193288,2023-05-01,8955905,5689652,2586206,2068964
0,0,0,CUST014,30,0,2023-05-01,0,0,0,0
47203584,13951919,0,CUST015,30,51176540,2023-05-01,9978962,7673555,3487980,2790384
51258436,14866514,0,CUST016,30,52326787,2023-05-01,13798162,8176582,3716628,2973303
39281133,10708600,0,CUST017,7,41635251,2023-05-01,8354481,5889730,2677150,2141720
48322538,17044600,0,CUST018,7,49677232,2023-05-01,15689906,9374530,4261150,3408920
49561236,11556261,0,CUST019,7,52385508,2023-05-01,8731989,6355944,2889065,2311252
0,0,0,CUST020,7,0,2023-05-01,0,0,0,0
53140636,7692963,0,CUST021,7,53242204,2023-05-01,7591395,4231130,1923241,1538593
52864656,14605014,0,CUST022,30,54570750,2023-05-01,12898920,8032758,3651254,2921003
49496363,7025555,0,CUST023,30,50180067,2023-05-01,6341851,3864056,1756389,1405111
46875211,11325637,0,CUST024,30,47516018,2023-05-01,10684830,6229100,2831409,2265127
31516751,116651775,0,CUST001,45,47280175,2023-06-01,100888352,64158477,29162944,23330355
0,0,0,CUST002,45,0,2023-06-01,0,0,0,0
31018623,116522203,0,CUST003,45,50400125,2023-06-01,97140700,64087211,29130551,23304441
33085922,119706378,0,CUST004,45,51415650,2023-06-01,101376650,65838508,29926595,23941276
28850505,102999249,0,CUST005,45,44481024,2023-06-01,87368730,56649587,25749812,20599850
31252916,113233344,0,CUST006,45,51268139,2023-06-01,93218121,62278339,28308336,22646669
32604956,116479171,0,CUST007,45,53113117,2023-06-01,95971011,64063544,29119793,23295834
0,0,0,CUST008,45,0,2023-06-01,0,0,0,0
53724863,17263866,0,CUST009,30,54912501,2023-06-01,16076228,9495126,4315966,3452773
52542716,19084846,0,CUST010,30,57417749,2023-06-01,14209813,10496665,4771211,3816969
44415991,14947455,0,CUST011,30,44680356,2023-06-01,14683090,8221100,3736864,2989491
47825364,20222129,0,CUST012,30,52750373,2023-06-01,15297120,11122171,5055532,4044426
50476711,13787968,0,CUST013,30,53919857,2023-06-01,10344822,7583382,3446992,2757594
0,0,0,CUST014,30,0,2023-06-01,0,0,0,0
46619614,19099989,0,CUST015,30,51767685,2023-06-01,13951919,10504994,4774997,3819998
48228516,15716084,0,CUST016,30,49078087,2023-06-01,14866514,8643846,3929021,3143217
45750879,13838602,0,CUST017,7,48880881,2023-06-01,10708600,7611231,3459650,2767720
49445022,17334455,0,CUST018,7,49734877,2023-06-01,17044600,9533950,4333614,3466891
49520358,16137180,0,CUST019,7,54101277,2023-06-01,11556261,8875449,4034295,3227436
0,0,0,CUST020,7,0,2023-06-01,0,0,0,0
45643627,9749675,0,CUST021,7,47700340,2023-06-01,7692963,5362321,2437419,1949935
48542915,16329201,0,CUST022,30,50267101,2023-06-01,14605014,8981060,4082300,3265840
40041044,11198290,0,CUST023,30,44213778,2023-06-01,7025555,6159059,2799572,2239658
46691530,12442602,0,CUST024,30,47808495,2023-06-01,11325637,6843431,3110650,2488520
34205048,135266484,0,CUST001,45,52819756,2023-07-01,116651775,74396566,33816621,27053297
0,0,0,CUST002,45,0,2023-07-01,0,0,0,0
36002148,135161336,0,CUST003,45,54641281,2023-07-01,116522203,74338735,33790334,27032267
37249524,139826829,0,CUST004,45,57369975,2023-07-01,119706378,76904756,34956707,27965366
30733857,123353477,0,CUST005,45,51088086,2023-07-01,102999249,67844413,30838369,24670695
30367355,130942863,0,CUST006,45,48076874,2023-07-01,113233344,72018575,32735716,26188573
32161924,133635502,0,CUST007,45,49318255,2023-07-01,116479171,73499526,33408876,26727100
0,0,0,CUST008,45,0,2023-07-01,0,0,0,0
44849200,21361760,0,CUST009,30,48947094,2023-07-01,17263866,11748968,5340440,4272352
49384984,19541861,0,CUST010,30,49842000,2023-07-01,19084846,10748024,4885465,3908372
47024326,18356330,0,CUST011,30,50433201,2023-07-01,14947455,10095981,4589082,3671266
43042038,23243643,0,CUST012,30,46063552,2023-07-01,20222129,12784004,5810911,4648729
45422887,16716888,0,CUST013,30,48351808,2023-07-01,13787968,9194289,4179222,3343378
0,0,0,CUST014,30,0,2023-07-01,0,0,0,0
50860734,21570752,0,CUST015,30,53331497,2023-07-01,19099989,11863914,5392688,4314150
47475782,19389291,0,CUST016,30,51148988,2023-07-01,15716084,10664110,4847323,3877858
48759326,13980883,0,CUST017,7,48901608,2023-07-01,13838602,7689486,3495221,2796177
46867485,21717627,0,CUST018,7,51250657,2023-07-01,17334455,11944695,5429407,4343525
46659714,21214977,0,CUST019,7,51737511,2023-07-01,16137180,11668237,5303744,4242995
0,0,0,CUST020,7,0,2023-07-01,0,0,0,0
56862283,12059192,0,CUST021,7,59171800,2023-07-01,9749675,6632556,3014798,2411838
56754386,18084077,0,CUST022,30,58509262,2023-07-01,16329201,9946242,4521019,3616815
43546642,14310771,0,CUST023,30,46659123,2023-07-01,11198290,7870924,3577693,2862154
45981175,17443232,0,CUST024,30,50981805,2023-07-01,12442602,9593777,4360808,3488646
33988267,154974677,0,CUST001,45,53696460,2023-08-01,135266484,85236072,38743669,30994935
0,0,0,CUST002,45,0,2023-08-01,0,0,0,0
33504707,153646829,0,CUST003,45,51990200,2023-08-01,135161336,84505756,38411707,30729366
33826693,157148149,0,CUST004,45,51148013,2023-08-01,139826829,86431482,39287037,31429630
31655470,142368907,0,CUST005,45,50670900,2023-08-01,123353477,78302899,35592227,28473781
35663641,149548209,0,CUST006,45,54268987,2023-08-01,130942863,82251515,37387052,29909642
35009275,153786592,0,CUST007,45,55160365,2023-08-01,133635502,84582626,38446648,30757318
0,0,0,CUST008,45,0,2023-08-01,0,0,0,0
52911451,25087539,0,CUST009,30,56637230,2023-08-01,21361760,13798147,6271885,5017508
53809053,23374807,0,CUST010,30,57641999,2023-08-01,19541861,12856144,5843702,4674961
48122216,20581320,0,CUST011,30,50347206,2023-08-01,18356330,11319726,5145330,4116264
51129999,26321680,0,CUST012,30,54208035,2023-08-01,23243643,14476924,6580420,5264336
47159744,19990457,0,CUST013,30,50433312,2023-08-01,16716888,10994751,4997614,3998091
0,0,0,CUST014,30,0,2023-08-01,0,0,0,0
56403068,22186915,0,CUST015,30,57019231,2023-08-01,21570752,12202803,5546729,4437383
47364746,24409343,0,CUST016,30,52384799,2023-08-01,19389291,13425139,6102336,4881869
44663903,16754910,0,CUST017,7,47437929,2023-08-01,13980883,9215200,4188727,3350982
51345332,23013048,0,CUST018,7,52640753,2023-08-01,21717627,12657177,5753262,4602610
52227649,23436969,0,CUST019,7,54449642,2023-08-01,21214977,12890333,5859242,4687394
0,0,0,CUST020,7,0,2023-08-01,0,0,0,0
48179253,14739896,0,CUST021,7,50859957,2023-08-01,12059192,8106943,3684974,2947979
47239093,21651746,0,CUST022,30,50806762,2023-08-01,18084077,11908460,5412937,4330349
43002719,16085428,0,CUST023,30,44777376,2023-08-01,14310771,8846985,4021357,3217086
46542260,22328343,0,CUST024,30,51427372,2023-08-01,17443232,12280589,5582086,4465669
39825283,176164897,0,CUST001,45,61015503,2023-09-01,154974677,96890693,44041224,35232979
0,0,0,CUST002,45,0,2023-09-01,0,0,0,0
34026745,176281190,0,CUST003,45,56661106,2023-09-01,153646829,96954655,44070298,35256238
35782308,180309955,0,CUST004,45,58944113,2023-09-01,157148149,99170475,45077489,36061991
30736687,161730702,0,CUST005,45,50098482,2023-09-01,142368907,88951886,40432676,32346140
34246584,168350618,0,CUST006,45,53048993,2023-09-01,149548209,92592840,42087655,33670124
36013652,173751625,0,CUST007,45,55978685,2023-09-01,153786592,95563394,43437906,34750325
0,0,0,CUST008,45,0,2023-09-01,0,0,0,0
46345845,29079745,0,CUST009,30,50338051,2023-09-01,25087539,15993860,7269936,5815949
51513714,28176605,0,CUST010,30,56315512,2023-09-01,23374807,15497133,7044151,5635321
46742470,20893551,0,CUST011,30,47054700,2023-09-01,20581320,11491453,5223388,4178710
48058036,27158417,0,CUST012,30,48894773,2023-09-01,26321680,14937129,6789604,5431683
53177773,20090817,0,CUST013,30,53278133,2023-09-01,19990457,11049949,5022704,4018163
0,0,0,CUST014,30,0,2023-09-01,0,0,0,0
53698178,23777507,0,CUST015,30,55288770,2023-09-01,22186915,13077629,5944377,4755501
56231611,25423883,0,CUST016,30,57246151,2023-09-01,24409343,13983136,6355971,5084777
49964414,18149796,0,CUST017,7,51359301,2023-09-01,16754910,9982388,4537449,3629959
52365659,24578068,0,CUST018,7,53930679,2023-09-01,23013048,13517938,6144517,4915614
53190757,27812323,0,CUST019,7,57566110,2023-09-01,23436969,15296777,6953081,5562465
0,0,0,CUST020,7,0,2023-09-01,0,0,0,0
57765820,17289489,0,CUST021,7,60315413,2023-09-01,14739896,9509219,4322372,3457898
51836940,25958232,0,CUST022,30,56143425,2023-09-01,21651746,14277027,6489558,5191646
49837767,21377513,0,CUST023,30,55129851,2023-09-01,16085428,11757632,5344378,4275503
56054557,24738573,0,CUST024,30,58464787,2023-09-01,22328343,13606215,6184643,4947715
29257844,191000314,0,CUST001,45,44093262,2023-10-01,176164897,105050173,47750079,38200063
0,0,0,CUST002,45,0,2023-10-01,0,0,0,0
31666187,195696521,0,CUST003,45,51081517,2023-10-01,176281190,107633086,48924130,39139304
31483671,199361507,0,CUST004,45,50535224,2023-10-01,180309955,109648829,49840377,39872301
32465178,179130276,0,CUST005,45,49864752,2023-10-01,161730702,98521652,44782569,35826055
31240830,184049828,0,CUST006,45,46940039,2023-10-01,168350618,101227405,46012457,36809966
35321712,192563520,0,CUST007,45,54133606,2023-10-01,173751625,105909936,48140880,38512704
0,0,0,CUST008,45,0,2023-10-01,0,0,0,0
49308945,29653315,0,CUST009,30,49882515,2023-10-01,29079745,16309323,7413329,5930663
47886798,32865219,0,CUST010,30,52575412,2023-10-01,28176605,18075871,8216305,6573044
43142544,24192717,0,CUST011,30,46441710,2023-10-01,20893551,13305994,6048179,4838543
48204642,31039813,0,CUST012,30,52086038,2023-10-01,27158417,17071897,7759953,6207963
55279513,21391184,0,CUST013,30,56579880,2023-10-01,20090817,11765151,5347796,4278237
0,0,0,CUST014,30,0,2023-10-01,0,0,0,0
47953333,25966448,0,CUST015,30,50142275,2023-10-01,23777507,14281547,6491612,5193290
47351906,27179802,0,CUST016,30,49107825,2023-10-01,25423883,14948891,6794950,5435960
46335039,18503868,0,CUST017,7,46689111,2023-10-01,18149796,10177127,4625967,3700774
45457555,27941103,0,CUST018,7,48820590,2023-10-01,24578068,15367607,6985276,5588221
46636993,30778260,0,CUST019,7,49602930,2023-10-01,27812323,16928043,7694565,6155652
0,0,0,CUST020,7,0,2023-10-01,0,0,0,0
45878252,17558746,0,CUST021,7,46147509,2023-10-01,17289489,9657310,4389686,3511749
46596567,26200665,0,CUST022,30,46839000,2023-10-01,25958232,14410366,6550166,5240133
42802490,22937859,0,CUST023,30,44362836,2023-10-01,21377513,12615822,5734465,4587572
42050316,28117244,0,CUST024,30,45428986,2023-10-01,24738573,15464484,7029311,5623449
37757825,213076350,0,CUST001,45,59833860,2023-11-01,191000314,117191992,53269087,42615270
0,0,0,CUST002,45,0,2023-11-01,0,0,0,0
37916036,214806400,0,CUST003,45,57025915,2023-11-01,195696521,118143520,53701600,42961280
37303709,222259174,0,CUST004,45,60201376,2023-11-01,199361507,122242546,55564794,44451835
30822002,198773227,0,CUST005,45,50464953,2023-11-01,179130276,109325275,49693307,39754645
35595506,204619453,0,CUST006,45,56165131,2023-11-01,184049828,112540699,51154863,40923891
40043651,213658409,0,CUST007,45,61138540,2023-11-01,192563520,117512125,53414602,42731682
0,0,0,CUST008,45,0,2023-11-01,0,0,0,0
48513135,34549511,0,CUST009,30,53409331,2023-11-01,29653315,19002231,8637378,6909902
50646683,37097874,0,CUST010,30,54879338,2023-11-01,32865219,20403831,9274469,7419575
47891666,25460202,0,CUST011,30,49159152,2023-11-01,24192717,14003111,6365051,5092040
48459067,35766764,0,CUST012,30,53186018,2023-11-01,31039813,19671720,8941691,7153353
52813296,24681540,0,CUST013,30,56103652,2023-11-01,21391184,13574847,6170385,4936308
0,0,0,CUST014,30,0,2023-11-01,0,0,0,0
60986048,28090621,0,CUST015,30,63110220,2023-11-01,25966448,15449841,7022655,5618124
56125013,27853901,0,CUST016,30,56799112,2023-11-01,27179802,15319645,6963475,5570780
53842252,19460276,0,CUST017,7,54798660,2023-11-01,18503868,10703152,4865069,3892055
57220554,29617203,0,CUST018,7,58896654,2023-11-01,27941103,16289462,7404301,5923441
55818471,35828129,0,CUST019,7,60868340,2023-11-01,30778260,19705471,8957032,7165626
0,0,0,CUST020,7,0,2023-11-01,0,0,0,0
58030101,18132698,0,CUST021,7,58604053,2023-11-01,17558746,9972984,4533175,3626540
51106732,31369470,0,CUST022,30,56275538,2023-11-01,26200665,17253209,7842368,6273894
49922906,25787218,0,CUST023,30,52772265,2023-11-01,22937859,14182970,6446804,5157444
51536316,32962935,0,CUST024,30,56382008,2023-11-01,28117244,18129614,8240734,6592587
33903906,233157921,0,CUST001,45,53985477,2023-12-01,213076350,128236856,58289480,46631584
0,0,0,CUST002,45,0,2023-12-01,0,0,0,0
37525294,237371615,0,CUST003,45,60090510,2023-12-01,214806400,130554388,59342904,47474323
38134037,244827661,0,CUST004,45,60702524,2023-12-01,222259174,134655213,61206915,48965532
33700241,219157668,0,CUST005,45,54084681,2023-12-01,198773227,120536717,54789417,43831534
37045848,227960522,0,CUST006,45,60386917,2023-12-01,204619453,125378287,56990131,45592104
37122257,234150994,0,CUST007,45,57614842,2023-12-01,213658409,128783047,58537748,46830199
0,0,0,CUST008,45,0,2023-12-01,0,0,0,0
57567475,37828907,0,CUST009,30,60846871,2023-12-01,34549511,20805899,9457227,7565781
52315068,42570081,0,CUST010,30,57787275,2023-12-01,37097874,23413545,10642520,8514016
53851547,31166587,0,CUST011,30,59557932,2023-12-01,25460202,17141623,7791647,6233317
52614598,40855755,0,CUST012,30,57703590,2023-12-01,35766764,22470665,10213939,8171151
60512561,25713302,0,CUST013,30,61544323,2023-12-01,24681540,14142316,6428326,5142660
0,0,0,CUST014,30,0,2023-12-01,0,0,0,0
57291234,30053315,0,CUST015,30,59253929,2023-12-01,28090621,16529323,7513329,6010663
53285235,33579567,0,CUST016,30,59010901,2023-12-01,27853901,18468762,8394892,6715913
52229058,20523422,0,CUST017,7,53292204,2023-12-01,19460276,11287882,5130855,4104684
58440209,31252535,0,CUST018,7,60075540,2023-12-01,29617203,17188894,7813134,6250507
57048464,41860267,0,CUST019,7,63080602,2023-12-01,35828129,23023147,10465067,8372053
0,0,0,CUST020,7,0,2023-12-01,0,0,0,0
50376247,22110753,0,CUST021,7,54354302,2023-12-01,18132698,12160914,5527688,4422151
56254396,32361712,0,CUST022,30,57246638,2023-12-01,31369470,17798942,8090428,6472342
50318339,27253745,0,CUST023,30,51784866,2023-12-01,25787218,14989560,6813436,5450749
52999567,33353506,0,CUST024,30,53390137,2023-12-01,32962935,18344428,8338376,6670701
36163899,253003103,0,CUST001,45,56009082,2024-01-01,233157921,139151707,63250776,50600621
0,0,0,CUST002,45,0,2024-01-01,0,0,0,0
30846105,255822609,0,CUST003,45,49297099,2024-01-01,237371615,140702435,63955652,51164522
30305510,263445700,0,CUST004,45,48923549,2024-01-01,244827661,144895135,65861425,52689140
29860086,235005909,0,CUST005,45,45708327,2024-01-01,219157668,129253250,58751477,47001182
32441456,245854019,0,CUST006,45,50334953,2024-01-01,227960522,135219710,61463505,49170804
33552933,253953877,0,CUST007,45,53355816,2024-01-01,234150994,139674632,63488469,50790775
0,0,0,CUST008,45,0,2024-01-01,0,0,0,0
44199872,39826205,0,CUST009,30,46197170,2024-01-01,37828907,21904413,9956551,7965241
46138810,43793846,0,CUST010,30,47362575,2024-01-01,42570081,24086615,10948461,8758769
42247305,33974930,0,CUST011,30,45055647,2024-01-01,31166587,18686211,8493732,6794986
45731457,42347364,0,CUST012,30,47223066,2024-01-01,40855755,23291050,10586841,8469473
47027720,25713892,0,CUST013,30,47028310,2024-01-01,25713302,14142641,6428473,5142778
0,0,0,CUST014,30,0,2024-01-01,0,0,0,0
48783611,31636883,0,CUST015,30,50367178,2024-01-01,30053315,17400285,7909221,6327377
51296522,35519508,0,CUST016,30,53236463,2024-01-01,33579567,19535729,8879877,7103902
43659375,25271294,0,CUST017,7,48407247,2024-01-01,20523422,13899212,6317823,5054259
47275757,36358601,0,CUST018,7,52381823,2024-01-01,31252535,19997230,9089650,7271720
47560721,45596050,0,CUST019,7,51296504,2024-01-01,41860267,25077827,11399012,9119210
0,0,0,CUST020,7,0,2024-01-01,0,0,0,0
52561301,25433664,0,CUST021,7,55884212,2024-01-01,22110753,13988515,6358416,5086733
52802666,35584496,0,CUST022,30,56025450,2024-01-01,32361712,19571473,8896124,7116899
43509181,28343776,0,CUST023,30,44599212,2024-01-01,27253745,15589077,7085944,5668755
48358522,37296481,0,CUST024,30,52301497,2024-01-01,33353506,20513064,9324120,7459296
30169254,272735446,0,CUST001,45,49901597,2024-02-01,253003103,150004495,68183862,54547089
0,0,0,CUST002,45,0,2024-02-01,0,0,0,0
34430535,274636190,0,CUST003,45,53244116,2024-02-01,255822609,151049904,68659047,54927238
34278774,282949388,0,CUST004,45,53782462,2024-02-01,263445700,155622164,70737347,56589878
29799866,251575869,0,CUST005,45,46369827,2024-02-01,235005909,138366728,62893967,50315174
35263023,266737698,0,CUST006,45,56146702,2024-02-01,245854019,146705734,66684425,53347540
31006587,274550184,0,CUST007,45,51602894,2024-02-01,253953877,151002601,68637546,54910037
0,0,0,CUST008,45,0,2024-02-01,0,0,0,0
48162188,44545708,0,CUST009,30,52881692,2024-02-01,39826205,24500140,11136427,8909142
52164849,45513346,0,CUST010,30,53884349,2024-02-01,43793846,25032340,11378336,9102669
47778234,35724965,0,CUST011,30,49528269,2024-02-01,33974930,19648731,8931241,7144993
52175779,43247983,0,CUST012,30,53076397,2024-02-01,42347364,23786390,10811996,8649597
52021192,28789375,0,CUST013,30,55096675,2024-02-01,25713892,15834156,7197344,5757875
0,0,0,CUST014,30,0,2024-02-01,0,0,0,0
53520417,34089494,0,CUST015,30,55973028,2024-02-01,31636883,18749222,8522373,6817899
51874162,38988297,0,CUST016,30,55342951,2024-02-01,35519508,21443563,9747074,7797659
45360309,30097226,0,CUST017,7,50186241,2024-02-01,25271294,16553474,7524306,6019445
46818383,41521360,0,CUST018,7,51981142,2024-02-01,36358601,22836748,10380340,8304272
45158892,50345994,0,CUST019,7,49908836,2024-02-01,45596050,27690297,12586499,10069199
0,0,0,CUST020,7,0,2024-02-01,0,0,0,0
44886740,28174206,0,CUST021,7,47627282,2024-02-01,25433664,15495813,7043552,5634841
44895193,39618215,0,CUST022,30,48928912,2024-02-01,35584496,21790018,9904554,7923643
46442509,30554151,0,CUST023,30,48652884,2024-02-01,28343776,16804783,7638538,6110830
