fiscal_year,period,grain,scenario,evidence_class,revenue_vnd,volume_effect_vnd,price_effect_vnd,mix_effect_vnd,cogs_vnd,gross_profit_vnd,gross_margin_pct,opex_vnd,ebitda_proxy_vnd,ebitda_margin_pct,depreciation_vnd,ebit_vnd,finance_cost_vnd,pbt_vnd,tax_vnd,pat_vnd,dso_days,dio_days,dpo_days,ccc_days,ar_closing_vnd,inventory_closing_vnd,ap_closing_vnd,cfo_vnd,capex_vnd,pre_financing_fcf_vnd,debt_drawdown_vnd,debt_repayment_vnd,debt_closing_vnd,cash_opening_vnd,cash_closing_vnd,headcount_fte,initiative_stage_gate
FY2027,FY2027-Q4,QUARTER,BASE,SIMULATED/DERIVED,3658590693.85,107508804.26,89590670.22,17918134.04,1886304393.01,1772286300.85,48.44,4144888867.1,-2372602566.26,-64.85,18742634.12,-2391345200.38,1423611962.65,-3814957163.03,0,-3814957163.03,38,45,35,48,380894373.61,232558075.85,180878503.44,-3805077893.62,128050674.28,-3933128567.9,3933128567.9,0,67335128678.53,8000000000,8000000000,108.16,stage-gated
FY2028,FY2028-Q1,QUARTER,BASE,SIMULATED/DERIVED,3679390013.34,109757720.82,91464767.35,18292953.47,1878631202.72,1800758810.62,48.94,4129127795.84,-2328368985.21,-63.28,17903741.35,-2346272726.56,1434453581.63,-3780726308.19,0,-3780726308.19,38,45,35,48,383059782.21,231612066.09,180142718.07,-3764777751.05,128778650.47,-3893556401.52,3893556401.52,0,71228685080.04,8000000000,8000000000,112.49,stage-gated
FY2028,FY2028-Q2,QUARTER,BASE,SIMULATED/DERIVED,3617168974.53,110381700.4,91984750.33,18396950.07,1846862245.21,1770306729.32,48.94,4059301378.98,-2288994649.66,-63.28,17600976.66,-2306595626.32,1491738518.14,-3798334144.46,0,-3798334144.46,38,45,35,48,376581975.43,227695345.3,177096379.68,-3773384978.63,126600914.11,-3899985892.74,3899985892.74,0,75128670972.78,8000000000,8000000000,112.49,stage-gated
FY2028,FY2028-Q3,QUARTER,BASE,SIMULATED/DERIVED,3798644417.12,108515069.24,90429224.36,18085844.87,1939520383.59,1859124033.54,48.94,4262958857.95,-2403834824.41,-63.28,18484027.76,-2422318852.17,1652354881.77,-4074673733.94,0,-4074673733.94,38,45,35,48,395475309.18,239118951.4,185981406.65,-4077621619.07,132952554.6,-4210574173.67,4210574173.67,0,79339245146.44,8000000000,8000000000,112.49,stage-gated
FY2028,FY2028-Q4,QUARTER,BASE,SIMULATED/DERIVED,3878106135.49,113959332.51,94966110.43,18993222.09,1980092125.91,1898014009.57,48.94,4352133310.46,-2454119300.88,-63.28,18870684.8,-2472989985.68,1781462703.09,-4254452688.77,0,-4254452688.77,38,45,35,48,403748036.02,244120947.03,189871847.69,-4244966285.4,135733714.74,-4380700000.14,4380700000.14,0,83719945146.58,8000000000,8000000000,112.49,stage-gated
FY2026,2026-01,MONTH,UPSIDE,SIMULATED/DERIVED,1099693570.8,691453368.16,440015779.74,125718794.21,564783089.76,534910481.04,48.64,1206222677.33,-671312196.29,-61.05,5924018.62,-677236214.91,42742238.73,-719978453.64,0,-719978453.64,32,38,40,30,96411491.14,58799335.37,61894037.23,4928829983.7,49486210.69,4879343773.02,33877637973.98,0,40077637973.98,-30756981747,8000000000,106,monthly review
FY2026,2026-02,MONTH,UPSIDE,SIMULATED/DERIVED,1128341133.7,60483146.39,38489274.98,10996935.71,579495969.34,548845164.36,48.64,1237645376.28,-688800211.93,-61.05,6078342.24,-694878554.17,283489141.51,-978367695.68,0,-978367695.68,32,38,40,30,98923058.3,60331087.22,63506407.6,-974720302.08,50775351.02,-1025495653.09,1025495653.09,0,41103133627.08,8000000000,8000000000,106,monthly review
FY2026,2026-03,MONTH,UPSIDE,SIMULATED/DERIVED,1170180781,62058762.35,39491939.68,11283411.34,600984069.21,569196711.79,48.64,1283538098.33,-714341386.55,-61.05,6303731.26,-720645117.81,301523929.41,-1022169047.22,0,-1022169047.22,32,38,40,30,102591191.76,62568204.47,65861267.86,-1019415706.41,52658135.15,-1072073841.56,1072073841.56,0,42175207468.63,8000000000,8000000000,106,monthly review
FY2026,2026-04,MONTH,UPSIDE,SIMULATED/DERIVED,1136948446.7,64359942.96,40956327.34,11701807.81,583916532.45,553031914.25,48.64,1247086493.71,-694054579.46,-61.05,6124709.6,-700179289.06,300602017.13,-1000781306.2,0,-1000781306.2,32,38,40,30,99677672.04,60791310.23,63990852.87,-991836597.63,51162680.1,-1042999277.73,1042999277.73,0,43218206746.36,8000000000,8000000000,106,monthly review
FY2026,2026-05,MONTH,UPSIDE,SIMULATED/DERIVED,1084634471.8,62532164.57,39793195.63,11369484.47,557049003.93,527585467.87,48.64,1189704778.89,-662119311.02,-61.05,5842895.68,-667962206.7,293862410,-961824616.69,0,-961824616.69,32,38,40,30,95091241.36,57994142.87,61046466.18,-951542509.67,48808551.23,-1000351060.9,1000351060.9,0,44218557807.27,8000000000,8000000000,106,monthly review
FY2026,2026-06,MONTH,UPSIDE,SIMULATED/DERIVED,1119166384.6,59654895.95,37962206.51,10846344.72,574783981.13,544382403.47,48.64,1227581854.3,-683199450.83,-61.05,6028918.13,-689228368.96,310236663.65,-999465032.61,0,-999465032.61,32,38,40,30,98118696.73,59840524.06,62990025.33,-996366391.9,50362487.31,-1046728879.2,1046728879.2,0,45265286686.47,8000000000,8000000000,106,monthly review
FY2026,2026-07,MONTH,UPSIDE,SIMULATED/DERIVED,1128383488.1,61554151.15,39170823.46,11191663.85,579517721.81,548865766.29,48.64,1237691833.62,-688826067.34,-61.05,6078570.41,-694904637.74,320195989.41,-1015100627.15,0,-1015100627.15,32,38,40,30,98926771.56,60333351.86,63508791.43,-1009804193.27,50777256.96,-1060581450.23,1060581450.23,0,46325868136.7,8000000000,8000000000,106,monthly review
FY2026,2026-08,MONTH,UPSIDE,SIMULATED/DERIVED,1163019051.7,62061091.85,39493422.08,11283834.88,597305932.22,565713119.48,48.64,1275682600.66,-709969481.18,-61.05,6265151.22,-716234632.4,337756943.53,-1053991575.93,0,-1053991575.93,32,38,40,30,101963314.12,62185275.14,65458184.35,-1050665497.63,52335857.33,-1103001354.95,1103001354.95,0,47428869491.65,8000000000,8000000000,106,monthly review
FY2026,2026-09,MONTH,UPSIDE,SIMULATED/DERIVED,1216954072.4,63966047.84,40705666.81,11630190.52,625006001.08,591948071.32,48.64,1334842394.62,-742894323.3,-61.05,6555697.68,-749450020.98,361835231.64,-1111285252.62,0,-1111285252.62,32,38,40,30,106691863.88,65069117.92,68493808.34,-1109306323.51,54762933.26,-1164069256.77,1164069256.77,0,48592938748.42,8000000000,8000000000,106,monthly review
FY2026,2026-10,MONTH,UPSIDE,SIMULATED/DERIVED,1086501644.8,66932473.98,42593392.53,12169540.72,558007950.82,528493693.98,48.64,1191752827.98,-663259134,-61.05,5852954.08,-669112088.09,330976716.32,-1000088804.4,0,-1000088804.4,32,38,40,30,95254938.72,58093978.44,61151556.25,-983166037.77,48892574.02,-1032058611.78,1032058611.78,0,49624997360.2,8000000000,8000000000,106,monthly review
FY2026,2026-11,MONTH,UPSIDE,SIMULATED/DERIVED,1243637666.7,59757590.46,38027557.57,10865016.45,638710221.27,604927445.43,48.64,1364110872.14,-759183426.72,-61.05,6699441.46,-765882868.17,386890667.72,-1152773535.89,0,-1152773535.89,32,38,40,30,109031247.49,66495858.65,69995640.69,-1159408198.98,55963695,-1215371893.99,1215371893.99,0,50840369254.19,8000000000,8000000000,106,monthly review
FY2026,2026-12,MONTH,UPSIDE,SIMULATED/DERIVED,1251606650.8,68400071.67,43527318.33,12436376.67,642802949.99,608803700.81,48.64,1372851824.71,-764048123.9,-61.05,6742370.15,-770790494.05,398905889.75,-1169696383.8,0,-1169696383.8,32,38,40,30,109729898.15,66921950.96,70444158.9,-1163630238.4,56322299.29,-1219952537.68,1219952537.68,0,52060321791.87,8000000000,8000000000,106,monthly review
FY2027,FY2027-Q1,QUARTER,UPSIDE,SIMULATED/DERIVED,3738037034.05,68838365.79,43806232.78,12516066.51,1874932996.74,1863104037.31,49.84,3895139428.79,-2032035391.48,-54.36,18560958.29,-2050596349.76,1109051345.42,-3159647695.18,0,-3159647695.18,32,38,40,30,327718315.31,195198503.77,205472109.23,-3352323756.54,168211666.53,-3520535423.07,3520535423.07,0,55580857214.94,8000000000,8000000000,112.36,stage-gated
FY2027,FY2027-Q2,QUARTER,UPSIDE,SIMULATED/DERIVED,3674824233.41,205592036.87,130831296.19,37380370.34,1843226578.46,1831597654.95,49.84,3829269917.61,-1997672262.67,-54.36,18247079.6,-2015919342.27,1164026901.32,-3179946243.59,0,-3179946243.59,32,38,40,30,322176371.15,191897561.59,201997433.26,-3156330953.62,165367090.5,-3321698044.12,3321698044.12,0,58902555259.07,8000000000,8000000000,112.36,stage-gated
FY2027,FY2027-Q3,QUARTER,UPSIDE,SIMULATED/DERIVED,3859192273.42,202115332.84,128618848.17,36748242.33,1935702313.35,1923489960.07,49.84,4021386586.2,-2097896626.13,-54.36,19162546.05,-2117059172.19,1295483115.44,-3412542287.63,0,-3412542287.63,32,38,40,30,338340144.52,201525172.35,212131760.37,-3409036798.59,173663652.3,-3582700450.9,3582700450.9,0,62485255709.96,8000000000,8000000000,112.36,stage-gated
FY2027,FY2027-Q4,QUARTER,UPSIDE,SIMULATED/DERIVED,3939920558.53,212255575.04,135071729.57,38591922.73,1976194187.6,1963726370.93,49.84,4105507723.44,-2141781352.51,-54.36,19563396.64,-2161344749.15,1403027623.15,-3564372372.3,0,-3564372372.3,32,38,40,30,345417692.8,205740764.74,216569226.04,-3551664650.66,177296425.13,-3728961075.79,3728961075.79,0,66214216785.76,8000000000,8000000000,112.36,stage-gated
FY2028,FY2028-Q1,QUARTER,UPSIDE,SIMULATED/DERIVED,4111840737.46,216695630.72,137897219.55,39399205.59,2013084207.56,2098756529.89,51.04,4070420703.08,-1971664173.19,-47.95,18841311.06,-1990505484.25,1410574573.58,-3401080057.84,0,-3401080057.84,32,38,40,30,360490146.85,209581369.55,220611967.95,-3397109063.72,185032833.19,-3582141896.91,3582141896.91,0,69796358682.67,8000000000,8000000000,119.1,stage-gated
FY2028,FY2028-Q2,QUARTER,UPSIDE,SIMULATED/DERIVED,4042306656.75,226151240.56,143914425.81,41118407.37,1979041556.43,2063265100.32,51.04,4001587063.91,-1938321963.58,-47.95,18522691.42,-1956844655,1461741383.49,-3418586038.49,0,-3418586038.49,32,38,40,30,354394008.26,206037203.14,216881266.46,-3394153743.57,181903799.55,-3576057543.12,3576057543.12,0,73372416225.79,8000000000,8000000000,119.1,stage-gated
FY2028,FY2028-Q3,QUARTER,UPSIDE,SIMULATED/DERIVED,4245111500.76,222326866.12,141480732.99,40423066.57,2078331206.68,2166780294.09,51.04,4202348982.58,-2035568688.5,-47.95,19451985.47,-2055020673.97,1613728401.79,-3668749075.76,0,-3668749075.76,32,38,40,30,372174158.97,216374207.82,227762324.02,-3666533188.12,191030017.53,-3857563205.66,3857563205.66,0,77229979431.44,8000000000,8000000000,119.1,stage-gated
FY2028,FY2028-Q4,QUARTER,UPSIDE,SIMULATED/DERIVED,4333912614.38,233481132.54,148578902.53,42451115.01,2121806654.99,2212105959.4,51.04,4290255571,-2078149611.6,-47.95,19858890.68,-2098008502.28,1734101801.24,-3832110303.52,0,-3832110303.52,32,38,40,30,379959462.08,220900418.88,232526756.71,-3819798494.32,195026067.65,-4014824561.96,4014824561.96,0,81244803993.41,8000000000,8000000000,119.1,stage-gated
FY2026,2026-01,MONTH,DOWNSIDE,SIMULATED/DERIVED,979726999.44,-377156382.63,188578191.32,-62859397.1,524724383.04,455002616.4,46.44,1235079679.18,-780077062.78,-79.62,5425824.11,-785502886.89,42742238.73,-828245125.63,0,-828245125.63,52,60,28,84,139577545.13,86256062.97,40252829.38,4727801127.78,19594539.99,4708206587.79,34048775159.21,0,40248775159.21,-30756981747,8000000000,101.5,monthly review
FY2026,2026-02,MONTH,DOWNSIDE,SIMULATED/DERIVED,1005249373.66,-29391809.98,14695904.99,-4898635,538393713.45,466855660.21,46.44,1267254117.34,-800398457.14,-79.62,5567169.52,-805965626.66,284699680.26,-1090665306.92,0,-1090665306.92,52,60,28,84,143213609.4,88503076.18,41301435.55,-1089932608.72,20104987.47,-1110037596.19,1110037596.19,0,41358812755.4,8000000000,8000000000,101.5,monthly review
FY2026,2026-03,MONTH,DOWNSIDE,SIMULATED/DERIVED,1042524695.8,-30157481.21,15078740.6,-5026246.87,558357714.06,484166981.74,46.44,1314244751.4,-830077769.67,-79.62,5773603.91,-835851373.57,303399537.64,-1139250911.21,0,-1139250911.21,52,60,28,84,148524066.25,91784829.71,42832920.53,-1140538032.7,20850493.92,-1161388526.62,1161388526.62,0,42520201282.02,8000000000,8000000000,101.5,monthly review
FY2026,2026-04,MONTH,DOWNSIDE,SIMULATED/DERIVED,1012917707.06,-31275740.87,15637870.44,-5212623.48,542500736.65,470416970.41,46.44,1276921098.82,-806504128.41,-79.62,5609637.5,-812113765.91,303060946.03,-1115174711.94,0,-1115174711.94,52,60,28,84,144306084.29,89178203.28,41616494.87,-1103956891.72,20258354.14,-1124215245.86,1124215245.86,0,43644416527.89,8000000000,8000000000,101.5,monthly review
FY2026,2026-05,MONTH,DOWNSIDE,SIMULATED/DERIVED,966310711.24,-30387531.21,15193765.61,-5064588.54,517538857.33,448771853.91,46.44,1218166615.71,-769394761.8,-79.62,5351523.39,-774746285.19,296760425.51,-1071506710.7,0,-1071506710.7,52,60,28,84,137666183.52,85074880.66,39701610.97,-1057326847.79,19326214.22,-1076653062.02,1076653062.02,0,44721069589.9,8000000000,8000000000,101.5,monthly review
FY2026,2026-06,MONTH,DOWNSIDE,SIMULATED/DERIVED,997075506.28,-28989321.34,14494660.67,-4831553.56,534015935.24,463059571.04,46.44,1256949841.25,-793890270.2,-79.62,5521901.84,-799412172.04,313762277.93,-1113174449.98,0,-1113174449.98,52,60,28,84,142049113.22,87783441.41,40965605.99,-1113480043.58,19941510.13,-1133421553.7,1133421553.7,0,45854491143.61,8000000000,8000000000,101.5,monthly review
FY2026,2026-07,MONTH,DOWNSIDE,SIMULATED/DERIVED,1005287107.58,-29912265.19,14956132.59,-4985377.53,538413923.07,466873184.51,46.44,1267301686.1,-800428501.6,-79.62,5567378.49,-805995880.09,324363883.13,-1130359763.22,0,-1130359763.22,52,60,28,84,143218985.19,88506398.31,41302985.88,-1126347833.71,20105742.15,-1146453575.86,1146453575.86,0,47000944719.46,8000000000,8000000000,101.5,monthly review
FY2026,2026-08,MONTH,DOWNSIDE,SIMULATED/DERIVED,1036144246.06,-30158613.23,15079306.61,-5026435.54,554940458.49,481203787.57,46.44,1306201323.16,-824997535.59,-79.62,5738268.35,-830735803.94,342678854.6,-1173414658.54,0,-1173414658.54,52,60,28,84,147615070.67,91223089.07,42570774.9,-1173521377.4,20722884.92,-1194244262.32,1194244262.32,0,48195188981.79,8000000000,8000000000,101.5,monthly review
FY2026,2026-09,MONTH,DOWNSIDE,SIMULATED/DERIVED,1084195446.32,-31084327.38,15542163.69,-5180721.23,580675828.06,503519618.26,46.44,1366776423.2,-863256804.94,-79.62,6004380.6,-869261185.54,367681489.27,-1236942674.82,0,-1236942674.82,52,60,28,84,154460721.12,95453560.78,44544995.03,-1240040196.24,21683908.93,-1261724105.16,1261724105.16,0,49456913086.95,8000000000,8000000000,101.5,monthly review
FY2026,2026-10,MONTH,DOWNSIDE,SIMULATED/DERIVED,967974192.64,-32525863.39,16262931.69,-5420977.23,518429788.43,449544404.21,46.44,1220263661.18,-770719256.97,-79.62,5360735.91,-776079992.89,336861427.08,-1112941419.96,0,-1112941419.96,52,60,28,84,137903172.65,85221335.08,39769956.37,-1085565948.54,19359483.85,-1104925432.4,1104925432.4,0,50561838519.35,8000000000,8000000000,101.5,monthly review
FY2026,2026-11,MONTH,DOWNSIDE,SIMULATED/DERIVED,1107968103.06,-29039225.78,14519612.89,-4839870.96,593408040.86,514560062.2,46.44,1396745103.53,-882185041.33,-79.62,6136035.91,-888321077.24,394194549.25,-1282515626.49,0,-1282515626.49,52,60,28,84,157847510.57,97546527.26,45521712.72,-1302897364.33,22159362.06,-1325056726.39,1325056726.39,0,51886895245.74,8000000000,8000000000,101.5,monthly review
FY2026,2026-12,MONTH,DOWNSIDE,SIMULATED/DERIVED,1115067743.44,-33239043.09,16619521.55,-5539840.52,597210482.17,517857261.27,46.44,1405695169.79,-887837908.52,-79.62,6175354.41,-894013262.93,407117186.95,-1301130449.88,0,-1301130449.88,52,60,28,84,158858966.19,98171586.11,45813406.85,-1296299915.8,22301354.87,-1318601270.67,1318601270.67,0,53205496516.42,8000000000,8000000000,101.5,monthly review
FY2027,FY2027-Q1,QUARTER,DOWNSIDE,SIMULATED/DERIVED,2966951047.52,-33452032.3,16726016.15,-5575338.72,1618715804.83,1348235242.7,45.44,4083739046.28,-2735503803.59,-92.2,16746414.19,-2752250217.78,1133447229.37,-3885697447.15,0,-3885697447.15,52,60,28,84,422688916.36,266090269.29,124175459,-4222337614.16,59339020.95,-4281676635.11,4281676635.11,0,57487173151.52,8000000000,8000000000,103.02,stage-gated
FY2027,FY2027-Q2,QUARTER,DOWNSIDE,SIMULATED/DERIVED,2916777846.09,-89008531.43,44504265.71,-14834755.24,1591342197.09,1325435649,45.44,4014680184.68,-2689244535.68,-92.2,16463220.71,-2705707756.39,1203950773.39,-3909658529.78,0,-3909658529.78,52,60,28,84,415540953.42,261590498.15,122075565.8,-3883647468.19,58335556.92,-3941983025.11,3941983025.11,0,61429156176.63,8000000000,8000000000,103.02,stage-gated
FY2027,FY2027-Q3,QUARTER,DOWNSIDE,SIMULATED/DERIVED,3063114263.96,-87503335.38,43751667.69,-14583889.23,1671180748.06,1391933515.9,45.44,4216098992.74,-2824165476.84,-92.2,17289189.93,-2841454666.77,1351052331.65,-4192506998.42,0,-4192506998.42,52,60,28,84,436388881.44,274714643.52,128200166.97,-4203065280.71,61262285.28,-4264327565.99,4264327565.99,0,65693483742.62,8000000000,8000000000,103.02,stage-gated
FY2027,FY2027-Q4,QUARTER,DOWNSIDE,SIMULATED/DERIVED,3127189838.36,-91893427.92,45946713.96,-15315571.32,1706139243.61,1421050594.75,45.44,4304293209.93,-2883242615.18,-92.2,17650852.83,-2900893468.01,1475064338.05,-4375957806.06,0,-4375957806.06,52,60,28,84,445517456.42,280461245.52,130881914.58,-4370500382.61,62543796.77,-4433044179.38,4433044179.38,0,70126527922,8000000000,8000000000,103.02,stage-gated
FY2028,FY2028-Q1,QUARTER,DOWNSIDE,SIMULATED/DERIVED,2907612026.57,-93815695.15,46907847.58,-15635949.19,1615417609,1292194417.58,44.44,4369600779.52,-3077406361.95,-105.84,16726634.52,-3094132996.47,1493919312.53,-4588052309,0,-4588052309,52,60,28,84,414235138.03,265548100.11,123922446.72,-4532089678.53,58152240.53,-4590241919.06,4590241919.06,0,74716769841.06,8000000000,8000000000,104.57,stage-gated
FY2028,FY2028-Q2,QUARTER,DOWNSIDE,SIMULATED/DERIVED,2858442289.17,-87228360.8,43614180.4,-14538060.13,1588099776.04,1270342513.12,44.44,4295707797.61,-3025365284.48,-105.84,16443775.52,-3041809060,1564789289.57,-4606598349.57,0,-4606598349.57,52,60,28,84,407230134.35,261057497.43,121826832.13,-4580754582.27,57168845.78,-4637923428.05,4637923428.05,0,79354693269.12,8000000000,8000000000,104.57,stage-gated
FY2028,FY2028-Q3,QUARTER,DOWNSIDE,SIMULATED/DERIVED,3001851978.68,-85753268.67,42876634.34,-14292211.45,1667775652.89,1334076325.79,44.44,4511225922.23,-3177149596.44,-105.84,17268769.17,-3194418365.61,1745300603.84,-4939718969.45,0,-4939718969.45,52,60,28,84,427661103.81,274154901.84,127938954.19,-4949866452.09,60037039.57,-5009903491.67,5009903491.67,0,84364596760.79,8000000000,8000000000,104.57,stage-gated
FY2028,FY2028-Q4,QUARTER,DOWNSIDE,SIMULATED/DERIVED,3064646041.59,-90055559.36,45027779.68,-15009259.89,1702662919.15,1361983122.44,44.44,4605593734.62,-3243610612.18,-105.84,17630004.9,-3261240617.08,1894300636.62,-5155541253.71,0,-5155541253.71,52,60,28,84,436607107.3,279889794.93,130615237.63,-5149915861.94,61292920.83,-5211208782.77,5211208782.77,0,89575805543.55,8000000000,8000000000,104.57,stage-gated
