period,sku,category,units,standard_unit_cost_vnd,actual_unit_cogs_vnd,standard_cogs_vnd,actual_cogs_vnd,material_price_variance_vnd,usage_yield_variance_vnd,conversion_variance_vnd,total_cogs_variance_vnd,evidence_class,allocation_note
2023-01,SKU001,Dairy,692,7740,7740,5356080,5356080,0,17567.94,-17567.94,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU012,Convenience Foods,1150,11375,11375,13081250,13081250,0,42906.5,-42906.5,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU013,Dairy,1163,13680,13680,15909840,15909840,0,52184.28,-52184.28,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU014,Beverages,1280,16160,16160,20684800,20684800,0,67846.14,-67846.14,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU015,Condiments,1198,18815,18815,22540370,22540370,0,73932.41,-73932.41,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU016,Convenience Foods,1254,16770,16770,21029580,21029580,0,68977.02,-68977.02,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU017,Dairy,616,19338,19338,11912208,11912208,0,39072.04,-39072.04,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU018,Beverages,680,22080,22080,15014400,15014400,0,49247.23,-49247.23,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU019,Condiments,697,9090,9090,6335730,6335730,0,20781.19,-20781.19,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU020,Convenience Foods,735,11395,11395,8375325,8375325,0,27471.07,-27471.07,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU021,Dairy,832,10750,10750,8944000,8944000,0,29336.32,-29336.32,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU022,Beverages,878,12968,12968,11385904,11385904,0,37345.77,-37345.77,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU023,Condiments,812,15360,15360,12472320,12472320,0,40909.21,-40909.21,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU024,Convenience Foods,920,17928,17928,16493760,16493760,0,54099.53,-54099.53,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU025,Dairy,933,20670,20670,19285110,19285110,0,63255.16,-63255.16,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU026,Beverages,931,18275,18275,17014025,17014025,0,55806,-55806,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU027,Condiments,1024,20930,20930,21432320,21432320,0,70298.01,-70298.01,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU028,Convenience Foods,1032,8640,8640,8916480,8916480,0,29246.05,-29246.05,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU029,Dairy,1044,10858,10858,11335752,11335752,0,37181.27,-37181.27,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU030,Beverages,1199,13250,13250,15886750,15886750,0,52108.54,-52108.54,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU031,Condiments,1203,12255,12255,14742765,14742765,0,48356.27,-48356.27,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU032,Convenience Foods,1144,14560,14560,16656640,16656640,0,54633.78,-54633.78,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU033,Dairy,1302,17040,17040,22186080,22186080,0,72770.34,-72770.34,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU034,Beverages,566,19695,19695,11147370,11147370,0,36563.37,-36563.37,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU035,Condiments,662,22525,22525,14911550,14911550,0,48909.88,-48909.88,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-01,SKU036,Convenience Foods,685,19780,19780,13549300,13549300,0,44441.7,-44441.7,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU001,Dairy,737,7740,7740,5704380,5704380,0,18710.37,-18710.37,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU002,Beverages,783,9782,9782,7659306,7659306,0,25122.52,-25122.52,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU003,Condiments,773,12000,12000,9276000,9276000,0,30425.28,-30425.28,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU004,Convenience Foods,788,14392,14392,11340896,11340896,0,37198.14,-37198.14,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU005,Dairy,829,16960,16960,14059840,14059840,0,46116.28,-46116.28,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU006,Beverages,833,15265,15265,12715745,12715745,0,41707.64,-41707.64,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU007,Condiments,966,17745,17745,17141670,17141670,0,56224.68,-56224.68,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU008,Convenience Foods,1031,20400,20400,21032400,21032400,0,68986.27,-68986.27,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU009,Dairy,1010,23230,23230,23462300,23462300,0,76956.34,-76956.34,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU010,Beverages,1079,9540,9540,10293660,10293660,0,33763.2,-33763.2,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU011,Condiments,1131,9245,9245,10456095,10456095,0,34295.99,-34295.99,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU012,Convenience Foods,1196,11375,11375,13604500,13604500,0,44622.76,-44622.76,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU013,Dairy,1284,13680,13680,17565120,17565120,0,57613.59,-57613.59,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU014,Beverages,1195,16160,16160,19311200,19311200,0,63340.74,-63340.74,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU015,Condiments,1231,18815,18815,23161265,23161265,0,75968.95,-75968.95,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU016,Convenience Foods,1370,16770,16770,22974900,22974900,0,75357.67,-75357.67,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU017,Dairy,697,19338,19338,13478586,13478586,0,44209.76,-44209.76,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU018,Beverages,709,22080,22080,15654720,15654720,0,51347.48,-51347.48,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU019,Condiments,730,9090,9090,6635700,6635700,0,21765.1,-21765.1,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU020,Convenience Foods,802,11395,11395,9138790,9138790,0,29975.23,-29975.23,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU021,Dairy,809,10750,10750,8696750,8696750,0,28525.34,-28525.34,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU022,Beverages,795,12968,12968,10309560,10309560,0,33815.36,-33815.36,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU023,Condiments,913,15360,15360,14023680,14023680,0,45997.67,-45997.67,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU024,Convenience Foods,958,17928,17928,17175024,17175024,0,56334.08,-56334.08,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU025,Dairy,1014,20670,20670,20959380,20959380,0,68746.77,-68746.77,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU026,Beverages,1048,18275,18275,19152200,19152200,0,62819.22,-62819.22,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU027,Condiments,1079,20930,20930,22583470,22583470,0,74073.78,-74073.78,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU028,Convenience Foods,1118,8640,8640,9659520,9659520,0,31683.23,-31683.23,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU029,Dairy,1166,10858,10858,12660428,12660428,0,41526.2,-41526.2,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU030,Beverages,1103,13250,13250,14614750,14614750,0,47936.38,-47936.38,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU031,Condiments,1308,12255,12255,16029540,16029540,0,52576.89,-52576.89,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU032,Convenience Foods,1258,14560,14560,18316480,18316480,0,60078.05,-60078.05,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU033,Dairy,1418,17040,17040,24162720,24162720,0,79253.72,-79253.72,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU034,Beverages,669,19695,19695,13175955,13175955,0,43217.13,-43217.13,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU035,Condiments,647,22525,22525,14573675,14573675,0,47801.65,-47801.65,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-02,SKU036,Convenience Foods,757,19780,19780,14973460,14973460,0,49112.95,-49112.95,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU001,Dairy,774,7740,7740,5990760,5990760,0,19649.69,-19649.69,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU002,Beverages,754,9782,9782,7375628,7375628,0,24192.06,-24192.06,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU003,Condiments,789,12000,12000,9468000,9468000,0,31055.04,-31055.04,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU004,Convenience Foods,824,14392,14392,11859008,11859008,0,38897.55,-38897.55,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU005,Dairy,841,16960,16960,14263360,14263360,0,46783.82,-46783.82,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU006,Beverages,941,15265,15265,14364365,14364365,0,47115.12,-47115.12,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU007,Condiments,953,17745,17745,16910985,16910985,0,55468.03,-55468.03,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU008,Convenience Foods,959,20400,20400,19563600,19563600,0,64168.61,-64168.61,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU009,Dairy,1098,23230,23230,25506540,25506540,0,83661.45,-83661.45,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU010,Beverages,1141,9540,9540,10885140,10885140,0,35703.26,-35703.26,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU011,Condiments,1169,9245,9245,10807405,10807405,0,35448.29,-35448.29,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU012,Convenience Foods,1000,11375,11375,11375000,11375000,0,37310,-37310,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU013,Dairy,1156,13680,13680,15814080,15814080,0,51870.18,-51870.18,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU014,Beverages,1317,16160,16160,21282720,21282720,0,69807.32,-69807.32,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU015,Condiments,1300,18815,18815,24459500,24459500,0,80227.16,-80227.16,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU016,Convenience Foods,1328,16770,16770,22270560,22270560,0,73047.44,-73047.44,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU017,Dairy,680,19338,19338,13149840,13149840,0,43131.48,-43131.48,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU018,Beverages,756,22080,22080,16692480,16692480,0,54751.33,-54751.33,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU019,Condiments,789,9090,9090,7172010,7172010,0,23524.19,-23524.19,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU020,Convenience Foods,839,11395,11395,9560405,9560405,0,31358.13,-31358.13,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU021,Dairy,777,10750,10750,8352750,8352750,0,27397.02,-27397.02,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU022,Beverages,813,12968,12968,10542984,10542984,0,34580.99,-34580.99,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU023,Condiments,910,15360,15360,13977600,13977600,0,45846.53,-45846.53,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU024,Convenience Foods,912,17928,17928,16350336,16350336,0,53629.1,-53629.1,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU025,Dairy,925,20670,20670,19119750,19119750,0,62712.78,-62712.78,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU026,Beverages,1028,18275,18275,18786700,18786700,0,61620.38,-61620.38,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU027,Condiments,1167,20930,20930,24425310,24425310,0,80115.02,-80115.02,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU028,Convenience Foods,1047,8640,8640,9046080,9046080,0,29671.14,-29671.14,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU029,Dairy,1130,10858,10858,12269540,12269540,0,40244.09,-40244.09,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU030,Beverages,1133,13250,13250,15012250,15012250,0,49240.18,-49240.18,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU031,Condiments,1260,12255,12255,15441300,15441300,0,50647.46,-50647.46,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU032,Convenience Foods,1247,14560,14560,18156320,18156320,0,59552.73,-59552.73,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU033,Dairy,1349,17040,17040,22986960,22986960,0,75397.23,-75397.23,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU034,Beverages,650,19695,19695,12801750,12801750,0,41989.74,-41989.74,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU035,Condiments,715,22525,22525,16105375,16105375,0,52825.63,-52825.63,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-03,SKU036,Convenience Foods,765,19780,19780,15131700,15131700,0,49631.98,-49631.98,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU001,Dairy,785,7740,7740,6075900,6075900,0,19928.95,-19928.95,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU002,Beverages,780,9782,9782,7629960,7629960,0,25026.27,-25026.27,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU003,Condiments,801,12000,12000,9612000,9612000,0,31527.36,-31527.36,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU004,Convenience Foods,758,14392,14392,10909136,10909136,0,35781.97,-35781.97,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU005,Dairy,836,16960,16960,14178560,14178560,0,46505.68,-46505.68,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU006,Beverages,856,15265,15265,13066840,13066840,0,42859.24,-42859.24,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU007,Condiments,1003,17745,17745,17798235,17798235,0,58378.21,-58378.21,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU008,Convenience Foods,1051,20400,20400,21440400,21440400,0,70324.51,-70324.51,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU009,Dairy,1107,23230,23230,25715610,25715610,0,84347.2,-84347.2,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU010,Beverages,1125,9540,9540,10732500,10732500,0,35202.6,-35202.6,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU011,Condiments,1036,9245,9245,9577820,9577820,0,31415.25,-31415.25,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU012,Convenience Foods,1162,11375,11375,13217750,13217750,0,43354.22,-43354.22,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU013,Dairy,1135,13680,13680,15526800,15526800,0,50927.9,-50927.9,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU014,Beverages,1154,16160,16160,18648640,18648640,0,61167.54,-61167.54,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU015,Condiments,1347,18815,18815,25343805,25343805,0,83127.68,-83127.68,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU016,Convenience Foods,1334,16770,16770,22371180,22371180,0,73377.47,-73377.47,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU017,Dairy,717,19338,19338,13865346,13865346,0,45478.33,-45478.33,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU018,Beverages,731,22080,22080,16140480,16140480,0,52940.77,-52940.77,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU019,Condiments,735,9090,9090,6681150,6681150,0,21914.17,-21914.17,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU020,Convenience Foods,877,11395,11395,9993415,9993415,0,32778.4,-32778.4,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU021,Dairy,937,10750,10750,10072750,10072750,0,33038.62,-33038.62,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU022,Beverages,939,12968,12968,12176952,12176952,0,39940.4,-39940.4,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU023,Condiments,901,15360,15360,13839360,13839360,0,45393.1,-45393.1,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU024,Convenience Foods,932,17928,17928,16708896,16708896,0,54805.18,-54805.18,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU025,Dairy,1039,20670,20670,21476130,21476130,0,70441.71,-70441.71,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU026,Beverages,956,18275,18275,17470900,17470900,0,57304.55,-57304.55,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU027,Condiments,1073,20930,20930,22457890,22457890,0,73661.88,-73661.88,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU028,Convenience Foods,1079,8640,8640,9322560,9322560,0,30578,-30578,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU029,Dairy,1248,10858,10858,13550784,13550784,0,44446.57,-44446.57,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU030,Beverages,1209,13250,13250,16019250,16019250,0,52543.14,-52543.14,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU031,Condiments,1189,12255,12255,14571195,14571195,0,47793.52,-47793.52,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU032,Convenience Foods,1270,14560,14560,18491200,18491200,0,60651.14,-60651.14,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU033,Dairy,1406,17040,17040,23958240,23958240,0,78583.03,-78583.03,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU034,Beverages,672,19695,19695,13235040,13235040,0,43410.93,-43410.93,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU035,Condiments,735,22525,22525,16555875,16555875,0,54303.27,-54303.27,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-04,SKU036,Convenience Foods,815,19780,19780,16120700,16120700,0,52875.9,-52875.9,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-05,SKU001,Dairy,645,7740,7740,4992300,4992300,0,16374.74,-16374.74,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-05,SKU002,Beverages,634,9782,9782,6201788,6201788,0,20341.86,-20341.86,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-05,SKU003,Condiments,700,12000,12000,8400000,8400000,0,27552,-27552,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-05,SKU004,Convenience Foods,784,14392,14392,11283328,11283328,0,37009.32,-37009.32,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-05,SKU005,Dairy,741,16960,16960,12567360,12567360,0,41220.94,-41220.94,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-05,SKU006,Beverages,860,15265,15265,13127900,13127900,0,43059.51,-43059.51,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-05,SKU007,Condiments,862,17745,17745,15296190,15296190,0,50171.5,-50171.5,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-05,SKU008,Convenience Foods,954,20400,20400,19461600,19461600,0,63834.05,-63834.05,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-05,SKU009,Dairy,1026,23230,23230,23833980,23833980,0,78175.45,-78175.45,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-05,SKU010,Beverages,990,9540,9540,9444600,9444600,0,30978.29,-30978.29,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-05,SKU011,Condiments,1118,9245,9245,10335910,10335910,0,33901.78,-33901.78,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-05,SKU012,Convenience Foods,1031,11375,11375,11727625,11727625,0,38466.61,-38466.61,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-05,SKU013,Dairy,1177,13680,13680,16101360,16101360,0,52812.46,-52812.46,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-05,SKU014,Beverages,1155,16160,16160,18664800,18664800,0,61220.54,-61220.54,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-05,SKU015,Condiments,1095,18815,18815,20602425,20602425,0,67575.95,-67575.95,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-05,SKU016,Convenience Foods,1258,16770,16770,21096660,21096660,0,69197.04,-69197.04,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-05,SKU017,Dairy,607,19338,19338,11738166,11738166,0,38501.18,-38501.18,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-05,SKU018,Beverages,637,22080,22080,14064960,14064960,0,46133.07,-46133.07,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-05,SKU019,Condiments,628,9090,9090,5708520,5708520,0,18723.95,-18723.95,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-05,SKU020,Convenience Foods,713,11395,11395,8124635,8124635,0,26648.8,-26648.8,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-05,SKU021,Dairy,778,10750,10750,8363500,8363500,0,27432.28,-27432.28,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
2023-05,SKU022,Beverages,864,12968,12968,11204352,11204352,0,36750.27,-36750.27,0,SIMULATED/DERIVED,Synthetic variance decomposition; no plant actuals supplied
