period,sku,category,inventory_value_vnd,dio_proxy_days,slow_moving_flag,reserve_rate,reserve_vnd,evidence_class,policy
2023-02,SKU007,Condiments,48585810,85.05,false,0.01,485858.1,SIMULATED/DERIVED,normal_1pct
2023-02,SKU008,Convenience Foods,47613600,68,false,0.01,476136,SIMULATED/DERIVED,normal_1pct
2023-02,SKU009,Dairy,51245380,65.5,false,0.01,512453.8,SIMULATED/DERIVED,normal_1pct
2023-02,SKU010,Beverages,22018320,64.25,false,0.01,220183.2,SIMULATED/DERIVED,normal_1pct
2023-02,SKU011,Condiments,19294315,55.4,false,0.01,192943.15,SIMULATED/DERIVED,normal_1pct
2023-02,SKU012,Convenience Foods,19599125,43.25,false,0.01,195991.25,SIMULATED/DERIVED,normal_1pct
2023-02,SKU013,Dairy,24487200,41.8,false,0.01,244872,SIMULATED/DERIVED,normal_1pct
2023-02,SKU014,Beverages,28748640,44.7,false,0.01,287486.4,SIMULATED/DERIVED,normal_1pct
2023-02,SKU015,Condiments,29595995,38.35,false,0.01,295959.95,SIMULATED/DERIVED,normal_1pct
2023-02,SKU016,Convenience Foods,26060580,34.05,false,0.01,260605.8,SIMULATED/DERIVED,normal_1pct
2023-02,SKU017,Dairy,60682644,135.25,true,0.15,9102396.6,SIMULATED/DERIVED,slow_moving_15pct
2023-02,SKU018,Beverages,65511360,125.7,true,0.15,9826704,SIMULATED/DERIVED,slow_moving_15pct
2023-02,SKU019,Condiments,24388470,110.25,false,0.08,1951077.6,SIMULATED/DERIVED,aging_over_90d_8pct
2023-02,SKU020,Convenience Foods,30379070,99.75,false,0.08,2430325.6,SIMULATED/DERIVED,aging_over_90d_8pct
2023-02,SKU021,Dairy,30927750,106.85,false,0.08,2474220,SIMULATED/DERIVED,aging_over_90d_8pct
2023-02,SKU022,Beverages,31836440,92.75,false,0.08,2546915.2,SIMULATED/DERIVED,aging_over_90d_8pct
2023-02,SKU023,Condiments,40826880,87.4,false,0.01,408268.8,SIMULATED/DERIVED,normal_1pct
2023-02,SKU024,Convenience Foods,43869816,76.65,false,0.01,438698.16,SIMULATED/DERIVED,normal_1pct
2023-02,SKU025,Dairy,50744850,72.65,false,0.01,507448.5,SIMULATED/DERIVED,normal_1pct
2023-02,SKU026,Beverages,39620200,62.05,false,0.01,396202,SIMULATED/DERIVED,normal_1pct
2023-02,SKU027,Condiments,42278600,56.2,false,0.01,422786,SIMULATED/DERIVED,normal_1pct
2023-02,SKU028,Convenience Foods,18826560,58.45,false,0.01,188265.6,SIMULATED/DERIVED,normal_1pct
2023-02,SKU029,Dairy,21802864,51.65,false,0.01,218028.64,SIMULATED/DERIVED,normal_1pct
2023-02,SKU030,Beverages,25254500,51.9,false,0.01,252545,SIMULATED/DERIVED,normal_1pct
2023-02,SKU031,Condiments,21409485,40.05,false,0.01,214094.85,SIMULATED/DERIVED,normal_1pct
2023-02,SKU032,Convenience Foods,29920800,49,false,0.01,299208,SIMULATED/DERIVED,normal_1pct
2023-02,SKU033,Dairy,25151040,31.25,false,0.01,251510.4,SIMULATED/DERIVED,normal_1pct
2023-02,SKU034,Beverages,63673935,145.2,true,0.15,9551090.25,SIMULATED/DERIVED,slow_moving_15pct
2023-02,SKU035,Condiments,65412600,134.85,true,0.15,9811890,SIMULATED/DERIVED,slow_moving_15pct
2023-02,SKU036,Convenience Foods,56630140,113.6,false,0.08,4530411.2,SIMULATED/DERIVED,aging_over_90d_8pct
2023-03,SKU001,Dairy,22144140,110.9,true,0.15,3321621,SIMULATED/DERIVED,slow_moving_15pct
2023-03,SKU002,Beverages,23144212,94.15,false,0.08,1851536.96,SIMULATED/DERIVED,aging_over_90d_8pct
2023-03,SKU003,Condiments,29736000,94.35,false,0.08,2378880,SIMULATED/DERIVED,aging_over_90d_8pct
2023-03,SKU004,Convenience Foods,37188928,94.05,false,0.08,2975114.24,SIMULATED/DERIVED,aging_over_90d_8pct
2023-03,SKU005,Dairy,45232320,95.25,false,0.08,3618585.6,SIMULATED/DERIVED,aging_over_90d_8pct
2023-03,SKU006,Beverages,32697630,68.35,false,0.01,326976.3,SIMULATED/DERIVED,normal_1pct
2023-03,SKU007,Condiments,43954365,78.05,false,0.01,439543.65,SIMULATED/DERIVED,normal_1pct
2023-03,SKU008,Convenience Foods,39106800,60.05,false,0.01,391068,SIMULATED/DERIVED,normal_1pct
2023-03,SKU009,Dairy,36052960,42.45,false,0.01,360529.6,SIMULATED/DERIVED,normal_1pct
2023-03,SKU010,Beverages,16265700,44.9,false,0.01,162657,SIMULATED/DERIVED,normal_1pct
2023-03,SKU011,Condiments,12656405,35.15,false,0.01,126564.05,SIMULATED/DERIVED,normal_1pct
2023-03,SKU012,Convenience Foods,12250875,32.3,false,0.01,122508.75,SIMULATED/DERIVED,normal_1pct
2023-03,SKU013,Dairy,13844160,26.25,false,0.01,138441.6,SIMULATED/DERIVED,normal_1pct
2023-03,SKU014,Beverages,13332000,18.8,false,0.01,133320,SIMULATED/DERIVED,normal_1pct
2023-03,SKU015,Condiments,10310620,12.65,false,0.01,103106.2,SIMULATED/DERIVED,normal_1pct
2023-03,SKU016,Convenience Foods,9173190,12.35,false,0.01,91731.9,SIMULATED/DERIVED,normal_1pct
2023-03,SKU017,Dairy,56582988,129.1,true,0.15,8487448.2,SIMULATED/DERIVED,slow_moving_15pct
2023-03,SKU018,Beverages,63877440,114.8,false,0.08,5110195.2,SIMULATED/DERIVED,aging_over_90d_8pct
2023-03,SKU019,Condiments,23006790,96.35,false,0.08,1840543.2,SIMULATED/DERIVED,aging_over_90d_8pct
2023-03,SKU020,Convenience Foods,27393580,86.05,false,0.01,273935.8,SIMULATED/DERIVED,normal_1pct
2023-03,SKU021,Dairy,29885000,107.5,true,0.15,4482750,SIMULATED/DERIVED,slow_moving_15pct
2023-03,SKU022,Beverages,27569968,78.55,false,0.01,275699.68,SIMULATED/DERIVED,normal_1pct
2023-03,SKU023,Condiments,34652160,74.4,false,0.01,346521.6,SIMULATED/DERIVED,normal_1pct
2023-03,SKU024,Convenience Foods,36788256,67.5,false,0.01,367882.56,SIMULATED/DERIVED,normal_1pct
2023-03,SKU025,Dairy,42724890,67.1,false,0.01,427248.9,SIMULATED/DERIVED,normal_1pct
2023-03,SKU026,Beverages,30098925,48.1,false,0.01,300989.25,SIMULATED/DERIVED,normal_1pct
2023-03,SKU027,Condiments,27878760,34.3,false,0.01,278787.6,SIMULATED/DERIVED,normal_1pct
2023-03,SKU028,Convenience Foods,13659840,45.35,false,0.01,136598.4,SIMULATED/DERIVED,normal_1pct
2023-03,SKU029,Dairy,13235902,32.4,false,0.01,132359.02,SIMULATED/DERIVED,normal_1pct
2023-03,SKU030,Beverages,16337250,32.7,false,0.01,163372.5,SIMULATED/DERIVED,normal_1pct
2023-03,SKU031,Condiments,10563810,20.55,false,0.01,105638.1,SIMULATED/DERIVED,normal_1pct
2023-03,SKU032,Convenience Foods,17442880,28.85,false,0.01,174428.8,SIMULATED/DERIVED,normal_1pct
2023-03,SKU033,Dairy,7446480,9.75,false,0.01,74464.8,SIMULATED/DERIVED,normal_1pct
2023-03,SKU034,Beverages,64993500,152.3,true,0.15,9749025,SIMULATED/DERIVED,slow_moving_15pct
2023-03,SKU035,Condiments,62979900,117.45,true,0.15,9446985,SIMULATED/DERIVED,slow_moving_15pct
2023-03,SKU036,Convenience Foods,51526900,102.3,false,0.08,4122152,SIMULATED/DERIVED,aging_over_90d_8pct
2023-04,SKU001,Dairy,21168900,104.65,false,0.08,1693512,SIMULATED/DERIVED,aging_over_90d_8pct
2023-04,SKU002,Beverages,20776968,81.7,false,0.01,207769.68,SIMULATED/DERIVED,normal_1pct
2023-04,SKU003,Condiments,24972000,78,false,0.01,249720,SIMULATED/DERIVED,normal_1pct
2023-04,SKU004,Convenience Foods,35994392,99,false,0.08,2879551.36,SIMULATED/DERIVED,aging_over_90d_8pct
2023-04,SKU005,Dairy,42383040,89.65,false,0.01,423830.4,SIMULATED/DERIVED,normal_1pct
2023-04,SKU006,Beverages,26881665,61.75,false,0.01,268816.65,SIMULATED/DERIVED,normal_1pct
2023-04,SKU007,Condiments,34868925,58.8,false,0.01,348689.25,SIMULATED/DERIVED,normal_1pct
2023-04,SKU008,Convenience Foods,27703200,38.8,false,0.01,277032,SIMULATED/DERIVED,normal_1pct
2023-04,SKU009,Dairy,19815190,23.15,false,0.01,198151.9,SIMULATED/DERIVED,normal_1pct
2023-04,SKU010,Beverages,9158400,25.6,false,0.01,91584,SIMULATED/DERIVED,normal_1pct
2023-04,SKU011,Condiments,5565490,17.45,false,0.01,55654.9,SIMULATED/DERIVED,normal_1pct
2023-04,SKU012,Convenience Foods,2195375,5,false,0.01,21953.75,SIMULATED/DERIVED,normal_1pct
2023-04,SKU013,Dairy,1313280,2.55,false,0.01,13132.8,SIMULATED/DERIVED,normal_1pct
2023-04,SKU014,Beverages,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-04,SKU015,Condiments,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-04,SKU016,Convenience Foods,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-04,SKU017,Dairy,54455808,118,true,0.15,8168371.2,SIMULATED/DERIVED,slow_moving_15pct
2023-04,SKU018,Beverages,65069760,121.1,true,0.15,9760464,SIMULATED/DERIVED,slow_moving_15pct
2023-04,SKU019,Condiments,22397760,100.7,false,0.08,1791820.8,SIMULATED/DERIVED,aging_over_90d_8pct
2023-04,SKU020,Convenience Foods,23188825,69.65,false,0.01,231888.25,SIMULATED/DERIVED,normal_1pct
2023-04,SKU021,Dairy,26918000,80.25,false,0.01,269180,SIMULATED/DERIVED,normal_1pct
2023-04,SKU022,Beverages,21591720,53.25,false,0.01,215917.2,SIMULATED/DERIVED,normal_1pct
2023-04,SKU023,Condiments,29030400,63,false,0.01,290304,SIMULATED/DERIVED,normal_1pct
2023-04,SKU024,Convenience Foods,28272456,50.75,false,0.01,282724.56,SIMULATED/DERIVED,normal_1pct
2023-04,SKU025,Dairy,30818970,43.1,false,0.01,308189.7,SIMULATED/DERIVED,normal_1pct
2023-04,SKU026,Beverages,19006000,32.65,false,0.01,190060,SIMULATED/DERIVED,normal_1pct
2023-04,SKU027,Condiments,9962680,13.3,false,0.01,99626.8,SIMULATED/DERIVED,normal_1pct
2023-04,SKU028,Convenience Foods,6877440,22.15,false,0.01,68774.4,SIMULATED/DERIVED,normal_1pct
2023-04,SKU029,Dairy,3181394,7.05,false,0.01,31813.94,SIMULATED/DERIVED,normal_1pct
2023-04,SKU030,Beverages,3312500,6.2,false,0.01,33125,SIMULATED/DERIVED,normal_1pct
2023-04,SKU031,Condiments,1127460,2.3,false,0.01,11274.6,SIMULATED/DERIVED,normal_1pct
2023-04,SKU032,Convenience Foods,3057600,4.95,false,0.01,30576,SIMULATED/DERIVED,normal_1pct
2023-04,SKU033,Dairy,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-04,SKU034,Beverages,66687270,151.15,true,0.15,10003090.5,SIMULATED/DERIVED,slow_moving_15pct
2023-04,SKU035,Condiments,59893975,108.7,false,0.08,4791518,SIMULATED/DERIVED,aging_over_90d_8pct
2023-04,SKU036,Convenience Foods,46483000,86.6,false,0.01,464830,SIMULATED/DERIVED,normal_1pct
2023-05,SKU001,Dairy,20580660,123.85,true,0.15,3087099,SIMULATED/DERIVED,slow_moving_15pct
2023-05,SKU002,Beverages,19818332,95.85,false,0.08,1585466.56,SIMULATED/DERIVED,aging_over_90d_8pct
2023-05,SKU003,Condiments,23148000,82.7,false,0.01,231480,SIMULATED/DERIVED,normal_1pct
2023-05,SKU004,Convenience Foods,34857424,92.7,false,0.08,2788593.92,SIMULATED/DERIVED,aging_over_90d_8pct
2023-05,SKU005,Dairy,39177600,93.65,false,0.08,3134208,SIMULATED/DERIVED,aging_over_90d_8pct
2023-05,SKU006,Beverages,20104005,45.95,false,0.01,201040.05,SIMULATED/DERIVED,normal_1pct
2023-05,SKU007,Condiments,27203085,53.35,false,0.01,272030.85,SIMULATED/DERIVED,normal_1pct
2023-05,SKU008,Convenience Foods,15320400,23.6,false,0.01,153204,SIMULATED/DERIVED,normal_1pct
2023-05,SKU009,Dairy,4808610,6.05,false,0.01,48086.1,SIMULATED/DERIVED,normal_1pct
2023-05,SKU010,Beverages,1717200,5.45,false,0.01,17172,SIMULATED/DERIVED,normal_1pct
2023-05,SKU011,Condiments,258860,0.75,false,0.01,2588.6,SIMULATED/DERIVED,normal_1pct
2023-05,SKU012,Convenience Foods,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-05,SKU013,Dairy,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-05,SKU014,Beverages,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-05,SKU015,Condiments,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-05,SKU016,Convenience Foods,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-05,SKU017,Dairy,55886820,143.05,true,0.15,8383023,SIMULATED/DERIVED,slow_moving_15pct
2023-05,SKU018,Beverages,62265600,133,true,0.15,9339840,SIMULATED/DERIVED,slow_moving_15pct
2023-05,SKU019,Condiments,21016080,110.45,false,0.08,1681286.4,SIMULATED/DERIVED,aging_over_90d_8pct
2023-05,SKU020,Convenience Foods,21285860,78.7,false,0.01,212858.6,SIMULATED/DERIVED,normal_1pct
2023-05,SKU021,Dairy,24660500,88.45,false,0.01,246605,SIMULATED/DERIVED,normal_1pct
2023-05,SKU022,Beverages,14718680,39.4,false,0.01,147186.8,SIMULATED/DERIVED,normal_1pct
2023-05,SKU023,Condiments,22517760,50.1,false,0.01,225177.6,SIMULATED/DERIVED,normal_1pct
2023-05,SKU024,Convenience Foods,16888176,29.5,false,0.01,168881.76,SIMULATED/DERIVED,normal_1pct
2023-05,SKU025,Dairy,18230940,29.9,false,0.01,182309.4,SIMULATED/DERIVED,normal_1pct
2023-05,SKU026,Beverages,5939375,9.7,false,0.01,59393.75,SIMULATED/DERIVED,normal_1pct
2023-05,SKU027,Condiments,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-05,SKU028,Convenience Foods,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-05,SKU029,Dairy,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-05,SKU030,Beverages,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-05,SKU031,Condiments,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-05,SKU032,Convenience Foods,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-05,SKU033,Dairy,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-05,SKU034,Beverages,69818775,176.1,true,0.15,10472816.25,SIMULATED/DERIVED,slow_moving_15pct
2023-05,SKU035,Condiments,61470725,124.8,true,0.15,9220608.75,SIMULATED/DERIVED,slow_moving_15pct
2023-05,SKU036,Convenience Foods,42883040,92.4,false,0.08,3430643.2,SIMULATED/DERIVED,aging_over_90d_8pct
2023-06,SKU001,Dairy,20170440,118.1,true,0.15,3025566,SIMULATED/DERIVED,slow_moving_15pct
2023-06,SKU002,Beverages,17304358,69.65,false,0.01,173043.58,SIMULATED/DERIVED,normal_1pct
2023-06,SKU003,Condiments,19104000,60.95,false,0.01,191040,SIMULATED/DERIVED,normal_1pct
2023-06,SKU004,Convenience Foods,30180024,76.5,false,0.01,301800.24,SIMULATED/DERIVED,normal_1pct
2023-06,SKU005,Dairy,33122880,68.1,false,0.01,331228.8,SIMULATED/DERIVED,normal_1pct
2023-06,SKU006,Beverages,11662460,27.2,false,0.01,116624.6,SIMULATED/DERIVED,normal_1pct
2023-06,SKU007,Condiments,18649995,36.9,false,0.01,186499.95,SIMULATED/DERIVED,normal_1pct
2023-06,SKU008,Convenience Foods,7874400,12.2,false,0.01,78744,SIMULATED/DERIVED,normal_1pct
2023-06,SKU009,Dairy,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-06,SKU010,Beverages,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-06,SKU011,Condiments,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-06,SKU012,Convenience Foods,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-06,SKU013,Dairy,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-06,SKU014,Beverages,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-06,SKU015,Condiments,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-06,SKU016,Convenience Foods,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-06,SKU017,Dairy,54745878,153.35,true,0.15,8211881.7,SIMULATED/DERIVED,slow_moving_15pct
2023-06,SKU018,Beverages,63612480,129,true,0.15,9541872,SIMULATED/DERIVED,slow_moving_15pct
2023-06,SKU019,Condiments,19807110,99.05,false,0.08,1584568.8,SIMULATED/DERIVED,aging_over_90d_8pct
2023-06,SKU020,Convenience Foods,16397405,54.8,false,0.01,163974.05,SIMULATED/DERIVED,normal_1pct
2023-06,SKU021,Dairy,22188000,71.35,false,0.01,221880,SIMULATED/DERIVED,normal_1pct
2023-06,SKU022,Beverages,9038696,29.15,false,0.01,90386.96,SIMULATED/DERIVED,normal_1pct
2023-06,SKU023,Condiments,14576640,32.65,false,0.01,145766.4,SIMULATED/DERIVED,normal_1pct
2023-06,SKU024,Convenience Foods,4607496,8.45,false,0.01,46074.96,SIMULATED/DERIVED,normal_1pct
2023-06,SKU025,Dairy,5126160,8.7,false,0.01,51261.6,SIMULATED/DERIVED,normal_1pct
2023-06,SKU026,Beverages,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-06,SKU027,Condiments,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-06,SKU028,Convenience Foods,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-06,SKU029,Dairy,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-06,SKU030,Beverages,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-06,SKU031,Condiments,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-06,SKU032,Convenience Foods,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-06,SKU033,Dairy,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-06,SKU034,Beverages,74348625,188.75,true,0.15,11152293.75,SIMULATED/DERIVED,slow_moving_15pct
2023-06,SKU035,Condiments,59466000,116.45,true,0.15,8919900,SIMULATED/DERIVED,slow_moving_15pct
2023-06,SKU036,Convenience Foods,38254520,77.8,false,0.01,382545.2,SIMULATED/DERIVED,normal_1pct
2023-07,SKU001,Dairy,19690560,106.6,true,0.15,2953584,SIMULATED/DERIVED,slow_moving_15pct
2023-07,SKU002,Beverages,13910004,56.45,false,0.01,139100.04,SIMULATED/DERIVED,normal_1pct
2023-07,SKU003,Condiments,14064000,49,false,0.01,140640,SIMULATED/DERIVED,normal_1pct
2023-07,SKU004,Convenience Foods,25848032,79.7,false,0.01,258480.32,SIMULATED/DERIVED,normal_1pct
2023-07,SKU005,Dairy,26033600,56.7,false,0.01,260336,SIMULATED/DERIVED,normal_1pct
2023-07,SKU006,Beverages,5938085,11.5,false,0.01,59380.85,SIMULATED/DERIVED,normal_1pct
2023-07,SKU007,Condiments,8215935,16.7,false,0.01,82159.35,SIMULATED/DERIVED,normal_1pct
2023-07,SKU008,Convenience Foods,469200,0.75,false,0.01,4692,SIMULATED/DERIVED,normal_1pct
2023-07,SKU009,Dairy,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-07,SKU010,Beverages,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-07,SKU011,Condiments,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-07,SKU012,Convenience Foods,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-07,SKU013,Dairy,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-07,SKU014,Beverages,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-07,SKU015,Condiments,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-07,SKU016,Convenience Foods,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-07,SKU017,Dairy,53740302,138.95,true,0.15,8061045.3,SIMULATED/DERIVED,slow_moving_15pct
2023-07,SKU018,Beverages,63921600,122.35,true,0.15,9588240,SIMULATED/DERIVED,slow_moving_15pct
2023-07,SKU019,Condiments,16789230,75.7,false,0.01,167892.3,SIMULATED/DERIVED,normal_1pct
2023-07,SKU020,Convenience Foods,11463370,39.65,false,0.01,114633.7,SIMULATED/DERIVED,normal_1pct
2023-07,SKU021,Dairy,18758750,62.05,false,0.01,187587.5,SIMULATED/DERIVED,normal_1pct
2023-07,SKU022,Beverages,3734784,10.6,false,0.01,37347.84,SIMULATED/DERIVED,normal_1pct
2023-07,SKU023,Condiments,5529600,13.2,false,0.01,55296,SIMULATED/DERIVED,normal_1pct
2023-07,SKU024,Convenience Foods,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-07,SKU025,Dairy,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-07,SKU026,Beverages,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-07,SKU027,Condiments,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-07,SKU028,Convenience Foods,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-07,SKU029,Dairy,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-07,SKU030,Beverages,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-07,SKU031,Condiments,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-07,SKU032,Convenience Foods,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-07,SKU033,Dairy,0,0,false,0.01,0,SIMULATED/DERIVED,normal_1pct
2023-07,SKU034,Beverages,76022700,157.75,true,0.15,11403405,SIMULATED/DERIVED,slow_moving_15pct
2023-07,SKU035,Condiments,59916500,122.75,true,0.15,8987475,SIMULATED/DERIVED,slow_moving_15pct
2023-07,SKU036,Convenience Foods,33487540,71.35,false,0.01,334875.4,SIMULATED/DERIVED,normal_1pct
2023-08,SKU001,Dairy,18065160,98.6,true,0.15,2709774,SIMULATED/DERIVED,slow_moving_15pct
2023-08,SKU002,Beverages,9596142,38.6,false,0.01,95961.42,SIMULATED/DERIVED,normal_1pct
2023-08,SKU003,Condiments,8028000,27.65,false,0.01,80280,SIMULATED/DERIVED,normal_1pct
2023-08,SKU004,Convenience Foods,20033664,51.95,false,0.01,200336.64,SIMULATED/DERIVED,normal_1pct
