entry_id,period,line_no,account,debit_vnd,credit_vnd,adjustment_type,reason,preparer,approver,approval_status,evidence_class
RECLASS-2024-02,2024-02,2,5200,0,259028.88,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2024-03,2024-03,1,6000,266914.14,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2024-03,2024-03,2,5200,0,266914.14,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2024-04,2024-04,1,6000,271706.28,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2024-04,2024-04,2,5200,0,271706.28,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2024-05,2024-05,1,6000,241990.59,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2024-05,2024-05,2,5200,0,241990.59,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2024-06,2024-06,1,6000,255057.86,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2024-06,2024-06,2,5200,0,255057.86,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2024-07,2024-07,1,6000,256801.7,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2024-07,2024-07,2,5200,0,256801.7,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2024-08,2024-08,1,6000,270840.35,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2024-08,2024-08,2,5200,0,270840.35,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2024-09,2024-09,1,6000,271929,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2024-09,2024-09,2,5200,0,271929,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2024-10,2024-10,1,6000,245736.96,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2024-10,2024-10,2,5200,0,245736.96,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2024-11,2024-11,1,6000,285112.48,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2024-11,2024-11,2,5200,0,285112.48,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2024-12,2024-12,1,6000,291575.45,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2024-12,2024-12,2,5200,0,291575.45,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2025-01,2025-01,1,6000,251742.61,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2025-01,2025-01,2,5200,0,251742.61,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2025-02,2025-02,1,6000,257861.98,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2025-02,2025-02,2,5200,0,257861.98,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2025-03,2025-03,1,6000,267335.1,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2025-03,2025-03,2,5200,0,267335.1,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2025-04,2025-04,1,6000,249026.09,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2025-04,2025-04,2,5200,0,249026.09,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2025-05,2025-05,1,6000,246934.57,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2025-05,2025-05,2,5200,0,246934.57,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2025-06,2025-06,1,6000,236637.05,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2025-06,2025-06,2,5200,0,236637.05,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2025-07,2025-07,1,6000,258457.28,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2025-07,2025-07,2,5200,0,258457.28,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2025-08,2025-08,1,6000,264004.9,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2025-08,2025-08,2,5200,0,264004.9,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2025-09,2025-09,1,6000,275783.53,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2025-09,2025-09,2,5200,0,275783.53,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2025-10,2025-10,1,6000,247937.79,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2025-10,2025-10,2,5200,0,247937.79,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2025-11,2025-11,1,6000,283364.31,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2025-11,2025-11,2,5200,0,283364.31,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2025-12,2025-12,1,6000,285352.5,0,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
RECLASS-2025-12,2025-12,2,5200,0,285352.5,reclass,Commercial support reclassified to controllable OPEX for management view,FP&A rehearsal,Simulated controller,APPROVED_SIMULATED,SIMULATED
