posting_id,document_type,company_code,posting_date,period,currency,cost_center,profit_center,gl_account,gl_account_name,management_line,debit_vnd,credit_vnd,signed_amount_vnd,source_system,source_table,mapping_version,mapping_status,exception_status,evidence_class
SIM-202303-00041,AA,VNO1,2023-03-28,2023-03,VND,CC-CORPORATE,PC-CORP,1000,Cash,Cash,3482414727,0,-3482414727,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202303-00042,AA,VNO1,2023-03-28,2023-03,VND,CC-CORPORATE,PC-CORP,1100,Trade Receivables,Trade Receivables,451043803,0,-451043803,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202303-00043,AA,VNO1,2023-03-28,2023-03,VND,CC-CORPORATE,PC-CORP,1200,Inventory,Inventory,1055735524,0,-1055735524,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202303-00044,AA,VNO1,2023-03-28,2023-03,VND,CC-CORPORATE,PC-CORP,1500,Net PP&E,Net PP&E,0,0,0,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202303-00045,AB,VNO1,2023-03-28,2023-03,VND,CC-CORPORATE,PC-CORP,2000,Trade Payables,Trade Payables,0,304462441,304462441,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202303-00046,AB,VNO1,2023-03-28,2023-03,VND,CC-CORPORATE,PC-CORP,2500,Debt,Debt,0,6850000000,6850000000,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202303-00047,AB,VNO1,2023-03-28,2023-03,VND,CC-CORPORATE,PC-CORP,3000,Opening Retained Earnings,Opening Retained Earnings,1509786956,0,-1509786956,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202303-00048,SA,VNO1,2023-03-28,2023-03,VND,CC-COMMERCIAL,PC-FMCG,4000,Gross Sales,Gross Sales,0,1125357500,1125357500,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202303-00049,SA,VNO1,2023-03-28,2023-03,VND,CC-COMMERCIAL,PC-FMCG,4010,Invoice Discounts,Invoice Discounts,54119230,0,-54119230,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202303-00050,SA,VNO1,2023-03-28,2023-03,VND,CC-COMMERCIAL,PC-FMCG,4020,Returns,Returns,8579299,0,-8579299,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202303-00051,SA,VNO1,2023-03-28,2023-03,VND,CC-COMMERCIAL,PC-FMCG,4030,Rebates,Rebates,0,0,0,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202303-00052,SA,VNO1,2023-03-28,2023-03,VND,CC-COMMERCIAL,PC-FMCG,4040,Voucher Support,Voucher Support,0,0,0,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202303-00053,KR,VNO1,2023-03-28,2023-03,VND,CC-SUPPLY,PC-FMCG,5000,COGS,COGS,537278091,0,-537278091,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202303-00054,KR,VNO1,2023-03-28,2023-03,VND,CC-TRADE,PC-FMCG,5100,Channel Fees,Channel Fees,66527941,0,-66527941,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202303-00055,KR,VNO1,2023-03-28,2023-03,VND,CC-TRADE,PC-FMCG,5200,Trade Spend,Trade Spend,26678953,0,-26678953,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202303-00056,KR,VNO1,2023-03-28,2023-03,VND,CC-TRADE,PC-FMCG,5300,Variable Fulfilment,Variable Fulfilment,0,0,0,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202303-00057,KR,VNO1,2023-03-28,2023-03,VND,CC-G&A,PC-CORP,6000,Controllable OPEX,Controllable OPEX,1040520000,0,-1040520000,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202303-00058,KR,VNO1,2023-03-28,2023-03,VND,CC-G&A,PC-CORP,6100,Depreciation,Depreciation,0,0,0,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202303-00059,KR,VNO1,2023-03-28,2023-03,VND,CC-TREASURY,PC-CORP,6200,Finance Cost,Finance Cost,47135417,0,-47135417,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202303-00060,KR,VNO1,2023-03-28,2023-03,VND,CC-TAX,PC-CORP,6300,Tax Proxy,Tax Proxy,0,0,0,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202304-00061,AA,VNO1,2023-04-28,2023-04,VND,CC-CORPORATE,PC-CORP,1000,Cash,Cash,2940052126,0,-2940052126,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202304-00062,AA,VNO1,2023-04-28,2023-04,VND,CC-CORPORATE,PC-CORP,1100,Trade Receivables,Trade Receivables,613087712,0,-613087712,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202304-00063,AA,VNO1,2023-04-28,2023-04,VND,CC-CORPORATE,PC-CORP,1200,Inventory,Inventory,794129843,0,-794129843,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202304-00064,AA,VNO1,2023-04-28,2023-04,VND,CC-CORPORATE,PC-CORP,1500,Net PP&E,Net PP&E,0,0,0,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202304-00065,AB,VNO1,2023-04-28,2023-04,VND,CC-CORPORATE,PC-CORP,2000,Trade Payables,Trade Payables,0,420815018,420815018,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202304-00066,AB,VNO1,2023-04-28,2023-04,VND,CC-CORPORATE,PC-CORP,2500,Debt,Debt,0,6800000000,6800000000,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202304-00067,AB,VNO1,2023-04-28,2023-04,VND,CC-CORPORATE,PC-CORP,3000,Opening Retained Earnings,Opening Retained Earnings,2165268387,0,-2165268387,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202304-00068,SA,VNO1,2023-04-28,2023-04,VND,CC-COMMERCIAL,PC-FMCG,4000,Gross Sales,Gross Sales,0,1139720000,1139720000,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202304-00069,SA,VNO1,2023-04-28,2023-04,VND,CC-COMMERCIAL,PC-FMCG,4010,Invoice Discounts,Invoice Discounts,54551880,0,-54551880,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202304-00070,SA,VNO1,2023-04-28,2023-04,VND,CC-COMMERCIAL,PC-FMCG,4020,Returns,Returns,8614991,0,-8614991,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202304-00071,SA,VNO1,2023-04-28,2023-04,VND,CC-COMMERCIAL,PC-FMCG,4030,Rebates,Rebates,0,0,0,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202304-00072,SA,VNO1,2023-04-28,2023-04,VND,CC-COMMERCIAL,PC-FMCG,4040,Voucher Support,Voucher Support,0,0,0,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202304-00073,KR,VNO1,2023-04-28,2023-04,VND,CC-SUPPLY,PC-FMCG,5000,COGS,COGS,544553249,0,-544553249,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202304-00074,KR,VNO1,2023-04-28,2023-04,VND,CC-TRADE,PC-FMCG,5100,Channel Fees,Channel Fees,67278537,0,-67278537,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202304-00075,KR,VNO1,2023-04-28,2023-04,VND,CC-TRADE,PC-FMCG,5200,Trade Spend,Trade Spend,27075376,0,-27075376,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202304-00076,KR,VNO1,2023-04-28,2023-04,VND,CC-TRADE,PC-FMCG,5300,Variable Fulfilment,Variable Fulfilment,0,0,0,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202304-00077,KR,VNO1,2023-04-28,2023-04,VND,CC-G&A,PC-CORP,6000,Controllable OPEX,Controllable OPEX,1099100000,0,-1099100000,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202304-00078,KR,VNO1,2023-04-28,2023-04,VND,CC-G&A,PC-CORP,6100,Depreciation,Depreciation,0,0,0,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202304-00079,KR,VNO1,2023-04-28,2023-04,VND,CC-TREASURY,PC-CORP,6200,Finance Cost,Finance Cost,46822917,0,-46822917,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202304-00080,KR,VNO1,2023-04-28,2023-04,VND,CC-TAX,PC-CORP,6300,Tax Proxy,Tax Proxy,0,0,0,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202305-00081,AA,VNO1,2023-05-28,2023-05,VND,CC-CORPORATE,PC-CORP,1000,Cash,Cash,2416770319,0,-2416770319,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202305-00082,AA,VNO1,2023-05-28,2023-05,VND,CC-CORPORATE,PC-CORP,1100,Trade Receivables,Trade Receivables,755351700,0,-755351700,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202305-00083,AA,VNO1,2023-05-28,2023-05,VND,CC-CORPORATE,PC-CORP,1200,Inventory,Inventory,644576507,0,-644576507,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202305-00084,AA,VNO1,2023-05-28,2023-05,VND,CC-CORPORATE,PC-CORP,1500,Net PP&E,Net PP&E,0,0,0,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202305-00085,AB,VNO1,2023-05-28,2023-05,VND,CC-CORPORATE,PC-CORP,2000,Trade Payables,Trade Payables,0,528325519,528325519,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202305-00086,AB,VNO1,2023-05-28,2023-05,VND,CC-CORPORATE,PC-CORP,2500,Debt,Debt,0,6750000000,6750000000,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202305-00087,AB,VNO1,2023-05-28,2023-05,VND,CC-CORPORATE,PC-CORP,3000,Opening Retained Earnings,Opening Retained Earnings,2873545337,0,-2873545337,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
SIM-202305-00088,SA,VNO1,2023-05-28,2023-05,VND,CC-COMMERCIAL,PC-FMCG,4000,Gross Sales,Gross Sales,0,1046446500,1046446500,SYNTHETIC_LEDGER,trial_balance_monthly.csv,VNO-FPA-MAP-v1,APPROVED_SIMULATED,NO_EXCEPTION,SIMULATED_DERIVED
