period,subledger,subledger_value_vnd,gl_control_value_vnd,residual_vnd,status,evidence_class
2023-11,Debt,6450000000,6450000000,0,PASS,DERIVED
2023-12,AR,1847109835,1847109835,0,PASS,DERIVED
2023-12,Inventory,232254329,232254329,0,PASS,DERIVED
2023-12,AP,1259575243,1259575243,0,PASS,DERIVED
2023-12,PP&E,0,0,0,PASS,DERIVED
2023-12,Debt,6400000000,6400000000,0,PASS,DERIVED
2024-01,AR,1993782207,1993782207,0,PASS,DERIVED
2024-01,Inventory,221738711,221738711,0,PASS,DERIVED
2024-01,AP,1374052702,1374052702,0,PASS,DERIVED
2024-01,PP&E,0,0,0,PASS,DERIVED
2024-01,Debt,6350000000,6350000000,0,PASS,DERIVED
2024-02,AR,2155087875,2155087875,0,PASS,DERIVED
2024-02,Inventory,222595121,222595121,0,PASS,DERIVED
2024-02,AP,1492470153,1492470153,0,PASS,DERIVED
2024-02,PP&E,0,0,0,PASS,DERIVED
2024-02,Debt,6300000000,6300000000,0,PASS,DERIVED
2024-03,AR,2308286542,2308286542,0,PASS,DERIVED
2024-03,Inventory,213834521,213834521,0,PASS,DERIVED
2024-03,AP,1593728186,1593728186,0,PASS,DERIVED
2024-03,PP&E,0,0,0,PASS,DERIVED
2024-03,Debt,6250000000,6250000000,0,PASS,DERIVED
2024-04,AR,2468035566,2468035566,0,PASS,DERIVED
2024-04,Inventory,219578403,219578403,0,PASS,DERIVED
2024-04,AP,1709812504,1709812504,0,PASS,DERIVED
2024-04,PP&E,0,0,0,PASS,DERIVED
2024-04,Debt,6200000000,6200000000,0,PASS,DERIVED
2024-05,AR,2609010399,2609010399,0,PASS,DERIVED
2024-05,Inventory,240504773,240504773,0,PASS,DERIVED
2024-05,AP,1814158570,1814158570,0,PASS,DERIVED
2024-05,PP&E,0,0,0,PASS,DERIVED
2024-05,Debt,7150000000,7150000000,0,PASS,DERIVED
2024-06,AR,2751891292,2751891292,0,PASS,DERIVED
2024-06,Inventory,252809522,252809522,0,PASS,DERIVED
2024-06,AP,1909320580,1909320580,0,PASS,DERIVED
2024-06,PP&E,0,0,0,PASS,DERIVED
2024-06,Debt,7100000000,7100000000,0,PASS,DERIVED
2024-07,AR,2893054163,2893054163,0,PASS,DERIVED
2024-07,Inventory,271025436,271025436,0,PASS,DERIVED
2024-07,AP,2016215261,2016215261,0,PASS,DERIVED
2024-07,PP&E,0,0,0,PASS,DERIVED
2024-07,Debt,7050000000,7050000000,0,PASS,DERIVED
2024-08,AR,3052870555,3052870555,0,PASS,DERIVED
2024-08,Inventory,284104626,284104626,0,PASS,DERIVED
2024-08,AP,2111361740,2111361740,0,PASS,DERIVED
2024-08,PP&E,0,0,0,PASS,DERIVED
2024-08,Debt,7000000000,7000000000,0,PASS,DERIVED
2024-09,AR,3204394735,3204394735,0,PASS,DERIVED
2024-09,Inventory,307828620,307828620,0,PASS,DERIVED
2024-09,AP,2205802010,2205802010,0,PASS,DERIVED
2024-09,PP&E,0,0,0,PASS,DERIVED
2024-09,Debt,6950000000,6950000000,0,PASS,DERIVED
2024-10,AR,3347149157,3347149157,0,PASS,DERIVED
2024-10,Inventory,358869025,358869025,0,PASS,DERIVED
2024-10,AP,2315447062,2315447062,0,PASS,DERIVED
2024-10,PP&E,0,0,0,PASS,DERIVED
2024-10,Debt,6900000000,6900000000,0,PASS,DERIVED
2024-11,AR,3520309758,3520309758,0,PASS,DERIVED
2024-11,Inventory,398518885,398518885,0,PASS,DERIVED
2024-11,AP,2422630196,2422630196,0,PASS,DERIVED
2024-11,PP&E,0,0,0,PASS,DERIVED
2024-11,Debt,6850000000,6850000000,0,PASS,DERIVED
2024-12,AR,3696686760,3696686760,0,PASS,DERIVED
2024-12,Inventory,467683450,467683450,0,PASS,DERIVED
2024-12,AP,2535687916,2535687916,0,PASS,DERIVED
2024-12,PP&E,0,0,0,PASS,DERIVED
2024-12,Debt,6800000000,6800000000,0,PASS,DERIVED
2025-01,AR,3853286753,3853286753,0,PASS,DERIVED
2025-01,Inventory,531126160,531126160,0,PASS,DERIVED
2025-01,AP,2641276950,2641276950,0,PASS,DERIVED
2025-01,PP&E,1261125000,1261125000,0,PASS,DERIVED
2025-01,Debt,6750000000,6750000000,0,PASS,DERIVED
2025-02,AR,4056102682,4056102682,0,PASS,DERIVED
2025-02,Inventory,641965610,641965610,0,PASS,DERIVED
2025-02,AP,2745021960,2745021960,0,PASS,DERIVED
2025-02,PP&E,2522250000,2522250000,0,PASS,DERIVED
2025-02,Debt,6700000000,6700000000,0,PASS,DERIVED
2025-03,AR,4257596156,4257596156,0,PASS,DERIVED
2025-03,Inventory,733564515,733564515,0,PASS,DERIVED
2025-03,AP,2845677672,2845677672,0,PASS,DERIVED
2025-03,PP&E,3152812500,3152812500,0,PASS,DERIVED
2025-03,Debt,6650000000,6650000000,0,PASS,DERIVED
2025-04,AR,4455705964,4455705964,0,PASS,DERIVED
2025-04,Inventory,767834930,767834930,0,PASS,DERIVED
2025-04,AP,2947679333,2947679333,0,PASS,DERIVED
2025-04,PP&E,3783375000,3783375000,0,PASS,DERIVED
2025-04,Debt,6600000000,6600000000,0,PASS,DERIVED
2025-05,AR,4644117131,4644117131,0,PASS,DERIVED
2025-05,Inventory,905251705,905251705,0,PASS,DERIVED
2025-05,AP,3069276780,3069276780,0,PASS,DERIVED
2025-05,PP&E,3783375000,3783375000,0,PASS,DERIVED
2025-05,Debt,6550000000,6550000000,0,PASS,DERIVED
2025-06,AR,4839261225,4839261225,0,PASS,DERIVED
2025-06,Inventory,1116188855,1116188855,0,PASS,DERIVED
2025-06,AP,3174112809,3174112809,0,PASS,DERIVED
2025-06,PP&E,3783375000,3783375000,0,PASS,DERIVED
2025-06,Debt,6500000000,6500000000,0,PASS,DERIVED
2025-07,AR,5029476907,5029476907,0,PASS,DERIVED
2025-07,Inventory,1307750635,1307750635,0,PASS,DERIVED
2025-07,AP,3284364410,3284364410,0,PASS,DERIVED
2025-07,PP&E,3783375000,3783375000,0,PASS,DERIVED
2025-07,Debt,6450000000,6450000000,0,PASS,DERIVED
2025-08,AR,5234614279,5234614279,0,PASS,DERIVED
2025-08,Inventory,1564988860,1564988860,0,PASS,DERIVED
2025-08,AP,3388779903,3388779903,0,PASS,DERIVED
2025-08,PP&E,3783375000,3783375000,0,PASS,DERIVED
2025-08,Debt,6400000000,6400000000,0,PASS,DERIVED
2025-09,AR,5455057910,5455057910,0,PASS,DERIVED
2025-09,Inventory,1824830700,1824830700,0,PASS,DERIVED
2025-09,AP,3493734102,3493734102,0,PASS,DERIVED
2025-09,PP&E,3783375000,3783375000,0,PASS,DERIVED
2025-09,Debt,6350000000,6350000000,0,PASS,DERIVED
2025-10,AR,5646589183,5646589183,0,PASS,DERIVED
2025-10,Inventory,2200849405,2200849405,0,PASS,DERIVED
2025-10,AP,3393548147,3393548147,0,PASS,DERIVED
2025-10,PP&E,3783375000,3783375000,0,PASS,DERIVED
2025-10,Debt,6300000000,6300000000,0,PASS,DERIVED
2025-11,AR,5862836238,5862836238,0,PASS,DERIVED
2025-11,Inventory,2677888060,2677888060,0,PASS,DERIVED
2025-11,AP,3497185097,3497185097,0,PASS,DERIVED
2025-11,PP&E,3783375000,3783375000,0,PASS,DERIVED
2025-11,Debt,6250000000,6250000000,0,PASS,DERIVED
2025-12,AR,6082515405,6082515405,0,PASS,DERIVED
2025-12,Inventory,3266385880,3266385880,0,PASS,DERIVED
2025-12,AP,3612700077,3612700077,0,PASS,DERIVED
2025-12,PP&E,3783375000,3783375000,0,PASS,DERIVED
2025-12,Debt,6200000000,6200000000,0,PASS,DERIVED
