period,account,debit_vnd,credit_vnd,evidence_class
2023-02,6000,981940000,0,SIMULATED/DERIVED
2023-02,6100,0,0,SIMULATED/DERIVED
2023-02,6200,47447917,0,SIMULATED/DERIVED
2023-02,6300,0,0,SIMULATED/DERIVED
2023-03,1000,3482414727,0,SIMULATED/DERIVED
2023-03,1100,451043803,0,SIMULATED/DERIVED
2023-03,1200,1055735524,0,SIMULATED/DERIVED
2023-03,1500,0,0,SIMULATED/DERIVED
2023-03,2000,0,304462441,SIMULATED/DERIVED
2023-03,2500,0,6850000000,SIMULATED/DERIVED
2023-03,3000,1509786956,0,SIMULATED/DERIVED
2023-03,4000,0,1125357500,SIMULATED/DERIVED
2023-03,4010,54119230,0,SIMULATED/DERIVED
2023-03,4020,8579299,0,SIMULATED/DERIVED
2023-03,4030,0,0,SIMULATED/DERIVED
2023-03,4040,0,0,SIMULATED/DERIVED
2023-03,5000,537278091,0,SIMULATED/DERIVED
2023-03,5100,66527941,0,SIMULATED/DERIVED
2023-03,5200,26678953,0,SIMULATED/DERIVED
2023-03,5300,0,0,SIMULATED/DERIVED
2023-03,6000,1040520000,0,SIMULATED/DERIVED
2023-03,6100,0,0,SIMULATED/DERIVED
2023-03,6200,47135417,0,SIMULATED/DERIVED
2023-03,6300,0,0,SIMULATED/DERIVED
2023-04,1000,2940052126,0,SIMULATED/DERIVED
2023-04,1100,613087712,0,SIMULATED/DERIVED
2023-04,1200,794129843,0,SIMULATED/DERIVED
2023-04,1500,0,0,SIMULATED/DERIVED
2023-04,2000,0,420815018,SIMULATED/DERIVED
2023-04,2500,0,6800000000,SIMULATED/DERIVED
2023-04,3000,2165268387,0,SIMULATED/DERIVED
2023-04,4000,0,1139720000,SIMULATED/DERIVED
2023-04,4010,54551880,0,SIMULATED/DERIVED
2023-04,4020,8614991,0,SIMULATED/DERIVED
2023-04,4030,0,0,SIMULATED/DERIVED
2023-04,4040,0,0,SIMULATED/DERIVED
2023-04,5000,544553249,0,SIMULATED/DERIVED
2023-04,5100,67278537,0,SIMULATED/DERIVED
2023-04,5200,27075376,0,SIMULATED/DERIVED
2023-04,5300,0,0,SIMULATED/DERIVED
2023-04,6000,1099100000,0,SIMULATED/DERIVED
2023-04,6100,0,0,SIMULATED/DERIVED
2023-04,6200,46822917,0,SIMULATED/DERIVED
2023-04,6300,0,0,SIMULATED/DERIVED
2023-05,1000,2416770319,0,SIMULATED/DERIVED
2023-05,1100,755351700,0,SIMULATED/DERIVED
2023-05,1200,644576507,0,SIMULATED/DERIVED
2023-05,1500,0,0,SIMULATED/DERIVED
2023-05,2000,0,528325519,SIMULATED/DERIVED
2023-05,2500,0,6750000000,SIMULATED/DERIVED
2023-05,3000,2873545337,0,SIMULATED/DERIVED
2023-05,4000,0,1046446500,SIMULATED/DERIVED
2023-05,4010,49909235,0,SIMULATED/DERIVED
2023-05,4020,7915766,0,SIMULATED/DERIVED
2023-05,4030,0,0,SIMULATED/DERIVED
2023-05,4040,0,0,SIMULATED/DERIVED
2023-05,5000,499217106,0,SIMULATED/DERIVED
2023-05,5100,61541786,0,SIMULATED/DERIVED
2023-05,5200,24852466,0,SIMULATED/DERIVED
2023-05,5300,0,0,SIMULATED/DERIVED
2023-05,6000,944581380,0,SIMULATED/DERIVED
2023-05,6100,0,0,SIMULATED/DERIVED
2023-05,6200,46510417,0,SIMULATED/DERIVED
2023-05,6300,0,0,SIMULATED/DERIVED
2023-06,1000,1807587545,0,SIMULATED/DERIVED
2023-06,1100,902744462,0,SIMULATED/DERIVED
2023-06,1200,540237567,0,SIMULATED/DERIVED
2023-06,1500,0,0,SIMULATED/DERIVED
2023-06,2000,0,636552765,SIMULATED/DERIVED
2023-06,2500,0,6700000000,SIMULATED/DERIVED
2023-06,3000,3461626993,0,SIMULATED/DERIVED
2023-06,4000,0,1063852500,SIMULATED/DERIVED
2023-06,4010,50655335,0,SIMULATED/DERIVED
2023-06,4020,8005578,0,SIMULATED/DERIVED
2023-06,4030,0,0,SIMULATED/DERIVED
2023-06,4040,0,0,SIMULATED/DERIVED
2023-06,5000,507832779,0,SIMULATED/DERIVED
2023-06,5100,62430779,0,SIMULATED/DERIVED
2023-06,5200,25223344,0,SIMULATED/DERIVED
2023-06,5300,0,0,SIMULATED/DERIVED
2023-06,6000,987862966,0,SIMULATED/DERIVED
2023-06,6100,0,0,SIMULATED/DERIVED
2023-06,6200,46197917,0,SIMULATED/DERIVED
2023-06,6300,0,0,SIMULATED/DERIVED
2023-07,1000,1129498373,0,SIMULATED/DERIVED
2023-07,1100,1057177775,0,SIMULATED/DERIVED
2023-07,1200,457533792,0,SIMULATED/DERIVED
2023-07,1500,0,0,SIMULATED/DERIVED
2023-07,2000,0,748337833,SIMULATED/DERIVED
2023-07,2500,0,6650000000,SIMULATED/DERIVED
2023-07,3000,4085983191,0,SIMULATED/DERIVED
2023-07,4000,0,1089518000,SIMULATED/DERIVED
2023-07,4010,52521440,0,SIMULATED/DERIVED
2023-07,4020,8352427,0,SIMULATED/DERIVED
2023-07,4030,0,0,SIMULATED/DERIVED
2023-07,4040,0,0,SIMULATED/DERIVED
2023-07,5000,519549086,0,SIMULATED/DERIVED
2023-07,5100,64859153,0,SIMULATED/DERIVED
2023-07,5200,25975179,0,SIMULATED/DERIVED
2023-07,5300,0,0,SIMULATED/DERIVED
2023-07,6000,1040520000,0,SIMULATED/DERIVED
2023-07,6100,0,0,SIMULATED/DERIVED
2023-07,6200,45885417,0,SIMULATED/DERIVED
2023-07,6300,0,0,SIMULATED/DERIVED
2023-08,1000,343873681,0,SIMULATED/DERIVED
2023-08,1100,1211435764,0,SIMULATED/DERIVED
2023-08,1200,381987127,0,SIMULATED/DERIVED
2023-08,1500,0,0,SIMULATED/DERIVED
2023-08,2000,0,855761822,SIMULATED/DERIVED
2023-08,2500,0,6600000000,SIMULATED/DERIVED
2023-08,3000,4754127893,0,SIMULATED/DERIVED
2023-08,4000,0,1109618500,SIMULATED/DERIVED
2023-08,4010,53215765,0,SIMULATED/DERIVED
2023-08,4020,8396207,0,SIMULATED/DERIVED
2023-08,4030,0,0,SIMULATED/DERIVED
2023-08,4040,0,0,SIMULATED/DERIVED
2023-08,5000,546480164,0,SIMULATED/DERIVED
2023-08,5100,65528010,0,SIMULATED/DERIVED
2023-08,5200,26372794,0,SIMULATED/DERIVED
2023-08,5300,0,0,SIMULATED/DERIVED
2023-08,6000,1128390000,0,SIMULATED/DERIVED
2023-08,6100,0,0,SIMULATED/DERIVED
2023-08,6200,45572917,0,SIMULATED/DERIVED
2023-08,6300,0,0,SIMULATED/DERIVED
2023-09,1000,-291100485,0,SIMULATED/DERIVED
2023-09,1100,1371093506,0,SIMULATED/DERIVED
2023-09,1200,322223138,0,SIMULATED/DERIVED
2023-09,1500,0,0,SIMULATED/DERIVED
2023-09,2000,0,961346625,SIMULATED/DERIVED
2023-09,2500,0,6550000000,SIMULATED/DERIVED
2023-09,3000,5518465250,0,SIMULATED/DERIVED
2023-09,4000,0,1161407500,SIMULATED/DERIVED
2023-09,4010,55526400,0,SIMULATED/DERIVED
2023-09,4020,8808562,0,SIMULATED/DERIVED
2023-09,4030,0,0,SIMULATED/DERIVED
2023-09,4040,0,0,SIMULATED/DERIVED
2023-09,5000,571438321,0,SIMULATED/DERIVED
2023-09,5100,68394781,0,SIMULATED/DERIVED
2023-09,5200,27506533,0,SIMULATED/DERIVED
2023-09,5300,0,0,SIMULATED/DERIVED
2023-09,6000,975137702,0,SIMULATED/DERIVED
2023-09,6100,0,0,SIMULATED/DERIVED
2023-09,6200,45260417,0,SIMULATED/DERIVED
2023-09,6300,0,0,SIMULATED/DERIVED
2023-10,1000,-1036406762,0,SIMULATED/DERIVED
2023-10,1100,1506128209,0,SIMULATED/DERIVED
2023-10,1200,289827658,0,SIMULATED/DERIVED
2023-10,1500,0,0,SIMULATED/DERIVED
2023-10,2000,0,1058691023,SIMULATED/DERIVED
2023-10,2500,0,6500000000,SIMULATED/DERIVED
2023-10,3000,6109130466,0,SIMULATED/DERIVED
2023-10,4000,0,1039482500,SIMULATED/DERIVED
2023-10,4010,50168550,0,SIMULATED/DERIVED
2023-10,4020,7958933,0,SIMULATED/DERIVED
2023-10,4030,0,0,SIMULATED/DERIVED
2023-10,4040,0,0,SIMULATED/DERIVED
2023-10,5000,511619187,0,SIMULATED/DERIVED
2023-10,5100,61588448,0,SIMULATED/DERIVED
2023-10,5200,24558447,0,SIMULATED/DERIVED
2023-10,5300,0,0,SIMULATED/DERIVED
2023-10,6000,1028652470,0,SIMULATED/DERIVED
2023-10,6100,0,0,SIMULATED/DERIVED
2023-10,6200,44947917,0,SIMULATED/DERIVED
2023-10,6300,0,0,SIMULATED/DERIVED
2023-11,1000,-1826207214,0,SIMULATED/DERIVED
2023-11,1100,1673851355,0,SIMULATED/DERIVED
2023-11,1200,257041042,0,SIMULATED/DERIVED
2023-11,1500,0,0,SIMULATED/DERIVED
2023-11,2000,0,1153870556,SIMULATED/DERIVED
2023-11,2500,0,6450000000,SIMULATED/DERIVED
2023-11,3000,6799141918,0,SIMULATED/DERIVED
2023-11,4000,0,1196287000,SIMULATED/DERIVED
2023-11,4010,57177560,0,SIMULATED/DERIVED
2023-11,4020,9035324,0,SIMULATED/DERIVED
2023-11,4030,0,0,SIMULATED/DERIVED
2023-11,4040,0,0,SIMULATED/DERIVED
2023-11,5000,588234366,0,SIMULATED/DERIVED
2023-11,5100,70388138,0,SIMULATED/DERIVED
2023-11,5200,28405224,0,SIMULATED/DERIVED
2023-11,5300,0,0,SIMULATED/DERIVED
2023-11,6000,1098454426,0,SIMULATED/DERIVED
2023-11,6100,0,0,SIMULATED/DERIVED
2023-11,6200,44635417,0,SIMULATED/DERIVED
2023-11,6300,0,0,SIMULATED/DERIVED
2023-12,1000,-2688150092,0,SIMULATED/DERIVED
2023-12,1100,1847109835,0,SIMULATED/DERIVED
2023-12,1200,232254329,0,SIMULATED/DERIVED
2023-12,1500,0,0,SIMULATED/DERIVED
2023-12,2000,0,1259575243,SIMULATED/DERIVED
2023-12,2500,0,6400000000,SIMULATED/DERIVED
2023-12,3000,7499185373,0,SIMULATED/DERIVED
2023-12,4000,0,1224171500,SIMULATED/DERIVED
2023-12,4010,59032820,0,SIMULATED/DERIVED
2023-12,4020,9344619,0,SIMULATED/DERIVED
2023-12,4030,0,0,SIMULATED/DERIVED
2023-12,4040,0,0,SIMULATED/DERIVED
2023-12,5000,602643910,0,SIMULATED/DERIVED
2023-12,5100,72545564,0,SIMULATED/DERIVED
2023-12,5200,28979518,0,SIMULATED/DERIVED
2023-12,5300,0,0,SIMULATED/DERIVED
2023-12,6000,1176477950,0,SIMULATED/DERIVED
2023-12,6100,0,0,SIMULATED/DERIVED
2023-12,6200,44322917,0,SIMULATED/DERIVED
2023-12,6300,0,0,SIMULATED/DERIVED
2024-01,1000,-3396612739,0,SIMULATED/DERIVED
2024-01,1100,1993782207,0,SIMULATED/DERIVED
2024-01,1200,221738711,0,SIMULATED/DERIVED
2024-01,1500,0,0,SIMULATED/DERIVED
2024-01,2000,0,1374052702,SIMULATED/DERIVED
2024-01,2500,0,6350000000,SIMULATED/DERIVED
2024-01,3000,8268361171,0,SIMULATED/DERIVED
2024-01,4000,0,1059661500,SIMULATED/DERIVED
2024-01,4010,50659375,0,SIMULATED/DERIVED
2024-01,4020,8006945,0,SIMULATED/DERIVED
2024-01,4030,0,0,SIMULATED/DERIVED
2024-01,4040,0,0,SIMULATED/DERIVED
2024-01,5000,521682089,0,SIMULATED/DERIVED
2024-01,5100,66915543,0,SIMULATED/DERIVED
2024-01,5200,25063544,0,SIMULATED/DERIVED
2024-01,5300,0,0,SIMULATED/DERIVED
2024-01,6000,980106939,0,SIMULATED/DERIVED
2024-01,6100,0,0,SIMULATED/DERIVED
2024-01,6200,44010417,0,SIMULATED/DERIVED
2024-01,6300,0,0,SIMULATED/DERIVED
2024-02,1000,-4141958976,0,SIMULATED/DERIVED
2024-02,1100,2155087875,0,SIMULATED/DERIVED
2024-02,1200,222595121,0,SIMULATED/DERIVED
2024-02,1500,0,0,SIMULATED/DERIVED
2024-02,2000,0,1492470153,SIMULATED/DERIVED
2024-02,2500,0,6300000000,SIMULATED/DERIVED
2024-02,3000,8905144523,0,SIMULATED/DERIVED
2024-02,4000,0,1094073500,SIMULATED/DERIVED
2024-02,4010,52745925,0,SIMULATED/DERIVED
2024-02,4020,8340644,0,SIMULATED/DERIVED
2024-02,4030,0,0,SIMULATED/DERIVED
2024-02,4040,0,0,SIMULATED/DERIVED
2024-02,5000,538655427,0,SIMULATED/DERIVED
2024-02,5100,69731519,0,SIMULATED/DERIVED
2024-02,5200,25902888,0,SIMULATED/DERIVED
2024-02,5300,0,0,SIMULATED/DERIVED
2024-02,6000,1006600790,0,SIMULATED/DERIVED
2024-02,6100,0,0,SIMULATED/DERIVED
2024-02,6200,43697917,0,SIMULATED/DERIVED
2024-02,6300,0,0,SIMULATED/DERIVED
2024-03,1000,-4961916456,0,SIMULATED/DERIVED
2024-03,1100,2308286542,0,SIMULATED/DERIVED
2024-03,1200,213834521,0,SIMULATED/DERIVED
2024-03,1500,0,0,SIMULATED/DERIVED
2024-03,2000,0,1593728186,SIMULATED/DERIVED
2024-03,2500,0,6250000000,SIMULATED/DERIVED
2024-03,3000,9556746133,0,SIMULATED/DERIVED
2024-03,4000,0,1126190500,SIMULATED/DERIVED
2024-03,4010,54127235,0,SIMULATED/DERIVED
2024-03,4020,8585276,0,SIMULATED/DERIVED
2024-03,4030,0,0,SIMULATED/DERIVED
2024-03,4040,0,0,SIMULATED/DERIVED
2024-03,5000,554083204,0,SIMULATED/DERIVED
2024-03,5100,71670646,0,SIMULATED/DERIVED
2024-03,5200,26691414,0,SIMULATED/DERIVED
2024-03,5300,0,0,SIMULATED/DERIVED
2024-03,6000,1094424754,0,SIMULATED/DERIVED
2024-03,6100,0,0,SIMULATED/DERIVED
2024-03,6200,43385417,0,SIMULATED/DERIVED
2024-03,6300,0,0,SIMULATED/DERIVED
2024-04,1000,-5808945110,0,SIMULATED/DERIVED
2024-04,1100,2468035566,0,SIMULATED/DERIVED
2024-04,1200,219578403,0,SIMULATED/DERIVED
2024-04,1500,0,0,SIMULATED/DERIVED
2024-04,2000,0,1709812504,SIMULATED/DERIVED
2024-04,2500,0,6200000000,SIMULATED/DERIVED
2024-04,3000,10283523579,0,SIMULATED/DERIVED
2024-04,4000,0,1148204500,SIMULATED/DERIVED
2024-04,4010,54854685,0,SIMULATED/DERIVED
2024-04,4020,8673964,0,SIMULATED/DERIVED
2024-04,4030,0,0,SIMULATED/DERIVED
2024-04,4040,0,0,SIMULATED/DERIVED
2024-04,5000,565989664,0,SIMULATED/DERIVED
2024-04,5100,72482164,0,SIMULATED/DERIVED
2024-04,5200,27170628,0,SIMULATED/DERIVED
2024-04,5300,0,0,SIMULATED/DERIVED
2024-04,6000,1123580544,0,SIMULATED/DERIVED
2024-04,6100,0,0,SIMULATED/DERIVED
2024-04,6200,43072917,0,SIMULATED/DERIVED
2024-04,6300,0,0,SIMULATED/DERIVED
2024-05,1000,-5602785699,0,SIMULATED/DERIVED
2024-05,1100,2609010399,0,SIMULATED/DERIVED
2024-05,1200,240504773,0,SIMULATED/DERIVED
2024-05,1500,0,0,SIMULATED/DERIVED
2024-05,2000,0,1814158570,SIMULATED/DERIVED
2024-05,2500,0,7150000000,SIMULATED/DERIVED
2024-05,3000,11031143645,0,SIMULATED/DERIVED
2024-05,4000,0,1023260000,SIMULATED/DERIVED
2024-05,4010,49302055,0,SIMULATED/DERIVED
2024-05,4020,7811009,0,SIMULATED/DERIVED
2024-05,4030,0,0,SIMULATED/DERIVED
2024-05,4040,0,0,SIMULATED/DERIVED
2024-05,5000,504127649,0,SIMULATED/DERIVED
2024-05,5100,65173347,0,SIMULATED/DERIVED
2024-05,5200,24199059,0,SIMULATED/DERIVED
2024-05,5300,0,0,SIMULATED/DERIVED
2024-05,6000,1013046916,0,SIMULATED/DERIVED
2024-05,6100,0,0,SIMULATED/DERIVED
2024-05,6200,45885417,0,SIMULATED/DERIVED
2024-05,6300,0,0,SIMULATED/DERIVED
2024-06,1000,-6403638716,0,SIMULATED/DERIVED
2024-06,1100,2751891292,0,SIMULATED/DERIVED
2024-06,1200,252809522,0,SIMULATED/DERIVED
2024-06,1500,0,0,SIMULATED/DERIVED
2024-06,2000,0,1909320580,SIMULATED/DERIVED
2024-06,2500,0,7100000000,SIMULATED/DERIVED
2024-06,3000,11717429097,0,SIMULATED/DERIVED
2024-06,4000,0,1070719000,SIMULATED/DERIVED
2024-06,4010,51301095,0,SIMULATED/DERIVED
2024-06,4020,8077508,0,SIMULATED/DERIVED
2024-06,4030,0,0,SIMULATED/DERIVED
2024-06,4040,0,0,SIMULATED/DERIVED
2024-06,5000,527806563,0,SIMULATED/DERIVED
2024-06,5100,67877896,0,SIMULATED/DERIVED
2024-06,5200,25505786,0,SIMULATED/DERIVED
2024-06,5300,0,0,SIMULATED/DERIVED
2024-06,6000,1032281620,0,SIMULATED/DERIVED
2024-06,6100,0,0,SIMULATED/DERIVED
2024-06,6200,48697917,0,SIMULATED/DERIVED
2024-06,6300,0,0,SIMULATED/DERIVED
2024-07,1000,-7230998370,0,SIMULATED/DERIVED
2024-07,1100,2893054163,0,SIMULATED/DERIVED
2024-07,1200,271025436,0,SIMULATED/DERIVED
2024-07,1500,0,0,SIMULATED/DERIVED
2024-07,2000,0,2016215261,SIMULATED/DERIVED
2024-07,2500,0,7050000000,SIMULATED/DERIVED
2024-07,3000,12408258482,0,SIMULATED/DERIVED
2024-07,4000,0,1086817000,SIMULATED/DERIVED
2024-07,4010,52407315,0,SIMULATED/DERIVED
2024-07,4020,8276421,0,SIMULATED/DERIVED
2024-07,4030,0,0,SIMULATED/DERIVED
2024-07,4040,0,0,SIMULATED/DERIVED
2024-07,5000,534676875,0,SIMULATED/DERIVED
2024-07,5100,69172235,0,SIMULATED/DERIVED
2024-07,5200,25680170,0,SIMULATED/DERIVED
2024-07,5300,0,0,SIMULATED/DERIVED
2024-07,6000,1073094117,0,SIMULATED/DERIVED
2024-07,6100,0,0,SIMULATED/DERIVED
2024-07,6200,48385417,0,SIMULATED/DERIVED
2024-07,6300,0,0,SIMULATED/DERIVED
2024-08,1000,-8123374897,0,SIMULATED/DERIVED
2024-08,1100,3052870555,0,SIMULATED/DERIVED
2024-08,1200,284104626,0,SIMULATED/DERIVED
2024-08,1500,0,0,SIMULATED/DERIVED
2024-08,2000,0,2111361740,SIMULATED/DERIVED
2024-08,2500,0,7000000000,SIMULATED/DERIVED
2024-08,3000,13133134032,0,SIMULATED/DERIVED
2024-08,4000,0,1136640500,SIMULATED/DERIVED
2024-08,4010,54186795,0,SIMULATED/DERIVED
2024-08,4020,8569482,0,SIMULATED/DERIVED
2024-08,4030,0,0,SIMULATED/DERIVED
2024-08,4040,0,0,SIMULATED/DERIVED
2024-08,5000,559651653,0,SIMULATED/DERIVED
2024-08,5100,71786422,0,SIMULATED/DERIVED
2024-08,5200,27084035,0,SIMULATED/DERIVED
2024-08,5300,0,0,SIMULATED/DERIVED
2024-08,6000,1131916620,0,SIMULATED/DERIVED
2024-08,6100,0,0,SIMULATED/DERIVED
2024-08,6200,48072917,0,SIMULATED/DERIVED
2024-08,6300,0,0,SIMULATED/DERIVED
2024-09,1000,-8956344600,0,SIMULATED/DERIVED
2024-09,1100,3204394735,0,SIMULATED/DERIVED
2024-09,1200,307828620,0,SIMULATED/DERIVED
2024-09,1500,0,0,SIMULATED/DERIVED
2024-09,2000,0,2205802010,SIMULATED/DERIVED
2024-09,2500,0,6950000000,SIMULATED/DERIVED
2024-09,3000,13897761456,0,SIMULATED/DERIVED
2024-09,4000,0,1164437000,SIMULATED/DERIVED
2024-09,4010,73543470,0,SIMULATED/DERIVED
2024-09,4020,9071264,0,SIMULATED/DERIVED
2024-09,4030,0,0,SIMULATED/DERIVED
2024-09,4040,0,0,SIMULATED/DERIVED
2024-09,5000,574343733,0,SIMULATED/DERIVED
2024-09,5100,72801743,0,SIMULATED/DERIVED
2024-09,5200,27192900,0,SIMULATED/DERIVED
2024-09,5300,0,0,SIMULATED/DERIVED
2024-09,6000,1061885272,0,SIMULATED/DERIVED
2024-09,6100,0,0,SIMULATED/DERIVED
2024-09,6200,47760417,0,SIMULATED/DERIVED
2024-09,6300,0,0,SIMULATED/DERIVED
2024-10,1000,-9884233505,0,SIMULATED/DERIVED
2024-10,1100,3347149157,0,SIMULATED/DERIVED
2024-10,1200,358869025,0,SIMULATED/DERIVED
2024-10,1500,0,0,SIMULATED/DERIVED
2024-10,2000,0,2315447062,SIMULATED/DERIVED
2024-10,2500,0,6900000000,SIMULATED/DERIVED
2024-10,3000,14599923255,0,SIMULATED/DERIVED
2024-10,4000,0,1034445500,SIMULATED/DERIVED
2024-10,4010,49761675,0,SIMULATED/DERIVED
2024-10,4020,7863760,0,SIMULATED/DERIVED
2024-10,4030,0,0,SIMULATED/DERIVED
2024-10,4040,0,0,SIMULATED/DERIVED
2024-10,5000,509038963,0,SIMULATED/DERIVED
2024-10,5100,65778283,0,SIMULATED/DERIVED
2024-10,5200,24573696,0,SIMULATED/DERIVED
2024-10,5300,0,0,SIMULATED/DERIVED
2024-10,6000,1123720336,0,SIMULATED/DERIVED
2024-10,6100,0,0,SIMULATED/DERIVED
2024-10,6200,47447917,0,SIMULATED/DERIVED
2024-10,6300,0,0,SIMULATED/DERIVED
2024-11,1000,-10828943637,0,SIMULATED/DERIVED
2024-11,1100,3520309758,0,SIMULATED/DERIVED
2024-11,1200,398518885,0,SIMULATED/DERIVED
2024-11,1500,0,0,SIMULATED/DERIVED
2024-11,2000,0,2422630196,SIMULATED/DERIVED
2024-11,2500,0,6850000000,SIMULATED/DERIVED
2024-11,3000,15393662385,0,SIMULATED/DERIVED
2024-11,4000,0,1201818000,SIMULATED/DERIVED
2024-11,4010,57799705,0,SIMULATED/DERIVED
2024-11,4020,9123444,0,SIMULATED/DERIVED
2024-11,4030,0,0,SIMULATED/DERIVED
2024-11,4040,0,0,SIMULATED/DERIVED
2024-11,5000,590449614,0,SIMULATED/DERIVED
2024-11,5100,76400727,0,SIMULATED/DERIVED
2024-11,5200,28511248,0,SIMULATED/DERIVED
2024-11,5300,0,0,SIMULATED/DERIVED
2024-11,6000,1181480650,0,SIMULATED/DERIVED
2024-11,6100,0,0,SIMULATED/DERIVED
2024-11,6200,47135417,0,SIMULATED/DERIVED
2024-11,6300,0,0,SIMULATED/DERIVED
2024-12,1000,-11949215288,0,SIMULATED/DERIVED
2024-12,1100,3696686760,0,SIMULATED/DERIVED
2024-12,1200,467683450,0,SIMULATED/DERIVED
2024-12,1500,0,0,SIMULATED/DERIVED
2024-12,2000,0,2535687916,SIMULATED/DERIVED
2024-12,2500,0,6800000000,SIMULATED/DERIVED
2024-12,3000,16182745190,0,SIMULATED/DERIVED
2024-12,4000,0,1233096500,SIMULATED/DERIVED
2024-12,4010,59605770,0,SIMULATED/DERIVED
2024-12,4020,9454964,0,SIMULATED/DERIVED
2024-12,4030,0,0,SIMULATED/DERIVED
2024-12,4040,0,0,SIMULATED/DERIVED
2024-12,5000,606855245,0,SIMULATED/DERIVED
2024-12,5100,78874438,0,SIMULATED/DERIVED
2024-12,5200,29157545,0,SIMULATED/DERIVED
2024-12,5300,0,0,SIMULATED/DERIVED
2024-12,6000,1340113425,0,SIMULATED/DERIVED
2024-12,6100,0,0,SIMULATED/DERIVED
2024-12,6200,46822917,0,SIMULATED/DERIVED
2024-12,6300,0,0,SIMULATED/DERIVED
2025-01,1000,-14148635733.8,0,SIMULATED/DERIVED
2025-01,1100,3853286753,0,SIMULATED/DERIVED
2025-01,1200,531126160,0,SIMULATED/DERIVED
2025-01,1500,1261125000,0,SIMULATED/DERIVED
2025-01,2000,0,2641276950,SIMULATED/DERIVED
2025-01,2500,0,6750000000,SIMULATED/DERIVED
2025-01,3000,17120532994,0,SIMULATED/DERIVED
2025-01,4000,0,1058922000,SIMULATED/DERIVED
2025-01,4010,51100225,0,SIMULATED/DERIVED
2025-01,4020,8100347,0,SIMULATED/DERIVED
2025-01,4030,0,0,SIMULATED/DERIVED
2025-01,4040,0,0,SIMULATED/DERIVED
2025-01,5000,521736684,0,SIMULATED/DERIVED
2025-01,5100,67652494,0,SIMULATED/DERIVED
2025-01,5200,25174261,0,SIMULATED/DERIVED
2025-01,5300,0,0,SIMULATED/DERIVED
2025-01,6000,1091114348.8,0,SIMULATED/DERIVED
2025-01,6100,21375000,0,SIMULATED/DERIVED
2025-01,6200,46510417,0,SIMULATED/DERIVED
2025-01,6300,0,0,SIMULATED/DERIVED
2025-02,1000,-16439341698.4,0,SIMULATED/DERIVED
2025-02,1100,4056102682,0,SIMULATED/DERIVED
2025-02,1200,641965610,0,SIMULATED/DERIVED
2025-02,1500,2522250000,0,SIMULATED/DERIVED
2025-02,2000,0,2745021960,SIMULATED/DERIVED
2025-02,2500,0,6700000000,SIMULATED/DERIVED
2025-02,3000,17894374770.8,0,SIMULATED/DERIVED
2025-02,4000,0,1086298500,SIMULATED/DERIVED
2025-02,4010,52252155,0,SIMULATED/DERIVED
2025-02,4020,8281678,0,SIMULATED/DERIVED
2025-02,4030,0,0,SIMULATED/DERIVED
2025-02,4040,0,0,SIMULATED/DERIVED
2025-02,5000,534222503,0,SIMULATED/DERIVED
2025-02,5100,69181171,0,SIMULATED/DERIVED
2025-02,5200,25786198,0,SIMULATED/DERIVED
2025-02,5300,0,0,SIMULATED/DERIVED
2025-02,6000,1098672473.6,0,SIMULATED/DERIVED
2025-02,6100,21375000,0,SIMULATED/DERIVED
2025-02,6200,46197917,0,SIMULATED/DERIVED
2025-02,6300,0,0,SIMULATED/DERIVED
