snapshot_id,forecast_version,target_period,metric_id,horizon_months,forecast_created_at,forecast_cutoff_at,actual_period_close_date,actual_available_at,as_of_date,forecast_value_vnd,actual_value_vnd,error_vnd,abs_error_vnd,snapshot_status,evidence_class,source_model_version,approver
LATEST_ESTIMATE-2025-01-CFO,LATEST_ESTIMATE,2025-01,CFO,1,2024-12-05,2024-12-31,2025-01-31,2025-02-15,2026-01-31,-858251241.34,-866920445.8,8669204.46,8669204.46,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Finance Director
LATEST_ESTIMATE-2025-01-WORKING_CAPITAL,LATEST_ESTIMATE,2025-01,WORKING_CAPITAL,1,2024-12-05,2024-12-31,2025-01-31,2025-02-15,2026-01-31,1725704603.37,1743135963,-17431359.63,17431359.63,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Finance Director
ACTUAL-2025-01-REVENUE,ACTUAL,2025-01,REVENUE,0,2025-01-31T23:59:00Z,2025-01-31,2025-01-31,2025-02-15,2026-01-31,999721428,999721428,0,0,ACTUAL,SIMULATED_ACTUAL,NONBI_FP&A_V2,Controlling (synthetic)
ACTUAL-2025-01-GROSS_PROFIT,ACTUAL,2025-01,GROSS_PROFIT,0,2025-01-31T23:59:00Z,2025-01-31,2025-01-31,2025-02-15,2026-01-31,477984744,477984744,0,0,ACTUAL,SIMULATED_ACTUAL,NONBI_FP&A_V2,Controlling (synthetic)
ACTUAL-2025-01-EBITDA_PROXY,ACTUAL,2025-01,EBITDA_PROXY,0,2025-01-31T23:59:00Z,2025-01-31,2025-01-31,2025-02-15,2026-01-31,-705956359.8,-705956359.8,0,0,ACTUAL,SIMULATED_ACTUAL,NONBI_FP&A_V2,Controlling (synthetic)
ACTUAL-2025-01-CFO,ACTUAL,2025-01,CFO,0,2025-01-31T23:59:00Z,2025-01-31,2025-01-31,2025-02-15,2026-01-31,-866920445.8,-866920445.8,0,0,ACTUAL,SIMULATED_ACTUAL,NONBI_FP&A_V2,Controlling (synthetic)
ACTUAL-2025-01-WORKING_CAPITAL,ACTUAL,2025-01,WORKING_CAPITAL,0,2025-01-31T23:59:00Z,2025-01-31,2025-01-31,2025-02-15,2026-01-31,1743135963,1743135963,0,0,ACTUAL,SIMULATED_ACTUAL,NONBI_FP&A_V2,Controlling (synthetic)
BUDGET-2025-02-REVENUE,BUDGET,2025-02,REVENUE,6,2024-08-05,2024-08-31,2025-02-28,2025-03-15,2026-01-31,1107825840.36,1025764667,82061173.36,82061173.36,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
BUDGET-2025-02-GROSS_PROFIT,BUDGET,2025-02,GROSS_PROFIT,6,2024-08-05,2024-08-31,2025-02-28,2025-03-15,2026-01-31,530865537.12,491542164,39323373.12,39323373.12,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
BUDGET-2025-02-EBITDA_PROXY,BUDGET,2025-02,EBITDA_PROXY,6,2024-08-05,2024-08-31,2025-02-28,2025-03-15,2026-01-31,-758265492.89,-702097678.6,-56167814.29,56167814.29,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
BUDGET-2025-02-CFO,BUDGET,2025-02,CFO,6,2024-08-05,2024-08-31,2025-02-28,2025-03-15,2026-01-31,-881549487.43,-958205964.6,76656477.17,76656477.17,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
BUDGET-2025-02-WORKING_CAPITAL,BUDGET,2025-02,WORKING_CAPITAL,6,2024-08-05,2024-08-31,2025-02-28,2025-03-15,2026-01-31,1796802625.44,1953046332,-156243706.56,156243706.56,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF1-2025-02-REVENUE,RF1,2025-02,REVENUE,3,2024-11-05,2024-11-30,2025-02-28,2025-03-15,2026-01-31,1077052900.35,1025764667,51288233.35,51288233.35,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF1-2025-02-GROSS_PROFIT,RF1,2025-02,GROSS_PROFIT,3,2024-11-05,2024-11-30,2025-02-28,2025-03-15,2026-01-31,516119272.2,491542164,24577108.2,24577108.2,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF1-2025-02-EBITDA_PROXY,RF1,2025-02,EBITDA_PROXY,3,2024-11-05,2024-11-30,2025-02-28,2025-03-15,2026-01-31,-737202562.53,-702097678.6,-35104883.93,35104883.93,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF1-2025-02-CFO,RF1,2025-02,CFO,3,2024-11-05,2024-11-30,2025-02-28,2025-03-15,2026-01-31,-910295666.37,-958205964.6,47910298.23,47910298.23,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF1-2025-02-WORKING_CAPITAL,RF1,2025-02,WORKING_CAPITAL,3,2024-11-05,2024-11-30,2025-02-28,2025-03-15,2026-01-31,1855394015.4,1953046332,-97652316.6,97652316.6,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF2-2025-02-REVENUE,RF2,2025-02,REVENUE,2,2024-12-05,2024-12-31,2025-02-28,2025-03-15,2026-01-31,1056537607.01,1025764667,30772940.01,30772940.01,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Commercial Finance
RF2-2025-02-GROSS_PROFIT,RF2,2025-02,GROSS_PROFIT,2,2024-12-05,2024-12-31,2025-02-28,2025-03-15,2026-01-31,506288428.92,491542164,14746264.92,14746264.92,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Commercial Finance
RF2-2025-02-EBITDA_PROXY,RF2,2025-02,EBITDA_PROXY,2,2024-12-05,2024-12-31,2025-02-28,2025-03-15,2026-01-31,-723160608.96,-702097678.6,-21062930.36,21062930.36,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Commercial Finance
RF2-2025-02-CFO,RF2,2025-02,CFO,2,2024-12-05,2024-12-31,2025-02-28,2025-03-15,2026-01-31,-929459785.66,-958205964.6,28746178.94,28746178.94,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Commercial Finance
RF2-2025-02-WORKING_CAPITAL,RF2,2025-02,WORKING_CAPITAL,2,2024-12-05,2024-12-31,2025-02-28,2025-03-15,2026-01-31,1894454942.04,1953046332,-58591389.96,58591389.96,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Commercial Finance
RF3-2025-02-REVENUE,RF3,2025-02,REVENUE,1,2025-01-05,2025-01-31,2025-02-28,2025-03-15,2026-01-31,1041151137,1025764667,15386470,15386470,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF3-2025-02-GROSS_PROFIT,RF3,2025-02,GROSS_PROFIT,1,2025-01-05,2025-01-31,2025-02-28,2025-03-15,2026-01-31,498915296.46,491542164,7373132.46,7373132.46,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF3-2025-02-EBITDA_PROXY,RF3,2025-02,EBITDA_PROXY,1,2025-01-05,2025-01-31,2025-02-28,2025-03-15,2026-01-31,-712629143.78,-702097678.6,-10531465.18,10531465.18,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF3-2025-02-CFO,RF3,2025-02,CFO,1,2025-01-05,2025-01-31,2025-02-28,2025-03-15,2026-01-31,-943832875.13,-958205964.6,14373089.47,14373089.47,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF3-2025-02-WORKING_CAPITAL,RF3,2025-02,WORKING_CAPITAL,1,2025-01-05,2025-01-31,2025-02-28,2025-03-15,2026-01-31,1923750637.02,1953046332,-29295694.98,29295694.98,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
LATEST_ESTIMATE-2025-02-REVENUE,LATEST_ESTIMATE,2025-02,REVENUE,1,2025-01-05,2025-01-31,2025-02-28,2025-03-15,2026-01-31,1036022313.67,1025764667,10257646.67,10257646.67,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Finance Director
LATEST_ESTIMATE-2025-02-GROSS_PROFIT,LATEST_ESTIMATE,2025-02,GROSS_PROFIT,1,2025-01-05,2025-01-31,2025-02-28,2025-03-15,2026-01-31,496457585.64,491542164,4915421.64,4915421.64,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Finance Director
LATEST_ESTIMATE-2025-02-EBITDA_PROXY,LATEST_ESTIMATE,2025-02,EBITDA_PROXY,1,2025-01-05,2025-01-31,2025-02-28,2025-03-15,2026-01-31,-709118655.39,-702097678.6,-7020976.79,7020976.79,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Finance Director
LATEST_ESTIMATE-2025-02-CFO,LATEST_ESTIMATE,2025-02,CFO,1,2025-01-05,2025-01-31,2025-02-28,2025-03-15,2026-01-31,-948623904.95,-958205964.6,9582059.65,9582059.65,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Finance Director
LATEST_ESTIMATE-2025-02-WORKING_CAPITAL,LATEST_ESTIMATE,2025-02,WORKING_CAPITAL,1,2025-01-05,2025-01-31,2025-02-28,2025-03-15,2026-01-31,1933515868.68,1953046332,-19530463.32,19530463.32,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Finance Director
ACTUAL-2025-02-REVENUE,ACTUAL,2025-02,REVENUE,0,2025-02-28T23:59:00Z,2025-02-28,2025-02-28,2025-03-15,2026-01-31,1025764667,1025764667,0,0,ACTUAL,SIMULATED_ACTUAL,NONBI_FP&A_V2,Controlling (synthetic)
ACTUAL-2025-02-GROSS_PROFIT,ACTUAL,2025-02,GROSS_PROFIT,0,2025-02-28T23:59:00Z,2025-02-28,2025-02-28,2025-03-15,2026-01-31,491542164,491542164,0,0,ACTUAL,SIMULATED_ACTUAL,NONBI_FP&A_V2,Controlling (synthetic)
ACTUAL-2025-02-EBITDA_PROXY,ACTUAL,2025-02,EBITDA_PROXY,0,2025-02-28T23:59:00Z,2025-02-28,2025-02-28,2025-03-15,2026-01-31,-702097678.6,-702097678.6,0,0,ACTUAL,SIMULATED_ACTUAL,NONBI_FP&A_V2,Controlling (synthetic)
ACTUAL-2025-02-CFO,ACTUAL,2025-02,CFO,0,2025-02-28T23:59:00Z,2025-02-28,2025-02-28,2025-03-15,2026-01-31,-958205964.6,-958205964.6,0,0,ACTUAL,SIMULATED_ACTUAL,NONBI_FP&A_V2,Controlling (synthetic)
ACTUAL-2025-02-WORKING_CAPITAL,ACTUAL,2025-02,WORKING_CAPITAL,0,2025-02-28T23:59:00Z,2025-02-28,2025-02-28,2025-03-15,2026-01-31,1953046332,1953046332,0,0,ACTUAL,SIMULATED_ACTUAL,NONBI_FP&A_V2,Controlling (synthetic)
BUDGET-2025-03-REVENUE,BUDGET,2025-03,REVENUE,6,2024-09-05,2024-09-30,2025-03-31,2025-04-15,2026-01-31,1148904766.8,1063800710,85104056.8,85104056.8,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
BUDGET-2025-03-GROSS_PROFIT,BUDGET,2025-03,GROSS_PROFIT,6,2024-09-05,2024-09-30,2025-03-31,2025-04-15,2026-01-31,548798794.56,508147032,40651762.56,40651762.56,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
BUDGET-2025-03-EBITDA_PROXY,BUDGET,2025-03,EBITDA_PROXY,6,2024-09-05,2024-09-30,2025-03-31,2025-04-15,2026-01-31,-777099544.2,-719536615,-57562929.2,57562929.2,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
BUDGET-2025-03-CFO,BUDGET,2025-03,CFO,6,2024-09-05,2024-09-30,2025-03-31,2025-04-15,2026-01-31,-881230003.08,-957858699,76628695.92,76628695.92,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
BUDGET-2025-03-WORKING_CAPITAL,BUDGET,2025-03,WORKING_CAPITAL,6,2024-09-05,2024-09-30,2025-03-31,2025-04-15,2026-01-31,1973844359.08,2145482999,-171638639.92,171638639.92,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF1-2025-03-REVENUE,RF1,2025-03,REVENUE,3,2024-12-05,2024-12-31,2025-03-31,2025-04-15,2026-01-31,1116990745.5,1063800710,53190035.5,53190035.5,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF1-2025-03-GROSS_PROFIT,RF1,2025-03,GROSS_PROFIT,3,2024-12-05,2024-12-31,2025-03-31,2025-04-15,2026-01-31,533554383.6,508147032,25407351.6,25407351.6,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF1-2025-03-EBITDA_PROXY,RF1,2025-03,EBITDA_PROXY,3,2024-12-05,2024-12-31,2025-03-31,2025-04-15,2026-01-31,-755513445.75,-719536615,-35976830.75,35976830.75,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF1-2025-03-CFO,RF1,2025-03,CFO,3,2024-12-05,2024-12-31,2025-03-31,2025-04-15,2026-01-31,-909965764.05,-957858699,47892934.95,47892934.95,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF1-2025-03-WORKING_CAPITAL,RF1,2025-03,WORKING_CAPITAL,3,2024-12-05,2024-12-31,2025-03-31,2025-04-15,2026-01-31,2038208849.05,2145482999,-107274149.95,107274149.95,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF2-2025-03-REVENUE,RF2,2025-03,REVENUE,2,2025-01-05,2025-01-31,2025-03-31,2025-04-15,2026-01-31,1095714731.3,1063800710,31914021.3,31914021.3,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Commercial Finance
RF2-2025-03-GROSS_PROFIT,RF2,2025-03,GROSS_PROFIT,2,2025-01-05,2025-01-31,2025-03-31,2025-04-15,2026-01-31,523391442.96,508147032,15244410.96,15244410.96,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Commercial Finance
RF2-2025-03-EBITDA_PROXY,RF2,2025-03,EBITDA_PROXY,2,2025-01-05,2025-01-31,2025-03-31,2025-04-15,2026-01-31,-741122713.45,-719536615,-21586098.45,21586098.45,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Commercial Finance
RF2-2025-03-CFO,RF2,2025-03,CFO,2,2025-01-05,2025-01-31,2025-03-31,2025-04-15,2026-01-31,-929122938.03,-957858699,28735760.97,28735760.97,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Commercial Finance
RF2-2025-03-WORKING_CAPITAL,RF2,2025-03,WORKING_CAPITAL,2,2025-01-05,2025-01-31,2025-03-31,2025-04-15,2026-01-31,2081118509.03,2145482999,-64364489.97,64364489.97,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Commercial Finance
RF3-2025-03-REVENUE,RF3,2025-03,REVENUE,1,2025-02-05,2025-02-28,2025-03-31,2025-04-15,2026-01-31,1079757720.65,1063800710,15957010.65,15957010.65,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF3-2025-03-GROSS_PROFIT,RF3,2025-03,GROSS_PROFIT,1,2025-02-05,2025-02-28,2025-03-31,2025-04-15,2026-01-31,515769237.48,508147032,7622205.48,7622205.48,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF3-2025-03-EBITDA_PROXY,RF3,2025-03,EBITDA_PROXY,1,2025-02-05,2025-02-28,2025-03-31,2025-04-15,2026-01-31,-730329664.22,-719536615,-10793049.22,10793049.22,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF3-2025-03-CFO,RF3,2025-03,CFO,1,2025-02-05,2025-02-28,2025-03-31,2025-04-15,2026-01-31,-943490818.51,-957858699,14367880.49,14367880.49,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF3-2025-03-WORKING_CAPITAL,RF3,2025-03,WORKING_CAPITAL,1,2025-02-05,2025-02-28,2025-03-31,2025-04-15,2026-01-31,2113300754.02,2145482999,-32182244.99,32182244.99,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
LATEST_ESTIMATE-2025-03-REVENUE,LATEST_ESTIMATE,2025-03,REVENUE,1,2025-02-05,2025-02-28,2025-03-31,2025-04-15,2026-01-31,1074438717.1,1063800710,10638007.1,10638007.1,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Finance Director
LATEST_ESTIMATE-2025-03-GROSS_PROFIT,LATEST_ESTIMATE,2025-03,GROSS_PROFIT,1,2025-02-05,2025-02-28,2025-03-31,2025-04-15,2026-01-31,513228502.32,508147032,5081470.32,5081470.32,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Finance Director
LATEST_ESTIMATE-2025-03-EBITDA_PROXY,LATEST_ESTIMATE,2025-03,EBITDA_PROXY,1,2025-02-05,2025-02-28,2025-03-31,2025-04-15,2026-01-31,-726731981.15,-719536615,-7195366.15,7195366.15,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Finance Director
LATEST_ESTIMATE-2025-03-CFO,LATEST_ESTIMATE,2025-03,CFO,1,2025-02-05,2025-02-28,2025-03-31,2025-04-15,2026-01-31,-948280112.01,-957858699,9578586.99,9578586.99,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Finance Director
LATEST_ESTIMATE-2025-03-WORKING_CAPITAL,LATEST_ESTIMATE,2025-03,WORKING_CAPITAL,1,2025-02-05,2025-02-28,2025-03-31,2025-04-15,2026-01-31,2124028169.01,2145482999,-21454829.99,21454829.99,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,Finance Director
ACTUAL-2025-03-REVENUE,ACTUAL,2025-03,REVENUE,0,2025-03-31T23:59:00Z,2025-03-31,2025-03-31,2025-04-15,2026-01-31,1063800710,1063800710,0,0,ACTUAL,SIMULATED_ACTUAL,NONBI_FP&A_V2,Controlling (synthetic)
ACTUAL-2025-03-GROSS_PROFIT,ACTUAL,2025-03,GROSS_PROFIT,0,2025-03-31T23:59:00Z,2025-03-31,2025-03-31,2025-04-15,2026-01-31,508147032,508147032,0,0,ACTUAL,SIMULATED_ACTUAL,NONBI_FP&A_V2,Controlling (synthetic)
ACTUAL-2025-03-EBITDA_PROXY,ACTUAL,2025-03,EBITDA_PROXY,0,2025-03-31T23:59:00Z,2025-03-31,2025-03-31,2025-04-15,2026-01-31,-719536615,-719536615,0,0,ACTUAL,SIMULATED_ACTUAL,NONBI_FP&A_V2,Controlling (synthetic)
ACTUAL-2025-03-CFO,ACTUAL,2025-03,CFO,0,2025-03-31T23:59:00Z,2025-03-31,2025-03-31,2025-04-15,2026-01-31,-957858699,-957858699,0,0,ACTUAL,SIMULATED_ACTUAL,NONBI_FP&A_V2,Controlling (synthetic)
ACTUAL-2025-03-WORKING_CAPITAL,ACTUAL,2025-03,WORKING_CAPITAL,0,2025-03-31T23:59:00Z,2025-03-31,2025-03-31,2025-04-15,2026-01-31,2145482999,2145482999,0,0,ACTUAL,SIMULATED_ACTUAL,NONBI_FP&A_V2,Controlling (synthetic)
BUDGET-2025-04-REVENUE,BUDGET,2025-04,REVENUE,6,2024-10-05,2024-10-31,2025-04-30,2025-05-15,2026-01-31,1116276656.76,1033589497,82687159.76,82687159.76,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
BUDGET-2025-04-GROSS_PROFIT,BUDGET,2025-04,GROSS_PROFIT,6,2024-10-05,2024-10-31,2025-04-30,2025-05-15,2026-01-31,533524696.92,494004349,39520347.92,39520347.92,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
BUDGET-2025-04-EBITDA_PROXY,BUDGET,2025-04,EBITDA_PROXY,6,2024-10-05,2024-10-31,2025-04-30,2025-05-15,2026-01-31,-840820425.48,-778537431,-62282994.48,62282994.48,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
BUDGET-2025-04-CFO,BUDGET,2025-04,CFO,6,2024-10-05,2024-10-31,2025-04-30,2025-05-15,2026-01-31,-878129797.2,-954488910,76359112.8,76359112.8,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
BUDGET-2025-04-WORKING_CAPITAL,BUDGET,2025-04,WORKING_CAPITAL,6,2024-10-05,2024-10-31,2025-04-30,2025-05-15,2026-01-31,2093792636.12,2275861561,-182068924.88,182068924.88,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF1-2025-04-REVENUE,RF1,2025-04,REVENUE,3,2025-01-05,2025-01-31,2025-04-30,2025-05-15,2026-01-31,1085268971.85,1033589497,51679474.85,51679474.85,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
RF1-2025-04-GROSS_PROFIT,RF1,2025-04,GROSS_PROFIT,3,2025-01-05,2025-01-31,2025-04-30,2025-05-15,2026-01-31,518704566.45,494004349,24700217.45,24700217.45,FROZEN,SIMULATED_BACKTEST,NONBI_FP&A_V2,FP&A
