target_period,metric_id,from_version,to_version,baseline_value_vnd,override_value_vnd,volume_effect_vnd,price_effect_vnd,mix_effect_vnd,cost_effect_vnd,opex_effect_vnd,wc_effect_vnd,total_change_vnd,bridge_check_vnd,evidence_class
2025-02,WORKING_CAPITAL,BUDGET,RF1,1796802625.44,1855394015.4,23436555.98,14647847.49,8788708.49,7030966.8,2929569.5,1757741.7,58591389.96,0,SIMULATED_DERIVED
2025-02,WORKING_CAPITAL,RF1,RF2,1855394015.4,1894454942.04,15624370.66,9765231.66,5859139,4687311.2,1953046.33,1171827.8,39060926.64,0,SIMULATED_DERIVED
2025-02,WORKING_CAPITAL,RF2,RF3,1894454942.04,1923750637.02,11718277.99,7323923.75,4394354.25,3515483.4,1464784.75,878870.85,29295694.98,0,SIMULATED_DERIVED
2025-02,WORKING_CAPITAL,RF3,LATEST_ESTIMATE,1923750637.02,1933515868.68,3906092.66,2441307.92,1464784.75,1171827.8,488261.58,292956.95,9765231.66,0,SIMULATED_DERIVED
2025-03,REVENUE,BUDGET,RF1,1148904766.8,1116990745.5,-12765608.52,-7978505.32,-4787103.19,-3829682.56,-1595701.06,-957420.64,-31914021.3,0,SIMULATED_DERIVED
2025-03,REVENUE,RF1,RF2,1116990745.5,1095714731.3,-8510405.68,-5319003.55,-3191402.13,-2553121.7,-1063800.71,-638280.43,-21276014.2,0,SIMULATED_DERIVED
2025-03,REVENUE,RF2,RF3,1095714731.3,1079757720.65,-6382804.26,-3989252.66,-2393551.6,-1914841.28,-797850.53,-478710.32,-15957010.65,0,SIMULATED_DERIVED
2025-03,REVENUE,RF3,LATEST_ESTIMATE,1079757720.65,1074438717.1,-2127601.42,-1329750.89,-797850.53,-638280.43,-265950.18,-159570.11,-5319003.55,0,SIMULATED_DERIVED
2025-03,GROSS_PROFIT,BUDGET,RF1,548798794.56,533554383.6,-6097764.38,-3811102.74,-2286661.64,-1829329.32,-762220.55,-457332.33,-15244410.96,0,SIMULATED_DERIVED
2025-03,GROSS_PROFIT,RF1,RF2,533554383.6,523391442.96,-4065176.26,-2540735.16,-1524441.1,-1219552.88,-508147.03,-304888.22,-10162940.64,0,SIMULATED_DERIVED
2025-03,GROSS_PROFIT,RF2,RF3,523391442.96,515769237.48,-3048882.19,-1905551.37,-1143330.82,-914664.66,-381110.27,-228666.16,-7622205.48,0,SIMULATED_DERIVED
2025-03,GROSS_PROFIT,RF3,LATEST_ESTIMATE,515769237.48,513228502.32,-1016294.06,-635183.79,-381110.27,-304888.22,-127036.76,-76222.05,-2540735.16,0,SIMULATED_DERIVED
2025-03,EBITDA_PROXY,BUDGET,RF1,-777099544.2,-755513445.75,8634439.38,5396524.61,3237914.77,2590331.81,1079304.92,647582.95,21586098.45,0,SIMULATED_DERIVED
2025-03,EBITDA_PROXY,RF1,RF2,-755513445.75,-741122713.45,5756292.92,3597683.07,2158609.84,1726887.88,719536.61,431721.97,14390732.3,0,SIMULATED_DERIVED
2025-03,EBITDA_PROXY,RF2,RF3,-741122713.45,-730329664.22,4317219.69,2698262.31,1618957.38,1295165.91,539652.46,323791.48,10793049.23,0,SIMULATED_DERIVED
2025-03,EBITDA_PROXY,RF3,LATEST_ESTIMATE,-730329664.22,-726731981.15,1439073.23,899420.77,539652.46,431721.97,179884.15,107930.49,3597683.07,0,SIMULATED_DERIVED
2025-03,CFO,BUDGET,RF1,-881230003.08,-909965764.05,-11494304.39,-7183940.24,-4310364.15,-3448291.32,-1436788.05,-862072.83,-28735760.97,0,SIMULATED_DERIVED
2025-03,CFO,RF1,RF2,-909965764.05,-929122938.03,-7662869.59,-4789293.5,-2873576.1,-2298860.88,-957858.7,-574715.22,-19157173.98,0,SIMULATED_DERIVED
2025-03,CFO,RF2,RF3,-929122938.03,-943490818.51,-5747152.19,-3591970.12,-2155182.07,-1724145.66,-718394.02,-431036.41,-14367880.48,0,SIMULATED_DERIVED
2025-03,CFO,RF3,LATEST_ESTIMATE,-943490818.51,-948280112.01,-1915717.4,-1197323.37,-718394.02,-574715.22,-239464.67,-143678.8,-4789293.5,0,SIMULATED_DERIVED
2025-03,WORKING_CAPITAL,BUDGET,RF1,1973844359.08,2038208849.05,25745795.99,16091122.49,9654673.5,7723738.8,3218224.5,1930934.7,64364489.97,0,SIMULATED_DERIVED
2025-03,WORKING_CAPITAL,RF1,RF2,2038208849.05,2081118509.03,17163863.99,10727415,6436449,5149159.2,2145483,1287289.8,42909659.98,0,SIMULATED_DERIVED
2025-03,WORKING_CAPITAL,RF2,RF3,2081118509.03,2113300754.02,12872898,8045561.25,4827336.75,3861869.4,1609112.25,965467.35,32182244.99,0,SIMULATED_DERIVED
2025-03,WORKING_CAPITAL,RF3,LATEST_ESTIMATE,2113300754.02,2124028169.01,4290966,2681853.75,1609112.25,1287289.8,536370.75,321822.45,10727414.99,0,SIMULATED_DERIVED
2025-04,REVENUE,BUDGET,RF1,1116276656.76,1085268971.85,-12403073.96,-7751921.23,-4651152.74,-3720922.19,-1550384.25,-930230.55,-31007684.91,0,SIMULATED_DERIVED
2025-04,REVENUE,RF1,RF2,1085268971.85,1064597181.91,-8268715.98,-5167947.48,-3100768.49,-2480614.79,-1033589.5,-620153.7,-20671789.94,0,SIMULATED_DERIVED
2025-04,REVENUE,RF2,RF3,1064597181.91,1049093339.46,-6201536.98,-3875960.61,-2325576.37,-1860461.09,-775192.12,-465115.27,-15503842.45,0,SIMULATED_DERIVED
2025-04,REVENUE,RF3,LATEST_ESTIMATE,1049093339.46,1043925391.97,-2067179,-1291986.87,-775192.12,-620153.7,-258397.37,-155038.42,-5167947.49,0,SIMULATED_DERIVED
2025-04,GROSS_PROFIT,BUDGET,RF1,533524696.92,518704566.45,-5928052.19,-3705032.62,-2223019.57,-1778415.66,-741006.52,-444603.91,-14820130.47,0,SIMULATED_DERIVED
2025-04,GROSS_PROFIT,RF1,RF2,518704566.45,508824479.47,-3952034.79,-2470021.74,-1482013.05,-1185610.44,-494004.35,-296402.61,-9880086.98,0,SIMULATED_DERIVED
2025-04,GROSS_PROFIT,RF2,RF3,508824479.47,501414414.23,-2964026.1,-1852516.31,-1111509.79,-889207.83,-370503.26,-222301.96,-7410065.24,0,SIMULATED_DERIVED
2025-04,GROSS_PROFIT,RF3,LATEST_ESTIMATE,501414414.23,498944392.49,-988008.7,-617505.44,-370503.26,-296402.61,-123501.09,-74100.65,-2470021.74,0,SIMULATED_DERIVED
2025-04,EBITDA_PROXY,BUDGET,RF1,-840820425.48,-817464302.55,9342449.17,5839030.73,3503418.44,2802734.75,1167806.15,700683.69,23356122.93,0,SIMULATED_DERIVED
2025-04,EBITDA_PROXY,RF1,RF2,-817464302.55,-801893553.93,6228299.45,3892687.16,2335612.29,1868489.83,778537.43,467122.46,15570748.62,0,SIMULATED_DERIVED
2025-04,EBITDA_PROXY,RF2,RF3,-801893553.93,-790215492.46,4671224.59,2919515.37,1751709.22,1401367.38,583903.07,350341.84,11678061.47,0,SIMULATED_DERIVED
2025-04,EBITDA_PROXY,RF3,LATEST_ESTIMATE,-790215492.46,-786322805.31,1557074.86,973171.79,583903.07,467122.46,194634.36,116780.61,3892687.15,0,SIMULATED_DERIVED
2025-04,CFO,BUDGET,RF1,-878129797.2,-906764464.5,-11453866.92,-7158666.82,-4295200.09,-3436160.08,-1431733.36,-859040.02,-28634667.3,0,SIMULATED_DERIVED
2025-04,CFO,RF1,RF2,-906764464.5,-925854242.7,-7635911.28,-4772444.55,-2863466.73,-2290773.38,-954488.91,-572693.35,-19089778.2,0,SIMULATED_DERIVED
2025-04,CFO,RF2,RF3,-925854242.7,-940171576.35,-5726933.46,-3579333.41,-2147600.05,-1718080.04,-715866.68,-429520.01,-14317333.65,0,SIMULATED_DERIVED
2025-04,CFO,RF3,LATEST_ESTIMATE,-940171576.35,-944944020.9,-1908977.82,-1193111.14,-715866.68,-572693.35,-238622.23,-143173.34,-4772444.55,0,SIMULATED_DERIVED
2025-04,WORKING_CAPITAL,BUDGET,RF1,2093792636.12,2162068482.95,27310338.73,17068961.71,10241377.02,8193101.62,3413792.34,2048275.4,68275846.83,0,SIMULATED_DERIVED
2025-04,WORKING_CAPITAL,RF1,RF2,2162068482.95,2207585714.17,18206892.49,11379307.81,6827584.68,5462067.75,2275861.56,1365516.94,45517231.22,0,SIMULATED_DERIVED
2025-04,WORKING_CAPITAL,RF2,RF3,2207585714.17,2241723637.59,13655169.37,8534480.86,5120688.51,4096550.81,1706896.17,1024137.7,34137923.42,0,SIMULATED_DERIVED
2025-04,WORKING_CAPITAL,RF3,LATEST_ESTIMATE,2241723637.59,2253102945.39,4551723.12,2844826.95,1706896.17,1365516.94,568965.39,341379.23,11379307.8,0,SIMULATED_DERIVED
2025-05,REVENUE,BUDGET,RF1,1064913845.04,1035332904.9,-11832376.06,-7395235.03,-4437141.02,-3549712.82,-1479047.01,-887428.2,-29580940.14,0,SIMULATED_DERIVED
2025-05,REVENUE,RF1,RF2,1035332904.9,1015612278.14,-7888250.7,-4930156.69,-2958094.01,-2366475.21,-986031.34,-591618.8,-19720626.76,0,SIMULATED_DERIVED
2025-05,REVENUE,RF2,RF3,1015612278.14,1000821808.07,-5916188.03,-3697617.52,-2218570.51,-1774856.41,-739523.5,-443714.1,-14790470.07,0,SIMULATED_DERIVED
2025-05,REVENUE,RF3,LATEST_ESTIMATE,1000821808.07,995891651.38,-1972062.68,-1232539.17,-739523.5,-591618.8,-246507.83,-147904.7,-4930156.69,0,SIMULATED_DERIVED
2025-05,GROSS_PROFIT,BUDGET,RF1,510285474,496110877.5,-5669838.6,-3543649.12,-2126189.47,-1700951.58,-708729.82,-425237.89,-14174596.5,0,SIMULATED_DERIVED
2025-05,GROSS_PROFIT,RF1,RF2,496110877.5,486661146.5,-3779892.4,-2362432.75,-1417459.65,-1133967.72,-472486.55,-283491.93,-9449731,0,SIMULATED_DERIVED
2025-05,GROSS_PROFIT,RF2,RF3,486661146.5,479573848.25,-2834919.3,-1771824.56,-1063094.74,-850475.79,-354364.91,-212618.95,-7087298.25,0,SIMULATED_DERIVED
2025-05,GROSS_PROFIT,RF3,LATEST_ESTIMATE,479573848.25,477211415.5,-944973.1,-590608.19,-354364.91,-283491.93,-118121.64,-70872.98,-2362432.75,0,SIMULATED_DERIVED
2025-05,EBITDA_PROXY,BUDGET,RF1,-820674040.68,-797877539.55,9118600.45,5699125.28,3419475.17,2735580.14,1139825.06,683895.03,22796501.13,0,SIMULATED_DERIVED
2025-05,EBITDA_PROXY,RF1,RF2,-797877539.55,-782679872.13,6079066.97,3799416.85,2279650.11,1823720.09,759883.37,455930.02,15197667.42,0,SIMULATED_DERIVED
2025-05,EBITDA_PROXY,RF2,RF3,-782679872.13,-771281621.56,4559300.23,2849562.64,1709737.59,1367790.07,569912.53,341947.52,11398250.57,0,SIMULATED_DERIVED
2025-05,EBITDA_PROXY,RF3,LATEST_ESTIMATE,-771281621.56,-767482204.71,1519766.74,949854.21,569912.53,455930.02,189970.84,113982.51,3799416.85,0,SIMULATED_DERIVED
2025-05,CFO,BUDGET,RF1,-928624340.36,-958905568.85,-12112491.4,-7570307.12,-4542184.27,-3633747.42,-1514061.42,-908436.85,-30281228.49,0,SIMULATED_DERIVED
2025-05,CFO,RF1,RF2,-958905568.85,-979093054.51,-8074994.26,-5046871.41,-3028122.85,-2422498.28,-1009374.28,-605624.57,-20187485.66,0,SIMULATED_DERIVED
2025-05,CFO,RF2,RF3,-979093054.51,-994233668.75,-6056245.7,-3785153.56,-2271092.14,-1816873.71,-757030.71,-454218.43,-15140614.24,0,SIMULATED_DERIVED
2025-05,CFO,RF3,LATEST_ESTIMATE,-994233668.75,-999280540.17,-2018748.57,-1261717.85,-757030.71,-605624.57,-252343.57,-151406.14,-5046871.42,0,SIMULATED_DERIVED
2025-05,WORKING_CAPITAL,BUDGET,RF1,2281684691.52,2356087453.2,29761104.67,18600690.42,11160414.25,8928331.4,3720138.08,2232082.85,74402761.68,0,SIMULATED_DERIVED
2025-05,WORKING_CAPITAL,RF1,RF2,2356087453.2,2405689294.32,19840736.45,12400460.28,7440276.17,5952220.93,2480092.06,1488055.23,49601841.12,0,SIMULATED_DERIVED
2025-05,WORKING_CAPITAL,RF2,RF3,2405689294.32,2442890675.16,14880552.34,9300345.21,5580207.13,4464165.7,1860069.04,1116041.43,37201380.84,0,SIMULATED_DERIVED
2025-05,WORKING_CAPITAL,RF3,LATEST_ESTIMATE,2442890675.16,2455291135.44,4960184.11,3100115.07,1860069.04,1488055.23,620023.01,372013.81,12400460.28,0,SIMULATED_DERIVED
2025-06,REVENUE,BUDGET,RF1,1098817904.88,1068295185.3,-12209087.83,-7630679.9,-4578407.94,-3662726.35,-1526135.98,-915681.59,-30522719.58,0,SIMULATED_DERIVED
2025-06,REVENUE,RF1,RF2,1068295185.3,1047946705.58,-8139391.89,-5087119.93,-3052271.96,-2441817.57,-1017423.99,-610454.39,-20348479.72,0,SIMULATED_DERIVED
2025-06,REVENUE,RF2,RF3,1047946705.58,1032685345.79,-6104543.92,-3815339.95,-2289203.97,-1831363.17,-763067.99,-457840.79,-15261359.79,0,SIMULATED_DERIVED
2025-06,REVENUE,RF3,LATEST_ESTIMATE,1032685345.79,1027598225.86,-2034847.97,-1271779.98,-763067.99,-610454.39,-254356,-152613.6,-5087119.93,0,SIMULATED_DERIVED
2025-06,GROSS_PROFIT,BUDGET,RF1,525372189.48,510778517.55,-5837468.77,-3648417.98,-2189050.79,-1751240.63,-729683.6,-437810.16,-14593671.93,0,SIMULATED_DERIVED
2025-06,GROSS_PROFIT,RF1,RF2,510778517.55,501049402.93,-3891645.85,-2432278.66,-1459367.19,-1167493.75,-486455.73,-291873.44,-9729114.62,0,SIMULATED_DERIVED
2025-06,GROSS_PROFIT,RF2,RF3,501049402.93,493752566.97,-2918734.38,-1824208.99,-1094525.39,-875620.32,-364841.8,-218905.08,-7296835.96,0,SIMULATED_DERIVED
2025-06,GROSS_PROFIT,RF3,LATEST_ESTIMATE,493752566.97,491320288.31,-972911.46,-608069.67,-364841.8,-291873.44,-121613.93,-72968.36,-2432278.66,0,SIMULATED_DERIVED
2025-06,EBITDA_PROXY,BUDGET,RF1,-802324764.86,-780037965.84,8914719.61,5571699.75,3343019.85,2674415.88,1114339.95,668603.97,22286799.02,0,SIMULATED_DERIVED
2025-06,EBITDA_PROXY,RF1,RF2,-780037965.84,-765180099.82,5943146.41,3714466.5,2228679.9,1782943.92,742893.3,445735.98,14857866.02,0,SIMULATED_DERIVED
2025-06,EBITDA_PROXY,RF2,RF3,-765180099.82,-754036700.31,4457359.8,2785849.88,1671509.93,1337207.94,557169.98,334301.99,11143399.51,0,SIMULATED_DERIVED
2025-06,EBITDA_PROXY,RF3,LATEST_ESTIMATE,-754036700.31,-750322233.81,1485786.6,928616.63,557169.98,445735.98,185723.33,111434,3714466.5,0,SIMULATED_DERIVED
2025-06,CFO,BUDGET,RF1,-1001959518.18,-1034632111.16,-13069037.19,-8168148.25,-4900888.95,-3920711.16,-1633629.65,-980177.79,-32672592.98,0,SIMULATED_DERIVED
2025-06,CFO,RF1,RF2,-1034632111.16,-1056413839.82,-8712691.46,-5445432.17,-3267259.3,-2613807.44,-1089086.43,-653451.86,-21781728.66,0,SIMULATED_DERIVED
2025-06,CFO,RF2,RF3,-1056413839.82,-1072750136.31,-6534518.6,-4084074.12,-2450444.47,-1960355.58,-816814.82,-490088.89,-16336296.49,0,SIMULATED_DERIVED
2025-06,CFO,RF3,LATEST_ESTIMATE,-1072750136.31,-1078195568.47,-2178172.86,-1361358.04,-816814.82,-653451.86,-272271.61,-163362.96,-5445432.16,0,SIMULATED_DERIVED
2025-06,WORKING_CAPITAL,BUDGET,RF1,2558830289.32,2642270407.45,33376047.25,20860029.53,12516017.72,10012814.18,4172005.91,2503203.54,83440118.13,0,SIMULATED_DERIVED
2025-06,WORKING_CAPITAL,RF1,RF2,2642270407.45,2697897152.87,22250698.17,13906686.36,8344011.81,6675209.45,2781337.27,1668802.36,55626745.42,0,SIMULATED_DERIVED
2025-06,WORKING_CAPITAL,RF2,RF3,2697897152.87,2739617211.94,16688023.63,10430014.77,6258008.86,5006407.09,2086002.95,1251601.77,41720059.07,0,SIMULATED_DERIVED
2025-06,WORKING_CAPITAL,RF3,LATEST_ESTIMATE,2739617211.94,2753523898.29,5562674.54,3476671.59,2086002.95,1668802.36,695334.32,417200.59,13906686.35,0,SIMULATED_DERIVED
2025-07,REVENUE,BUDGET,RF1,1107867424.68,1077093329.55,-12309638.05,-7693523.78,-4616114.27,-3692891.42,-1538704.76,-923222.85,-30774095.13,0,SIMULATED_DERIVED
2025-07,REVENUE,RF1,RF2,1077093329.55,1056577266.13,-8206425.37,-5129015.85,-3077409.51,-2461927.61,-1025803.17,-615481.9,-20516063.42,0,SIMULATED_DERIVED
2025-07,REVENUE,RF2,RF3,1056577266.13,1041190218.57,-6154819.02,-3846761.89,-2308057.13,-1846445.71,-769352.38,-461611.43,-15387047.56,0,SIMULATED_DERIVED
2025-07,REVENUE,RF3,LATEST_ESTIMATE,1041190218.57,1036061202.71,-2051606.34,-1282253.97,-769352.38,-615481.9,-256450.79,-153870.48,-5129015.86,0,SIMULATED_DERIVED
2025-07,GROSS_PROFIT,BUDGET,RF1,530579763.72,515841436.95,-5895330.71,-3684581.69,-2210749.02,-1768599.21,-736916.34,-442149.8,-14738326.77,0,SIMULATED_DERIVED
2025-07,GROSS_PROFIT,RF1,RF2,515841436.95,506015885.77,-3930220.47,-2456387.8,-1473832.68,-1179066.14,-491277.56,-294766.54,-9825551.18,0,SIMULATED_DERIVED
2025-07,GROSS_PROFIT,RF2,RF3,506015885.77,498646722.38,-2947665.36,-1842290.85,-1105374.51,-884299.61,-368458.17,-221074.9,-7369163.39,0,SIMULATED_DERIVED
2025-07,GROSS_PROFIT,RF3,LATEST_ESTIMATE,498646722.38,496190334.59,-982555.12,-614096.95,-368458.17,-294766.53,-122819.39,-73691.63,-2456387.79,0,SIMULATED_DERIVED
2025-07,EBITDA_PROXY,BUDGET,RF1,-811746259.34,-789197752.14,9019402.88,5637126.8,3382276.08,2705820.86,1127425.36,676455.22,22548507.2,0,SIMULATED_DERIVED
2025-07,EBITDA_PROXY,RF1,RF2,-789197752.14,-774165414,6012935.26,3758084.53,2254850.72,1803880.58,751616.91,450970.14,15032338.14,0,SIMULATED_DERIVED
2025-07,EBITDA_PROXY,RF2,RF3,-774165414,-762891160.4,4509701.44,2818563.4,1691138.04,1352910.43,563712.68,338227.61,11274253.6,0,SIMULATED_DERIVED
2025-07,EBITDA_PROXY,RF3,LATEST_ESTIMATE,-762891160.4,-759133075.87,1503233.81,939521.13,563712.68,450970.14,187904.23,112742.54,3758084.53,0,SIMULATED_DERIVED
2025-07,CFO,BUDGET,RF1,-982355930.02,-1014389275.56,-12813338.22,-8008336.38,-4805001.83,-3844001.46,-1601667.28,-961000.37,-32033345.54,0,SIMULATED_DERIVED
2025-07,CFO,RF1,RF2,-1014389275.56,-1035744839.26,-8542225.48,-5338890.93,-3203334.56,-2562667.64,-1067778.19,-640666.91,-21355563.7,0,SIMULATED_DERIVED
2025-07,CFO,RF2,RF3,-1035744839.26,-1051761512.03,-6406669.11,-4004168.19,-2402500.92,-1922000.73,-800833.64,-480500.18,-16016672.77,0,SIMULATED_DERIVED
2025-07,CFO,RF3,LATEST_ESTIMATE,-1051761512.03,-1057100402.95,-2135556.37,-1334722.73,-800833.64,-640666.91,-266944.55,-160166.73,-5338890.92,0,SIMULATED_DERIVED
2025-07,WORKING_CAPITAL,BUDGET,RF1,2808634081.44,2900219975.4,36634357.58,22896473.49,13737884.09,10990307.28,4579294.7,2747576.82,91585893.96,0,SIMULATED_DERIVED
2025-07,WORKING_CAPITAL,RF1,RF2,2900219975.4,2961277238.04,24422905.06,15264315.66,9158589.4,7326871.52,3052863.13,1831717.88,61057262.64,0,SIMULATED_DERIVED
2025-07,WORKING_CAPITAL,RF2,RF3,2961277238.04,3007070185.02,18317178.79,11448236.75,6868942.05,5495153.64,2289647.35,1373788.41,45792946.98,0,SIMULATED_DERIVED
2025-07,WORKING_CAPITAL,RF3,LATEST_ESTIMATE,3007070185.02,3022334500.68,6105726.26,3816078.91,2289647.35,1831717.88,763215.78,457929.47,15264315.66,0,SIMULATED_DERIVED
2025-08,REVENUE,BUDGET,RF1,1141873250.76,1110154549.35,-12687480.56,-7929675.35,-4757805.21,-3806244.17,-1585935.07,-951561.04,-31718701.41,0,SIMULATED_DERIVED
