origin_period,target_period,horizon_months,model_id,is_primary_model,training_start_period,training_end_period,seasonal_reference_period,forecast_value_vnd,actual_value_vnd,error_vnd,abs_error_vnd,evidence_class,live_accuracy_claim_allowed
2024-04,2024-05,1,ENSEMBLE_50_50,false,2023-05,2024-04,2023-05,1039348839.43,966146936,73201903.43,73201903.43,SIMULATED_HISTORICAL_BACKTEST,false
2024-05,2024-06,1,SEASONAL_NAIVE_12,true,2023-06,2024-05,2023-06,1005191587,1011340397,-6148810,6148810,SIMULATED_HISTORICAL_BACKTEST,false
2024-05,2024-06,1,LINEAR_TREND_12,false,2023-06,2024-05,2023-06,1048337502.41,1011340397,36997105.41,36997105.41,SIMULATED_HISTORICAL_BACKTEST,false
2024-05,2024-06,1,ENSEMBLE_50_50,false,2023-06,2024-05,2023-06,1026764544.7,1011340397,15424147.7,15424147.7,SIMULATED_HISTORICAL_BACKTEST,false
2024-06,2024-07,1,SEASONAL_NAIVE_12,true,2023-07,2024-06,2023-07,1028644133,1026133264,2510869,2510869,SIMULATED_HISTORICAL_BACKTEST,false
2024-06,2024-07,1,LINEAR_TREND_12,false,2023-07,2024-06,2023-07,1026199750.15,1026133264,66486.15,66486.15,SIMULATED_HISTORICAL_BACKTEST,false
2024-06,2024-07,1,ENSEMBLE_50_50,false,2023-07,2024-06,2023-07,1027421941.58,1026133264,1288677.58,1288677.58,SIMULATED_HISTORICAL_BACKTEST,false
2024-07,2024-08,1,SEASONAL_NAIVE_12,true,2023-08,2024-07,2023-08,1048006528,1073884223,-25877695,25877695,SIMULATED_HISTORICAL_BACKTEST,false
2024-07,2024-08,1,LINEAR_TREND_12,false,2023-08,2024-07,2023-08,1013688244.68,1073884223,-60195978.32,60195978.32,SIMULATED_HISTORICAL_BACKTEST,false
2024-07,2024-08,1,ENSEMBLE_50_50,false,2023-08,2024-07,2023-08,1030847386.34,1073884223,-43036836.66,43036836.66,SIMULATED_HISTORICAL_BACKTEST,false
2024-08,2024-09,1,SEASONAL_NAIVE_12,true,2023-09,2024-08,2023-09,1097072538,1081822266,15250272,15250272,SIMULATED_HISTORICAL_BACKTEST,false
2024-08,2024-09,1,LINEAR_TREND_12,false,2023-09,2024-08,2023-09,1021315030.65,1081822266,-60507235.35,60507235.35,SIMULATED_HISTORICAL_BACKTEST,false
2024-08,2024-09,1,ENSEMBLE_50_50,false,2023-09,2024-08,2023-09,1059193784.33,1081822266,-22628481.67,22628481.67,SIMULATED_HISTORICAL_BACKTEST,false
2024-09,2024-10,1,SEASONAL_NAIVE_12,true,2023-10,2024-09,2023-10,981355017,976820065,4534952,4534952,SIMULATED_HISTORICAL_BACKTEST,false
2024-09,2024-10,1,LINEAR_TREND_12,false,2023-10,2024-09,2023-10,1040819513.61,976820065,63999448.61,63999448.61,SIMULATED_HISTORICAL_BACKTEST,false
2024-09,2024-10,1,ENSEMBLE_50_50,false,2023-10,2024-09,2023-10,1011087265.3,976820065,34267200.3,34267200.3,SIMULATED_HISTORICAL_BACKTEST,false
2024-10,2024-11,1,SEASONAL_NAIVE_12,true,2023-11,2024-10,2023-11,1130074116,1134894851,-4820735,4820735,SIMULATED_HISTORICAL_BACKTEST,false
2024-10,2024-11,1,LINEAR_TREND_12,false,2023-11,2024-10,2023-11,1001470316.26,1134894851,-133424534.74,133424534.74,SIMULATED_HISTORICAL_BACKTEST,false
2024-10,2024-11,1,ENSEMBLE_50_50,false,2023-11,2024-10,2023-11,1065772216.13,1134894851,-69122634.87,69122634.87,SIMULATED_HISTORICAL_BACKTEST,false
2024-11,2024-12,1,SEASONAL_NAIVE_12,true,2023-12,2024-11,2023-12,1155794061,1164035766,-8241705,8241705,SIMULATED_HISTORICAL_BACKTEST,false
2024-11,2024-12,1,LINEAR_TREND_12,false,2023-12,2024-11,2023-12,1046565323.97,1164035766,-117470442.03,117470442.03,SIMULATED_HISTORICAL_BACKTEST,false
2024-11,2024-12,1,ENSEMBLE_50_50,false,2023-12,2024-11,2023-12,1101179692.48,1164035766,-62856073.52,62856073.52,SIMULATED_HISTORICAL_BACKTEST,false
2024-12,2025-01,1,SEASONAL_NAIVE_12,true,2024-01,2024-12,2024-01,1000995180,999721428,1273752,1273752,SIMULATED_HISTORICAL_BACKTEST,false
2024-12,2025-01,1,LINEAR_TREND_12,false,2024-01,2024-12,2024-01,1106610591.61,999721428,106889163.61,106889163.61,SIMULATED_HISTORICAL_BACKTEST,false
2024-12,2025-01,1,ENSEMBLE_50_50,false,2024-01,2024-12,2024-01,1053802885.8,999721428,54081457.8,54081457.8,SIMULATED_HISTORICAL_BACKTEST,false
2025-01,2025-02,1,SEASONAL_NAIVE_12,true,2024-02,2025-01,2024-02,1032986931,1025764667,7222264,7222264,SIMULATED_HISTORICAL_BACKTEST,false
2025-01,2025-02,1,LINEAR_TREND_12,false,2024-02,2025-01,2024-02,1078673664.02,1025764667,52908997.02,52908997.02,SIMULATED_HISTORICAL_BACKTEST,false
2025-01,2025-02,1,ENSEMBLE_50_50,false,2024-02,2025-01,2024-02,1055830297.51,1025764667,30065630.51,30065630.51,SIMULATED_HISTORICAL_BACKTEST,false
2025-02,2025-03,1,SEASONAL_NAIVE_12,true,2024-03,2025-02,2024-03,1063477989,1063800710,-322721,322721,SIMULATED_HISTORICAL_BACKTEST,false
2025-02,2025-03,1,LINEAR_TREND_12,false,2024-03,2025-02,2024-03,1066261842.91,1063800710,2461132.91,2461132.91,SIMULATED_HISTORICAL_BACKTEST,false
2025-02,2025-03,1,ENSEMBLE_50_50,false,2024-03,2025-02,2024-03,1064869915.95,1063800710,1069205.95,1069205.95,SIMULATED_HISTORICAL_BACKTEST,false
2025-03,2025-04,1,SEASONAL_NAIVE_12,true,2024-04,2025-03,2024-04,1084675851,1033589497,51086354,51086354,SIMULATED_HISTORICAL_BACKTEST,false
2025-03,2025-04,1,LINEAR_TREND_12,false,2024-04,2025-03,2024-04,1073324787.71,1033589497,39735290.71,39735290.71,SIMULATED_HISTORICAL_BACKTEST,false
2025-03,2025-04,1,ENSEMBLE_50_50,false,2024-04,2025-03,2024-04,1079000319.36,1033589497,45410822.36,45410822.36,SIMULATED_HISTORICAL_BACKTEST,false
2025-04,2025-05,1,SEASONAL_NAIVE_12,true,2024-05,2025-04,2024-05,966146936,986031338,-19884402,19884402,SIMULATED_HISTORICAL_BACKTEST,false
2025-04,2025-05,1,LINEAR_TREND_12,false,2024-05,2025-04,2024-05,1074799175.23,986031338,88767837.23,88767837.23,SIMULATED_HISTORICAL_BACKTEST,false
2025-04,2025-05,1,ENSEMBLE_50_50,false,2024-05,2025-04,2024-05,1020473055.61,986031338,34441717.61,34441717.61,SIMULATED_HISTORICAL_BACKTEST,false
2025-05,2025-06,1,SEASONAL_NAIVE_12,true,2024-06,2025-05,2024-06,1011340397,1017423986,-6083589,6083589,SIMULATED_HISTORICAL_BACKTEST,false
2025-05,2025-06,1,LINEAR_TREND_12,false,2024-06,2025-05,2024-06,1037600452.95,1017423986,20176466.95,20176466.95,SIMULATED_HISTORICAL_BACKTEST,false
2025-05,2025-06,1,ENSEMBLE_50_50,false,2024-06,2025-05,2024-06,1024470424.98,1017423986,7046438.98,7046438.98,SIMULATED_HISTORICAL_BACKTEST,false
2025-06,2025-07,1,SEASONAL_NAIVE_12,true,2024-07,2025-06,2024-07,1026133264,1025803171,330093,330093,SIMULATED_HISTORICAL_BACKTEST,false
2025-06,2025-07,1,LINEAR_TREND_12,false,2024-07,2025-06,2024-07,1019548601.95,1025803171,-6254569.05,6254569.05,SIMULATED_HISTORICAL_BACKTEST,false
2025-06,2025-07,1,ENSEMBLE_50_50,false,2024-07,2025-06,2024-07,1022840932.98,1025803171,-2962238.02,2962238.02,SIMULATED_HISTORICAL_BACKTEST,false
2025-07,2025-08,1,SEASONAL_NAIVE_12,true,2024-08,2025-07,2024-08,1073884223,1057290047,16594176,16594176,SIMULATED_HISTORICAL_BACKTEST,false
2025-07,2025-08,1,LINEAR_TREND_12,false,2024-08,2025-07,2024-08,1007151166.73,1057290047,-50138880.27,50138880.27,SIMULATED_HISTORICAL_BACKTEST,false
2025-07,2025-08,1,ENSEMBLE_50_50,false,2024-08,2025-07,2024-08,1040517694.86,1057290047,-16772352.14,16772352.14,SIMULATED_HISTORICAL_BACKTEST,false
2025-08,2025-09,1,SEASONAL_NAIVE_12,true,2024-09,2025-08,2024-09,1081822266,1106321884,-24499618,24499618,SIMULATED_HISTORICAL_BACKTEST,false
2025-08,2025-09,1,LINEAR_TREND_12,false,2024-09,2025-08,2024-09,1015393352.36,1106321884,-90928531.64,90928531.64,SIMULATED_HISTORICAL_BACKTEST,false
2025-08,2025-09,1,ENSEMBLE_50_50,false,2024-09,2025-08,2024-09,1048607809.18,1106321884,-57714074.82,57714074.82,SIMULATED_HISTORICAL_BACKTEST,false
2025-09,2025-10,1,SEASONAL_NAIVE_12,true,2024-10,2025-09,2024-10,976820065,987728768,-10908703,10908703,SIMULATED_HISTORICAL_BACKTEST,false
2025-09,2025-10,1,LINEAR_TREND_12,false,2024-10,2025-09,2024-10,1042417591.7,987728768,54688823.7,54688823.7,SIMULATED_HISTORICAL_BACKTEST,false
2025-09,2025-10,1,ENSEMBLE_50_50,false,2024-10,2025-09,2024-10,1009618828.35,987728768,21890060.35,21890060.35,SIMULATED_HISTORICAL_BACKTEST,false
2025-10,2025-11,1,SEASONAL_NAIVE_12,true,2024-11,2025-10,2024-11,1134894851,1130579697,4315154,4315154,SIMULATED_HISTORICAL_BACKTEST,false
2025-10,2025-11,1,LINEAR_TREND_12,false,2024-11,2025-10,2024-11,1006523979.21,1130579697,-124055717.79,124055717.79,SIMULATED_HISTORICAL_BACKTEST,false
2025-10,2025-11,1,ENSEMBLE_50_50,false,2024-11,2025-10,2024-11,1070709415.11,1130579697,-59870281.89,59870281.89,SIMULATED_HISTORICAL_BACKTEST,false
2025-11,2025-12,1,SEASONAL_NAIVE_12,true,2024-12,2025-11,2024-12,1164035766,1137824228,26211538,26211538,SIMULATED_HISTORICAL_BACKTEST,false
2025-11,2025-12,1,LINEAR_TREND_12,false,2024-12,2025-11,2024-12,1051282508.14,1137824228,-86541719.86,86541719.86,SIMULATED_HISTORICAL_BACKTEST,false
2025-11,2025-12,1,ENSEMBLE_50_50,false,2024-12,2025-11,2024-12,1107659137.07,1137824228,-30165090.93,30165090.93,SIMULATED_HISTORICAL_BACKTEST,false
2023-12,2024-03,3,SEASONAL_NAIVE_12,true,2023-01,2023-12,2023-03,1062658971,1063477989,-819018,819018,SIMULATED_HISTORICAL_BACKTEST,false
2023-12,2024-03,3,LINEAR_TREND_12,false,2023-01,2023-12,2023-03,1114394227.39,1063477989,50916238.39,50916238.39,SIMULATED_HISTORICAL_BACKTEST,false
2023-12,2024-03,3,ENSEMBLE_50_50,false,2023-01,2023-12,2023-03,1088526599.2,1063477989,25048610.2,25048610.2,SIMULATED_HISTORICAL_BACKTEST,false
2024-01,2024-04,3,SEASONAL_NAIVE_12,true,2023-02,2024-01,2023-04,1076553129,1084675851,-8122722,8122722,SIMULATED_HISTORICAL_BACKTEST,false
2024-01,2024-04,3,LINEAR_TREND_12,false,2023-02,2024-01,2023-04,1077219343.84,1084675851,-7456507.16,7456507.16,SIMULATED_HISTORICAL_BACKTEST,false
2024-01,2024-04,3,ENSEMBLE_50_50,false,2023-02,2024-01,2023-04,1076886236.42,1084675851,-7789614.58,7789614.58,SIMULATED_HISTORICAL_BACKTEST,false
2024-02,2024-05,3,SEASONAL_NAIVE_12,true,2023-03,2024-02,2023-05,988621499,966146936,22474563,22474563,SIMULATED_HISTORICAL_BACKTEST,false
2024-02,2024-05,3,LINEAR_TREND_12,false,2023-03,2024-02,2023-05,1071330446.35,966146936,105183510.35,105183510.35,SIMULATED_HISTORICAL_BACKTEST,false
2024-02,2024-05,3,ENSEMBLE_50_50,false,2023-03,2024-02,2023-05,1029975972.67,966146936,63829036.67,63829036.67,SIMULATED_HISTORICAL_BACKTEST,false
2024-03,2024-06,3,SEASONAL_NAIVE_12,true,2023-04,2024-03,2023-06,1005191587,1011340397,-6148810,6148810,SIMULATED_HISTORICAL_BACKTEST,false
2024-03,2024-06,3,LINEAR_TREND_12,false,2023-04,2024-03,2023-06,1080223157.77,1011340397,68882760.77,68882760.77,SIMULATED_HISTORICAL_BACKTEST,false
2024-03,2024-06,3,ENSEMBLE_50_50,false,2023-04,2024-03,2023-06,1042707372.38,1011340397,31366975.38,31366975.38,SIMULATED_HISTORICAL_BACKTEST,false
2024-04,2024-07,3,SEASONAL_NAIVE_12,true,2023-05,2024-04,2023-07,1028644133,1026133264,2510869,2510869,SIMULATED_HISTORICAL_BACKTEST,false
2024-04,2024-07,3,LINEAR_TREND_12,false,2023-05,2024-04,2023-07,1101974095.98,1026133264,75840831.98,75840831.98,SIMULATED_HISTORICAL_BACKTEST,false
2024-04,2024-07,3,ENSEMBLE_50_50,false,2023-05,2024-04,2023-07,1065309114.49,1026133264,39175850.49,39175850.49,SIMULATED_HISTORICAL_BACKTEST,false
2024-05,2024-08,3,SEASONAL_NAIVE_12,true,2023-06,2024-05,2023-08,1048006528,1073884223,-25877695,25877695,SIMULATED_HISTORICAL_BACKTEST,false
2024-05,2024-08,3,LINEAR_TREND_12,false,2023-06,2024-05,2023-08,1047969019.38,1073884223,-25915203.62,25915203.62,SIMULATED_HISTORICAL_BACKTEST,false
2024-05,2024-08,3,ENSEMBLE_50_50,false,2023-06,2024-05,2023-08,1047987773.69,1073884223,-25896449.31,25896449.31,SIMULATED_HISTORICAL_BACKTEST,false
2024-06,2024-09,3,SEASONAL_NAIVE_12,true,2023-07,2024-06,2023-09,1097072538,1081822266,15250272,15250272,SIMULATED_HISTORICAL_BACKTEST,false
2024-06,2024-09,3,LINEAR_TREND_12,false,2023-07,2024-06,2023-09,1018861989.25,1081822266,-62960276.75,62960276.75,SIMULATED_HISTORICAL_BACKTEST,false
2024-06,2024-09,3,ENSEMBLE_50_50,false,2023-07,2024-06,2023-09,1057967263.62,1081822266,-23855002.38,23855002.38,SIMULATED_HISTORICAL_BACKTEST,false
2024-07,2024-10,3,SEASONAL_NAIVE_12,true,2023-08,2024-07,2023-10,981355017,976820065,4534952,4534952,SIMULATED_HISTORICAL_BACKTEST,false
2024-07,2024-10,3,LINEAR_TREND_12,false,2023-08,2024-07,2023-10,1002565171.05,976820065,25745106.05,25745106.05,SIMULATED_HISTORICAL_BACKTEST,false
2024-07,2024-10,3,ENSEMBLE_50_50,false,2023-08,2024-07,2023-10,991960094.02,976820065,15140029.02,15140029.02,SIMULATED_HISTORICAL_BACKTEST,false
2024-08,2024-11,3,SEASONAL_NAIVE_12,true,2023-09,2024-08,2023-11,1130074116,1134894851,-4820735,4820735,SIMULATED_HISTORICAL_BACKTEST,false
2024-08,2024-11,3,LINEAR_TREND_12,false,2023-09,2024-08,2023-11,1011875129.75,1134894851,-123019721.25,123019721.25,SIMULATED_HISTORICAL_BACKTEST,false
2024-08,2024-11,3,ENSEMBLE_50_50,false,2023-09,2024-08,2023-11,1070974622.87,1134894851,-63920228.13,63920228.13,SIMULATED_HISTORICAL_BACKTEST,false
2024-09,2024-12,3,SEASONAL_NAIVE_12,true,2023-10,2024-09,2023-12,1155794061,1164035766,-8241705,8241705,SIMULATED_HISTORICAL_BACKTEST,false
2024-09,2024-12,3,LINEAR_TREND_12,false,2023-10,2024-09,2023-12,1037772024.69,1164035766,-126263741.31,126263741.31,SIMULATED_HISTORICAL_BACKTEST,false
2024-09,2024-12,3,ENSEMBLE_50_50,false,2023-10,2024-09,2023-12,1096783042.84,1164035766,-67252723.16,67252723.16,SIMULATED_HISTORICAL_BACKTEST,false
2024-10,2025-01,3,SEASONAL_NAIVE_12,true,2023-11,2024-10,2024-01,1000995180,999721428,1273752,1273752,SIMULATED_HISTORICAL_BACKTEST,false
2024-10,2025-01,3,LINEAR_TREND_12,false,2023-11,2024-10,2024-01,986431662.82,999721428,-13289765.18,13289765.18,SIMULATED_HISTORICAL_BACKTEST,false
2024-10,2025-01,3,ENSEMBLE_50_50,false,2023-11,2024-10,2024-01,993713421.41,999721428,-6008006.59,6008006.59,SIMULATED_HISTORICAL_BACKTEST,false
2024-11,2025-02,3,SEASONAL_NAIVE_12,true,2023-12,2024-11,2024-02,1032986931,1025764667,7222264,7222264,SIMULATED_HISTORICAL_BACKTEST,false
2024-11,2025-02,3,LINEAR_TREND_12,false,2023-12,2024-11,2024-02,1045278448.93,1025764667,19513781.93,19513781.93,SIMULATED_HISTORICAL_BACKTEST,false
2024-11,2025-02,3,ENSEMBLE_50_50,false,2023-12,2024-11,2024-02,1039132689.97,1025764667,13368022.97,13368022.97,SIMULATED_HISTORICAL_BACKTEST,false
2024-12,2025-03,3,SEASONAL_NAIVE_12,true,2024-01,2024-12,2024-03,1063477989,1063800710,-322721,322721,SIMULATED_HISTORICAL_BACKTEST,false
2024-12,2025-03,3,LINEAR_TREND_12,false,2024-01,2024-12,2024-03,1123587857.77,1063800710,59787147.77,59787147.77,SIMULATED_HISTORICAL_BACKTEST,false
2024-12,2025-03,3,ENSEMBLE_50_50,false,2024-01,2024-12,2024-03,1093532923.38,1063800710,29732213.38,29732213.38,SIMULATED_HISTORICAL_BACKTEST,false
2025-01,2025-04,3,SEASONAL_NAIVE_12,true,2024-02,2025-01,2024-04,1084675851,1033589497,51086354,51086354,SIMULATED_HISTORICAL_BACKTEST,false
2025-01,2025-04,3,LINEAR_TREND_12,false,2024-02,2025-01,2024-04,1087087612.76,1033589497,53498115.76,53498115.76,SIMULATED_HISTORICAL_BACKTEST,false
2025-01,2025-04,3,ENSEMBLE_50_50,false,2024-02,2025-01,2024-04,1085881731.88,1033589497,52292234.88,52292234.88,SIMULATED_HISTORICAL_BACKTEST,false
2025-02,2025-05,3,SEASONAL_NAIVE_12,true,2024-03,2025-02,2024-05,966146936,986031338,-19884402,19884402,SIMULATED_HISTORICAL_BACKTEST,false
2025-02,2025-05,3,LINEAR_TREND_12,false,2024-03,2025-02,2024-05,1071041956.03,986031338,85010618.03,85010618.03,SIMULATED_HISTORICAL_BACKTEST,false
2025-02,2025-05,3,ENSEMBLE_50_50,false,2024-03,2025-02,2024-05,1018594446.02,986031338,32563108.02,32563108.02,SIMULATED_HISTORICAL_BACKTEST,false
2025-03,2025-06,3,SEASONAL_NAIVE_12,true,2024-04,2025-03,2024-06,1011340397,1017423986,-6083589,6083589,SIMULATED_HISTORICAL_BACKTEST,false
2025-03,2025-06,3,LINEAR_TREND_12,false,2024-04,2025-03,2024-06,1080269839.73,1017423986,62845853.73,62845853.73,SIMULATED_HISTORICAL_BACKTEST,false
2025-03,2025-06,3,ENSEMBLE_50_50,false,2024-04,2025-03,2024-06,1045805118.36,1017423986,28381132.36,28381132.36,SIMULATED_HISTORICAL_BACKTEST,false
2025-04,2025-07,3,SEASONAL_NAIVE_12,true,2024-05,2025-04,2024-07,1026133264,1025803171,330093,330093,SIMULATED_HISTORICAL_BACKTEST,false
2025-04,2025-07,3,LINEAR_TREND_12,false,2024-05,2025-04,2024-07,1083507791.45,1025803171,57704620.45,57704620.45,SIMULATED_HISTORICAL_BACKTEST,false
2025-04,2025-07,3,ENSEMBLE_50_50,false,2024-05,2025-04,2024-07,1054820527.73,1025803171,29017356.73,29017356.73,SIMULATED_HISTORICAL_BACKTEST,false
2025-05,2025-08,3,SEASONAL_NAIVE_12,true,2024-06,2025-05,2024-08,1073884223,1057290047,16594176,16594176,SIMULATED_HISTORICAL_BACKTEST,false
2025-05,2025-08,3,LINEAR_TREND_12,false,2024-06,2025-05,2024-08,1034353452.02,1057290047,-22936594.98,22936594.98,SIMULATED_HISTORICAL_BACKTEST,false
2025-05,2025-08,3,ENSEMBLE_50_50,false,2024-06,2025-05,2024-08,1054118837.51,1057290047,-3171209.49,3171209.49,SIMULATED_HISTORICAL_BACKTEST,false
2025-06,2025-09,3,SEASONAL_NAIVE_12,true,2024-07,2025-06,2024-09,1081822266,1106321884,-24499618,24499618,SIMULATED_HISTORICAL_BACKTEST,false
2025-06,2025-09,3,LINEAR_TREND_12,false,2024-07,2025-06,2024-09,1010591195.86,1106321884,-95730688.14,95730688.14,SIMULATED_HISTORICAL_BACKTEST,false
2025-06,2025-09,3,ENSEMBLE_50_50,false,2024-07,2025-06,2024-09,1046206730.93,1106321884,-60115153.07,60115153.07,SIMULATED_HISTORICAL_BACKTEST,false
2025-07,2025-10,3,SEASONAL_NAIVE_12,true,2024-08,2025-07,2024-10,976820065,987728768,-10908703,10908703,SIMULATED_HISTORICAL_BACKTEST,false
2025-07,2025-10,3,LINEAR_TREND_12,false,2024-08,2025-07,2024-10,994387629.1,987728768,6658861.1,6658861.1,SIMULATED_HISTORICAL_BACKTEST,false
2025-07,2025-10,3,ENSEMBLE_50_50,false,2024-08,2025-07,2024-10,985603847.05,987728768,-2124920.95,2124920.95,SIMULATED_HISTORICAL_BACKTEST,false
2025-08,2025-11,3,SEASONAL_NAIVE_12,true,2024-09,2025-08,2024-11,1134894851,1130579697,4315154,4315154,SIMULATED_HISTORICAL_BACKTEST,false
2025-08,2025-11,3,LINEAR_TREND_12,false,2024-09,2025-08,2024-11,1005591363.55,1130579697,-124988333.45,124988333.45,SIMULATED_HISTORICAL_BACKTEST,false
2025-08,2025-11,3,ENSEMBLE_50_50,false,2024-09,2025-08,2024-11,1070243107.28,1130579697,-60336589.72,60336589.72,SIMULATED_HISTORICAL_BACKTEST,false
2025-09,2025-12,3,SEASONAL_NAIVE_12,true,2024-10,2025-09,2024-12,1164035766,1137824228,26211538,26211538,SIMULATED_HISTORICAL_BACKTEST,false
2025-09,2025-12,3,LINEAR_TREND_12,false,2024-10,2025-09,2024-12,1040302558.12,1137824228,-97521669.88,97521669.88,SIMULATED_HISTORICAL_BACKTEST,false
2025-09,2025-12,3,ENSEMBLE_50_50,false,2024-10,2025-09,2024-12,1102169162.06,1137824228,-35655065.94,35655065.94,SIMULATED_HISTORICAL_BACKTEST,false
2023-12,2024-06,6,SEASONAL_NAIVE_12,true,2023-01,2023-12,2023-06,1005191587,1011340397,-6148810,6148810,SIMULATED_HISTORICAL_BACKTEST,false
2023-12,2024-06,6,LINEAR_TREND_12,false,2023-01,2023-12,2023-06,1136089434.21,1011340397,124749037.21,124749037.21,SIMULATED_HISTORICAL_BACKTEST,false
2023-12,2024-06,6,ENSEMBLE_50_50,false,2023-01,2023-12,2023-06,1070640510.6,1011340397,59300113.6,59300113.6,SIMULATED_HISTORICAL_BACKTEST,false
2024-01,2024-07,6,SEASONAL_NAIVE_12,true,2023-02,2024-01,2023-07,1028644133,1026133264,2510869,2510869,SIMULATED_HISTORICAL_BACKTEST,false
2024-01,2024-07,6,LINEAR_TREND_12,false,2023-02,2024-01,2023-07,1085780958.08,1026133264,59647694.08,59647694.08,SIMULATED_HISTORICAL_BACKTEST,false
2024-01,2024-07,6,ENSEMBLE_50_50,false,2023-02,2024-01,2023-07,1057212545.54,1026133264,31079281.54,31079281.54,SIMULATED_HISTORICAL_BACKTEST,false
2024-02,2024-08,6,SEASONAL_NAIVE_12,true,2023-03,2024-02,2023-08,1048006528,1073884223,-25877695,25877695,SIMULATED_HISTORICAL_BACKTEST,false
2024-02,2024-08,6,LINEAR_TREND_12,false,2023-03,2024-02,2023-08,1078624907.12,1073884223,4740684.12,4740684.12,SIMULATED_HISTORICAL_BACKTEST,false
2024-02,2024-08,6,ENSEMBLE_50_50,false,2023-03,2024-02,2023-08,1063315717.56,1073884223,-10568505.44,10568505.44,SIMULATED_HISTORICAL_BACKTEST,false
2024-03,2024-09,6,SEASONAL_NAIVE_12,true,2023-04,2024-03,2023-09,1097072538,1081822266,15250272,15250272,SIMULATED_HISTORICAL_BACKTEST,false
2024-03,2024-09,6,LINEAR_TREND_12,false,2023-04,2024-03,2023-09,1090632133.8,1081822266,8809867.8,8809867.8,SIMULATED_HISTORICAL_BACKTEST,false
2024-03,2024-09,6,ENSEMBLE_50_50,false,2023-04,2024-03,2023-09,1093852335.9,1081822266,12030069.9,12030069.9,SIMULATED_HISTORICAL_BACKTEST,false
2024-04,2024-10,6,SEASONAL_NAIVE_12,true,2023-05,2024-04,2023-10,981355017,976820065,4534952,4534952,SIMULATED_HISTORICAL_BACKTEST,false
2024-04,2024-10,6,LINEAR_TREND_12,false,2023-05,2024-04,2023-10,1119820970.14,976820065,143000905.14,143000905.14,SIMULATED_HISTORICAL_BACKTEST,false
2024-04,2024-10,6,ENSEMBLE_50_50,false,2023-05,2024-04,2023-10,1050587993.57,976820065,73767928.57,73767928.57,SIMULATED_HISTORICAL_BACKTEST,false
2024-05,2024-11,6,SEASONAL_NAIVE_12,true,2023-06,2024-05,2023-11,1130074116,1134894851,-4820735,4820735,SIMULATED_HISTORICAL_BACKTEST,false
2024-05,2024-11,6,LINEAR_TREND_12,false,2023-06,2024-05,2023-11,1047416294.84,1134894851,-87478556.16,87478556.16,SIMULATED_HISTORICAL_BACKTEST,false
2024-05,2024-11,6,ENSEMBLE_50_50,false,2023-06,2024-05,2023-11,1088745205.42,1134894851,-46149645.58,46149645.58,SIMULATED_HISTORICAL_BACKTEST,false
