draw_id,revenue_vnd_bn,ebitda_proxy_vnd_bn,ebitda_margin_pct,ccc_days,revenue_shock,margin_shock,ccc_shock,cost_inflation_shock
90,85.4263,12.1617,14.2365,61.1124,0.9708,-0.5528,0.8743,0.4961
91,80.7777,12.2902,15.2149,61.2865,-0.5787,-0.1595,0.9958,0.1581
92,76.1327,10.0345,13.1803,51.6683,-2.127,-1.1237,-0.485,0.5318
93,82.3108,12.4999,15.1863,55.8098,-0.0677,-0.1311,0.1849,0.2578
94,82.4104,9.6684,11.732,48.6,-0.0345,-1.9328,-0.9204,0.5216
95,87.6475,14.6488,16.7133,43.2612,1.7112,0.0634,-1.1874,-1.2135
96,84.4806,15.203,17.9959,52.688,0.6556,1.209,-0.1191,-0.239
97,81.7264,9.6469,11.8039,50.6641,-0.2625,-2.2223,-0.4139,-0.2195
98,79.9203,15.5617,19.4715,46.7657,-0.8645,1.1156,-0.3781,-2.2939
99,83.8521,11.9043,14.1968,52.7846,0.4461,-0.433,-0.4066,0.8153
100,84.7268,14.6552,17.2971,47.8886,0.7377,0.8211,-0.8049,-0.2385
101,82.0951,12.821,15.6172,52.6548,-0.1396,0.3886,-0.4459,0.8882
102,81.7997,14.3968,17.6001,52.4579,-0.238,0.9083,-0.1001,-0.4209
103,80.0197,12.1792,15.2203,50.0922,-0.8314,-0.5809,-0.3306,-0.7969
104,82.7967,9.1266,11.0229,67.2669,0.0943,-1.7751,1.3916,1.7629
105,85.654,14.3116,16.7086,40.2639,1.0467,0.1049,-1.6439,-1.1143
106,81.8678,12.1972,14.8987,41.6884,-0.2153,-0.7082,-1.5642,-0.6812
107,81.2203,11.76,14.4792,65.5198,-0.4312,-0.1639,1.3406,1.0678
108,82.4842,14.1557,17.1618,43.5521,-0.0099,0.6639,-1.3717,-0.423
109,83.5953,11.8105,14.1282,53.0547,0.3605,-0.4099,-0.4073,0.9531
110,84.8911,13.2675,15.6288,62.3215,0.7924,-0.0784,1.2394,-0.177
111,83.012,14.877,17.9215,62.6032,0.1661,1.6546,0.9843,0.8565
112,83.4705,12.1567,14.5641,50.8638,0.3189,-0.8078,-0.3089,-0.487
113,83.2204,16.6522,20.0098,46.2954,0.2355,1.5093,-0.5061,-2.0809
114,83.2054,9.2003,11.0573,59.4088,0.2305,-1.9554,0.3972,1.3141
115,77.1198,9.8517,12.7745,54.314,-1.798,-0.9179,-0.3843,1.5021
116,82.9346,11.6851,14.0895,66.7258,0.1403,-0.8344,1.8048,0.0462
117,78.8677,13.1571,16.6825,54.6614,-1.2154,0.4869,0.1579,-0.222
118,82.595,14.913,18.0556,49.2954,0.0271,1.1403,-0.5383,-0.4683
119,84.4889,12.9678,15.3485,49.8947,0.6584,-0.415,-0.4196,-0.584
120,83.0124,10.5091,12.6597,64.7604,0.1662,-1.2867,1.3041,0.8159
121,83.2009,13.9896,16.8142,41.2877,0.229,0.5063,-1.718,-0.3432
122,84.9659,13.0815,15.3962,54.1937,0.8174,0.0254,-0.0716,0.3473
123,87.4474,14.6633,16.7682,49.8137,1.6445,0.6501,-0.6089,0.038
124,78.1848,11.7341,15.0082,55.9628,-1.443,-0.4157,0.3261,-0.1601
125,84.6561,14.0758,16.627,46.0222,0.7141,0.4474,-1.0707,-0.2415
126,82.7064,12.8793,15.5723,58.5325,0.0642,0.156,0.5271,0.4213
127,83.4933,14.9216,17.8717,54.1994,0.3265,0.9523,0.2174,-0.6613
128,82.3134,11.959,14.5286,50.4269,-0.0668,-0.502,-0.5805,0.2452
129,80.7259,11.4721,14.2112,56.4147,-0.596,-0.5898,0.2179,0.4445
130,83.0524,13.61,16.3872,54.1327,0.1795,0.781,-0.2121,0.8087
131,84.9813,15.2246,17.9153,49.3832,0.8225,1.0887,-0.5427,-0.409
132,81.1974,12.8445,15.8189,67.1836,-0.4388,0.5906,1.5717,1.0908
133,81.5577,9.0696,11.1205,58.8143,-0.3187,-1.4638,0.0188,2.3414
134,81.5489,15.0851,18.4983,54.3764,-0.3216,0.6273,0.6755,-2.1759
135,78.8465,10.6666,13.5283,67.9551,-1.2224,-0.9957,1.8836,0.3848
136,78.4417,13.8418,17.646,34.8129,-1.3574,0.8518,-2.568,-0.6055
137,82.3373,11.8441,14.3848,54.7403,-0.0588,-0.5242,-0.0014,0.3751
138,80.7556,14.6959,18.1981,45.9531,-0.5861,0.8038,-0.7485,-1.4035
139,79.2749,12.2839,15.4954,52.4979,-1.0796,0.1224,-0.3408,0.4416
140,83.8416,13.7862,16.4431,54.3009,0.4426,0.6062,-0.0557,0.3454
141,84.412,13.3034,15.7601,59.2929,0.6327,0.3405,0.5842,0.6016
142,82.4668,11.6142,14.0835,49.2545,-0.0157,-0.9908,-0.5927,-0.2982
143,85.3812,10.4299,12.2157,60.5568,0.9558,-1.2127,0.4974,1.5374
144,80.6633,10.5934,13.1328,54.7059,-0.6168,-0.8194,-0.2637,1.2758
145,85.7853,14.7876,17.2379,56.5283,1.0905,1.014,0.2842,0.2696
146,83.4585,15.0915,18.0826,45.9426,0.3149,0.8778,-0.8389,-1.0927
147,83.7564,13.8997,16.5954,44.8523,0.4142,0.2083,-1.0954,-0.74
148,81.6909,12.6887,15.5325,62.7785,-0.2743,-0.3684,1.4566,-0.709
149,75.5454,9.4064,12.4513,64.311,-2.3228,-0.7211,0.8018,2.3491
150,86.7491,13.6513,15.7365,51.5779,1.4118,0.1644,-0.4131,0.2348
151,82.4434,13.52,16.3992,65.5833,-0.0235,0.424,1.6575,-0.0094
152,83.8905,17.0717,20.35,59.6243,0.4589,2.4436,0.9189,-0.4038
153,80.3882,12.6505,15.7367,58.7266,-0.7085,0.3553,0.4855,0.664
154,76.4896,10.7535,14.0587,64.5002,-2.0081,-0.7703,1.4346,0.2289
155,83.2184,12.6897,15.2486,58.7441,0.2349,-0.0749,0.5902,0.3062
156,83.2359,14.3402,17.2284,47.9605,0.2407,0.4552,-0.584,-0.9759
157,82.5867,12.0799,14.6269,57.7854,0.0243,-0.4652,0.4821,0.2052
158,77.759,11.6635,14.9995,48.9271,-1.5849,-0.5975,-0.5652,-0.5583
159,77.9247,12.0547,15.4697,65.0832,-1.5297,-0.3509,1.7522,-0.5911
160,82.8106,12.3566,14.9215,40.394,0.0989,-0.8108,-1.675,-0.9406
161,83.1998,13.2699,15.9494,53.6904,0.2287,0.0946,0.0096,-0.1884
162,87.0801,11.4638,13.1647,55.0181,1.5221,-1.7416,0.3852,-0.839
163,84.9339,13.6198,16.0358,58.4421,0.8067,-0.2491,0.9402,-1.0697
164,78.4156,10.7737,13.7393,67.5237,-1.3661,-0.4918,1.5734,1.2549
165,81.2996,12.979,15.9644,39.1033,-0.4047,-0.222,-1.8654,-0.9194
166,83.7344,13.9834,16.6997,55.3493,0.4069,0.6996,0.1256,0.235
167,81.781,9.2398,11.2982,51.0371,-0.2443,-2.4727,-0.3802,-0.1508
168,81.0416,11.5182,14.2126,56.5508,-0.4907,-0.9422,0.4645,-0.3502
169,83.0683,16.1678,19.4632,52.719,0.1848,1.8893,-0.028,-0.5427
170,79.2762,10.708,13.5072,59.413,-1.0792,-0.1937,0.1402,2.2157
171,85.809,13.7351,16.0066,58.0842,1.0984,0.1438,0.6261,-0.1493
172,83.1252,10.5031,12.6353,52.203,0.2038,-1.6102,-0.2906,0.1186
173,84.7009,13.2992,15.7013,48.9417,0.729,-0.2511,-0.5351,-0.6562
174,83.282,16.1102,19.3442,51.3053,0.2561,1.8939,-0.2754,-0.3834
175,81.4709,11.3858,13.9753,67.0019,-0.3476,-0.2302,1.415,1.5484
176,84.695,12.3471,14.5784,70.6005,0.7271,0.064,1.9554,1.4565
177,77.0751,11.3498,14.7256,67.3707,-1.8129,-0.5785,1.9595,-0.173
178,81.2584,11.6845,14.3794,66.7603,-0.4185,-0.0925,1.4363,1.3531
179,76.6868,10.5092,13.704,63.6735,-1.9423,-0.8701,1.254,0.4478
180,82.0868,13.253,16.1451,64.8563,-0.1423,0.3907,1.4842,0.2333
181,83.5483,15.4776,18.5254,49.7906,0.3448,1.4161,-0.4771,-0.435
182,83.9678,14.2417,16.9608,52.0023,0.4847,0.7103,-0.2661,-0.0674
183,87.0378,15.1666,17.4253,59.9371,1.508,0.8036,0.9733,-0.4381
184,75.1607,9.6295,12.8118,52.8782,-2.451,-1.0242,-0.5078,1.2164
185,80.49,14.7269,18.2966,47.0469,-0.6746,1.0891,-0.7405,-0.8847
186,77.8371,11.3793,14.6194,59.718,-1.5589,-0.4273,0.7312,0.2999
187,81.6315,15.1583,18.5692,60.9514,-0.2941,1.1703,1.291,-1.0428
188,85.4656,15.8577,18.5544,37.5964,0.9839,1.373,-2.181,-0.5683
189,77.8352,11.5675,14.8615,60.0116,-1.5595,-0.3404,0.8037,0.1928
190,75.9513,9.7256,12.8051,71.2901,-2.1875,-0.464,1.76,2.4852
191,75.7958,6.9472,9.1657,56.0185,-2.2393,-2.6421,-0.3213,2.1337
192,81.4209,12.4082,15.2396,47.0004,-0.3643,-0.6214,-0.7393,-0.9122
193,86.9759,19.513,22.4349,45.7572,1.4874,2.7262,-0.4992,-2.3741
194,83.223,12.1017,14.5413,58.3306,0.2364,0.0088,0.2247,1.3787
195,88.3823,12.7742,14.4533,62.9396,1.9562,-0.1249,0.9377,1.1877
196,83.2201,12.5772,15.1131,60.3348,0.2354,0.3372,0.5041,1.4029
197,82.8744,14.6915,17.7274,48.7271,0.1202,1.0647,-0.6881,-0.2281
198,83.954,12.5479,14.9461,58.2299,0.4801,-0.5813,0.7343,-0.4551
199,80.5214,13.5922,16.8802,52.1188,-0.6641,0.3437,-0.0426,-0.7915
200,82.6231,13.5523,16.4026,53.9667,0.0364,-0.0316,0.292,-1.0388
201,79.7051,12.0161,15.0757,59.7399,-0.9362,-0.084,0.6766,0.5019
202,86.6794,16.5255,19.0651,45.0901,1.3885,1.5622,-1.0497,-0.781
203,83.9686,10.3092,12.2774,62.1652,0.4849,-1.4908,0.928,0.8344
204,75.6135,9.0758,12.0029,72.8237,-2.3001,-1.2226,2.1802,1.781
205,78.5199,10.68,13.6016,52.6679,-1.3313,-1.1287,-0.1886,-0.006
206,84.5069,14.36,16.9927,54.3572,0.6644,0.6972,0.0901,-0.1368
207,80.4018,11.969,14.8865,49.6285,-0.704,-0.5543,-0.5331,-0.3198
208,82.4616,11.9552,14.4979,63.1624,-0.0174,0.1038,0.8384,1.6466
209,87.0541,13.2625,15.2347,46.865,1.5134,-0.3341,-0.9451,-0.2597
210,80.7842,15.2874,18.9238,52.6337,-0.5765,0.7102,0.5251,-2.5212
211,82.0043,12.1828,14.8563,65.1099,-0.1698,0.4208,1.0409,1.9119
212,80.0829,12.1929,15.2253,59.732,-0.8103,-0.2644,0.8449,-0.0911
213,83.5668,13.2634,15.8716,48.5657,0.351,0.0694,-0.7341,-0.1477
214,79.6746,9.5436,11.9783,66.6238,-0.9464,-1.4251,1.4159,1.3561
215,84.3648,13.1446,15.5807,47.1137,0.617,-0.0992,-0.937,-0.1636
216,82.9535,7.6291,9.1968,64.6478,0.1466,-2.7125,0.9679,1.9363
217,80.269,13.7667,17.1507,45.2949,-0.7483,0.9331,-1.2998,0.1967
218,83.5379,13.7975,16.5164,46.981,0.3414,-0.7133,-0.227,-2.7149
219,88.5908,11.6976,13.204,45.3831,2.0257,-1.0696,-1.4092,0.6239
220,80.4074,12.2393,15.2216,54.3212,-0.7021,-0.7776,0.4005,-1.241
221,79.0524,12.9849,16.4257,60.4365,-1.1538,-0.0326,1.2252,-1.07
222,85.1488,19.0489,22.3713,45.699,0.8783,2.6698,-0.494,-2.4215
223,82.727,14.4479,17.4645,52.5057,0.0711,0.436,0.162,-1.3142
224,87.9332,12.8913,14.6604,58.9133,1.8065,-0.1908,0.4789,0.7807
225,80.0861,12.5158,15.6279,63.9387,-0.8092,-0.3,1.6125,-0.6745
226,83.5629,10.4251,12.4757,56.2591,0.3497,-1.2237,-0.0166,1.1875
227,80.9067,10.162,12.5601,56.0193,-0.5357,-1.3165,0.039,0.8732
228,76.9255,9.1188,11.854,51.8027,-1.8628,-2.1291,-0.2932,-0.0725
229,83.5481,10.8894,13.0337,59.2172,0.3448,-1.4842,0.7727,-0.096
230,87.5457,18.921,21.6128,54.1701,1.6773,2.6687,0.446,-1.4759
231,82.7641,12.4522,15.0454,60.3319,0.0834,0.0049,0.6932,0.7398
232,83.2487,11.4614,13.7676,50.4187,0.245,-0.9123,-0.5897,0.2733
233,75.7126,12.156,16.0554,60.9774,-2.2671,0.0346,1.127,-0.4559
234,79.8956,8.9028,11.143,56.636,-0.8727,-1.7453,-0.1034,1.6798
235,88.5712,15.2522,17.2202,42.162,2.0191,0.1878,-1.2434,-1.5671
236,85.1645,16.0947,18.8984,46.1351,0.8836,1.4749,-0.9039,-0.7689
237,80.7751,9.5664,11.8433,55.0022,-0.5796,-1.7875,-0.0595,0.7094
238,80.765,14.3666,17.7881,48.5485,-0.5829,1.1501,-0.7468,-0.112
239,79.8215,18.0455,22.6073,48.0989,-0.8974,2.71,-0.0927,-2.6261
240,84.6481,14.907,17.6106,53.4583,0.7114,0.8339,0.0945,-0.6015
241,82.9704,14.5602,17.5487,60.8091,0.1522,0.6914,1.2141,-0.8447
242,83.4451,15.6494,18.7541,46.0317,0.3104,0.8927,-0.5958,-1.8987
243,79.6212,11.5945,14.5621,59.7307,-0.9642,-0.4911,0.7536,0.2279
244,84.3218,13.6057,16.1354,64.5609,0.6027,1.0815,0.9945,1.7997
245,86.2872,11.2269,13.0111,59.5335,1.2578,-0.7069,0.3102,1.681
246,82.0679,12.7623,15.5509,61.402,-0.1486,0.1276,0.9477,0.3839
247,80.984,13.1995,16.2989,48.2085,-0.5099,0.3052,-0.7841,-0.1515
248,82.7789,14.3064,17.2827,55.0246,0.0884,0.9956,0.0971,0.1724
249,84.0861,15.0329,17.878,51.1643,0.5241,0.866,-0.1584,-0.8635
250,81.5551,13.0072,15.949,64.7672,-0.3196,0.2218,1.51,0.0984
251,82.1399,12.6883,15.4472,47.4499,-0.1246,-0.0873,-0.9443,0.0301
252,81.7145,13.698,16.7633,55.2957,-0.2664,0.4389,0.3083,-0.4312
253,87.137,15.4205,17.6969,48.9131,1.5411,0.6311,-0.3937,-1.1655
254,82.7895,13.216,15.9634,48.7559,0.0919,0.13,-0.7131,-0.1263
255,73.9286,11.729,15.8654,58.3668,-2.8617,-0.4831,1.019,-1.3832
256,83.049,11.8612,14.2822,49.8274,0.1784,-0.3127,-0.8758,0.9792
257,82.0317,12.8113,15.6174,39.024,-0.1607,-0.2947,-1.9539,-0.6494
258,79.7283,10.0179,12.5651,63.2933,-0.9285,-1.167,0.9838,1.2035
259,83.6904,15.8728,18.9661,49.293,0.3922,1.1525,-0.2213,-1.5789
260,86.2343,14.3889,16.6858,40.9222,1.2402,-0.044,-1.4623,-1.4207
261,77.9467,9.4551,12.1302,52.3115,-1.5224,-1.7577,-0.3606,0.4178
262,83.6,14.0737,16.8346,55.9404,0.3621,0.6329,0.3011,-0.0837
263,78.9708,13.3871,16.952,61.6226,-1.181,0.2544,1.3981,-1.0821
264,85.2071,15.33,17.9914,58.947,0.8978,0.852,1.0029,-1.0368
265,87.358,14.2927,16.361,50.2828,1.6147,0.3807,-0.5141,-0.0592
266,76.6244,9.2573,12.0814,52.9542,-1.9631,-1.5407,-0.4257,0.9672
267,81.1132,15.2333,18.7803,50.7459,-0.4669,1.0475,-0.0126,-1.5831
268,83.9548,15.2058,18.1119,53.092,0.4803,1.1379,0.0257,-0.5441
269,84.8761,15.7826,18.5949,32.688,0.7874,0.7584,-2.4726,-2.0018
270,85.897,14.9668,17.4241,52.2569,1.1277,0.2876,0.2075,-1.5977
271,76.2943,10.8964,14.2821,51.947,-2.0732,-0.9787,-0.1449,-0.5192
272,82.3175,16.1485,19.6174,55.1215,-0.0654,1.6105,0.5496,-1.3627
273,80.3603,11.9114,14.8225,58.5704,-0.7178,-0.2365,0.5171,0.4754
274,87.0917,14.0533,16.1362,54.8365,1.526,0.2591,0.1343,-0.0518
275,86.1312,13.1705,15.2912,45.012,1.2058,-0.1881,-1.2835,-0.0018
276,87.3978,10.9067,12.4794,61.8703,1.628,-1.2431,0.7988,1.1393
277,75.8184,8.5669,11.2992,57.9541,-2.2318,-1.8929,0.2356,1.1525
278,82.1133,16.4347,20.0147,34.9802,-0.1335,1.6128,-2.1873,-1.8542
279,85.6742,15.7252,18.3547,56.1709,1.0535,1.3072,0.4434,-0.4666
280,82.5535,12.0224,14.5632,61.683,0.0132,-0.5494,1.0703,0.0954
281,81.8501,11.734,14.3359,51.7392,-0.2212,-0.3494,-0.5599,0.8294
282,81.0253,12.9283,15.9559,42.0374,-0.4962,0.0301,-1.6113,-0.3417
283,82.4274,12.8368,15.5734,51.8331,-0.0288,-0.3776,-0.0864,-0.7809
284,84.1589,12.4819,14.8314,46.5135,0.5484,-0.8088,-0.8342,-0.8235
285,93.4043,15.3251,16.4073,51.8335,3.6302,0.2257,-0.1764,-0.4658
286,84.959,14.8114,17.4336,46.6324,0.8151,0.8217,-0.9361,-0.4076
287,85.7044,13.0118,15.1822,51.0276,1.0635,-0.2362,-0.4322,0.0263
288,77.4066,11.5235,14.887,41.6695,-1.7024,-0.4304,-1.7496,-0.0416
289,82.2917,12.3325,14.9863,58.8165,-0.074,-0.6231,0.8593,-0.5992
290,85.9067,17.591,20.4769,48.8855,1.131,2.1845,-0.4033,-1.1456
291,82.4987,13.8484,16.7862,47.1371,-0.005,-0.6178,-0.1697,-2.8374
292,85.1575,14.8075,17.3883,47.7702,0.8812,0.1219,-0.3398,-1.9258
293,82.3394,12.8949,15.6606,59.3297,-0.0581,0.3426,0.5526,0.7306
294,79.2214,12.0361,15.193,54.2445,-1.0975,-0.2315,0.0282,0.0234
295,81.6962,13.0883,16.0207,43.7845,-0.2725,-0.2192,-1.1783,-0.9836
296,79.2862,9.032,11.3916,56.1801,-1.0759,-2.3434,0.3048,0.0234
297,81.7316,12.2279,14.961,59.3636,-0.2607,-0.1221,0.6064,0.5596
298,85.8302,16.4463,19.1615,48.504,1.1055,1.5269,-0.5049,-0.9809
299,79.9032,12.1332,15.1849,47.78,-0.8702,-0.3197,-0.8414,-0.1649
300,81.6322,14.8638,18.2083,58.7304,-0.2939,1.5922,0.5736,0.3575
301,84.5831,12.8426,15.1834,54.5924,0.6898,-0.1115,-0.0026,0.3054
302,78.7201,10.8763,13.8165,66.2766,-1.2646,-0.8608,1.6601,0.328
303,82.387,12.5185,15.1947,59.1846,-0.0423,-0.3159,0.7888,-0.1687
304,83.6697,10.6329,12.7082,56.3721,0.3853,-1.3423,0.1589,0.63
305,86.256,13.3899,15.5235,59.8724,1.2474,-0.3839,1.0482,-0.7326
306,82.481,11.5922,14.0544,54.5676,-0.0109,-1.2583,0.3279,-0.8637
307,87.974,15.802,17.9621,40.82,1.8201,0.5357,-1.3938,-1.7118
308,81.888,13.9529,17.039,41.0734,-0.2086,0.6752,-1.777,-0.244
309,80.9293,11.6435,14.3872,46.737,-0.5282,-1.2881,-0.6528,-1.3468
310,85.9297,12.634,14.7027,59.1708,1.1386,-0.564,0.7706,-0.1117
311,81.1493,15.2486,18.7908,49.4999,-0.4548,1.677,-0.5915,-0.1796
312,87.5075,16.7102,19.0958,40.1808,1.6646,2.0707,-2.067,0.3247
313,83.282,8.3341,10.0071,69.2265,0.2561,-2.1106,1.5244,2.2778
314,74.0196,9.027,12.1955,60.563,-2.8314,-1.6023,0.7416,0.6861
315,90.0583,16.6783,18.5194,45.5859,2.5148,1.6512,-1.231,0.1015
316,85.7124,14.2793,16.6596,41.3755,1.0662,0.2949,-1.6248,-0.6254
317,78.7012,13.0134,16.5353,53.7778,-1.2709,0.701,-0.1585,0.4436
318,84.7495,14.2187,16.7773,60.3718,0.7452,0.7199,0.8578,0.1836
319,80.9066,13.3164,16.459,57.3269,-0.5357,0.001,0.7713,-1.0359
320,88.9793,11.6409,13.0827,40.6182,2.1552,-1.7459,-1.6985,-0.7462
