company_id,ticker,company_name,peer_role,metric,metric_label,period,value,unit,calculation_definition,rankability,basis_flag,source_record_1,source_record_2,source_url_1,source_url_2,status,analyst_note
QNS,QNS,Quang Ngai Sugar,input_cost_benchmark,gross_margin_2025_pct,FY2025 gross margin,FY2025,33.3333,%,FY2025 gross profit / FY2025 net revenue,context_only,revenue_basis_break_context_only,QNS-2025-gross_profit_vnd_bn,QNS-2025-net_revenue_vnd_bn,https://drive.google.com/file/d/15mGdakHpBm2hqXbRnDRubgSGR1R9oQf2/view,https://drive.google.com/file/d/15mGdakHpBm2hqXbRnDRubgSGR1R9oQf2/view,calculated,Use as bounded context only; QNS/KDC basis/perimeter caveats prohibit unadjusted cross-company ranking.
QNS,QNS,Quang Ngai Sugar,input_cost_benchmark,asset_cagr_2020_2025_pct,Total-assets CAGR FY2020–FY2025,FY2025,9.4173,%,(FY2025 total assets / FY2020 total assets)^(1/5)-1,context_only,revenue_basis_break_context_only,QNS-2020-total_assets_vnd_bn,QNS-2025-total_assets_vnd_bn,https://drive.google.com/file/d/11X8-0YfdDQOzoRNxbxhpu-njEfBWmsBY/view,https://drive.google.com/file/d/15mGdakHpBm2hqXbRnDRubgSGR1R9oQf2/view,calculated,Use as bounded context only; QNS/KDC basis/perimeter caveats prohibit unadjusted cross-company ranking.
QNS,QNS,Quang Ngai Sugar,input_cost_benchmark,equity_ratio_2025_pct,FY2025 equity ratio,FY2025,74.1882,%,FY2025 owners' equity / FY2025 total assets,context_only,revenue_basis_break_context_only,QNS-2025-owners_equity_vnd_bn,QNS-2025-total_assets_vnd_bn,https://drive.google.com/file/d/15mGdakHpBm2hqXbRnDRubgSGR1R9oQf2/view,https://drive.google.com/file/d/15mGdakHpBm2hqXbRnDRubgSGR1R9oQf2/view,calculated,Use as bounded context only; QNS/KDC basis/perimeter caveats prohibit unadjusted cross-company ranking.
QNS,QNS,Quang Ngai Sugar,input_cost_benchmark,cfo_to_pat_2025_pct,FY2025 CFO / PAT,FY2025,,%,FY2025 operating cash flow / FY2025 PAT,blocked,revenue_basis_break_context_only,QNS-2025-operating_cash_flow_vnd_bn,QNS-2025-profit_after_tax_vnd_bn,https://drive.google.com/file/d/15mGdakHpBm2hqXbRnDRubgSGR1R9oQf2/view,https://drive.google.com/file/d/15mGdakHpBm2hqXbRnDRubgSGR1R9oQf2/view,not_available,Required component is not available in the approved panel; do not rank.
KDC,KDC,KIDO,strategic_context,revenue_cagr_2020_2025_pct,Revenue CAGR FY2020–FY2025,FY2025,1.6967,%,(FY2025 net revenue / FY2020 net revenue)^(1/5)-1,context_only,perimeter_break_context_only,KDC-2020-net_revenue_vnd_bn,KDC-2025-net_revenue_vnd_bn,https://drive.google.com/file/d/14sQQ1_tXzz93RJ36VOjmaHDR0xJRFi23/view,https://drive.google.com/file/d/1ok5urA3BvL8ICs18KaqIZHGAt4sRrLxL/view,calculated,Use as bounded context only; QNS/KDC basis/perimeter caveats prohibit unadjusted cross-company ranking.
KDC,KDC,KIDO,strategic_context,pbt_margin_2025_pct,FY2025 PBT margin,FY2025,8.0253,%,FY2025 PBT / FY2025 net revenue,context_only,perimeter_break_context_only,KDC-2025-profit_before_tax_vnd_bn,KDC-2025-net_revenue_vnd_bn,https://drive.google.com/file/d/1ok5urA3BvL8ICs18KaqIZHGAt4sRrLxL/view,https://drive.google.com/file/d/1ok5urA3BvL8ICs18KaqIZHGAt4sRrLxL/view,calculated,Use as bounded context only; QNS/KDC basis/perimeter caveats prohibit unadjusted cross-company ranking.
KDC,KDC,KIDO,strategic_context,pat_margin_2025_pct,FY2025 PAT margin,FY2025,6.4884,%,FY2025 PAT / FY2025 net revenue,context_only,perimeter_break_context_only,KDC-2025-profit_after_tax_vnd_bn,KDC-2025-net_revenue_vnd_bn,https://drive.google.com/file/d/1ok5urA3BvL8ICs18KaqIZHGAt4sRrLxL/view,https://drive.google.com/file/d/1ok5urA3BvL8ICs18KaqIZHGAt4sRrLxL/view,calculated,Use as bounded context only; QNS/KDC basis/perimeter caveats prohibit unadjusted cross-company ranking.
KDC,KDC,KIDO,strategic_context,gross_margin_2025_pct,FY2025 gross margin,FY2025,18.4957,%,FY2025 gross profit / FY2025 net revenue,context_only,perimeter_break_context_only,KDC-2025-gross_profit_vnd_bn,KDC-2025-net_revenue_vnd_bn,https://drive.google.com/file/d/1ok5urA3BvL8ICs18KaqIZHGAt4sRrLxL/view,https://drive.google.com/file/d/1ok5urA3BvL8ICs18KaqIZHGAt4sRrLxL/view,calculated,Use as bounded context only; QNS/KDC basis/perimeter caveats prohibit unadjusted cross-company ranking.
KDC,KDC,KIDO,strategic_context,asset_cagr_2020_2025_pct,Total-assets CAGR FY2020–FY2025,FY2025,2.4049,%,(FY2025 total assets / FY2020 total assets)^(1/5)-1,context_only,perimeter_break_context_only,KDC-2020-total_assets_vnd_bn,KDC-2025-total_assets_vnd_bn,https://drive.google.com/file/d/14sQQ1_tXzz93RJ36VOjmaHDR0xJRFi23/view,https://drive.google.com/file/d/1ok5urA3BvL8ICs18KaqIZHGAt4sRrLxL/view,calculated,Use as bounded context only; QNS/KDC basis/perimeter caveats prohibit unadjusted cross-company ranking.
KDC,KDC,KIDO,strategic_context,equity_ratio_2025_pct,FY2025 equity ratio,FY2025,55.6405,%,FY2025 owners' equity / FY2025 total assets,context_only,perimeter_break_context_only,KDC-2025-owners_equity_vnd_bn,KDC-2025-total_assets_vnd_bn,https://drive.google.com/file/d/1ok5urA3BvL8ICs18KaqIZHGAt4sRrLxL/view,https://drive.google.com/file/d/1ok5urA3BvL8ICs18KaqIZHGAt4sRrLxL/view,calculated,Use as bounded context only; QNS/KDC basis/perimeter caveats prohibit unadjusted cross-company ranking.
KDC,KDC,KIDO,strategic_context,cfo_to_pat_2025_pct,FY2025 CFO / PAT,FY2025,14.6686,%,FY2025 operating cash flow / FY2025 PAT,context_only,perimeter_break_context_only,KDC-2025-operating_cash_flow_vnd_bn,KDC-2025-profit_after_tax_vnd_bn,https://drive.google.com/file/d/1ok5urA3BvL8ICs18KaqIZHGAt4sRrLxL/view,https://drive.google.com/file/d/1ok5urA3BvL8ICs18KaqIZHGAt4sRrLxL/view,calculated,Use as bounded context only; QNS/KDC basis/perimeter caveats prohibit unadjusted cross-company ranking.
