record_id,company_id,ticker,company_name,peer_role,period_type,fiscal_year,fiscal_quarter,start_date,end_date,months_in_period,scope,audited_status,currency,scale,accounting_standard,restatement_status,fiscal_year_end,metric,metric_original_label,value,unit,value_vnd_bn,value_status,null_reason,reported_or_calculated,calculation_definition,source_document_id,source_url,source_page,source_file_drive_id,comparability_status,comparability_note,confidence,review_status,extraction_method,extraction_timestamp_utc
MCH-2017-operating_profit_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2017,,2017-01-01,2017-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2017-12-31,operating_profit_vnd_bn,Operating profit,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2017-profit_before_tax_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2017,,2017-01-01,2017-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2017-12-31,profit_before_tax_vnd_bn,Profit before tax,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2017-profit_after_tax_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2017,,2017-01-01,2017-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2017-12-31,profit_after_tax_vnd_bn,Profit after tax,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2017-total_assets_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2017,,2017-01-01,2017-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2017-12-31,total_assets_vnd_bn,Total assets,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2017-owners_equity_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2017,,2017-01-01,2017-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2017-12-31,owners_equity_vnd_bn,Owners' equity,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2017-operating_cash_flow_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2017,,2017-01-01,2017-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2017-12-31,operating_cash_flow_vnd_bn,Operating cash flow,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2018-net_revenue_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2018,,2018-01-01,2018-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2018-12-31,net_revenue_vnd_bn,Net revenue,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2018-gross_profit_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2018,,2018-01-01,2018-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2018-12-31,gross_profit_vnd_bn,Gross profit,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2018-operating_profit_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2018,,2018-01-01,2018-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2018-12-31,operating_profit_vnd_bn,Operating profit,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2018-profit_before_tax_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2018,,2018-01-01,2018-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2018-12-31,profit_before_tax_vnd_bn,Profit before tax,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2018-profit_after_tax_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2018,,2018-01-01,2018-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2018-12-31,profit_after_tax_vnd_bn,Profit after tax,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2018-total_assets_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2018,,2018-01-01,2018-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2018-12-31,total_assets_vnd_bn,Total assets,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2018-owners_equity_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2018,,2018-01-01,2018-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2018-12-31,owners_equity_vnd_bn,Owners' equity,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2018-operating_cash_flow_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2018,,2018-01-01,2018-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2018-12-31,operating_cash_flow_vnd_bn,Operating cash flow,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2019-net_revenue_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2019,,2019-01-01,2019-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2019-12-31,net_revenue_vnd_bn,Net revenue,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2019-gross_profit_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2019,,2019-01-01,2019-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2019-12-31,gross_profit_vnd_bn,Gross profit,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2019-operating_profit_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2019,,2019-01-01,2019-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2019-12-31,operating_profit_vnd_bn,Operating profit,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2019-profit_before_tax_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2019,,2019-01-01,2019-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2019-12-31,profit_before_tax_vnd_bn,Profit before tax,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2019-profit_after_tax_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2019,,2019-01-01,2019-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2019-12-31,profit_after_tax_vnd_bn,Profit after tax,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2019-total_assets_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2019,,2019-01-01,2019-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2019-12-31,total_assets_vnd_bn,Total assets,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2019-owners_equity_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2019,,2019-01-01,2019-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2019-12-31,owners_equity_vnd_bn,Owners' equity,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2019-operating_cash_flow_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2019,,2019-01-01,2019-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2019-12-31,operating_cash_flow_vnd_bn,Operating cash flow,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2020-net_revenue_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2020,,2020-01-01,2020-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2020-12-31,net_revenue_vnd_bn,Net revenue,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2020-gross_profit_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2020,,2020-01-01,2020-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2020-12-31,gross_profit_vnd_bn,Gross profit,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2020-operating_profit_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2020,,2020-01-01,2020-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2020-12-31,operating_profit_vnd_bn,Operating profit,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2020-profit_before_tax_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2020,,2020-01-01,2020-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2020-12-31,profit_before_tax_vnd_bn,Profit before tax,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2020-profit_after_tax_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2020,,2020-01-01,2020-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2020-12-31,profit_after_tax_vnd_bn,Profit after tax,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2020-total_assets_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2020,,2020-01-01,2020-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2020-12-31,total_assets_vnd_bn,Total assets,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2020-owners_equity_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2020,,2020-01-01,2020-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2020-12-31,owners_equity_vnd_bn,Owners' equity,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2020-operating_cash_flow_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2020,,2020-01-01,2020-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2020-12-31,operating_cash_flow_vnd_bn,Operating cash flow,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2021-net_revenue_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2021,,2021-01-01,2021-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2021-12-31,net_revenue_vnd_bn,Net revenue,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2021-gross_profit_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2021,,2021-01-01,2021-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2021-12-31,gross_profit_vnd_bn,Gross profit,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2021-operating_profit_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2021,,2021-01-01,2021-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2021-12-31,operating_profit_vnd_bn,Operating profit,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2021-profit_before_tax_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2021,,2021-01-01,2021-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2021-12-31,profit_before_tax_vnd_bn,Profit before tax,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2021-profit_after_tax_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2021,,2021-01-01,2021-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2021-12-31,profit_after_tax_vnd_bn,Profit after tax,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2021-total_assets_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2021,,2021-01-01,2021-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2021-12-31,total_assets_vnd_bn,Total assets,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2021-owners_equity_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2021,,2021-01-01,2021-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2021-12-31,owners_equity_vnd_bn,Owners' equity,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2021-operating_cash_flow_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2021,,2021-01-01,2021-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2021-12-31,operating_cash_flow_vnd_bn,Operating cash flow,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2022-net_revenue_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2022,,2022-01-01,2022-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2022-12-31,net_revenue_vnd_bn,Net revenue,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2022-gross_profit_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2022,,2022-01-01,2022-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2022-12-31,gross_profit_vnd_bn,Gross profit,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2022-operating_profit_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2022,,2022-01-01,2022-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2022-12-31,operating_profit_vnd_bn,Operating profit,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2022-profit_before_tax_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2022,,2022-01-01,2022-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2022-12-31,profit_before_tax_vnd_bn,Profit before tax,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
MCH-2022-profit_after_tax_vnd_bn,MCH,MCH,Masan Consumer,primary_anchor,FY,2022,,2022-01-01,2022-12-31,12,consolidated,reported_in_annual_report,VND,bn,VAS,not_applicable,2022-12-31,profit_after_tax_vnd_bn,Profit after tax,,VND_bn,,pending_review,Awaiting page-level human review of MCH source archive/OCR candidate,reported,,PENDING_SOURCE_DOCUMENT,PENDING_SOURCE_URL,,,not_applicable,"Do not promote to approved peer panel until source page, table and reviewer evidence are captured",blocked,unreviewed,manual,
