forecast_version,forecast_created_date,target_month,company,brand,channel,forecast_revenue_vnd,actual_revenue_vnd,actual_available_date,as_of_date,eligibility_status,error_vnd,abs_error_vnd,snapshot_status,source_model_version,approver,actual_period_close_date,exception_note
FE-2025-01,2024-12-20,2025-11,VietNova Consumer JSC,NovaDaily,Modern Trade,1575,1500,2025-12-15,2025-12-31,ELIGIBLE,75,75,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-11-30,
FE-2025-01,2024-12-20,2025-12,VietNova Consumer JSC,NovaDaily,Modern Trade,1627.5,1550,2025-12-20,2025-12-31,ELIGIBLE,77.5,77.5,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-12-31,
FE-2025-04,2025-03-20,2025-04,VietNova Consumer JSC,NovaDaily,Modern Trade,1127,1150,2025-05-15,2025-12-31,ELIGIBLE,-23,23,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-04-30,
FE-2025-04,2025-03-20,2025-05,VietNova Consumer JSC,NovaDaily,Modern Trade,1176,1200,2025-06-15,2025-12-31,ELIGIBLE,-24,24,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-05-31,
FE-2025-04,2025-03-20,2025-06,VietNova Consumer JSC,NovaDaily,Modern Trade,1225,1250,2025-07-15,2025-12-31,ELIGIBLE,-25,25,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-06-30,
FE-2025-04,2025-03-20,2025-07,VietNova Consumer JSC,NovaDaily,Modern Trade,1274,1300,2025-08-15,2025-12-31,ELIGIBLE,-26,26,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-07-31,
FE-2025-04,2025-03-20,2025-08,VietNova Consumer JSC,NovaDaily,Modern Trade,1323,1350,2025-09-15,2025-12-31,ELIGIBLE,-27,27,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-08-31,
FE-2025-04,2025-03-20,2025-09,VietNova Consumer JSC,NovaDaily,Modern Trade,1372,1400,2025-10-15,2025-12-31,ELIGIBLE,-28,28,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-09-30,
FE-2025-04,2025-03-20,2025-10,VietNova Consumer JSC,NovaDaily,Modern Trade,1421,1450,2025-11-15,2025-12-31,ELIGIBLE,-29,29,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-10-31,
FE-2025-04,2025-03-20,2025-11,VietNova Consumer JSC,NovaDaily,Modern Trade,1470,1500,2025-12-15,2025-12-31,ELIGIBLE,-30,30,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-11-30,
FE-2025-04,2025-03-20,2025-12,VietNova Consumer JSC,NovaDaily,Modern Trade,1519,1550,2025-12-20,2025-12-31,ELIGIBLE,-31,31,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-12-31,
FE-2025-07,2025-06-20,2025-07,VietNova Consumer JSC,NovaDaily,Modern Trade,1430,1300,2025-08-15,2025-12-31,ELIGIBLE,130,130,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-07-31,
FE-2025-07,2025-06-20,2025-08,VietNova Consumer JSC,NovaDaily,Modern Trade,1485,1350,2025-09-15,2025-12-31,ELIGIBLE,135,135,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-08-31,
FE-2025-07,2025-06-20,2025-09,VietNova Consumer JSC,NovaDaily,Modern Trade,1540,1400,2025-10-15,2025-12-31,ELIGIBLE,140,140,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-09-30,
FE-2025-07,2025-06-20,2025-10,VietNova Consumer JSC,NovaDaily,Modern Trade,1595,1450,2025-11-15,2025-12-31,ELIGIBLE,145,145,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-10-31,
FE-2025-07,2025-06-20,2025-11,VietNova Consumer JSC,NovaDaily,Modern Trade,1650,1500,2025-12-15,2025-12-31,ELIGIBLE,150,150,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-11-30,
FE-2025-07,2025-06-20,2025-12,VietNova Consumer JSC,NovaDaily,Modern Trade,1705,1550,2025-12-20,2025-12-31,ELIGIBLE,155,155,FROZEN,DEMO_FIXTURE_v1,Portfolio Owner (synthetic),2025-12-31,
FE-2025-07,2025-09-01,2025-08,VietNova Consumer JSC,NovaDaily,Modern Trade,1500,1350,2025-08-20,2025-12-31,FUTURE_LEAKAGE,150,150,EXCEPTION,DEMO_FIXTURE_v1,,2025-08-31,Created after actual availability; exclude
FE-2025-12,2025-11-20,2025-12,VietNova Consumer JSC,NovaDaily,Modern Trade,1600,1550,2026-01-15,2025-12-31,NOT_ELIGIBLE,50,50,DRAFT,DEMO_FIXTURE_v1,,2025-12-31,Actual available after as-of date; hold until close
